[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Buprenorphine.]
[R06AD03, thiethylperazine, Thiethylperazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Buprenorphine.]
[N05CA19, thiopental, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AB08, thioproperazine, Thioproperazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AC02, thioridazine, Thioridazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AF04, thiothixene, Thiothixene may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Buprenorphine.]
[N05AL03, tiapride, Tiapride may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Buprenorphine.]
[N02AX01, tilidine, Tilidine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S01ED01, timolol, The metabolism of Timolol can be decreased when combined with Buprenorphine.]
[A10BB05, tolazamide, The metabolism of Buprenorphine can be decreased when combined with Tolazamide.]
[V04CA01, tolbutamide, The metabolism of Tolbutamide can be decreased when combined with Buprenorphine.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Buprenorphine is combined with Tramadol.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AX05, trazodone, Trazodone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01XF01, tretinoin, The metabolism of Buprenorphine can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Buprenorphine can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, The therapeutic efficacy of Triamterene can be decreased when used in combination with Buprenorphine.]
[N05CD05, triazolam, Triazolam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Trichlormethiazide can be decreased when used in combination with Buprenorphine.]
[A03AB12, mepenzolate, The risk or severity of adverse effects can be increased when Mepenzolate is combined with Buprenorphine.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AA05, triflupromazine, Triflupromazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N04AA01, trihexyphenidyl, The risk or severity of adverse effects can be increased when Trihexyphenidyl is combined with Buprenorphine.]
[R03BA07, mometasone, The metabolism of Buprenorphine can be increased when combined with Mometasone.]
[A03AA05, trimebutine, The risk or severity of adverse effects can be increased when Trimebutine is combined with Buprenorphine.]
[R06AD01, trimeprazine, Alimemazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N03AC02, trimethadione, Trimethadione may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Trimethaphan is combined with Buprenorphine.]
[J01EA01, trimethoprim, The metabolism of Buprenorphine can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, Trimipramine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R06AC04, tripelennamine, The metabolism of Buprenorphine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A03BB01, butylscopolamine, The risk or severity of adverse effects can be increased when Butylscopolamine is combined with Buprenorphine.]
[J01FA08, troleandomycin, The metabolism of Buprenorphine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, Vilazodone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M03AA02, tubocurarine, Tubocurarine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Buprenorphine.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Buprenorphine.]
[L02BX03, abiraterone, The metabolism of Buprenorphine can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Buprenorphine can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The serum concentration of Buprenorphine can be increased when it is combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Buprenorphine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Buprenorphine can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, Ezogabine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[B01AF01, rivaroxaban, Buprenorphine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[B01AC24, ticagrelor, Buprenorphine can cause a decrease in the absorption of Ticagrelor resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08DA01, verapamil, The metabolism of Buprenorphine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, Viloxazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Buprenorphine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Buprenorphine.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Buprenorphine.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Buprenorphine.]
[C03BA10, xipamide, The therapeutic efficacy of Xipamide can be decreased when used in combination with Buprenorphine.]
[J05AF01, zidovudine, The metabolism of Buprenorphine can be increased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, Zuclopenthixol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J05AE02, indinavir, The metabolism of Buprenorphine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be decreased when combined with Buprenorphine.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Buprenorphine.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Buprenorphine.]
[R03DC01, zafirlukast, The metabolism of Buprenorphine can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Buprenorphine.]
[N05AE04, ziprasidone, Ziprasidone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[G03AC10, drospirenone, The therapeutic efficacy of Drospirenone can be decreased when used in combination with Buprenorphine.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Buprenorphine.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Buprenorphine.]
[G04BD07, tolterodine, The risk or severity of adverse effects can be increased when Tolterodine is combined with Buprenorphine.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Buprenorphine.]
[J02AC03, voriconazole, The metabolism of Buprenorphine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S01FA01, atropine, The risk or severity of adverse effects can be increased when Atropine is combined with Buprenorphine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Buprenorphine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Buprenorphine.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Buprenorphine.]
[H02AB11, prednylidene, The metabolism of Buprenorphine can be increased when combined with Prednylidene.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Buprenorphine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A08AA11, lorcaserin, Lorcaserin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[G04BD12, mirabegron, The serum concentration of Buprenorphine can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The serum concentration of Buprenorphine can be increased when it is combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Buprenorphine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Buprenorphine can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Buprenorphine.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Buprenorphine.]
[L04AA31, teriflunomide, The metabolism of Buprenorphine can be decreased when combined with Teriflunomide.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Buprenorphine.]
[N05CA04, barbital, Barbital may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J05AE04, nelfinavir, The metabolism of Buprenorphine can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N04BD02, rasagiline, Rasagiline may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C08CA13, lercanidipine, The metabolism of Buprenorphine can be decreased when combined with Lercanidipine.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06DA02, donepezil, Donepezil may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Buprenorphine.]
[N02CC03, zolmitriptan, Zolmitriptan may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R06AC06, thonzylamine, The risk or severity of adverse effects can be increased when Thonzylamine is combined with Buprenorphine.]
[G04BD10, darifenacin, The risk or severity of adverse effects can be increased when Darifenacin is combined with Buprenorphine.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01EX07, cabozantinib, The metabolism of Buprenorphine can be decreased when combined with Cabozantinib.]
[G04BE03, sildenafil, The metabolism of Buprenorphine can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Buprenorphine.]
[B01AF02, apixaban, Buprenorphine may decrease the excretion rate of Apixaban which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Buprenorphine.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Buprenorphine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Buprenorphine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Bendroflumethiazide can be decreased when used in combination with Buprenorphine.]
[L04AX06, pomalidomide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[G03XC05, ospemifene, The metabolism of Buprenorphine can be decreased when combined with Ospemifene.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Buprenorphine.]
[M04AB03, benzbromarone, The metabolism of Buprenorphine can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Buprenorphine can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, Benzocaine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[M01AH01, celecoxib, The metabolism of Buprenorphine can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Buprenorphine.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Benzatropine is combined with Buprenorphine.]
[L01EC02, dabrafenib, The serum concentration of Buprenorphine can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The metabolism of Buprenorphine can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, Benzyl alcohol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01EB03, afatinib, Buprenorphine may decrease the excretion rate of Afatinib which could result in a higher serum level.]
[N06AX28, levomilnacipran, Levomilnacipran may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J05AJ03, dolutegravir, Buprenorphine may decrease the excretion rate of Dolutegravir which could result in a higher serum level.]
[C08EA02, bepridil, The metabolism of Buprenorphine can be decreased when combined with Bepridil.]
[C02KX05, riociguat, Buprenorphine may decrease the excretion rate of Riociguat which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Buprenorphine.]
[N06AX26, vortioxetine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J05AP05, simeprevir, The metabolism of Buprenorphine can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Buprenorphine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Buprenorphine.]
[C07AB04, acebutolol, The metabolism of Buprenorphine can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A16AA07, metreleptin, The metabolism of Buprenorphine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Buprenorphine can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The metabolism of Buprenorphine can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Buprenorphine.]
[C10AB02, bezafibrate, The metabolism of Buprenorphine can be decreased when combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Buprenorphine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Buprenorphine.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Buprenorphine.]
[A03BA03, hyoscyamine, The risk or severity of adverse effects can be increased when Hyoscyamine is combined with Buprenorphine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Buprenorphine.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Buprenorphine.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Buprenorphine.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Glycopyrronium is combined with Buprenorphine.]
[N05CM19, suvorexant, Suvorexant may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Buprenorphine.]
[J01XA05, oritavancin, The metabolism of Buprenorphine can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, Acepromazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Buprenorphine.]
[A06AH03, naloxegol, Buprenorphine may increase the opioid antagonism activities of Naloxegol.]
[N04AA02, biperiden, The risk or severity of adverse effects can be increased when Biperiden is combined with Buprenorphine.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Buprenorphine.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Buprenorphine.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Buprenorphine.]
[J05AP09, dasabuvir, The metabolism of Buprenorphine can be decreased when combined with Dasabuvir.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Buprenorphine.]
[B01AA01, dicumarol, The metabolism of Buprenorphine can be decreased when combined with Dicoumarol.]
[N06AX11, mirtazapine, Buprenorphine may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Buprenorphine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Buprenorphine.]
[L01EX08, lenvatinib, Buprenorphine may decrease the excretion rate of Lenvatinib which could result in a higher serum level.]
[L01XH03, panobinostat, The metabolism of Buprenorphine can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Buprenorphine.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Buprenorphine.]
[A03AA09, difemerine, The risk or severity of adverse effects can be increased when Difemerine is combined with Buprenorphine.]
[J05AP06, asunaprevir, The metabolism of Buprenorphine can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Buprenorphine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, Brexpiprazole may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Buprenorphine.]
[A04AD14, rolapitant, The metabolism of Buprenorphine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, Flibanserin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Buprenorphine.]
[N05AX15, cariprazine, Cariprazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S01EC01, acetazolamide, Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AB07, acetophenazine, Acetophenazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Buprenorphine.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Buprenorphine.]
[J02AC05, isavuconazole, The metabolism of Buprenorphine can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Buprenorphine.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Buprenorphine.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Buprenorphine.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Buprenorphine.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Buprenorphine.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Buprenorphine.]
[A10BB31, acetohexamide, The metabolism of Buprenorphine can be decreased when combined with Acetohexamide.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Buprenorphine.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Buprenorphine.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Buprenorphine.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N03AX23, brivaracetam, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Buprenorphine.]
[N05BA08, bromazepam, Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N04BC01, bromocriptine, Bromocriptine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Buprenorphine.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C03CA02, bumetanide, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Buprenorphine.]
[N01BB01, bupivacaine, Bupivacaine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Buprenorphine.]
[S01AA13, fusidic acid, The metabolism of Buprenorphine can be decreased when combined with Fusidic acid.]
[N05BE01, buspirone, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Buprenorphine.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Buprenorphine.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Buprenorphine.]
[N02AF01, butorphanol, Butorphanol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S01GX07, azelastine, Buprenorphine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Buprenorphine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be decreased when combined with Buprenorphine.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Buprenorphine.]
[L01EF02, ribociclib, The metabolism of Buprenorphine can be decreased when combined with Ribociclib.]
[A06AH05, naldemedine, The therapeutic efficacy of Buprenorphine can be decreased when used in combination with Naldemedine.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Buprenorphine.]
[N02BF02, pregabalin, Pregabalin may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[S01HA02, benoxinate, Oxybuprocaine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Buprenorphine is combined with Linezolid.]
[J05AE09, tipranavir, The metabolism of Buprenorphine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Buprenorphine.]
[L04AB02, infliximab, The metabolism of Buprenorphine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Buprenorphine can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Buprenorphine.]
[N04BD03, safinamide, Safinamide may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J01MA23, delafloxacin, Buprenorphine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, The metabolism of Buprenorphine can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Buprenorphine.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Buprenorphine.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Buprenorphine.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Buprenorphine.]
[J05AG03, efavirenz, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Buprenorphine.]
[N04AA11, bornaprine, The risk or severity of adverse effects can be increased when Bornaprine is combined with Buprenorphine.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C03DA03, canrenone, The therapeutic efficacy of Canrenone can be decreased when used in combination with Buprenorphine.]
[R03BA02, budesonide, The metabolism of Buprenorphine can be increased when combined with Budesonide.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Buprenorphine.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[J05AX18, letermovir, The metabolism of Buprenorphine can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, Butriptyline may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A10BK04, ertugliflozin, Buprenorphine may decrease the excretion rate of Ertugliflozin which could result in a higher serum level.]
[N05CA08, butylvinal, Vinylbital may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02BB05, apalutamide, The metabolism of Buprenorphine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Buprenorphine.]
[A03AA03, camylofine, The risk or severity of adverse effects can be increased when Camylofin is combined with Buprenorphine.]
[R06AA08, carbinoxamine, Carbinoxamine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Buprenorphine.]
[B02BX09, fostamatinib, The metabolism of Buprenorphine can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, Cannabidiol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[B02BX08, avatrombopag, The metabolism of Buprenorphine can be increased when combined with Avatrombopag.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Buprenorphine.]
