[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Dopamine is combined with Antipyrine.]
[L03AA12, ancestim, Dopamine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The risk or severity of hypertension can be increased when Celecoxib is combined with Dopamine.]
[N02CC02, naratriptan, The risk or severity of hypertension can be increased when Naratriptan is combined with Dopamine.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[L01EC02, dabrafenib, The serum concentration of Dopamine can be increased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Dopamine is combined with Benzydamine.]
[L01EE01, trametinib, Dopamine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[H05AA03, parathyroid hormone, The risk or severity of adverse effects can be increased when Dopamine is combined with Parathyroid hormone.]
[V09AX05, florbetapir F-18, Dopamine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Dopamine may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[J05AJ03, dolutegravir, The serum concentration of Dopamine can be increased when it is combined with Dolutegravir.]
[C08EA02, bepridil, Dopamine may decrease the antihypertensive activities of Bepridil.]
[C02KX05, riociguat, Dopamine may decrease the antihypertensive activities of Riociguat.]
[A10BJ03, lixisenatide, Dopamine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Dopamine may decrease the antihypertensive activities of Macitentan.]
[N06AX26, vortioxetine, The risk or severity of hypertension can be increased when Dopamine is combined with Vortioxetine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J05AP08, sofosbuvir, Dopamine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, The therapeutic efficacy of Dopamine can be increased when used in combination with Droxidopa.]
[C07AB04, acebutolol, Dopamine may decrease the antihypertensive activities of Acebutolol.]
[N05CH03, tasimelteon, Dopamine may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, Dopamine may decrease the excretion rate of Apremilast which could result in a higher serum level.]
[L02BG02, formestane, Dopamine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S01ED02, betaxolol, Dopamine may decrease the antihypertensive activities of Betaxolol.]
[V03AB34, fomepizole, Dopamine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, Dopamine may decrease the antihypertensive activities of Bethanidine.]
[A03BA03, hyoscyamine, The risk or severity of Tachycardia can be increased when Hyoscyamine is combined with Dopamine.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Dopamine is combined with Olodaterol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[D11AA01, glycopyrronium, The risk or severity of Tachycardia can be increased when Glycopyrronium is combined with Dopamine.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N05AA04, acepromazine, The risk or severity of hypertension can be increased when Dopamine is combined with Acepromazine.]
[N04AA02, biperiden, The risk or severity of Tachycardia can be increased when Biperiden is combined with Dopamine.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Dopamine.]
[B01AF03, edoxaban, Dopamine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The risk or severity of hypertension can be increased when Mirtazapine is combined with Dopamine.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Palbociclib is combined with Dopamine.]
[L01EX08, lenvatinib, The serum concentration of Dopamine can be increased when it is combined with Lenvatinib.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[A03AA09, difemerine, The risk or severity of Tachycardia can be increased when Dopamine is combined with Difemerine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N05AX16, brexpiprazole, The risk or severity of hypertension can be increased when Dopamine is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of hypertension can be increased when Dopamine is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of hypertension can be increased when Dopamine is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Dopamine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Dopamine is combined with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB37, idarucizumab, Dopamine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[J02AC05, isavuconazole, The serum concentration of Dopamine can be increased when it is combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Dopamine.]
[L01XG03, ixazomib, Dopamine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, Dopamine may decrease the antihypertensive activities of Selexipag.]
[M04AB05, lesinurad, Dopamine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Dopamine is combined with Alminoprofen.]
[N03AX23, brivaracetam, Dopamine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, Dopamine may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, The risk or severity of hypertension can be increased when Dopamine is combined with Bromocriptine.]
[A02AD05, aluminum magnesium silicate, Dopamine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[R06AB01, brompheniramine, The risk or severity of Tachycardia can be increased when Brompheniramine is combined with Dopamine.]
[N06AA19, amineptin, The risk or severity of hypertension can be increased when Dopamine is combined with Amineptine.]
[C08CA01, amlodipine, Dopamine may decrease the antihypertensive activities of Amlodipine.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, Dopamine may decrease the excretion rate of Levobupivacaine which could result in a higher serum level.]
[C07AA19, bupranolol, Dopamine may decrease the antihypertensive activities of Bupranolol.]
[N05BE01, buspirone, The risk or severity of hypertension can be increased when Buspirone is combined with Dopamine.]
[L01XX27, arsenic trioxide, Dopamine may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[M02AA03, clofezone, Dopamine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Dopamine is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Dopamine is combined with Bambuterol.]
[R03DA08, bamifylline, The risk or severity of adverse effects can be increased when Dopamine is combined with Bamifylline.]
[A06AH05, naldemedine, Dopamine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Dopamine may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N06BC01, caffeine, The risk or severity of adverse effects can be increased when Dopamine is combined with Caffeine.]
[C09AA07, benazepril, Dopamine may decrease the antihypertensive activities of Benazepril.]
[P01CA02, benznidazole, Dopamine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The risk or severity of hypertension can be increased when Linezolid is combined with Dopamine.]
[J05AF06, abacavir, Dopamine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[H03BA03, benzylthiouracil, The risk or severity of adverse effects can be increased when Dopamine is combined with Benzylthiouracil.]
[N07XX13, valbenazine, Dopamine may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[H05AA04, abaloparatide, The risk or severity of adverse effects can be increased when Dopamine is combined with Abaloparatide.]
[N04BD03, safinamide, The metabolism of Dopamine can be decreased when combined with Safinamide.]
[J01MA23, delafloxacin, Dopamine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L01BC06, capecitabine, Dopamine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The serum concentration of Dopamine can be increased when it is combined with Enasidenib.]
[C07AB07, bisoprolol, Dopamine may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Bitolterol is combined with Dopamine.]
[J05AG03, efavirenz, The risk or severity of adverse effects can be increased when Efavirenz is combined with Dopamine.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N04AA11, bornaprine, The risk or severity of Tachycardia can be increased when Dopamine is combined with Bornaprine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Dopamine may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Dopamine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Dopamine is combined with Bumadizone.]
[N06AA15, butriptyline, The risk or severity of hypertension can be increased when Dopamine is combined with Butriptyline.]
[N01BX04, capsaicin, The metabolism of Dopamine can be decreased when combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Dopamine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Dopamine may decrease the antihypertensive activities of Captopril.]
[L02BB05, apalutamide, The serum concentration of Dopamine can be increased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, Dopamine may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A03AA03, camylofine, The risk or severity of Tachycardia can be increased when Dopamine is combined with Camylofin.]
[H03BB01, carbimazole, The risk or severity of adverse effects can be increased when Dopamine is combined with Carbimazole.]
[C07AG02, carvedilol, Dopamine may decrease the antihypertensive activities of Carvedilol.]
[N03AX24, cannabidiol, The risk or severity of hypertension can be increased when Dopamine is combined with Cannabidiol.]
[L04AA37, baricitinib, Dopamine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01GB14, plazomicin, Dopamine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, Dopamine may decrease the antihypertensive activities of Celiprolol.]
[P01BA07, tafenoquine, The serum concentration of Dopamine can be increased when it is combined with Tafenoquine.]
[A16AX14, migalastat, Dopamine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, Dopamine may decrease the excretion rate of Stiripentol which could result in a higher serum level.]
[L01EB07, dacomitinib, The risk or severity of adverse effects can be increased when Dacomitinib is combined with Dopamine.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[D08AE05, chloroxylenol, Dopamine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[R06AA06, chlorphenoxamine, The risk or severity of Tachycardia can be increased when Dopamine is combined with Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Dopamine is combined with Lornoxicam.]
[R03DA02, oxtriphylline, The risk or severity of adverse effects can be increased when Dopamine is combined with Oxtriphylline.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[L01EX13, gilteritinib, The risk or severity of adverse effects can be increased when Gilteritinib is combined with Dopamine.]
[A06AX05, prucalopride, Dopamine may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C09AA08, cilazapril, Dopamine may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, Dopamine may decrease the excretion rate of Cilostazol which could result in a higher serum level.]
[A03FA08, cinitapride, The risk or severity of hypertension can be increased when Dopamine is combined with Cinitapride.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Dopamine.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Dopamine is combined with Siponimod.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Dopamine.]
[L01EN01, erdafitinib, The serum concentration of Dopamine can be increased when it is combined with Erdafitinib.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C09CA06, candesartan, Dopamine may decrease the antihypertensive activities of Candesartan.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DD01, cefotaxime, Cefotaxime may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DC05, cefotetan, Cefotetan may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DC07, cefotiam, Cefotiam may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DC01, cefoxitin, Cefoxitin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DD03, cefsulodin, Cefsulodin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DD02, ceftazidime, Ceftazidime may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[C03BX03, cicletanine, Cicletanine may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DD07, ceftizoxime, Ceftizoxime may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DD04, ceftriaxone, Ceftriaxone may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[S01AA27, cefuroxime, Cefuroxime may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[N07XX11, pitolisant, The risk or severity of adverse effects can be increased when Pitolisant is combined with Dopamine.]
[C03AA09, cyclothiazide, Cyclothiazide may increase the excretion rate of Dopamine which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE04, yohimbine, The risk or severity of hypertension can be increased when Dopamine is combined with Yohimbine.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DB01, cephalexin, Cephalexin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DB02, cephaloridine, Cefaloridine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DB03, cephalothin, Cefalotin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DB08, cephapirin, Cefapirin may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[J01DB09, cephradine, Cefradine may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[A16AX16, givosiran, Givosiran may decrease the excretion rate of Dopamine which could result in a higher serum level.]
[M09AX08, golodirsen, Dopamine may decrease the excretion rate of Golodirsen which could result in a higher serum level.]
[S01XA12, dexpanthenol, Dopamine may decrease the excretion rate of Dexpanthenol which could result in a higher serum level.]
[N02CC07, frovatriptan, The risk or severity of hypertension can be increased when Dopamine is combined with Frovatriptan.]
