[P02BB01, trichlorfon, Metrifonate may increase the neuromuscular blocking activities of Procaine.]
[V04CA01, tolbutamide, Procaine may increase the hypoglycemic activities of Tolbutamide.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Procaine is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Tramadol.]
[N06AF04, tranylcypromine, The risk or severity of adverse effects can be increased when Procaine is combined with Tranylcypromine.]
[C01DX11, trapidil, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Trapidil.]
[N06AX05, trazodone, Procaine may increase the serotonergic activities of Trazodone.]
[L01XF01, tretinoin, The risk or severity of methemoglobinemia can be increased when Tretinoin is combined with Procaine.]
[S01BA05, triamcinolone, The therapeutic efficacy of Procaine can be decreased when used in combination with Triamcinolone.]
[C03DB02, triamterene, Procaine may increase the orthostatic hypotensive activities of Triamterene.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Procaine is combined with Triazolam.]
[C03AA06, trichlormethiazide, Procaine may increase the hypotensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Procaine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[S01EB04, demecarium, Demecarium may increase the neuromuscular blocking activities of Procaine.]
[N05AB06, trifluoperazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Trifluoperazine.]
[S01AD02, trifluridine, The risk or severity of methemoglobinemia can be increased when Trifluridine is combined with Procaine.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Procaine is combined with Trifluperidol.]
[N05AA05, triflupromazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Triflupromazine.]
[D07AC02, fluclorolone, The therapeutic efficacy of Procaine can be decreased when used in combination with Fluclorolone.]
[N04AA01, trihexyphenidyl, Procaine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The therapeutic efficacy of Procaine can be decreased when used in combination with Mometasone.]
[A03AA05, trimebutine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of methemoglobinemia can be increased when Trimethadione is combined with Procaine.]
[C02BA01, trimethaphan, Procaine may increase the neuromuscular blocking activities of Trimethaphan.]
[N06AA06, trimipramine, Procaine may increase the serotonergic activities of Trimipramine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Procaine.]
[A03BB01, butylscopolamine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The risk or severity of methemoglobinemia can be increased when Troleandomycin is combined with Procaine.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Procaine.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Procaine is combined with Tropicamide.]
[N06AX02, tryptophan, The risk or severity of serotonin syndrome and hypomania can be increased when Tryptophan is combined with Procaine.]
[C09CA09, azilsartan medoxomil, Procaine may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Procaine may increase the neuromuscular blocking activities of Tubocurarine.]
[L01FX04, ipilimumab, The risk or severity of methemoglobinemia can be increased when Ipilimumab is combined with Procaine.]
[S01AA05, tyrothricin, The risk or severity of methemoglobinemia can be increased when Tyrothricin is combined with Procaine.]
[L01EX04, vandetanib, The risk or severity of methemoglobinemia can be increased when Vandetanib is combined with Procaine.]
[L01AD08, uracil mustard, The risk or severity of methemoglobinemia can be increased when Uracil mustard is combined with Procaine.]
[L02BX03, abiraterone, The risk or severity of methemoglobinemia can be increased when Abiraterone is combined with Procaine.]
[A10BH05, linagliptin, Procaine may increase the hypoglycemic activities of Linagliptin.]
[B01AD04, urokinase, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Urokinase.]
[A07AA12, fidaxomicin, The risk or severity of methemoglobinemia can be increased when Fidaxomicin is combined with Procaine.]
[S01AA28, vancomycin, The risk or severity of methemoglobinemia can be increased when Vancomycin is combined with Procaine.]
[N03AX21, ezogabine, The risk or severity of methemoglobinemia can be increased when Ezogabine is combined with Procaine.]
[B01AF01, rivaroxaban, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Rivaroxaban.]
[R03AC18, indacaterol, The risk or severity of adverse effects can be increased when Procaine is combined with Indacaterol.]
[B01AC24, ticagrelor, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Ticagrelor.]
[C08DA01, verapamil, Procaine may increase the orthostatic hypotensive activities of Verapamil.]
[N06AX09, viloxazine, The risk or severity of hypertension can be increased when Viloxazine is combined with Procaine.]
[L01CA01, vinblastine, The risk or severity of methemoglobinemia can be increased when Vinblastine is combined with Procaine.]
[C04AX07, vincamine, The risk or severity of methemoglobinemia can be increased when Vincamine is combined with Procaine.]
[L01CA02, vincristine, The risk or severity of methemoglobinemia can be increased when Vincristine is combined with Procaine.]
[L01CA03, vindesine, The risk or severity of methemoglobinemia can be increased when Vindesine is combined with Procaine.]
[B01AA03, warfarin, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Warfarin.]
[S01AA13, fusidic acid, The risk or severity of methemoglobinemia can be increased when Fusidic acid is combined with Procaine.]
[N01AX15, xenon, The risk or severity of adverse effects can be increased when Xenon is combined with Procaine.]
[C03BA10, xipamide, Procaine may increase the hypotensive activities of Xipamide.]
[J01MB04, pipemidic acid, The risk or severity of methemoglobinemia can be increased when Pipemidic acid is combined with Procaine.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Procaine is combined with Zuclopenthixol.]
[N03AX14, levetiracetam, The risk or severity of methemoglobinemia can be increased when Levetiracetam is combined with Procaine.]
[L01EC01, vemurafenib, The risk or severity of methemoglobinemia can be increased when Vemurafenib is combined with Procaine.]
[M05BA03, pamidronic acid, The risk or severity of methemoglobinemia can be increased when Pamidronic acid is combined with Procaine.]
[L01FX05, brentuximab vedotin, The risk or severity of methemoglobinemia can be increased when Brentuximab vedotin is combined with Procaine.]
[L01ED01, crizotinib, The risk or severity of methemoglobinemia can be increased when Crizotinib is combined with Procaine.]
[B01AE01, desirudin, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Lepirudin.]
[L01XD05, temoporfin, The risk or severity of methemoglobinemia can be increased when Temoporfin is combined with Procaine.]
[J01MA13, trovafloxacin, The risk or severity of methemoglobinemia can be increased when Trovafloxacin is combined with Procaine.]
[L01XX02, asparaginase, The risk or severity of methemoglobinemia can be increased when Asparaginase Escherichia coli is combined with Procaine.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Procaine is combined with Ziprasidone.]
[L04AA34, alemtuzumab, The risk or severity of methemoglobinemia can be increased when Alemtuzumab is combined with Procaine.]
[N02BA01, aspirin, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The risk or severity of methemoglobinemia can be increased when Ruxolitinib is combined with Procaine.]
[G04BD07, tolterodine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[J01DH04, doripenem, The risk or severity of methemoglobinemia can be increased when Doripenem is combined with Procaine.]
[C07AB03, atenolol, Procaine may increase the bradycardic activities of Atenolol.]
[L03AB11, peginterferon alfa-2a, The risk or severity of methemoglobinemia can be increased when Peginterferon alfa-2a is combined with Procaine.]
[L01FA01, rituximab, The risk or severity of methemoglobinemia can be increased when Rituximab is combined with Procaine.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Procaine is combined with Atracurium.]
[S01FA01, atropine, The risk or severity of hypertension can be increased when Procaine is combined with Atropine.]
[L01XJ01, vismodegib, The risk or severity of methemoglobinemia can be increased when Vismodegib is combined with Procaine.]
[L01EK01, axitinib, The risk or severity of methemoglobinemia can be increased when Axitinib is combined with Procaine.]
[H02AB11, prednylidene, The therapeutic efficacy of Procaine can be decreased when used in combination with Prednylidene.]
[L01BC07, azacitidine, The risk or severity of methemoglobinemia can be increased when Azacitidine is combined with Procaine.]
[L01BC05, gemcitabine, The risk or severity of methemoglobinemia can be increased when Gemcitabine is combined with Procaine.]
[J01CA09, azlocillin, The risk or severity of methemoglobinemia can be increased when Azlocillin is combined with Procaine.]
[J01DF01, aztreonam, The risk or severity of methemoglobinemia can be increased when Aztreonam is combined with Procaine.]
[R02AB04, bacitracin, The risk or severity of methemoglobinemia can be increased when Bacitracin is combined with Procaine.]
[M03BX01, baclofen, The risk or severity of hypotension can be increased when Baclofen is combined with Procaine.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of methemoglobinemia can be increased when Gemtuzumab ozogamicin is combined with Procaine.]
[L01FD02, pertuzumab, The risk or severity of methemoglobinemia can be increased when Pertuzumab is combined with Procaine.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Procaine is combined with Lorcaserin.]
[G04BD12, mirabegron, Procaine may increase the neuromuscular blocking activities of Mirabegron.]
[L01XG02, carfilzomib, The risk or severity of methemoglobinemia can be increased when Carfilzomib is combined with Procaine.]
[L02BB04, enzalutamide, The risk or severity of methemoglobinemia can be increased when Enzalutamide is combined with Procaine.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Procaine.]
[L01EA04, bosutinib, The risk or severity of methemoglobinemia can be increased when Bosutinib is combined with Procaine.]
[B01AX01, defibrotide, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Defibrotide.]
[H02AA01, aldosterone, The therapeutic efficacy of Procaine can be decreased when used in combination with Aldosterone.]
[L01EX05, regorafenib, The risk or severity of methemoglobinemia can be increased when Regorafenib is combined with Procaine.]
[L01XL02, talimogene laherparepvec, The risk or severity of methemoglobinemia can be increased when Talimogene laherparepvec is combined with Procaine.]
[N05CA04, barbital, The risk or severity of methemoglobinemia can be increased when Barbital is combined with Procaine.]
[L01AA09, bendamustine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Procaine.]
[S01GA07, brimonidine, The metabolism of Brimonidine can be decreased when combined with Procaine.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Procaine is combined with Rasagiline.]
[C08CA13, lercanidipine, Procaine may increase the hypotensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Procaine is combined with Mosapride.]
[N06DA02, donepezil, The therapeutic efficacy of Procaine can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Procaine.]
[N02CC03, zolmitriptan, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Zolmitriptan.]
[R06AC06, thonzylamine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Procaine may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Diethyl ether is combined with Procaine.]
[L01EX07, cabozantinib, The risk or severity of methemoglobinemia can be increased when Cabozantinib is combined with Procaine.]
[L01EA05, ponatinib, The risk or severity of methemoglobinemia can be increased when Ponatinib is combined with Procaine.]
[B01AF02, apixaban, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Apixaban.]
[J04AK05, bedaquiline, The risk or severity of methemoglobinemia can be increased when Bedaquiline is combined with Procaine.]
[A10BH04, alogliptin, Procaine may increase the hypoglycemic activities of Alogliptin.]
[C03AA01, bendroflumethiazide, Procaine may increase the hypotensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Procaine.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Procaine is combined with Benperidol.]
[A10BK02, canagliflozin, Procaine may increase the orthostatic hypotensive activities of Canagliflozin.]
[J01MA15, gemifloxacin, The risk or severity of methemoglobinemia can be increased when Gemifloxacin is combined with Procaine.]
[S01AE07, moxifloxacin, The risk or severity of methemoglobinemia can be increased when Moxifloxacin is combined with Procaine.]
[A06AX06, tegaserod, The risk or severity of serotonin syndrome can be increased when Procaine is combined with Tegaserod.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Procaine is combined with Insulin detemir.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Benzocaine.]
[A10BX05, pramlintide, Procaine may increase the hypoglycemic activities of Pramlintide.]
[M01AH01, celecoxib, The risk or severity of methemoglobinemia can be increased when Celecoxib is combined with Procaine.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Procaine is combined with Naratriptan.]
[L04AA18, everolimus, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Procaine.]
[N04AC01, benztropine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The risk or severity of methemoglobinemia can be increased when Dabrafenib is combined with Procaine.]
[L01EE01, trametinib, The risk or severity of methemoglobinemia can be increased when Trametinib is combined with Procaine.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Procaine is combined with Benzyl alcohol.]
[L01EB03, afatinib, The risk or severity of methemoglobinemia can be increased when Afatinib is combined with Procaine.]
[N06AX28, levomilnacipran, Procaine may increase the serotonergic activities of Levomilnacipran.]
[C08EA02, bepridil, Procaine may increase the hypotensive activities of Bepridil.]
[C02KX05, riociguat, Procaine may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, Procaine may increase the hypoglycemic activities of Lixisenatide.]
[C02KX04, macitentan, Procaine may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Procaine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Procaine.]
[N03AF04, eslicarbazepine, The risk or severity of methemoglobinemia can be increased when Eslicarbazepine is combined with Procaine.]
[S01EA03, apraclonidine, Procaine may increase the alpha-adrenergic activities of Apraclonidine.]
[N03AG04, vigabatrin, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Procaine.]
[A10BK01, dapagliflozin, Procaine may increase the orthostatic hypotensive activities of Dapagliflozin.]
[C01CA27, droxidopa, Procaine may increase the hypertensive activities of Droxidopa.]
[C07AB04, acebutolol, Procaine may increase the bradycardic activities of Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Procaine is combined with Tasimelteon.]
[P01CX04, miltefosine, The risk or severity of methemoglobinemia can be increased when Miltefosine is combined with Procaine.]
[L02BG02, formestane, The risk or severity of methemoglobinemia can be increased when Formestane is combined with Procaine.]
[N07CA01, betahistine, The metabolism of Betahistine can be decreased when combined with Procaine.]
[A16AA06, betaine, Betaine may increase the neuromuscular blocking activities of Procaine.]
[S03BA03, betamethasone, The therapeutic efficacy of Procaine can be decreased when used in combination with Betamethasone.]
[S01ED02, betaxolol, Procaine may increase the bradycardic activities of Betaxolol.]
[B01AE03, argatroban, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Argatroban.]
[C02CC01, bethanidine, Procaine may increase the hypotensive activities of Bethanidine.]
[C10AB02, bezafibrate, Procaine may increase the hepatotoxic activities of Bezafibrate.]
[A10BJ04, albiglutide, Procaine may increase the hypoglycemic activities of Albiglutide.]
[L04AC11, siltuximab, The risk or severity of methemoglobinemia can be increased when Siltuximab is combined with Procaine.]
[L01ED02, ceritinib, The risk or severity of methemoglobinemia can be increased when Ceritinib is combined with Procaine.]
[L01FG02, ramucirumab, The risk or severity of methemoglobinemia can be increased when Ramucirumab is combined with Procaine.]
[B01AC26, vorapaxar, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Vorapaxar.]
[J01XA04, dalbavancin, The risk or severity of methemoglobinemia can be increased when Dalbavancin is combined with Procaine.]
[A03BA03, hyoscyamine, Procaine may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Acenocoumarol.]
[J01XX11, tedizolid, The risk or severity of methemoglobinemia can be increased when Tedizolid is combined with Procaine.]
[L01XH04, belinostat, The risk or severity of methemoglobinemia can be increased when Belinostat is combined with Procaine.]
[L01EM01, idelalisib, The risk or severity of methemoglobinemia can be increased when Idelalisib is combined with Procaine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Procaine is combined with Alfaxalone.]
[A10BK03, empagliflozin, Procaine may increase the orthostatic hypotensive activities of Empagliflozin.]
[R03AC19, olodaterol, The risk or severity of adverse effects can be increased when Procaine is combined with Olodaterol.]
[D11AA01, glycopyrronium, Procaine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Procaine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[L01FF02, pembrolizumab, The risk or severity of methemoglobinemia can be increased when Pembrolizumab is combined with Procaine.]
[J01XA05, oritavancin, The risk or severity of methemoglobinemia can be increased when Oritavancin is combined with Procaine.]
[S01AA15, dihydrostreptomycin, The risk or severity of methemoglobinemia can be increased when Dihydrostreptomycin is combined with Procaine.]
[N05AA04, acepromazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Acepromazine.]
[V04CX03, methacholine, Procaine may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Procaine.]
[A10BJ05, dulaglutide, Procaine may increase the hypoglycemic activities of Dulaglutide.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Procaine is combined with Naloxegol.]
[L01BC08, decitabine, The risk or severity of methemoglobinemia can be increased when Decitabine is combined with Procaine.]
[N04AA02, biperiden, Procaine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The risk or severity of methemoglobinemia can be increased when Pirfenidone is combined with Procaine.]
[L01EX09, nintedanib, The risk or severity of methemoglobinemia can be increased when Nintedanib is combined with Procaine.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Procaine.]
[S03AA06, gentamicin, The risk or severity of methemoglobinemia can be increased when Gentamicin is combined with Procaine.]
[L01FX07, blinatumomab, The risk or severity of methemoglobinemia can be increased when Blinatumomab is combined with Procaine.]
[L01XK01, olaparib, The risk or severity of methemoglobinemia can be increased when Olaparib is combined with Procaine.]
[L01FF01, nivolumab, The risk or severity of methemoglobinemia can be increased when Nivolumab is combined with Procaine.]
[B01AA01, dicumarol, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Edoxaban.]
[N06AX11, mirtazapine, Procaine may increase the serotonergic activities of Mirtazapine.]
[L01EF01, palbociclib, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Procaine.]
[L01EX08, lenvatinib, The risk or severity of methemoglobinemia can be increased when Lenvatinib is combined with Procaine.]
[L01XH03, panobinostat, The risk or severity of methemoglobinemia can be increased when Panobinostat is combined with Procaine.]
[N02BE01, acetaminophen, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Procaine.]
[L01DC01, bleomycin, The risk or severity of methemoglobinemia can be increased when Bleomycin is combined with Procaine.]
[A03AA09, difemerine, Procaine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Tioclomarol.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Procaine is combined with Eluxadoline.]
[B01AC25, cangrelor, The risk or severity of bleeding and hemorrhage can be increased when Procaine is combined with Cangrelor.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Procaine.]
[L01XJ02, sonidegib, The risk or severity of methemoglobinemia can be increased when Sonidegib is combined with Procaine.]
[G02CX02, flibanserin, The metabolism of Flibanserin can be decreased when combined with Procaine.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Procaine.]
[N05AX15, cariprazine, The metabolism of Cariprazine can be decreased when combined with Procaine.]
[A10BF01, acarbose, Procaine may increase the hypoglycemic activities of Acarbose.]
[S01EC01, acetazolamide, The risk or severity of methemoglobinemia can be increased when Acetazolamide is combined with Procaine.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Procaine is combined with Insulin degludec.]
[N05AB07, acetophenazine, The risk or severity of extrapyramidal symptoms can be increased when Procaine is combined with Acetophenazine.]
[S02AA10, acetic acid, The risk or severity of methemoglobinemia can be increased when Acetic acid is combined with Procaine.]
[L01CX01, trabectedin, The risk or severity of methemoglobinemia can be increased when Trabectedin is combined with Procaine.]
[L01EB04, osimertinib, The risk or severity of methemoglobinemia can be increased when Osimertinib is combined with Procaine.]
[L01FC01, daratumumab, The risk or severity of methemoglobinemia can be increased when Daratumumab is combined with Procaine.]
[L01EE02, cobimetinib, The risk or severity of methemoglobinemia can be increased when Cobimetinib is combined with Procaine.]
[L01XG03, ixazomib, The risk or severity of methemoglobinemia can be increased when Ixazomib is combined with Procaine.]
[L01FE03, necitumumab, The risk or severity of methemoglobinemia can be increased when Necitumumab is combined with Procaine.]
[L01FX08, elotuzumab, The risk or severity of methemoglobinemia can be increased when Elotuzumab is combined with Procaine.]
[L01ED03, alectinib, The risk or severity of methemoglobinemia can be increased when Alectinib is combined with Procaine.]
[B01AC27, selexipag, Procaine may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, Procaine may increase the hypoglycemic activities of Acetohexamide.]
[L01XA04, satraplatin, The risk or severity of methemoglobinemia can be increased when Satraplatin is combined with Procaine.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Procaine is combined with Aprobarbital.]
[N03AX23, brivaracetam, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Procaine.]
[L01XX52, venetoclax, The risk or severity of methemoglobinemia can be increased when Venetoclax is combined with Procaine.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Procaine is combined with Bromazepam.]
[N04BC01, bromocriptine, Procaine may increase the hypertensive activities of Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Procaine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Procaine.]
