[P02BB01, trichlorfon, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Metrifonate.]
[N05CD05, triazolam, Triazolam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C03AA06, trichlormethiazide, Amoxapine may decrease the antihypertensive activities of Trichlormethiazide.]
[A03AB12, mepenzolate, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Demecarium.]
[N05AB06, trifluoperazine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trifluoperazine.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05AA05, triflupromazine, The serum concentration of Amoxapine can be increased when it is combined with Triflupromazine.]
[N04AA01, trihexyphenidyl, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[A03AA05, trimebutine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[R06AD01, trimeprazine, The serum concentration of Amoxapine can be increased when it is combined with Alimemazine.]
[N03AC02, trimethadione, Trimethadione may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Trimethaphan is combined with Amoxapine.]
[N06AA06, trimipramine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Trimipramine.]
[R06AC04, tripelennamine, The metabolism of Amoxapine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A03BB01, butylscopolamine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The metabolism of Amoxapine can be decreased when combined with Vilazodone.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Amoxapine is combined with Tropicamide.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C09CA09, azilsartan medoxomil, Amoxapine may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[S01AA05, tyrothricin, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Tyrothricin.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Vandetanib.]
[L02BX03, abiraterone, The metabolism of Amoxapine can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, Amoxapine may decrease the hypoglycemic activities of Linagliptin.]
[J05AG05, rilpivirine, The metabolism of Amoxapine can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, Ezogabine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[R03AC18, indacaterol, The therapeutic efficacy of Indacaterol can be decreased when used in combination with Amoxapine.]
[C08DA01, verapamil, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Verapamil.]
[N06AX09, viloxazine, The metabolism of Amoxapine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Amoxapine can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Amoxapine may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, Vincristine may increase the neurotoxic activities of Amoxapine.]
[B01AA03, warfarin, The risk or severity of bleeding can be increased when Amoxapine is combined with Warfarin.]
[S01AA13, fusidic acid, The metabolism of Amoxapine can be decreased when combined with Fusidic acid.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Amoxapine is combined with Xenon.]
[C03BA10, xipamide, Amoxapine may decrease the antihypertensive activities of Xipamide.]
[N05AF05, zuclopenthixol, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Zuclopenthixol.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Amoxapine.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Crizotinib.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Ibandronate.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Acetylsalicylic acid.]
[G04BD07, tolterodine, The metabolism of Amoxapine can be decreased when combined with Tolterodine.]
[C07AB03, atenolol, The metabolism of Amoxapine can be decreased when combined with Atenolol.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Voriconazole.]
[M03AC04, atracurium, Atracurium may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[S01FA01, atropine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[G04BE10, avanafil, Amoxapine may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, The risk or severity of CNS depression and hypotonia can be increased when Baclofen is combined with Amoxapine.]
[A08AA11, lorcaserin, The metabolism of Amoxapine can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of urinary retention can be increased when Amoxapine is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Amoxapine can be decreased when combined with Cobicistat.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Amoxapine.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Amoxapine.]
[N05CA04, barbital, The metabolism of Amoxapine can be increased when combined with Barbital.]
[J05AE04, nelfinavir, The risk or severity of QTc prolongation can be increased when Nelfinavir is combined with Amoxapine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N04BD02, rasagiline, Rasagiline may increase the serotonergic activities of Amoxapine.]
[C08CA13, lercanidipine, The risk or severity of hypotension can be increased when Amoxapine is combined with Lercanidipine.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N06DA02, donepezil, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N02CC03, zolmitriptan, Zolmitriptan may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[R06AC06, thonzylamine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Amoxapine can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Amoxapine can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Amoxapine.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of hypotension can be increased when Amoxapine is combined with Bencyclane.]
[A10BH04, alogliptin, The metabolism of Amoxapine can be decreased when combined with Alogliptin.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Amoxapine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Amoxapine may decrease the antihypertensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[G03XC05, ospemifene, The metabolism of Amoxapine can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Benorilate.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A10BK02, canagliflozin, Amoxapine may decrease the hypoglycemic activities of Canagliflozin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Amoxapine can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, The risk or severity of Cardiac Arrhythmia can be increased when Tiratricol is combined with Amoxapine.]
[A10AE05, insulin detemir, Amoxapine may decrease the hypoglycemic activities of Insulin detemir.]
[R02AD01, benzocaine, The metabolism of Amoxapine can be decreased when combined with Benzocaine.]
[A10BX05, pramlintide, The risk or severity of reduced gastrointestinal motility can be increased when Pramlintide is combined with Amoxapine.]
[M01AH01, celecoxib, The metabolism of Amoxapine can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[L04AA18, everolimus, The metabolism of Amoxapine can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Benzatropine.]
[L01EC02, dabrafenib, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The metabolism of Amoxapine can be decreased when combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The metabolism of Amoxapine can be decreased when combined with Levomilnacipran.]
[C08EA02, bepridil, The metabolism of Amoxapine can be decreased when combined with Bepridil.]
[C02KX05, riociguat, Amoxapine may decrease the antihypertensive activities of Riociguat.]
[A10BJ03, lixisenatide, Amoxapine may decrease the hypoglycemic activities of Lixisenatide.]
[C02KX04, macitentan, Amoxapine may decrease the antihypertensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Amoxapine can be decreased when combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Amoxapine can be decreased when combined with Vortioxetine.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A10BK01, dapagliflozin, The metabolism of Amoxapine can be decreased when combined with Dapagliflozin.]
[C01CA27, droxidopa, Amoxapine may increase the vasopressor activities of Droxidopa.]
[C07AB04, acebutolol, The metabolism of Amoxapine can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[L04AA32, apremilast, The metabolism of Amoxapine can be increased when combined with Apremilast.]
[N07CA01, betahistine, The therapeutic efficacy of Betahistine can be decreased when used in combination with Amoxapine.]
[A16AA06, betaine, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Betaine.]
[S01ED02, betaxolol, The metabolism of Amoxapine can be decreased when combined with Betaxolol.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Amoxapine.]
[A10BJ04, albiglutide, Amoxapine may decrease the hypoglycemic activities of Albiglutide.]
[L04AC11, siltuximab, The metabolism of Amoxapine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Ceritinib.]
[A03BA03, hyoscyamine, Amoxapine may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Amoxapine is combined with Acenocoumarol.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A10BK03, empagliflozin, Amoxapine may decrease the hypoglycemic activities of Empagliflozin.]
[R03AC19, olodaterol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Amoxapine.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Amoxapine is combined with Glycopyrronium.]
[N05CM19, suvorexant, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Amoxapine can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Amoxapine can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Acepromazine.]
[V04CX03, methacholine, Amoxapine may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Amoxapine.]
[A10BJ05, dulaglutide, Amoxapine may decrease the hypoglycemic activities of Dulaglutide.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Amoxapine is combined with Naloxegol.]
[N04AA02, biperiden, The metabolism of Amoxapine can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Amoxapine can be decreased when combined with Pirfenidone.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Amoxapine.]
[J05AP09, dasabuvir, The metabolism of Amoxapine can be decreased when combined with Dasabuvir.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Amoxapine is combined with Dicoumarol.]
[N06AX11, mirtazapine, Amoxapine may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Amoxapine can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Amoxapine can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Amoxapine can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Amoxapine is combined with Tioclomarol.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Amoxapine can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Amoxapine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Amoxapine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, Flibanserin may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Amoxapine.]
[N05AX15, cariprazine, Cariprazine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A10BF01, acarbose, Amoxapine may decrease the hypoglycemic activities of Acarbose.]
[M02AA25, aceclofenac, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Acemetacin.]
[S01EC01, acetazolamide, Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A10AE06, insulin degludec, Amoxapine may decrease the hypoglycemic activities of Insulin degludec.]
[N05AB07, acetophenazine, The serum concentration of Amoxapine can be increased when it is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Amoxapine can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Amoxapine.]
[J02AC05, isavuconazole, The metabolism of Amoxapine can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, Amoxapine may decrease the antihypertensive activities of Selexipag.]
[A10BB31, acetohexamide, Amoxapine may decrease the hypoglycemic activities of Acetohexamide.]
[G04CA01, alfuzosin, Amoxapine may increase the hypotensive activities of Alfuzosin.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[M01AE16, alminoprofen, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Alminoprofen.]
[N03AX23, brivaracetam, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05BA08, bromazepam, Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N04BC01, bromocriptine, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Bromocriptine.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C08CA01, amlodipine, The risk or severity of hypotension can be increased when Amoxapine is combined with Amlodipine.]
[N05AX17, pimavanserin, Amoxapine may increase the neurotoxic activities of Pimavanserin.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[M02AA09, bufexamac, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Bufexamac.]
[N01BB01, bupivacaine, The metabolism of Amoxapine can be decreased when combined with Bupivacaine.]
[C07AA19, bupranolol, The metabolism of Amoxapine can be decreased when combined with Bupranolol.]
[N07BC01, buprenorphine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Buserelin.]
[N05BE01, buspirone, The metabolism of Amoxapine can be decreased when combined with Buspirone.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Rivastigmine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Artemether.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Amoxapine is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Azatadine.]
[S01GX07, azelastine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Amoxapine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Azithromycin.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Amoxapine.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Balsalazide.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Amoxapine.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Amoxapine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Amoxapine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C09AA07, benazepril, Amoxapine may decrease the antihypertensive activities of Benazepril.]
[A10BX06, benfluorex, Amoxapine may decrease the hypoglycemic activities of Benfluorex.]
[S01HA02, benoxinate, Oxybuprocaine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Amoxapine.]
[J05AE09, tipranavir, The metabolism of Amoxapine can be decreased when combined with Tipranavir.]
[H03BA03, benzylthiouracil, The risk or severity of Cardiac Arrhythmia can be increased when Benzylthiouracil is combined with Amoxapine.]
[N07XX13, valbenazine, The metabolism of Amoxapine can be decreased when combined with Valbenazine.]
[L04AB02, infliximab, The metabolism of Amoxapine can be increased when combined with Infliximab.]
[N04BD03, safinamide, Safinamide may increase the serotonergic activities of Amoxapine.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Delafloxacin.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Amoxapine.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Vorinostat.]
[A02BX12, bismuth subnitrate, Amoxapine may increase the neurotoxic activities of Bismuth subnitrate.]
[C07AB07, bisoprolol, Bisoprolol may increase the orthostatic hypotensive activities of Amoxapine.]
[R03AC17, bitolterol, The therapeutic efficacy of Bitolterol can be decreased when used in combination with Amoxapine.]
[J05AG03, efavirenz, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C07AA17, bopindolol, The metabolism of Amoxapine can be decreased when combined with Bopindolol.]
[N04AA11, bornaprine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[S01BC11, bromfenac, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Bromfenac.]
[N05AD06, bromperidol, Bromperidol may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[N05CD09, brotizolam, Brotizolam may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Amoxapine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of gastrointestinal bleeding can be increased when Amoxapine is combined with Bumadizone.]
[N05CA03, butobarbital, Butobarbital may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[J05AX18, letermovir, The metabolism of Amoxapine can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, Butriptyline may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, Amoxapine may decrease the hypoglycemic activities of Semaglutide.]
[N01BX04, capsaicin, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Capsaicin.]
[A10BK04, ertugliflozin, Amoxapine may decrease the hypoglycemic activities of Ertugliflozin.]
[N05CA08, butylvinal, Vinylbital may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Amoxapine is combined with Acrivastine.]
[C09AA01, captopril, Amoxapine may decrease the antihypertensive activities of Captopril.]
[V04CD06, macimorelin, The therapeutic efficacy of Macimorelin can be decreased when used in combination with Amoxapine.]
[N03AF01, carbamazepine, Carbamazepine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Amoxapine.]
[A03AA03, camylofine, Amoxapine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[H03BB01, carbimazole, The risk or severity of Cardiac Arrhythmia can be increased when Carbimazole is combined with Amoxapine.]
[R06AA08, carbinoxamine, Carbinoxamine may increase the central nervous system depressant (CNS depressant) activities of Amoxapine.]
[C07AG02, carvedilol, Amoxapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Carvedilol.]
[B02BX09, fostamatinib, The risk or severity of hypotension and syncope can be increased when Fostamatinib is combined with Amoxapine.]
