[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Azathioprine.]
[B03XA04, peginesatide, Azathioprine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Azathioprine.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Antilymphocyte immunoglobulin (horse).]
[J01MB04, pipemidic acid, The metabolism of Azathioprine can be decreased when combined with Pipemidic acid.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Azathioprine.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Azathioprine.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Azathioprine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Azathioprine.]
[G04BD12, mirabegron, Azathioprine may decrease the excretion rate of Mirabegron which could result in a higher serum level.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Azathioprine is combined with Carfilzomib.]
[L02BB04, enzalutamide, Azathioprine may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Azathioprine is combined with Bosutinib.]
[L04AA31, teriflunomide, The serum concentration of Azathioprine can be decreased when it is combined with Teriflunomide.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Azathioprine is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Azathioprine is combined with Aldosterone.]
[D02BA02, octinoxate, Azathioprine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Bendamustine.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Azathioprine.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Azathioprine.]
[L04AA29, tofacitinib, Azathioprine may increase the immunosuppressive activities of Tofacitinib.]
[N02CC03, zolmitriptan, The metabolism of Azathioprine can be decreased when combined with Zolmitriptan.]
[V09IX04, fluorodeoxyglucose F18, Azathioprine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[V08CA11, gadofosveset, Azathioprine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The risk or severity of adverse effects can be increased when Azathioprine is combined with Ponatinib.]
[A16AX08, teduglutide, Azathioprine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, Azathioprine may decrease the excretion rate of Alogliptin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Azathioprine may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Azathioprine is combined with Pomalidomide.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Azathioprine is combined with Dimethyl fumarate.]
[J01MA15, gemifloxacin, The metabolism of Azathioprine can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Azathioprine can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Azathioprine can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Azathioprine.]
[L03AA12, ancestim, Azathioprine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Azathioprine is combined with Everolimus.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01EE01, trametinib, Azathioprine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Azathioprine.]
[V09AX05, florbetapir F-18, Azathioprine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, Azathioprine may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[A10BJ03, lixisenatide, Azathioprine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, Azathioprine may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Azathioprine is combined with Ibrutinib.]
[N06AX26, vortioxetine, Azathioprine may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J05AP05, simeprevir, The metabolism of Azathioprine can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, Azathioprine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Azathioprine may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Azathioprine.]
[L04AA32, apremilast, The metabolism of Azathioprine can be increased when combined with Apremilast.]
[L02BG02, formestane, Azathioprine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Azathioprine.]
[S01ED02, betaxolol, The metabolism of Azathioprine can be decreased when combined with Betaxolol.]
[V03AB34, fomepizole, Azathioprine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[L04AC11, siltuximab, The metabolism of Azathioprine can be increased when combined with Siltuximab.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The therapeutic efficacy of Acenocoumarol can be decreased when used in combination with Azathioprine.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Azathioprine is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Azathioprine is combined with Idelalisib.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Azathioprine is combined with Peginterferon beta-1a.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Azathioprine is combined with Pirfenidone.]
[S03AA06, gentamicin, Azathioprine may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Blinatumomab.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Azathioprine is combined with Olaparib.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be decreased when used in combination with Azathioprine.]
[B01AF03, edoxaban, Azathioprine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The metabolism of Azathioprine can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Azathioprine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Azathioprine is combined with Palbociclib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Azathioprine is combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Azathioprine can be decreased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Azathioprine.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be decreased when used in combination with Azathioprine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AB37, idarucizumab, Azathioprine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Azathioprine is combined with Trabectedin.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Mepolizumab.]
[L01EB04, osimertinib, The serum concentration of Azathioprine can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Azathioprine.]
[L01XG03, ixazomib, Azathioprine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[M04AB05, lesinurad, Azathioprine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N02BA02, aloxiprin, The metabolism of Azathioprine can be decreased when combined with Aloxiprin.]
[N03AX23, brivaracetam, Azathioprine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Ixekizumab.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Azathioprine.]
[A02AD05, aluminum magnesium silicate, Azathioprine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A05AA04, obeticholic acid, The metabolism of Azathioprine can be decreased when combined with Obeticholic acid.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The metabolism of Levobupivacaine can be decreased when combined with Azathioprine.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Azathioprine is combined with Busulfan.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Azathioprine is combined with Arsenic trioxide.]
[M02AA03, clofezone, Azathioprine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[S01GX07, azelastine, The metabolism of Azathioprine can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Azathioprine can be increased when combined with Rucaparib.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Brodalumab.]
[A07EC04, balsalazide, The metabolism of Azathioprine can be decreased when combined with Balsalazide.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Azathioprine.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Azathioprine.]
[A06AH05, naldemedine, Azathioprine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Azathioprine may decrease the excretion rate of Deutetrabenazine which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N06BC01, caffeine, The metabolism of Azathioprine can be decreased when combined with Caffeine.]
[C09AA07, benazepril, The risk or severity of myelosuppression, anemia, and severe leukopenia can be increased when Benazepril is combined with Azathioprine.]
[P01CA02, benznidazole, Azathioprine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Azathioprine.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Azathioprine.]
[J05AF06, abacavir, Azathioprine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[N07XX13, valbenazine, Azathioprine may decrease the excretion rate of Valbenazine which could result in a higher serum level.]
[L04AB02, infliximab, The metabolism of Azathioprine can be increased when combined with Infliximab.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Sarilumab.]
[J01MA23, delafloxacin, Azathioprine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Azathioprine can be decreased when combined with Enasidenib.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Azathioprine is combined with Vorinostat.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Azathioprine can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Azathioprine.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Azathioprine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Azathioprine is combined with Budesonide.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[N01BX04, capsaicin, The metabolism of Azathioprine can be increased when combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Azathioprine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, The risk or severity of myelosuppression, anemia, and severe leukopenia can be increased when Captopril is combined with Azathioprine.]
[L02BB05, apalutamide, Azathioprine may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Azathioprine.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Azathioprine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Azathioprine.]
[N03AX24, cannabidiol, The metabolism of Azathioprine can be decreased when combined with Cannabidiol.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Azathioprine is combined with Baricitinib.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Cefpodoxime may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Azathioprine.]
[J01DD14, ceftibuten, Ceftibuten may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01GB14, plazomicin, Azathioprine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[A16AX14, migalastat, Azathioprine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Azathioprine can be increased when combined with Stiripentol.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[D08AE05, chloroxylenol, Azathioprine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Azathioprine.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L04AA39, emapalumab, The metabolism of Azathioprine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Azathioprine.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Ravulizumab.]
[A06AX05, prucalopride, Azathioprine may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[C09AA08, cilazapril, The risk or severity of myelosuppression, anemia, and severe leukopenia can be increased when Cilazapril is combined with Azathioprine.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Azathioprine.]
[P02BX04, triclabendazole, The metabolism of Azathioprine can be decreased when combined with Triclabendazole.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Azathioprine is combined with Siponimod.]
[N06BA14, solriamfetol, Azathioprine may decrease the excretion rate of Solriamfetol which could result in a higher serum level.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Azathioprine is combined with Cloprednol.]
[L04AB01, etanercept, The metabolism of Azathioprine can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Azathioprine is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Azathioprine is combined with Risankizumab.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DB05, cefadroxil, Cefadroxil may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DC03, cefamandole, Cefamandole may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DB07, cefatrizine, Cefatrizine may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DB04, cefazolin, Cefazolin may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DC09, cefmetazole, Cefmetazole may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DC06, cefonicid, Cefonicid may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[J01DD12, cefoperazone, Cefoperazone may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
