[P02BB01, trichlorfon, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Metrifonate.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be decreased when used in combination with Olanzapine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Olanzapine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The serum concentration of Bendroflumethiazide can be increased when it is combined with Olanzapine.]
[L04AX06, pomalidomide, Pomalidomide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[G03XC05, ospemifene, The metabolism of Olanzapine can be decreased when combined with Ospemifene.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Olanzapine.]
[J01MA15, gemifloxacin, The metabolism of Olanzapine can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Olanzapine can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Olanzapine can be decreased when combined with Tegaserod.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Olanzapine.]
[R02AD01, benzocaine, Benzocaine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A10BX05, pramlintide, The risk or severity of reduced gastrointestinal motility can be increased when Pramlintide is combined with Olanzapine.]
[M01AH01, celecoxib, The metabolism of Olanzapine can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L04AA18, everolimus, The metabolism of Olanzapine can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Benzatropine.]
[L01EC02, dabrafenib, Olanzapine can cause a decrease in the absorption of Dabrafenib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[P03AX06, benzyl alcohol, Benzyl alcohol may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[B03AB04, ferric hydroxide, Olanzapine can cause a decrease in the absorption of Ferric hydroxide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Olanzapine is combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of hypotension can be increased when Olanzapine is combined with Bepridil.]
[C02KX05, riociguat, The risk or severity of adverse effects can be increased when Olanzapine is combined with Riociguat.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be decreased when used in combination with Olanzapine.]
[C02KX04, macitentan, Olanzapine may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Olanzapine.]
[N06AX26, vortioxetine, Vortioxetine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N03AF04, eslicarbazepine, Eslicarbazepine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[J05AP05, simeprevir, The metabolism of Olanzapine can be decreased when combined with Simeprevir.]
[V03AE05, sucroferric oxyhydroxide, Olanzapine can cause a decrease in the absorption of Iron sucrose resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Olanzapine.]
[C01CA27, droxidopa, The therapeutic efficacy of Droxidopa can be decreased when used in combination with Olanzapine.]
[C07AB04, acebutolol, Acebutolol may increase the orthostatic hypotensive activities of Olanzapine.]
[N05CH03, tasimelteon, Tasimelteon may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L04AA32, apremilast, The metabolism of Olanzapine can be increased when combined with Apremilast.]
[N07CA01, betahistine, The therapeutic efficacy of Betahistine can be decreased when used in combination with Olanzapine.]
[A16AA06, betaine, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Betaine.]
[S01ED02, betaxolol, Betaxolol may increase the orthostatic hypotensive activities of Olanzapine.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Olanzapine.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be decreased when used in combination with Olanzapine.]
[L04AC11, siltuximab, The metabolism of Olanzapine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Ceritinib.]
[A03BA03, hyoscyamine, Olanzapine may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Olanzapine.]
[L01XH04, belinostat, The metabolism of Olanzapine can be increased when combined with Belinostat.]
[L01EM01, idelalisib, The metabolism of Olanzapine can be decreased when combined with Idelalisib.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be decreased when used in combination with Olanzapine.]
[R03AC19, olodaterol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Olanzapine.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Olanzapine is combined with Glycopyrronium.]
[N05CM19, suvorexant, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Olanzapine can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Olanzapine can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Acepromazine.]
[V04CX03, methacholine, Olanzapine may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Olanzapine.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be decreased when used in combination with Olanzapine.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Olanzapine is combined with Naloxegol.]
[N04AA02, biperiden, The therapeutic efficacy of Biperiden can be decreased when used in combination with Olanzapine.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Olanzapine.]
[V03AE08, ferric citrate, Olanzapine can cause a decrease in the absorption of Tetraferric tricitrate decahydrate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Olanzapine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Olanzapine.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Olanzapine.]
[N06AX11, mirtazapine, Olanzapine may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Olanzapine can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Olanzapine can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Olanzapine can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Olanzapine is combined with Tioclomarol.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Olanzapine can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Olanzapine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Olanzapine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, Flibanserin may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Olanzapine.]
[N05AX15, cariprazine, Cariprazine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be decreased when used in combination with Olanzapine.]
[S01EC01, acetazolamide, Acetazolamide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Olanzapine.]
[N05AB07, acetophenazine, Acetophenazine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Olanzapine.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Olanzapine.]
[J02AC05, isavuconazole, The metabolism of Olanzapine can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Olanzapine can be decreased when it is combined with Osimertinib.]
[B01AC27, selexipag, Olanzapine may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Olanzapine.]
[G04CA01, alfuzosin, Olanzapine may increase the hypotensive activities of Alfuzosin.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Olanzapine.]
[N05CA05, aprobarbital, Aprobarbital may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N03AX23, brivaracetam, Brivaracetam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N05BA08, bromazepam, Bromazepam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N04BC01, bromocriptine, Olanzapine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Bromocriptine.]
[A03AX08, alverine, Alverine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[R06AB01, brompheniramine, Dexbrompheniramine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N06AA19, amineptin, Amineptine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C08CA01, amlodipine, The risk or severity of hypotension can be increased when Olanzapine is combined with Amlodipine.]
[N06BX11, aniracetam, Aniracetam may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[A05AA04, obeticholic acid, The metabolism of Olanzapine can be decreased when combined with Obeticholic acid.]
[C03CA02, bumetanide, The risk or severity of adverse effects can be increased when Olanzapine is combined with Bumetanide.]
[N01BB01, bupivacaine, Bupivacaine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C07AA19, bupranolol, Bupranolol may increase the orthostatic hypotensive activities of Olanzapine.]
[N07BC01, buprenorphine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Buserelin.]
[N05BE01, buspirone, Buspirone may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Rivastigmine.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Artemether.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Olanzapine.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Olanzapine is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Azatadine.]
[S01GX07, azelastine, Olanzapine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Olanzapine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Azithromycin.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Olanzapine.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Ribociclib.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Olanzapine.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Olanzapine.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Olanzapine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Olanzapine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, Beclamide may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[N06BC01, caffeine, The metabolism of Olanzapine can be decreased when combined with Caffeine.]
[C09AA07, benazepril, The risk or severity of adverse effects can be increased when Olanzapine is combined with Benazepril.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be decreased when used in combination with Olanzapine.]
[S01HA02, benoxinate, Oxybuprocaine may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Olanzapine.]
[J05AE09, tipranavir, The metabolism of Olanzapine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Olanzapine.]
[L04AB02, infliximab, The metabolism of Olanzapine can be increased when combined with Infliximab.]
[N04BD03, safinamide, The therapeutic efficacy of Safinamide can be decreased when used in combination with Olanzapine.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Delafloxacin.]
[D01AC10, bifonazole, Olanzapine can cause a decrease in the absorption of Bifonazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Olanzapine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Olanzapine.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Olanzapine is combined with Vorinostat.]
[C07AB07, bisoprolol, Bisoprolol may increase the orthostatic hypotensive activities of Olanzapine.]
[R03AC17, bitolterol, The therapeutic efficacy of Bitolterol can be decreased when used in combination with Olanzapine.]
[J05AG03, efavirenz, Efavirenz may increase the central nervous system depressant (CNS depressant) activities of Olanzapine.]
[C07AA17, bopindolol, Bopindolol may increase the orthostatic hypotensive activities of Olanzapine.]
[N04AA11, bornaprine, The therapeutic efficacy of Bornaprine can be decreased when used in combination with Olanzapine.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Olanzapine is combined with Nesiritide.]
