[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Propofol.]
[C02BA01, trimethaphan, Propofol may decrease the antihypertensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Propofol can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The risk or severity of adverse effects can be increased when Trimipramine is combined with Propofol.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Propofol.]
[A03BB01, butylscopolamine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[N06AX24, vilazodone, The risk or severity of adverse effects can be increased when Propofol is combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Propofol.]
[C09CA09, azilsartan medoxomil, Propofol may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Propofol is combined with Tubocurarine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Propofol.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Propofol.]
[L02BX03, abiraterone, The metabolism of Propofol can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Linagliptin can be decreased when combined with Propofol.]
[J05AG05, rilpivirine, The metabolism of Propofol can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Propofol is combined with Ezogabine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Indacaterol.]
[B01AC24, ticagrelor, The metabolism of Propofol can be decreased when combined with Ticagrelor.]
[C08DA01, verapamil, The metabolism of Propofol can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The risk or severity of adverse effects can be increased when Propofol is combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Propofol.]
[C04AX07, vincamine, Propofol may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Propofol.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Propofol.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Propofol.]
[S01AA13, fusidic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Fusidic acid.]
[N01AX15, xenon, The therapeutic efficacy of Xenon can be increased when used in combination with Propofol.]
[C03BA10, xipamide, Propofol may decrease the antihypertensive activities of Xipamide.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Propofol is combined with Pipemidic acid.]
[J05AF01, zidovudine, The metabolism of Propofol can be increased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Zuclopenthixol.]
[J05AE02, indinavir, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Indinavir is combined with Propofol.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Propofol is combined with Levetiracetam.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Propofol.]
[M05BA03, pamidronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pamidronic acid is combined with Propofol.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Propofol.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Propofol.]
[R03DC01, zafirlukast, The metabolism of Propofol can be decreased when combined with Zafirlukast.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Propofol.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Propofol is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Propofol.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Propofol is combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Propofol.]
[G04BD07, tolterodine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, Propofol may decrease the antihypertensive activities of Atenolol.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Propofol.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Propofol is combined with Atracurium.]
[S01FA01, atropine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Propofol.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Propofol.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Propofol.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Propofol.]
[A08AA11, lorcaserin, The risk or severity of adverse effects can be increased when Propofol is combined with Lorcaserin.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Propofol is combined with Mirabegron.]
[J05AJ02, elvitegravir, The metabolism of Elvitegravir can be decreased when combined with Propofol.]
[L02BB04, enzalutamide, The serum concentration of Propofol can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Propofol.]
[L04AA31, teriflunomide, The metabolism of Propofol can be decreased when combined with Teriflunomide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Propofol is combined with Octopamine.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Propofol.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Propofol.]
[J05AE04, nelfinavir, The metabolism of Propofol can be increased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Propofol.]
[N04BD02, rasagiline, Rasagiline may increase the orthostatic hypotensive activities of Propofol.]
[C08CA13, lercanidipine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lercanidipine is combined with Propofol.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Propofol is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Propofol is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Propofol.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Propofol.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Propofol.]
[R06AC06, thonzylamine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, Propofol may increase the central nervous system depressant (CNS depressant) activities of Darifenacin.]
[N01AB02, chloroform, The therapeutic efficacy of Chloroform can be increased when used in combination with Propofol.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Propofol is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Propofol can be decreased when combined with Cabozantinib.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Propofol is combined with Pasireotide.]
[G04BE03, sildenafil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Sildenafil is combined with Propofol.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Propofol.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Propofol.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Propofol.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Propofol is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Propofol is combined with Bencyclane.]
[C03AA01, bendroflumethiazide, Propofol may decrease the antihypertensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Propofol.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Propofol.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Propofol is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Propofol is combined with Benperidol.]
[A10BK02, canagliflozin, The risk or severity of adverse effects can be increased when Propofol is combined with Canagliflozin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Gemifloxacin.]
[M04AB03, benzbromarone, The metabolism of Propofol can be decreased when combined with Benzbromarone.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Propofol can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Propofol is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Propofol can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Propofol is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Propofol.]
[N04AC01, benztropine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Propofol can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Propofol is combined with Benzydamine.]
[L01EE01, trametinib, The metabolism of Propofol can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Propofol is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Propofol is combined with Levomilnacipran.]
[J05AJ03, dolutegravir, The metabolism of Dolutegravir can be decreased when combined with Propofol.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Propofol is combined with Bepridil.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Propofol.]
[G03XC02, bazedoxifene, The metabolism of Bazedoxifene can be decreased when combined with Propofol.]
[C02KX04, macitentan, Propofol may decrease the antihypertensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Propofol.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Propofol is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Propofol is combined with Eslicarbazepine.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Propofol is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The risk or severity of adverse effects can be increased when Propofol is combined with Dapagliflozin.]
[C01CA27, droxidopa, The risk or severity of hypertension can be increased when Propofol is combined with Droxidopa.]
[C07AB04, acebutolol, Propofol may decrease the antihypertensive activities of Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Propofol is combined with Tasimelteon.]
[L04AA32, apremilast, The metabolism of Propofol can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Betamethasone is combined with Propofol.]
[S01ED02, betaxolol, Propofol may decrease the antihypertensive activities of Betaxolol.]
[C02CC01, bethanidine, Propofol may decrease the antihypertensive activities of Bethanidine.]
[C10AB02, bezafibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Propofol can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Propofol.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Propofol.]
[A03BA03, hyoscyamine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Propofol.]
[L01XH04, belinostat, The metabolism of Belinostat can be decreased when combined with Propofol.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Propofol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Propofol is combined with Alfaxalone.]
[A10BK03, empagliflozin, The risk or severity of adverse effects can be increased when Propofol is combined with Empagliflozin.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Olodaterol.]
[D11AA01, glycopyrronium, Propofol may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Propofol may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Propofol.]
[J01XA05, oritavancin, The metabolism of Propofol can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Propofol is combined with Acepromazine.]
[N04AA02, biperiden, Propofol may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Propofol.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Propofol.]
[J05AP09, dasabuvir, The metabolism of Propofol can be decreased when combined with Dasabuvir.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Propofol.]
[B01AA01, dicumarol, The metabolism of Propofol can be decreased when combined with Dicoumarol.]
[N06AX11, mirtazapine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Propofol can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Propofol.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Propofol is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Propofol.]
[N02BE01, acetaminophen, Propofol may increase the hepatotoxic activities of Acetaminophen.]
[A03AA09, difemerine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Propofol.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Propofol is combined with Brexpiprazole.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Propofol.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Propofol is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Propofol is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Propofol is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Propofol is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Propofol is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Propofol is combined with Acetophenazine.]
[C10AD06, acipimox, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Acipimox.]
[A02BC03, lansoprazole, The metabolism of Propofol can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Propofol.]
[J02AC05, isavuconazole, The metabolism of Propofol can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Propofol.]
[J05AF13, tenofovir alafenamide, The metabolism of Tenofovir alafenamide can be decreased when combined with Propofol.]
[L01EE02, cobimetinib, The metabolism of Cobimetinib can be decreased when combined with Propofol.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Propofol.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Propofol.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Propofol.]
[A10BB31, acetohexamide, The metabolism of Propofol can be decreased when combined with Acetohexamide.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Propofol.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Propofol.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Propofol is combined with Aprobarbital.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Propofol is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Propofol is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Propofol.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Propofol is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Propofol is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Propofol is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Propofol.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Propofol is combined with Amineptine.]
[C08CA01, amlodipine, Propofol may decrease the antihypertensive activities of Amlodipine.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Propofol.]
[N01AH05, anileridine, The therapeutic efficacy of Anileridine can be increased when used in combination with Propofol.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Propofol is combined with Aniracetam.]
[C03CA02, bumetanide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Bumetanide.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Propofol.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Propofol is combined with Bupranolol.]
[N07BC01, buprenorphine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Buserelin.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Propofol.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Propofol.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Propofol is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Propofol is combined with Artemether.]
[N02AF01, butorphanol, Butorphanol may increase the sedative activities of Propofol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Propofol.]
[S01GX07, azelastine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Propofol can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Azithromycin.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be decreased when combined with Propofol.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Propofol is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Propofol is combined with Bambuterol.]
[N07XX16, deutetrabenazine, The risk or severity of sedation and somnolence can be increased when Propofol is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Propofol can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Propofol is combined with Beclamide.]
[C09AA07, benazepril, Propofol may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Propofol is combined with Oxybuprocaine.]
[J01XX08, linezolid, Linezolid may increase the orthostatic hypotensive activities of Propofol.]
[J05AF06, abacavir, The metabolism of Abacavir can be decreased when combined with Propofol.]
[J05AE09, tipranavir, The metabolism of Propofol can be increased when combined with Tipranavir.]
[L04AB02, infliximab, The metabolism of Propofol can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Midostaurin can be decreased when combined with Propofol.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Propofol.]
[N04BD03, safinamide, Safinamide may increase the orthostatic hypotensive activities of Propofol.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Delafloxacin.]
[L01BC06, capecitabine, The metabolism of Propofol can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Propofol.]
[L01EH02, neratinib, The metabolism of Neratinib can be decreased when combined with Propofol.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Propofol is combined with Vorinostat.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Propofol.]
[L01EF03, abemaciclib, The metabolism of Abemaciclib can be decreased when combined with Propofol.]
[C07AB07, bisoprolol, Propofol may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Propofol is combined with Bitolterol.]
[J05AG03, efavirenz, The metabolism of Propofol can be increased when combined with Efavirenz.]
[N04AA11, bornaprine, Propofol may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Propofol is combined with Nesiritide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Propofol is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Propofol is combined with Brotizolam.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Propofol is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Propofol is combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Acalabrutinib can be decreased when combined with Propofol.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Propofol is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Propofol.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Propofol is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Propofol is combined with Acetyldigoxin.]
[A10BK04, ertugliflozin, The metabolism of Propofol can be decreased when combined with Ertugliflozin.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Propofol is combined with Vinylbital.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Propofol is combined with Acrivastine.]
[C09AA01, captopril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Propofol is combined with Captopril.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Propofol is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Apalutamide can be decreased when combined with Propofol.]
