[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Methimazole.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be decreased when used in combination with Methimazole.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be decreased when used in combination with Methimazole.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Methimazole.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Methimazole.]
[N06AX05, trazodone, The serum concentration of Trazodone can be increased when it is combined with Methimazole.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Methimazole.]
[S01BA05, triamcinolone, The metabolism of Triamcinolone can be decreased when combined with Methimazole.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The metabolism of Triazolam can be decreased when combined with Methimazole.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Methimazole may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Methimazole.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Methimazole.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Methimazole is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Methimazole is combined with Mometasone.]
[A03AA05, trimebutine, The metabolism of Trimebutine can be decreased when combined with Methimazole.]
[S01ED04, metipranolol, The excretion of Metipranolol can be decreased when combined with Methimazole.]
[N03AC02, trimethadione, The metabolism of Trimethadione can be decreased when combined with Methimazole.]
[J01EA01, trimethoprim, The metabolism of Trimethoprim can be decreased when combined with Methimazole.]
[N06AA06, trimipramine, The risk or severity of Cardiac Arrhythmia can be increased when Methimazole is combined with Trimipramine.]
[J01FA08, troleandomycin, The metabolism of Troleandomycin can be decreased when combined with Methimazole.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Methimazole.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Methimazole.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Belimumab.]
[L01FX04, ipilimumab, Methimazole may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be decreased when combined with Methimazole.]
[R02AA14, oxyquinoline, Methimazole may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Abiraterone can be decreased when combined with Methimazole.]
[A10BH05, linagliptin, The metabolism of Linagliptin can be decreased when combined with Methimazole.]
[J05AP03, boceprevir, The metabolism of Boceprevir can be decreased when combined with Methimazole.]
[J05AP02, telaprevir, The metabolism of Telaprevir can be decreased when combined with Methimazole.]
[J05AG05, rilpivirine, The metabolism of Rilpivirine can be decreased when combined with Methimazole.]
[B01AD04, urokinase, Methimazole may increase the anticoagulant activities of Urokinase.]
[S01AA28, vancomycin, Methimazole may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Methimazole is combined with Belatacept.]
[N03AX21, ezogabine, Methimazole may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Methimazole.]
[R03AC18, indacaterol, The metabolism of Indacaterol can be decreased when combined with Methimazole.]
[B01AC24, ticagrelor, The metabolism of Ticagrelor can be decreased when combined with Methimazole.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Methimazole.]
[N06AX09, viloxazine, Methimazole may decrease the excretion rate of Viloxazine which could result in a higher serum level.]
[L01CA01, vinblastine, The metabolism of Vinblastine can be decreased when combined with Methimazole.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Methimazole.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Methimazole.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Methimazole.]
[A11HA03, vitamin E, The metabolism of Vitamin E can be decreased when combined with Methimazole.]
[B01AA03, warfarin, Methimazole may decrease the anticoagulant activities of Warfarin.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Methimazole.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Methimazole.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Methimazole.]
[J05AE02, indinavir, The metabolism of Indinavir can be decreased when combined with Methimazole.]
[L01EC01, vemurafenib, The metabolism of Vemurafenib can be decreased when combined with Methimazole.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The metabolism of Brentuximab vedotin can be decreased when combined with Methimazole.]
[M05BA05, tiludronic acid, Methimazole may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Methimazole may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Methimazole.]
[B01AE01, desirudin, Methimazole may increase the anticoagulant activities of Lepirudin.]
[R03DC01, zafirlukast, The metabolism of Zafirlukast can be decreased when combined with Methimazole.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Methimazole.]
[N05AE04, ziprasidone, The metabolism of Ziprasidone can be decreased when combined with Methimazole.]
[G03AC10, drospirenone, The metabolism of Drospirenone can be decreased when combined with Methimazole.]
[V03AC02, deferiprone, Methimazole may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Methimazole.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Methimazole.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Methimazole.]
[G04BD07, tolterodine, The serum concentration of Tolterodine can be increased when it is combined with Methimazole.]
[J01DH04, doripenem, Methimazole may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The excretion of Atenolol can be decreased when combined with Methimazole.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Methimazole.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Methimazole.]
[J02AC03, voriconazole, The metabolism of Voriconazole can be decreased when combined with Methimazole.]
[M01CB03, auranofin, Methimazole may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Methimazole.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Methimazole.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Methimazole.]
[H02AB11, prednylidene, The metabolism of Prednylidene can be decreased when combined with Methimazole.]
[B03XA04, peginesatide, Methimazole may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Methimazole is combined with Azacitidine.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Methimazole is combined with Azathioprine.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Methimazole.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Methimazole.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Methimazole.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Methimazole.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Methimazole.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Methimazole.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Methimazole is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Cobicistat can be decreased when combined with Methimazole.]
[J05AJ02, elvitegravir, The metabolism of Elvitegravir can be decreased when combined with Methimazole.]
[L02BB04, enzalutamide, The serum concentration of Enzalutamide can be increased when it is combined with Methimazole.]
[L01EA04, bosutinib, The metabolism of Bosutinib can be decreased when combined with Methimazole.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Methimazole is combined with Teriflunomide.]
[B01AX01, defibrotide, Methimazole may increase the anticoagulant activities of Defibrotide.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Methimazole is combined with Abetimus.]
[H02AA01, aldosterone, The metabolism of Aldosterone can be decreased when combined with Methimazole.]
[L01EX05, regorafenib, The metabolism of Regorafenib can be decreased when combined with Methimazole.]
[N05CA04, barbital, The metabolism of Barbital can be decreased when combined with Methimazole.]
[C01AA01, acetyldigitoxin, The serum concentration of Acetyldigitoxin can be increased when it is combined with Methimazole.]
[D02BA02, octinoxate, Methimazole may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Nelfinavir can be decreased when combined with Methimazole.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Methimazole is combined with Bendamustine.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Methimazole.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be decreased when combined with Methimazole.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Methimazole.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Methimazole.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Methimazole.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Methimazole.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Methimazole.]
[V09IX04, fluorodeoxyglucose F18, Methimazole may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Methimazole.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Methimazole.]
[V08CA11, gadofosveset, Methimazole may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Methimazole.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Methimazole.]
[A16AX08, teduglutide, Methimazole may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Methimazole.]
[J04AK05, bedaquiline, The metabolism of Bedaquiline can be decreased when combined with Methimazole.]
[C04AX11, bencyclane, The metabolism of Bencyclane can be decreased when combined with Methimazole.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Methimazole.]
[A16AX09, glycerol phenylbutyrate, Methimazole may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Methimazole.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Methimazole.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[A10BK02, canagliflozin, The metabolism of Canagliflozin can be decreased when combined with Methimazole.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Methimazole is combined with Dimethyl fumarate.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Methimazole.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Methimazole.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Methimazole.]
[L03AA12, ancestim, Methimazole may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Methimazole.]
[L04AA18, everolimus, The metabolism of Everolimus can be decreased when combined with Methimazole.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Methimazole.]
[L01EC02, dabrafenib, The serum concentration of Dabrafenib can be increased when it is combined with Methimazole.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[L01EE01, trametinib, Methimazole may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Methimazole.]
[V09AX05, florbetapir F-18, Methimazole may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[L01EB03, afatinib, The therapeutic efficacy of Methimazole can be decreased when used in combination with Afatinib.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Methimazole.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Methimazole.]
[C02KX05, riociguat, The serum concentration of Riociguat can be increased when it is combined with Methimazole.]
[L03AA14, lipegfilgrastim, Methimazole may increase the myelosuppressive activities of Lipegfilgrastim.]
[A10BJ03, lixisenatide, Methimazole may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[C02KX04, macitentan, The metabolism of Macitentan can be decreased when combined with Methimazole.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Methimazole.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Methimazole.]
[G03AC08, etonogestrel, The metabolism of Etonogestrel can be decreased when combined with Methimazole.]
[J05AP05, simeprevir, The metabolism of Simeprevir can be decreased when combined with Methimazole.]
[J05AP08, sofosbuvir, Methimazole may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Methimazole.]
[C01CA27, droxidopa, Methimazole may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The excretion of Acebutolol can be decreased when combined with Methimazole.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Methimazole.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Methimazole.]
[L02BG02, formestane, Methimazole may decrease the excretion rate of Formestane which could result in a higher serum level.]
[S03BA03, betamethasone, The metabolism of Betamethasone can be decreased when combined with Methimazole.]
[S01ED02, betaxolol, The excretion of Betaxolol can be decreased when combined with Methimazole.]
[B01AE03, argatroban, Methimazole may increase the anticoagulant activities of Argatroban.]
[V03AB34, fomepizole, Methimazole may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C10AB02, bezafibrate, The metabolism of Bezafibrate can be decreased when combined with Methimazole.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Methimazole is combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Ceritinib can be decreased when combined with Methimazole.]
[B01AC26, vorapaxar, The metabolism of Vorapaxar can be decreased when combined with Methimazole.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Vedolizumab.]
[B01AA07, acenocoumarol, Methimazole may decrease the anticoagulant activities of Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Methimazole is combined with Belinostat.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Methimazole.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Methimazole.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Methimazole is combined with Peginterferon beta-1a.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N05CM19, suvorexant, The metabolism of Suvorexant can be decreased when combined with Methimazole.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Methimazole.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[A06AH03, naloxegol, The metabolism of Naloxegol can be decreased when combined with Methimazole.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Methimazole is combined with Decitabine.]
[A11HA08, tocophersolan, The metabolism of Tocofersolan can be decreased when combined with Methimazole.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Methimazole is combined with Pirfenidone.]
[L01EX09, nintedanib, The metabolism of Nintedanib can be decreased when combined with Methimazole.]
[S03AA06, gentamicin, Methimazole may decrease the excretion rate of Gentamicin which could result in a higher serum level.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Methimazole is combined with Blinatumomab.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Methimazole.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Methimazole.]
[B01AA01, dicumarol, Methimazole may decrease the anticoagulant activities of Dicoumarol.]
[B01AF03, edoxaban, Methimazole may increase the anticoagulant activities of Edoxaban.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Methimazole.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be decreased when combined with Methimazole.]
[L01EX08, lenvatinib, The therapeutic efficacy of Methimazole can be decreased when used in combination with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Panobinostat can be decreased when combined with Methimazole.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Methimazole.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Methimazole.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Methimazole.]
[B01AA11, tioclomarol, Methimazole may decrease the anticoagulant activities of Tioclomarol.]
[C01EB17, ivabradine, The metabolism of Ivabradine can be decreased when combined with Methimazole.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Methimazole.]
[B01AC25, cangrelor, Methimazole may increase the anticoagulant activities of Cangrelor.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Methimazole.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be decreased when combined with Methimazole.]
[A04AD14, rolapitant, The metabolism of Rolapitant can be decreased when combined with Methimazole.]
[G02CX02, flibanserin, The metabolism of Flibanserin can be decreased when combined with Methimazole.]
[N05AX15, cariprazine, The metabolism of Cariprazine can be decreased when combined with Methimazole.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Methimazole.]
[A02BC03, lansoprazole, The metabolism of Lansoprazole can be decreased when combined with Methimazole.]
[V03AB37, idarucizumab, Methimazole may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Methimazole.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Isavuconazole can be decreased when combined with Methimazole.]
[L01EB04, osimertinib, The metabolism of Osimertinib can be decreased when combined with Methimazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Methimazole.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be increased when it is combined with Methimazole.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be decreased when combined with Methimazole.]
[L01ED03, alectinib, The metabolism of Alectinib can be decreased when combined with Methimazole.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Methimazole.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Methimazole.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Methimazole.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Methimazole.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Methimazole.]
[J05AP11, grazoprevir, The metabolism of Grazoprevir can be decreased when combined with Methimazole.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Methimazole.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Ixekizumab.]
[L01XX52, venetoclax, The metabolism of Venetoclax can be decreased when combined with Methimazole.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Methimazole.]
[N04BC01, bromocriptine, The serum concentration of Bromocriptine can be increased when it is combined with Methimazole.]
[A02AD05, aluminum magnesium silicate, Methimazole may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[R06AB01, brompheniramine, The metabolism of Brompheniramine can be decreased when combined with Methimazole.]
[N06AA19, amineptin, The risk or severity of Cardiac Arrhythmia can be increased when Methimazole is combined with Amineptine.]
[C08CA01, amlodipine, The metabolism of Amlodipine can be decreased when combined with Methimazole.]
[N05AX17, pimavanserin, The metabolism of Pimavanserin can be decreased when combined with Methimazole.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Methimazole which could result in a lower serum level and potentially a reduction in efficacy.]
[S01ED03, levobunolol, The excretion of Levobunolol can be decreased when combined with Methimazole.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Methimazole.]
[C07AA19, bupranolol, The excretion of Bupranolol can be decreased when combined with Methimazole.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Methimazole.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Methimazole.]
[L01AB01, busulfan, The metabolism of Busulfan can be decreased when combined with Methimazole.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Methimazole is combined with Arsenic trioxide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Methimazole.]
[M02AA03, clofezone, The metabolism of Rabeprazole can be decreased when combined with Methimazole.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Methimazole.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Methimazole.]
[S01AA26, azithromycin, The metabolism of Azithromycin can be decreased when combined with Methimazole.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Brodalumab.]
[L01EF02, ribociclib, The metabolism of Ribociclib can be decreased when combined with Methimazole.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Methimazole which could result in a higher serum level.]
[R03DA08, bamifylline, Methimazole may decrease the excretion rate of Bamifylline which could result in a higher serum level.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Methimazole is combined with Ocrelizumab.]
