[M03AB01, succinylcholine, The metabolism of Succinylcholine can be decreased when combined with Pyridostigmine.]
[A03AA09, difemerine, The therapeutic efficacy of Difemerine can be decreased when used in combination with Pyridostigmine.]
[N05CA05, aprobarbital, The therapeutic efficacy of Aprobarbital can be decreased when used in combination with Pyridostigmine.]
[R06AB01, brompheniramine, The therapeutic efficacy of Brompheniramine can be decreased when used in combination with Pyridostigmine.]
[C07AA19, bupranolol, Pyridostigmine may increase the bradycardic activities of Bupranolol.]
[R03CC12, bambuterol, Pyridostigmine may increase the neuromuscular blocking activities of Bambuterol.]
[S01HA02, benoxinate, Pyridostigmine may increase the neuromuscular blocking activities of Oxybuprocaine.]
[R05DB01, benzonatate, Pyridostigmine may increase the neuromuscular blocking activities of Benzonatate.]
[N07AB02, bethanechol, The risk or severity of adverse effects can be increased when Pyridostigmine is combined with Bethanechol.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Pyridostigmine is combined with Acetylcholine.]
[C07AB07, bisoprolol, Pyridostigmine may increase the bradycardic activities of Bisoprolol.]
[C07AA17, bopindolol, Pyridostigmine may increase the bradycardic activities of Bopindolol.]
[N04AA11, bornaprine, The therapeutic efficacy of Bornaprine can be decreased when used in combination with Pyridostigmine.]
[R03BA02, budesonide, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Budesonide.]
[N05CA03, butobarbital, The therapeutic efficacy of Butobarbital can be decreased when used in combination with Pyridostigmine.]
[S01EB02, carbachol, The risk or severity of adverse effects can be increased when Pyridostigmine is combined with Carbamoylcholine.]
[A03AA03, camylofine, The therapeutic efficacy of Camylofin can be decreased when used in combination with Pyridostigmine.]
[C07AG02, carvedilol, Pyridostigmine may increase the bradycardic activities of Carvedilol.]
[C07AB08, celiprolol, Pyridostigmine may increase the bradycardic activities of Celiprolol.]
[N01BA04, chloroprocaine, Pyridostigmine may increase the neuromuscular blocking activities of Chloroprocaine.]
[R06AA06, chlorphenoxamine, The therapeutic efficacy of Chlorphenoxamine can be decreased when used in combination with Pyridostigmine.]
[R03BB08, revefenacin, The therapeutic efficacy of Revefenacin can be decreased when used in combination with Pyridostigmine.]
[N07XX05, amifampridine, The risk or severity of adverse effects can be increased when Pyridostigmine is combined with Amifampridine.]
[H02AB14, cloprednol, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Cloprednol.]
[H02AB17, cortivazol, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Cortivazol.]
[H02AB13, deflazacort, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Deflazacort.]
[C08CA16, clevidipine, Pyridostigmine may increase the neuromuscular blocking activities of Clevidipine.]
[A03AA08, dihexyverine, The therapeutic efficacy of Dihexyverine can be decreased when used in combination with Pyridostigmine.]
[D07XB03, fluprednidene, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Fluprednidene.]
[G04BD09, trospium, The therapeutic efficacy of Trospium can be decreased when used in combination with Pyridostigmine.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Chlorpromazine can be decreased when used in combination with Pyridostigmine.]
[N05AF03, chlorprothixene, The therapeutic efficacy of Chlorprothixene can be decreased when used in combination with Pyridostigmine.]
[R03BA03, flunisolide, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Flunisolide.]
[S02BA08, fluocinolone acetonide, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Fluocinolone acetonide.]
[N05AH02, clozapine, The therapeutic efficacy of Clozapine can be decreased when used in combination with Pyridostigmine.]
[S02DA02, cocaine, Pyridostigmine may increase the neuromuscular blocking activities of Cocaine.]
[M03AC05, hexafluorenium, The therapeutic efficacy of Hexafluronium can be decreased when used in combination with Pyridostigmine.]
[A03AB10, hexocyclium, The therapeutic efficacy of Hexocyclium can be decreased when used in combination with Pyridostigmine.]
[A03BB06, homatropine methylbromide, The therapeutic efficacy of Homatropine methylbromide can be decreased when used in combination with Pyridostigmine.]
[R03BA08, ciclesonide, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Ciclesonide.]
[R06AX27, desloratadine, The therapeutic efficacy of Desloratadine can be decreased when used in combination with Pyridostigmine.]
[N03AX09, lamotrigine, The therapeutic efficacy of Lamotrigine can be decreased when used in combination with Pyridostigmine.]
[S01BA03, cortisone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Cortisone.]
[A03AA04, mebeverine, The therapeutic efficacy of Mebeverine can be decreased when used in combination with Pyridostigmine.]
[C07AA14, mepindolol, Pyridostigmine may increase the bradycardic activities of Mepindolol.]
[H02AB15, meprednisone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Meprednisone.]
[N04AA03, methixene, The therapeutic efficacy of Metixene can be decreased when used in combination with Pyridostigmine.]
[R06AX02, cyproheptadine, The therapeutic efficacy of Cyproheptadine can be decreased when used in combination with Pyridostigmine.]
[C07AB12, nebivolol, Pyridostigmine may increase the bradycardic activities of Nebivolol.]
[M03AC11, cisatracurium, The therapeutic efficacy of Cisatracurium can be decreased when used in combination with Pyridostigmine.]
[N06AB10, escitalopram, The therapeutic efficacy of Escitalopram can be decreased when used in combination with Pyridostigmine.]
[G04BD08, solifenacin, The therapeutic efficacy of Solifenacin can be decreased when used in combination with Pyridostigmine.]
[N06AA01, desipramine, The therapeutic efficacy of Desipramine can be decreased when used in combination with Pyridostigmine.]
[D07XC02, desoximetasone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Desoximetasone.]
[H02AA03, desoxycorticosterone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Desoxycortone.]
[S03BA01, dexamethasone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Dexamethasone.]
[N04AA08, dexetimide, The therapeutic efficacy of Dexetimide can be decreased when used in combination with Pyridostigmine.]
[G04BD04, oxybutynin, The therapeutic efficacy of Oxybutynin can be decreased when used in combination with Pyridostigmine.]
[A03AA01, oxyphencyclimine, The therapeutic efficacy of Oxyphencyclimine can be decreased when used in combination with Pyridostigmine.]
[R05DA09, dextromethorphan, The therapeutic efficacy of Dextromethorphan can be decreased when used in combination with Pyridostigmine.]
[N06AB05, paroxetine, The therapeutic efficacy of Paroxetine can be decreased when used in combination with Pyridostigmine.]
[A03AA07, dicyclomine, The therapeutic efficacy of Dicyclomine can be decreased when used in combination with Pyridostigmine.]
[A03AB14, pipenzolate, The therapeutic efficacy of Pipenzolate can be decreased when used in combination with Pyridostigmine.]
[D07XC04, diflucortolone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Difluocortolone.]
[A03AB11, poldine, The therapeutic efficacy of Poldine can be decreased when used in combination with Pyridostigmine.]
[R06AB03, dimethindene, The therapeutic efficacy of Dimetindene can be decreased when used in combination with Pyridostigmine.]
[R06AA02, diphenhydramine, The therapeutic efficacy of Diphenhydramine can be decreased when used in combination with Pyridostigmine.]
[B01AC07, dipyridamole, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Dipyridamole.]
[C01BA03, disopyramide, The therapeutic efficacy of Disopyramide can be decreased when used in combination with Pyridostigmine.]
[N06AA16, dothiepin, The therapeutic efficacy of Dosulepin can be decreased when used in combination with Pyridostigmine.]
[N06AA12, doxepin, The therapeutic efficacy of Doxepin can be decreased when used in combination with Pyridostigmine.]
[R06AA09, doxylamine, The therapeutic efficacy of Doxylamine can be decreased when used in combination with Pyridostigmine.]
[C07AB13, talinolol, Pyridostigmine may increase the bradycardic activities of Talinolol.]
[H01AA01, corticotropin, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Corticotropin.]
[C07AA16, tertatolol, Pyridostigmine may increase the bradycardic activities of Tertatolol.]
[G04BD01, emepronium, The therapeutic efficacy of Emepronium can be decreased when used in combination with Pyridostigmine.]
[A03AB08, tridihexethyl, The therapeutic efficacy of Tridihexethyl can be decreased when used in combination with Pyridostigmine.]
[H02CA01, trilostane, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Trilostane.]
[N04AA12, tropatepine, The therapeutic efficacy of Tropatepine can be decreased when used in combination with Pyridostigmine.]
[S01FB02, ephedrine, Pyridostigmine may increase the neuromuscular blocking activities of Ephedrine.]
[R03BA09, fluticasone furoate, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Fluticasone furoate.]
[R03BA05, fluticasone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Fluticasone.]
[N04AA05, profenamine, The therapeutic efficacy of Profenamine can be decreased when used in combination with Pyridostigmine.]
[R06AX12, terfenadine, The therapeutic efficacy of Terfenadine can be decreased when used in combination with Pyridostigmine.]
[R03CC04, fenoterol, The therapeutic efficacy of Fenoterol can be decreased when used in combination with Pyridostigmine.]
[N07AX03, cevimeline, The risk or severity of adverse effects can be increased when Pyridostigmine is combined with Cevimeline.]
[G04BD02, flavoxate, The therapeutic efficacy of Flavoxate can be decreased when used in combination with Pyridostigmine.]
[H02AA02, fludrocortisone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Fludrocortisone.]
[D07XB01, flumethasone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Flumethasone.]
[D07AC08, fluocinonide, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Fluocinonide.]
[H02AB03, fluocortolone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Fluocortolone.]
[S01CB05, fluorometholone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Fluorometholone.]
[N06AB03, fluoxetine, The therapeutic efficacy of Fluoxetine can be decreased when used in combination with Pyridostigmine.]
[M03AA01, alcuronium, The therapeutic efficacy of Alcuronium can be decreased when used in combination with Pyridostigmine.]
[M03AC02, gallamine, The therapeutic efficacy of Gallamine can be decreased when used in combination with Pyridostigmine.]
[C07AB09, esmolol, Pyridostigmine may increase the bradycardic activities of Esmolol.]
[N05AH04, quetiapine, The therapeutic efficacy of Quetiapine can be decreased when used in combination with Pyridostigmine.]
[L01CE02, irinotecan, Pyridostigmine may increase the neuromuscular blocking activities of Irinotecan.]
[N05CA16, hexobarbital, The therapeutic efficacy of Hexobarbital can be decreased when used in combination with Pyridostigmine.]
[S02BA01, hydrocortisone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Hydrocortisone.]
[D07AB02, hydrocortisone butyrate, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Hydrocortisone butyrate.]
[G04BD06, propiverine, The therapeutic efficacy of Propiverine can be decreased when used in combination with Pyridostigmine.]
[N06AA02, imipramine, The therapeutic efficacy of Imipramine can be decreased when used in combination with Pyridostigmine.]
[R01AD07, tixocortol, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Tixocortol.]
[A03AA30, piperidolate, The therapeutic efficacy of Piperidolate can be decreased when used in combination with Pyridostigmine.]
[S01XA28, varenicline, The risk or severity of adverse effects can be increased when Pyridostigmine is combined with Varenicline.]
[R06AE01, buclizine, The therapeutic efficacy of Buclizine can be decreased when used in combination with Pyridostigmine.]
[C07AA01, alprenolol, Pyridostigmine may increase the bradycardic activities of Alprenolol.]
[N01AB06, isoflurane, The therapeutic efficacy of Isoflurane can be decreased when used in combination with Pyridostigmine.]
[N05AH03, olanzapine, The therapeutic efficacy of Olanzapine can be decreased when used in combination with Pyridostigmine.]
[C07AG01, labetalol, Pyridostigmine may increase the bradycardic activities of Labetalol.]
[N04BB01, amantadine, The therapeutic efficacy of Amantadine can be decreased when used in combination with Pyridostigmine.]
[N06AA21, maprotiline, The therapeutic efficacy of Maprotiline can be decreased when used in combination with Pyridostigmine.]
[C02BB01, mecamylamine, The therapeutic efficacy of Mecamylamine can be decreased when used in combination with Pyridostigmine.]
[R06AE05, meclizine, The therapeutic efficacy of Meclizine can be decreased when used in combination with Pyridostigmine.]
[N03AA01, mephobarbital, The therapeutic efficacy of Methylphenobarbital can be decreased when used in combination with Pyridostigmine.]
[N07BC02, methadone, The therapeutic efficacy of Methadone can be decreased when used in combination with Pyridostigmine.]
[A03AB07, methantheline, The therapeutic efficacy of Methantheline can be decreased when used in combination with Pyridostigmine.]
[N03AA30, metharbital, The therapeutic efficacy of Metharbital can be decreased when used in combination with Pyridostigmine.]
[M03BA03, methocarbamol, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Methocarbamol.]
[N05AA02, methotrimeprazine, The therapeutic efficacy of Methotrimeprazine can be decreased when used in combination with Pyridostigmine.]
[H02AB04, methylprednisolone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Methylprednisolone.]
[D07AC14, methylprednisolone aceponate, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Methylprednisolone aceponate.]
[C07AB02, metoprolol, Pyridostigmine may increase the bradycardic activities of Metoprolol.]
[N06AA09, amitriptyline, The therapeutic efficacy of Amitriptyline can be decreased when used in combination with Pyridostigmine.]
[M03AC03, vecuronium, The therapeutic efficacy of Vecuronium can be decreased when used in combination with Pyridostigmine.]
[N05CA02, amobarbital, The therapeutic efficacy of Amobarbital can be decreased when used in combination with Pyridostigmine.]
[R03BB01, ipratropium bromide, The therapeutic efficacy of Ipratropium can be decreased when used in combination with Pyridostigmine.]
[N06AA17, amoxapine, The therapeutic efficacy of Amoxapine can be decreased when used in combination with Pyridostigmine.]
[C07AA12, nadolol, Pyridostigmine may increase the bradycardic activities of Nadolol.]
[C08CA04, nicardipine, The therapeutic efficacy of Nicardipine can be decreased when used in combination with Pyridostigmine.]
[N07BA01, nicotine, The risk or severity of adverse effects can be increased when Pyridostigmine is combined with Nicotine.]
[N06AA10, nortriptyline, The therapeutic efficacy of Nortriptyline can be decreased when used in combination with Pyridostigmine.]
[C07AA02, oxprenolol, Pyridostigmine may increase the bradycardic activities of Oxprenolol.]
[A03AB03, oxyphenonium, The therapeutic efficacy of Oxyphenonium can be decreased when used in combination with Pyridostigmine.]
[M03AC01, pancuronium, The therapeutic efficacy of Pancuronium can be decreased when used in combination with Pyridostigmine.]
[H02AB05, paramethasone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Paramethasone.]
[G04BD11, fesoterodine, The therapeutic efficacy of Fesoterodine can be decreased when used in combination with Pyridostigmine.]
[C07AA23, penbutolol, Pyridostigmine may increase the bradycardic activities of Penbutolol.]
[N05CA01, pentobarbital, The therapeutic efficacy of Pentobarbital can be decreased when used in combination with Pyridostigmine.]
[N03AA02, phenobarbital, The therapeutic efficacy of Phenobarbital can be decreased when used in combination with Pyridostigmine.]
[S01EB01, pilocarpine, The risk or severity of adverse effects can be increased when Pyridostigmine is combined with Pilocarpine.]
[C07AA03, pindolol, Pyridostigmine may increase the bradycardic activities of Pindolol.]
[A02BX03, pirenzepine, The therapeutic efficacy of Pirenzepine can be decreased when used in combination with Pyridostigmine.]
[N02CX01, pizotyline, The therapeutic efficacy of Pizotifen can be decreased when used in combination with Pyridostigmine.]
[C07AB01, practolol, Pyridostigmine may increase the bradycardic activities of Practolol.]
[S03BA02, prednisolone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Prednisolone.]
[H02AB07, prednisone, The therapeutic efficacy of Pyridostigmine can be decreased when used in combination with Prednisone.]
[N03AA03, primidone, The therapeutic efficacy of Primidone can be decreased when used in combination with Pyridostigmine.]
[S01HA05, procaine, Pyridostigmine may increase the neuromuscular blocking activities of Procaine.]
[N04AA04, procyclidine, The therapeutic efficacy of Procyclidine can be decreased when used in combination with Pyridostigmine.]
[N05AA03, promazine, The therapeutic efficacy of Promazine can be decreased when used in combination with Pyridostigmine.]
[R06AD02, promethazine, The therapeutic efficacy of Promethazine can be decreased when used in combination with Pyridostigmine.]
[C01BC03, propafenone, Pyridostigmine may increase the bradycardic activities of Propafenone.]
[A03AB05, propantheline, The therapeutic efficacy of Propantheline can be decreased when used in combination with Pyridostigmine.]
[N05CM06, propiomazine, The therapeutic efficacy of Propiomazine can be decreased when used in combination with Pyridostigmine.]
[C07AA05, propranolol, Pyridostigmine may increase the bradycardic activities of Propranolol.]
[N05AX12, aripiprazole, The therapeutic efficacy of Aripiprazole can be decreased when used in combination with Pyridostigmine.]
[N07XX07, dalfampridine, The therapeutic efficacy of Pyridostigmine can be increased when used in combination with Dalfampridine.]
[A03AB15, diphemanil, The therapeutic efficacy of Diphemanil can be decreased when used in combination with Pyridostigmine.]
[A03AB09, isopropamide, The therapeutic efficacy of Isopropamide can be decreased when used in combination with Pyridostigmine.]
[S01FA03, methscopolamine, The therapeutic efficacy of Methscopolamine can be decreased when used in combination with Pyridostigmine.]
[N05CA07, talbutal, The therapeutic efficacy of Talbutal can be decreased when used in combination with Pyridostigmine.]
[C01BA01, quinidine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Pyridostigmine.]
[S01FA02, scopolamine, The therapeutic efficacy of Scopolamine can be decreased when used in combination with Pyridostigmine.]
[N05CA06, secobarbital, The therapeutic efficacy of Secobarbital can be decreased when used in combination with Pyridostigmine.]
[C07AA07, sotalol, Pyridostigmine may increase the bradycardic activities of Sotalol.]
