[P02BB01, trichlorfon, Metrifonate may increase the bradycardic activities of Metoprolol.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Metoprolol.]
[M02AX02, tolazoline, Metoprolol may increase the orthostatic hypotensive activities of Tolazoline.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Metoprolol.]
[M02AA21, tolmetin, Tolmetin may decrease the antihypertensive activities of Metoprolol.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Metoprolol.]
[N06AF04, tranylcypromine, The metabolism of Metoprolol can be decreased when combined with Tranylcypromine.]
[N06AX05, trazodone, The metabolism of Trazodone can be decreased when combined with Metoprolol.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Metoprolol.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, Metoprolol may decrease the excretion rate of Triazolam which could result in a higher serum level.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Metoprolol can be increased when used in combination with Trichlormethiazide.]
[S01EB04, demecarium, Demecarium may increase the bradycardic activities of Metoprolol.]
[A16AX12, trientine, Metoprolol may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The serum concentration of Metoprolol can be increased when it is combined with Trifluoperazine.]
[S01AD02, trifluridine, Metoprolol may decrease the excretion rate of Trifluridine which could result in a higher serum level.]
[N05AA05, triflupromazine, The serum concentration of Metoprolol can be increased when it is combined with Triflupromazine.]
[A03AA05, trimebutine, Metoprolol may increase the arrhythmogenic activities of Trimebutine.]
[S01ED04, metipranolol, Metoprolol may increase the arrhythmogenic activities of Metipranolol.]
[R06AD01, trimeprazine, The serum concentration of Metoprolol can be increased when it is combined with Alimemazine.]
[N03AC02, trimethadione, Metoprolol may increase the arrhythmogenic activities of Trimethadione.]
[C02BA01, trimethaphan, Metoprolol may increase the hypotensive activities of Trimethaphan.]
[J01EA01, trimethoprim, The risk or severity of hyperkalemia can be increased when Metoprolol is combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Metoprolol.]
[R06AC04, tripelennamine, The metabolism of Metoprolol can be decreased when combined with Tripelennamine.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Metoprolol.]
[C09CA09, azilsartan medoxomil, Metoprolol may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, Tubocurarine may increase the bradycardic activities of Metoprolol.]
[R03DX07, roflumilast, Metoprolol may decrease the excretion rate of Roflumilast which could result in a higher serum level.]
[L01FX04, ipilimumab, Metoprolol may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[S01AA05, tyrothricin, Tyrothricin may increase the bradycardic activities of Metoprolol.]
[R02AA14, oxyquinoline, Metoprolol may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The metabolism of Metoprolol can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be increased when used in combination with Metoprolol.]
[J05AG05, rilpivirine, The metabolism of Metoprolol can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Metoprolol may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Metoprolol may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Metoprolol may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[R03AC18, indacaterol, The therapeutic efficacy of Indacaterol can be decreased when used in combination with Metoprolol.]
[C08DA01, verapamil, The risk or severity of adverse effects can be increased when Verapamil is combined with Metoprolol.]
[N06AX09, viloxazine, The metabolism of Metoprolol can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Metoprolol can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Metoprolol may increase the hypotensive activities of Vincamine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[B01AA03, warfarin, Metoprolol may decrease the excretion rate of Warfarin which could result in a higher serum level.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Metoprolol.]
[N01AX15, xenon, Xenon may decrease the antihypertensive activities of Metoprolol.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Metoprolol.]
[L01EC01, vemurafenib, The metabolism of Metoprolol can be decreased when combined with Vemurafenib.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[M05BA05, tiludronic acid, Metoprolol may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Metoprolol may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, Crizotinib may increase the bradycardic activities of Metoprolol.]
[A02BC04, rabeprazole, Metoprolol may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[N05AE04, ziprasidone, Ziprasidone may increase the antihypertensive activities of Metoprolol.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Metoprolol may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[S01LA01, verteporfin, Metoprolol may increase the photosensitizing activities of Verteporfin.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the antihypertensive activities of Metoprolol.]
[L01EJ01, ruxolitinib, Ruxolitinib may increase the bradycardic activities of Metoprolol.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Metoprolol.]
[J01DH04, doripenem, Metoprolol may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, Metoprolol may increase the arrhythmogenic activities of Atenolol.]
[L01FA01, rituximab, Metoprolol may increase the hypotensive activities of Rituximab.]
[S01FA01, atropine, Metoprolol may increase the arrhythmogenic activities of Atropine.]
[M01CB03, auranofin, Metoprolol may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[B03XA04, peginesatide, Metoprolol may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Metoprolol may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, Metoprolol may decrease the excretion rate of Azathioprine which could result in a higher serum level.]
[L01BC05, gemcitabine, Metoprolol may decrease the excretion rate of Gemcitabine which could result in a higher serum level.]
[J01DF01, aztreonam, Metoprolol may decrease the excretion rate of Aztreonam which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[G04BE10, avanafil, Metoprolol may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, The risk or severity of adverse effects can be increased when Baclofen is combined with Metoprolol.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Metoprolol.]
[G04BD12, mirabegron, Mirabegron may decrease the antihypertensive activities of Metoprolol.]
[V03AX03, cobicistat, The metabolism of Metoprolol can be decreased when combined with Cobicistat.]
[L02BB04, enzalutamide, Metoprolol may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Metoprolol.]
[L01EX05, regorafenib, Regorafenib may increase the bradycardic activities of Metoprolol.]
[N05CA04, barbital, Barbital may increase the hypotensive activities of Metoprolol.]
[C01AA01, acetyldigitoxin, Metoprolol may increase the arrhythmogenic activities of Acetyldigitoxin.]
[D02BA02, octinoxate, Metoprolol may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[S01GA07, brimonidine, Brimonidine may increase the antihypertensive activities of Metoprolol.]
[N04BD02, rasagiline, Rasagiline may increase the hypotensive activities of Metoprolol.]
[C08CA13, lercanidipine, The serum concentration of Lercanidipine can be decreased when it is combined with Metoprolol.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Metoprolol.]
[L04AA29, tofacitinib, Metoprolol may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, Zolmitriptan may decrease the antihypertensive activities of Metoprolol.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Metoprolol.]
[V09IX04, fluorodeoxyglucose F18, Metoprolol may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[N01AA01, ethyl ether, Diethyl ether may decrease the antihypertensive activities of Metoprolol.]
[H01CB05, pasireotide, Metoprolol may increase the bradycardic activities of Pasireotide.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Metoprolol.]
[V08CA11, gadofosveset, Metoprolol may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Metoprolol.]
[A16AX08, teduglutide, Metoprolol may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[C04AX11, bencyclane, Metoprolol may increase the arrhythmogenic activities of Bencyclane.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Metoprolol.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Metoprolol can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Metoprolol can be increased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, Metoprolol may decrease the excretion rate of Pomalidomide which could result in a higher serum level.]
[G03XC05, ospemifene, The metabolism of Metoprolol can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, Benorilate may decrease the antihypertensive activities of Metoprolol.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Metoprolol.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Metoprolol.]
[H03AA04, tiratricol, The therapeutic efficacy of Tiratricol can be decreased when used in combination with Metoprolol.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Metoprolol.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Metoprolol.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Metoprolol.]
[L03AA12, ancestim, Metoprolol may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, Celecoxib may decrease the antihypertensive activities of Metoprolol.]
[N02CC02, naratriptan, Naratriptan may decrease the antihypertensive activities of Metoprolol.]
[L04AA18, everolimus, The metabolism of Metoprolol can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Metoprolol.]
[R02AX03, benzydamine, Benzydamine may decrease the antihypertensive activities of Metoprolol.]
[L01EE01, trametinib, Metoprolol may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Metoprolol.]
[V09AX05, florbetapir F-18, Metoprolol may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Metoprolol.]
[C08EA02, bepridil, Metoprolol may increase the arrhythmogenic activities of Bepridil.]
[C02KX05, riociguat, Metoprolol may increase the hypotensive activities of Riociguat.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Metoprolol.]
[C02KX04, macitentan, Metoprolol may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Metoprolol.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Metoprolol.]
[G03AC08, etonogestrel, Metoprolol may decrease the excretion rate of Etonogestrel which could result in a higher serum level.]
[J05AP08, sofosbuvir, Metoprolol may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Metoprolol.]
[C01CA27, droxidopa, The therapeutic efficacy of Droxidopa can be decreased when used in combination with Metoprolol.]
[C07AB04, acebutolol, Metoprolol may increase the arrhythmogenic activities of Acebutolol.]
[N05CH03, tasimelteon, Metoprolol may decrease the excretion rate of Tasimelteon which could result in a higher serum level.]
[L04AA32, apremilast, The metabolism of Metoprolol can be increased when combined with Apremilast.]
[L02BG02, formestane, Metoprolol may decrease the excretion rate of Formestane which could result in a higher serum level.]
[A16AA06, betaine, Betaine may increase the bradycardic activities of Metoprolol.]
[S01ED02, betaxolol, Betaxolol may increase the arrhythmogenic activities of Metoprolol.]
[V03AB34, fomepizole, Metoprolol may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Metoprolol.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Metoprolol.]
[L04AC11, siltuximab, The metabolism of Metoprolol can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, Metoprolol may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, Metoprolol may increase the arrhythmogenic activities of Hyoscyamine.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Metoprolol.]
[R03AC19, olodaterol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Metoprolol.]
[V08AA01, diatrizoic acid, Metoprolol may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[S01EE02, unoprostone, Metoprolol may increase the hypotensive activities of Unoprostone.]
[V08AA04, iothalamic acid, Metoprolol may decrease the excretion rate of Diatrizoate which could result in a higher serum level.]
[A16AX10, eliglustat, The metabolism of Metoprolol can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Metoprolol can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[N05AA04, acepromazine, The serum concentration of Metoprolol can be increased when it is combined with Acepromazine.]
[V04CX03, methacholine, Metoprolol may increase the bronchoconstrictory activities of Methacholine.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Metoprolol.]
[N04AA02, biperiden, The metabolism of Metoprolol can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Metoprolol.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Metoprolol.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Metoprolol.]
[B01AF03, edoxaban, Metoprolol may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Metoprolol.]
[L04AC10, secukinumab, The metabolism of Metoprolol can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Metoprolol can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Metoprolol.]
[L01DC01, bleomycin, Metoprolol may decrease the excretion rate of Bleomycin which could result in a higher serum level.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Metoprolol.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Metoprolol.]
[A04AD14, rolapitant, The metabolism of Metoprolol can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, Flibanserin may decrease the antihypertensive activities of Metoprolol.]
[N05AX15, cariprazine, Cariprazine may decrease the antihypertensive activities of Metoprolol.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Metoprolol.]
[M02AA25, aceclofenac, Aceclofenac may decrease the antihypertensive activities of Metoprolol.]
[M01AB11, acemetacin, Acemetacin may decrease the antihypertensive activities of Metoprolol.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Metoprolol.]
[N05AB07, acetophenazine, The serum concentration of Metoprolol can be increased when it is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Metoprolol can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Metoprolol may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Metoprolol.]
[J02AC05, isavuconazole, The metabolism of Metoprolol can be decreased when combined with Isavuconazole.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Metoprolol.]
[L01XG03, ixazomib, Metoprolol may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[B01AC27, selexipag, Metoprolol may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Metoprolol.]
[G04CA01, alfuzosin, Alfuzosin may increase the hypotensive activities of Metoprolol.]
[M04AB05, lesinurad, Metoprolol may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, Alminoprofen may decrease the antihypertensive activities of Metoprolol.]
[N03AX23, brivaracetam, Metoprolol may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, Metoprolol may decrease the excretion rate of Bromazepam which could result in a higher serum level.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be increased when used in combination with Metoprolol.]
[A02AD05, aluminum magnesium silicate, Metoprolol may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[N06AA19, amineptin, Amineptine may decrease the antihypertensive activities of Metoprolol.]
[C08CA01, amlodipine, Metoprolol may increase the arrhythmogenic activities of Amlodipine.]
[C03CA02, bumetanide, Bumetanide may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, The serum concentration of Bupivacaine can be increased when it is combined with Metoprolol.]
[C07AA19, bupranolol, Metoprolol may increase the arrhythmogenic activities of Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Metoprolol.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Metoprolol.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Metoprolol is combined with Arsenic trioxide.]
[N06DA03, rivastigmine, Metoprolol may increase the bradycardic activities of Rivastigmine.]
[M02AA03, clofezone, Metoprolol may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Metoprolol.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Metoprolol.]
[A07EC04, balsalazide, Balsalazide may decrease the antihypertensive activities of Metoprolol.]
[R03CC12, bambuterol, The therapeutic efficacy of Bambuterol can be decreased when used in combination with Metoprolol.]
[R03DA08, bamifylline, The risk or severity of adverse effects can be increased when Metoprolol is combined with Bamifylline.]
[A06AH05, naldemedine, Metoprolol may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Metoprolol.]
[N02BF02, pregabalin, Pregabalin may increase the bradycardic activities of Metoprolol.]
[N06BC01, caffeine, The risk or severity of adverse effects can be increased when Metoprolol is combined with Caffeine.]
[C09AA07, benazepril, Metoprolol may increase the hypotensive activities of Benazepril.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Metoprolol.]
[A12AA04, calcium carbonate, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Calcium carbonate.]
[P01CA02, benznidazole, Metoprolol may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[G04BA03, calcium chloride, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Calcium chloride.]
[J01XX08, linezolid, Linezolid may increase the hypotensive activities of Metoprolol.]
[J05AF06, abacavir, Metoprolol may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Metoprolol.]
[D11AX03, calcium gluconate, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Calcium gluconate.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Metoprolol.]
[L04AB02, infliximab, The metabolism of Metoprolol can be increased when combined with Infliximab.]
[A12AA01, calcium phosphate, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Calcium Phosphate.]
[N04BD03, safinamide, Safinamide may increase the hypotensive activities of Metoprolol.]
[N07AB02, bethanechol, The risk or severity of adverse effects can be increased when Metoprolol is combined with Bethanechol.]
[J01MA23, delafloxacin, Metoprolol may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[P03AC02, bioallethrin, Metoprolol may increase the arrhythmogenic activities of Bioallethrin.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Metoprolol is combined with Acetylcholine.]
[L01BC06, capecitabine, Metoprolol may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Metoprolol.]
[C07AB07, bisoprolol, The risk or severity of adverse effects can be increased when Bisoprolol is combined with Metoprolol.]
[R03AC17, bitolterol, The therapeutic efficacy of Bitolterol can be decreased when used in combination with Metoprolol.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Metoprolol which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Metoprolol.]
[C01DX19, nesiritide, The risk or severity of adverse effects can be increased when Metoprolol is combined with Nesiritide.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Metoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Metoprolol may decrease the excretion rate of Budesonide which could result in a higher serum level.]
[C04AX20, buflomedil, Buflomedil may decrease the antihypertensive activities of Metoprolol.]
[M01AB07, bumadizone, Bumadizone may decrease the antihypertensive activities of Metoprolol.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Metoprolol.]
[N06AA15, butriptyline, Butriptyline may decrease the antihypertensive activities of Metoprolol.]
[C01AA02, acetyldigoxins, Metoprolol may increase the arrhythmogenic activities of Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Metoprolol.]
[N01BX04, capsaicin, Capsaicin may increase the bradycardic activities of Metoprolol.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Metoprolol.]
[R06AX18, acrivastine, Metoprolol may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Metoprolol may increase the hypotensive activities of Captopril.]
[S01EB02, carbachol, The risk or severity of adverse effects can be increased when Metoprolol is combined with Carbamoylcholine.]
[L02BB05, apalutamide, Metoprolol may decrease the excretion rate of Apalutamide which could result in a higher serum level.]
[N03AF01, carbamazepine, Metoprolol may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Metoprolol can be decreased when used in combination with Calcium polycarbophil.]
[C07AG02, carvedilol, Metoprolol may increase the arrhythmogenic activities of Carvedilol.]
[B02BX09, fostamatinib, Fostamatinib may increase the antihypertensive activities of Metoprolol.]
[N03AX24, cannabidiol, The metabolism of Metoprolol can be decreased when combined with Cannabidiol.]
[L04AA37, baricitinib, Metoprolol may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
