[P02BB01, trichlorfon, The therapeutic efficacy of Quinidine can be decreased when used in combination with Metrifonate.]
[G03BA03, testosterone, The metabolism of Quinidine can be increased when combined with Testosterone.]
[N07XX06, tetrabenazine, The metabolism of Tetrabenazine can be decreased when combined with Quinidine.]
[S01HA03, tetracaine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Tetracaine.]
[S03AA02, tetracycline, The serum concentration of Quinidine can be increased when it is combined with Tetracycline.]
[J01DI02, ceftaroline fosamil, Ceftaroline fosamil may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05AE05, lurasidone, Quinidine may increase the hypotensive activities of Lurasidone.]
[A04AD10, dronabinol, The serum concentration of Dronabinol can be increased when it is combined with Quinidine.]
[N04BC07, apomorphine, Apomorphine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[L04AX02, thalidomide, Thalidomide may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[R03DA07, theobromine, The serum concentration of Theobromine can be increased when it is combined with Quinidine.]
[R03DA04, theophylline, The serum concentration of Theophylline can be increased when it is combined with Quinidine.]
[P02CA02, thiabendazole, The metabolism of Thiabendazole can be decreased when combined with Quinidine.]
[A11DA01, thiamine, The risk or severity of adverse effects can be increased when Quinidine is combined with Thiamine.]
[L01XX41, eribulin, The risk or severity of QTc prolongation can be increased when Eribulin is combined with Quinidine.]
[R06AD03, thiethylperazine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Thiethylperazine.]
[L01AC01, thiotepa, The metabolism of Thiotepa can be decreased when combined with Quinidine.]
[N05CA19, thiopental, Thiopental may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N05AB08, thioproperazine, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Thioproperazine.]
[N05AC02, thioridazine, Thioridazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[N05AF04, thiothixene, The metabolism of Thiothixene can be decreased when combined with Quinidine.]
[C01BB04, aprindine, Quinidine may increase the arrhythmogenic activities of Aprindine.]
[B02AB01, aprotinin, The therapeutic efficacy of Quinidine can be decreased when used in combination with Aprotinin.]
[G04BE06, moxisylyte, Moxisylyte may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05AL03, tiapride, Tiapride may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[B01AC05, ticlopidine, The metabolism of Ticlopidine can be decreased when combined with Quinidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Quinidine is combined with Tilidine.]
[S01ED01, timolol, The risk or severity of bradycardia can be increased when Quinidine is combined with Timolol.]
[P01AB02, tinidazole, Tinidazole may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01AA12, tobramycin, Tobramycin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A10BB05, tolazamide, Tolazamide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[M02AX02, tolazoline, Tolazoline may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[V04CA01, tolbutamide, Tolbutamide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[M03BX04, tolperisone, Tolperisone may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Quinidine.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Quinidine.]
[L01XF01, tretinoin, The metabolism of Quinidine can be decreased when combined with Tretinoin.]
[S01BA05, triamcinolone, The metabolism of Quinidine can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Quinidine.]
[N05CD05, triazolam, The metabolism of Quinidine can be decreased when combined with Triazolam.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Quinidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A03AB12, mepenzolate, The risk or severity of adverse effects can be increased when Quinidine is combined with Mepenzolate.]
[S01EB04, demecarium, The therapeutic efficacy of Quinidine can be decreased when used in combination with Demecarium.]
[A16AX12, trientine, Triethylenetetramine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05AB06, trifluoperazine, Trifluoperazine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05AD02, trifluperidol, Trifluperidol may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N05AA05, triflupromazine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Triflupromazine.]
[N04AA01, trihexyphenidyl, The risk or severity of adverse effects can be increased when Trihexyphenidyl is combined with Quinidine.]
[R03BA07, mometasone, The metabolism of Quinidine can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Quinidine may increase the arrhythmogenic activities of Trimebutine.]
[S01ED04, metipranolol, Quinidine may increase the arrhythmogenic activities of Metipranolol.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Alimemazine.]
[N03AC02, trimethadione, Trimethadione may increase the arrhythmogenic activities of Quinidine.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Quinidine is combined with Trimethaphan.]
[J01EA01, trimethoprim, Trimethoprim may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N06AA06, trimipramine, Trimipramine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Quinidine.]
[R06AX07, triprolidine, Triprolidine may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A03BB01, butylscopolamine, The risk or severity of adverse effects can be increased when Quinidine is combined with Butylscopolamine.]
[J01FA08, troleandomycin, The metabolism of Quinidine can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Quinidine.]
[S01FA06, tropicamide, The risk or severity of adverse effects can be increased when Tropicamide is combined with Quinidine.]
[N06AX02, tryptophan, Tryptophan may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[C09CA09, azilsartan medoxomil, Quinidine may decrease the antihypertensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be increased when used in combination with Quinidine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Quinidine.]
[L01FX04, ipilimumab, Ipilimumab may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[S01AA05, tyrothricin, The therapeutic efficacy of Quinidine can be decreased when used in combination with Tyrothricin.]
[L01EX04, vandetanib, The serum concentration of Quinidine can be increased when it is combined with Vandetanib.]
[R02AA14, oxyquinoline, Oxyquinoline may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A10BH05, linagliptin, The serum concentration of Quinidine can be increased when it is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Quinidine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Quinidine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be increased when it is combined with Quinidine.]
[B01AD04, urokinase, The therapeutic efficacy of Urokinase can be increased when used in combination with Quinidine.]
[S01AA28, vancomycin, Vancomycin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N03AX21, ezogabine, Ezogabine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[B01AF01, rivaroxaban, The therapeutic efficacy of Rivaroxaban can be increased when used in combination with Quinidine.]
[R03AC18, indacaterol, The therapeutic efficacy of Indacaterol can be decreased when used in combination with Quinidine.]
[B01AC24, ticagrelor, The therapeutic efficacy of Ticagrelor can be increased when used in combination with Quinidine.]
[C08DA01, verapamil, Verapamil may increase the hypotensive activities of Quinidine.]
[N06AX09, viloxazine, The metabolism of Quinidine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The serum concentration of Vinblastine can be increased when it is combined with Quinidine.]
[C04AX07, vincamine, Quinidine may decrease the antihypertensive activities of Vincamine.]
[L01CA02, vincristine, The excretion of Vincristine can be decreased when combined with Quinidine.]
[L01CA03, vindesine, The metabolism of Vindesine can be decreased when combined with Quinidine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A11HA03, vitamin E, The metabolism of Quinidine can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Quinidine.]
[S01AA13, fusidic acid, The metabolism of Quinidine can be decreased when combined with Fusidic acid.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Quinidine is combined with Xenon.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Quinidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Pipemidic acid is combined with Quinidine.]
[J05AF01, zidovudine, The excretion of Zidovudine can be decreased when combined with Quinidine.]
[N05AF05, zuclopenthixol, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Quinidine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, Levetiracetam may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Quinidine.]
[M05BA03, pamidronic acid, Pamidronic acid may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be increased when it is combined with Quinidine.]
[M05BA05, tiludronic acid, Tiludronic acid may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[B06AC02, icatibant, Icatibant may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01ED01, crizotinib, The metabolism of Quinidine can be decreased when combined with Crizotinib.]
[B01AE01, desirudin, The therapeutic efficacy of Lepirudin can be increased when used in combination with Quinidine.]
[R03DC01, zafirlukast, The metabolism of Quinidine can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Rabeprazole may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Quinidine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Trovafloxacin is combined with Quinidine.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Quinidine can be decreased when combined with Drospirenone.]
[V03AC02, deferiprone, Deferiprone may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Quinidine.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Quinidine.]
[J01DH04, doripenem, Doripenem may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C07AB03, atenolol, Atenolol may increase the arrhythmogenic activities of Quinidine.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation and torsade de pointes can be increased when Voriconazole is combined with Quinidine.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be increased when used in combination with Quinidine.]
[S01FA01, atropine, Atropine may increase the arrhythmogenic activities of Quinidine.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Quinidine.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Quinidine.]
[R07AX02, ivacaftor, The serum concentration of Quinidine can be increased when it is combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Quinidine can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, Peginesatide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Quinidine.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be increased when it is combined with Quinidine.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[G04BE10, avanafil, Quinidine may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, Baclofen may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Quinidine.]
[G04BD12, mirabegron, The risk or severity of urinary retention can be increased when Quinidine is combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Carfilzomib can be increased when it is combined with Quinidine.]
[V03AX03, cobicistat, The metabolism of Quinidine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Quinidine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Quinidine can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Quinidine.]
[L01EA04, bosutinib, The serum concentration of Bosutinib can be increased when it is combined with Quinidine.]
[A02AA05, magnesium silicate, Magnesium silicate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[B01AX01, defibrotide, The therapeutic efficacy of Defibrotide can be increased when used in combination with Quinidine.]
[C01CA18, octopamine, The therapeutic efficacy of Octopamine can be decreased when used in combination with Quinidine.]
[A02AC02, calcium silicate, Calcium silicate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01EX05, regorafenib, The serum concentration of Regorafenib can be increased when it is combined with Quinidine.]
[N05CA04, barbital, The metabolism of Quinidine can be increased when combined with Barbital.]
[C01AA01, acetyldigitoxin, The serum concentration of Acetyldigitoxin can be increased when it is combined with Quinidine.]
[D02BA02, octinoxate, Octinoxate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J05AE04, nelfinavir, The metabolism of Quinidine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Quinidine.]
[N04BD02, rasagiline, The serum concentration of Rasagiline can be increased when it is combined with Quinidine.]
[C08CA13, lercanidipine, Lercanidipine may increase the arrhythmogenic activities of Quinidine.]
[A03FA09, mosapride, Mosapride may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[N06DA02, donepezil, The therapeutic efficacy of Quinidine can be decreased when used in combination with Donepezil.]
[N03AX22, perampanel, The metabolism of Quinidine can be increased when combined with Perampanel.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Quinidine.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Quinidine.]
[R06AC06, thonzylamine, The risk or severity of adverse effects can be increased when Quinidine is combined with Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Quinidine.]
[V09IX04, fluorodeoxyglucose F18, Fludeoxyglucose (18F) may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N01AA01, ethyl ether, Diethyl ether may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Quinidine.]
[H01CB05, pasireotide, The metabolism of Quinidine can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The serum concentration of Quinidine can be increased when it is combined with Sildenafil.]
[V08CA11, gadofosveset, Gadofosveset trisodium may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01EA05, ponatinib, The serum concentration of Quinidine can be increased when it is combined with Ponatinib.]
[B01AF02, apixaban, The therapeutic efficacy of Apixaban can be increased when used in combination with Quinidine.]
[A16AX08, teduglutide, Teduglutide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be decreased when combined with Quinidine.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Bedaquiline is combined with Quinidine.]
[C04AX11, bencyclane, Quinidine may increase the arrhythmogenic activities of Bencyclane.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Quinidine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Quinidine can be increased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Quinidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be increased when it is combined with Quinidine.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Quinidine.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05AD07, benperidol, Benperidol may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A10BK02, canagliflozin, The serum concentration of Quinidine can be increased when it is combined with Canagliflozin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Gemifloxacin is combined with Quinidine.]
[M04AB03, benzbromarone, Quinidine may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[A12CC09, magnesium orotate, The risk or severity of neuromuscular blockade can be increased when Quinidine is combined with Magnesium orotate.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Quinidine.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Quinidine.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Benzocaine.]
[A10BX05, pramlintide, The risk or severity of reduced gastrointestinal motility can be increased when Pramlintide is combined with Quinidine.]
[J02AX04, caspofungin, The excretion of Caspofungin can be decreased when combined with Quinidine.]
[L03AA12, ancestim, Ancestim may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Quinidine.]
[N02CC02, naratriptan, Naratriptan may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[L04AA18, everolimus, The serum concentration of Everolimus can be increased when it is combined with Quinidine.]
[A12CC05, magnesium aspartate, The risk or severity of neuromuscular blockade can be increased when Quinidine is combined with Magnesium aspartate.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Quinidine.]
[L01EC02, dabrafenib, The serum concentration of Quinidine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01EE01, trametinib, Trametinib may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Quinidine is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Florbetapir (18F) may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01EB03, afatinib, The serum concentration of Afatinib can be increased when it is combined with Quinidine.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Quinidine.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be increased when it is combined with Quinidine.]
[C08EA02, bepridil, Quinidine may increase the arrhythmogenic activities of Bepridil.]
[C02KX05, riociguat, The serum concentration of Riociguat can be increased when it is combined with Quinidine.]
[A10BJ03, lixisenatide, Lixisenatide may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A05AA03, cholic acid, Quinidine may decrease the excretion rate of Cholic Acid which could result in a higher serum level.]
[C02KX04, macitentan, Macitentan may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Quinidine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Quinidine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N03AF04, eslicarbazepine, The metabolism of Quinidine can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The serum concentration of Quinidine can be increased when it is combined with Simeprevir.]
[J05AP08, sofosbuvir, Sofosbuvir may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N03AG04, vigabatrin, Vigabatrin may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Quinidine.]
[C01CA27, droxidopa, Droxidopa may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C07AB04, acebutolol, Quinidine may increase the arrhythmogenic activities of Acebutolol.]
[N05CH03, tasimelteon, The serum concentration of Tasimelteon can be increased when it is combined with Quinidine.]
[A16AA07, metreleptin, The metabolism of Quinidine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Quinidine can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Quinidine can be increased when combined with Formestane.]
[A16AA06, betaine, The therapeutic efficacy of Quinidine can be decreased when used in combination with Betaine.]
[S03BA03, betamethasone, The metabolism of Quinidine can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, Betaxolol may increase the arrhythmogenic activities of Quinidine.]
[B01AE03, argatroban, The therapeutic efficacy of Argatroban can be increased when used in combination with Quinidine.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[C02CC01, bethanidine, The therapeutic efficacy of Bethanidine can be decreased when used in combination with Quinidine.]
[L04AC11, siltuximab, The metabolism of Quinidine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The serum concentration of Ceritinib can be increased when it is combined with Quinidine.]
[B01AC26, vorapaxar, The therapeutic efficacy of Vorapaxar can be increased when used in combination with Quinidine.]
[A03BA03, hyoscyamine, Hyoscyamine may increase the arrhythmogenic activities of Quinidine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Quinidine.]
[L01XH04, belinostat, The serum concentration of Belinostat can be increased when it is combined with Quinidine.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be decreased when combined with Quinidine.]
[N01AX05, alfaxalone, Alfaxalone may increase the central nervous system depressant (CNS depressant) activities of Quinidine.]
[R03AC19, olodaterol, The therapeutic efficacy of Olodaterol can be decreased when used in combination with Quinidine.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Quinidine is combined with Glycopyrronium.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05CM19, suvorexant, The serum concentration of Quinidine can be increased when it is combined with Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Quinidine.]
[J01XA05, oritavancin, The metabolism of Quinidine can be increased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[N05AA04, acepromazine, Quinidine may increase the orthostatic hypotensive, hypotensive, and antihypertensive activities of Acepromazine.]
[V04CX03, methacholine, Quinidine may decrease effectiveness of Methacholine as a diagnostic agent.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Quinidine.]
[A06AH03, naloxegol, The serum concentration of Naloxegol can be increased when it is combined with Quinidine.]
[N04AA02, biperiden, The risk or severity of adverse effects can be increased when Biperiden is combined with Quinidine.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Quinidine.]
[L01EX09, nintedanib, The metabolism of Quinidine can be decreased when combined with Nintedanib.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Quinidine.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Quinidine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Quinidine.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Quinidine.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be increased when used in combination with Quinidine.]
[B01AF03, edoxaban, The serum concentration of Edoxaban can be increased when it is combined with Quinidine.]
[N06AX11, mirtazapine, The metabolism of Quinidine can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Quinidine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The serum concentration of Quinidine can be increased when it is combined with Palbociclib.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Lenvatinib is combined with Quinidine.]
[L01XH03, panobinostat, The serum concentration of Panobinostat can be increased when it is combined with Quinidine.]
[J05AP07, daclatasvir, The serum concentration of Quinidine can be increased when it is combined with Daclatasvir.]
[N02BE01, acetaminophen, The metabolism of Quinidine can be increased when combined with Acetaminophen.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[A03AA09, difemerine, The risk or severity of adverse effects can be increased when Quinidine is combined with Difemerine.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Quinidine.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Quinidine is combined with Ivabradine.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Quinidine which could result in a higher serum level.]
[J05AP06, asunaprevir, The serum concentration of Quinidine can be increased when it is combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Quinidine is combined with Eluxadoline.]
[B01AC25, cangrelor, The therapeutic efficacy of Cangrelor can be increased when used in combination with Quinidine.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Quinidine.]
