[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Quinine.]
[N05AA05, triflupromazine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Triflupromazine.]
[S01BA09, clobetasone, The risk or severity of hyperglycemia can be increased when Clobetasone is combined with Quinine.]
[S01BA10, alclometasone, The risk or severity of hyperglycemia can be increased when Alclometasone is combined with Quinine.]
[D07AC02, fluclorolone, The risk or severity of hyperglycemia can be increased when Fluclorolone is combined with Quinine.]
[N04AA01, trihexyphenidyl, Quinine may increase the central nervous system depressant (CNS depressant) activities of Trihexyphenidyl.]
[R03BA07, mometasone, The risk or severity of hyperglycemia can be increased when Mometasone is combined with Quinine.]
[A03AA05, trimebutine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Trimebutine.]
[S01ED04, metipranolol, Quinine may increase the hypotensive activities of Metipranolol.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Quinine.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Quinine is combined with Trimethaphan.]
[J01EA01, trimethoprim, The metabolism of Quinine can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Quinine.]
[R06AC04, tripelennamine, The metabolism of Quinine can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Quinine.]
[A03BB01, butylscopolamine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Butylscopolamine.]
[J01FA08, troleandomycin, The serum concentration of Quinine can be increased when it is combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Quinine.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Quinine.]
[C09CA09, azilsartan medoxomil, Quinine may increase the hypotensive activities of Azilsartan medoxomil.]
[M03AA02, tubocurarine, The therapeutic efficacy of Tubocurarine can be increased when used in combination with Quinine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Quinine.]
[L01EX04, vandetanib, The metabolism of Vandetanib can be increased when combined with Quinine.]
[L02BX03, abiraterone, The serum concentration of Quinine can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The risk or severity of hypoglycemia can be increased when Quinine is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Quinine can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Quinine can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The serum concentration of Rilpivirine can be decreased when it is combined with Quinine.]
[B01AD04, urokinase, The therapeutic efficacy of Urokinase can be increased when used in combination with Quinine.]
[S01AA28, vancomycin, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Vancomycin.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Ezogabine is combined with Quinine.]
[B01AF01, rivaroxaban, The therapeutic efficacy of Rivaroxaban can be increased when used in combination with Quinine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Indacaterol is combined with Quinine.]
[B01AC24, ticagrelor, The therapeutic efficacy of Ticagrelor can be increased when used in combination with Quinine.]
[C08DA01, verapamil, Verapamil may increase the hypotensive activities of Quinine.]
[N06AX09, viloxazine, The metabolism of Quinine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The serum concentration of Vinblastine can be increased when it is combined with Quinine.]
[C04AX07, vincamine, Quinine may increase the hypotensive activities of Vincamine.]
[L01CA02, vincristine, The excretion of Vincristine can be decreased when combined with Quinine.]
[L01CA03, vindesine, The metabolism of Vindesine can be increased when combined with Quinine.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Quinine.]
[S01AA13, fusidic acid, The metabolism of Fusidic acid can be decreased when combined with Quinine.]
[C03BA10, xipamide, The therapeutic efficacy of Quinine can be increased when used in combination with Xipamide.]
[J01MB04, pipemidic acid, The therapeutic efficacy of Quinine can be increased when used in combination with Pipemidic acid.]
[J05AF01, zidovudine, The metabolism of Zidovudine can be decreased when combined with Quinine.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Quinine.]
[J05AE02, indinavir, The metabolism of Quinine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Quinine is combined with Levetiracetam.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Quinine.]
[L01FX05, brentuximab vedotin, The serum concentration of Brentuximab vedotin can be increased when it is combined with Quinine.]
[L01ED01, crizotinib, The serum concentration of Crizotinib can be increased when it is combined with Quinine.]
[B01AE01, desirudin, The therapeutic efficacy of Lepirudin can be increased when used in combination with Quinine.]
[R03DC01, zafirlukast, The metabolism of Quinine can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, The metabolism of Rabeprazole can be decreased when combined with Quinine.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Quinine.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Quinine is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Quinine is combined with Ziprasidone.]
[G03AC10, drospirenone, The therapeutic efficacy of Quinine can be decreased when used in combination with Drospirenone.]
[N02BA01, aspirin, The risk or severity of hypoglycemia can be increased when Acetylsalicylic acid is combined with Quinine.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be increased when combined with Quinine.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Quinine.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Quinine.]
[L03AB11, peginterferon alfa-2a, The metabolism of Quinine can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, The metabolism of Quinine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be increased when used in combination with Quinine.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Atropine is combined with Quinine.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Quinine.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Quinine.]
[R07AX02, ivacaftor, The serum concentration of Quinine can be increased when it is combined with Ivacaftor.]
[H02AB11, prednylidene, The risk or severity of hyperglycemia can be increased when Prednylidene is combined with Quinine.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Quinine.]
[L01BC05, gemcitabine, The serum concentration of Gemcitabine can be increased when it is combined with Quinine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Quinine.]
[M03BX01, baclofen, The therapeutic efficacy of Quinine can be decreased when used in combination with Baclofen.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Quinine.]
[G04BD12, mirabegron, The serum concentration of Quinine can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Carfilzomib can be increased when it is combined with Quinine.]
[V03AX03, cobicistat, The metabolism of Quinine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Quinine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Quinine can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The serum concentration of Bosutinib can be increased when it is combined with Quinine.]
[L04AA31, teriflunomide, The serum concentration of Quinine can be decreased when it is combined with Teriflunomide.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Quinine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AX01, defibrotide, The therapeutic efficacy of Defibrotide can be increased when used in combination with Quinine.]
[H02AA01, aldosterone, The risk or severity of hyperglycemia can be increased when Aldosterone is combined with Quinine.]
[L01EX05, regorafenib, The serum concentration of Regorafenib can be increased when it is combined with Quinine.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Quinine is combined with Barbital.]
[C01AA01, acetyldigitoxin, The serum concentration of Acetyldigitoxin can be increased when it is combined with Quinine.]
[J05AE04, nelfinavir, The metabolism of Quinine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Quinine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Quinine.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Quinine is combined with Rasagiline.]
[C08CA13, lercanidipine, The risk or severity of hypoglycemia can be increased when Lercanidipine is combined with Quinine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Quinine is combined with Mosapride.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Quinine.]
[N03AX22, perampanel, The metabolism of Perampanel can be increased when combined with Quinine.]
[L04AA29, tofacitinib, The metabolism of Tofacitinib can be decreased when combined with Quinine.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Quinine.]
[R06AC06, thonzylamine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Quinine.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Quinine is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Quinine can be decreased when combined with Cabozantinib.]
[H01CB05, pasireotide, The therapeutic efficacy of Quinine can be decreased when used in combination with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Quinine.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Quinine.]
[B01AF02, apixaban, The therapeutic efficacy of Apixaban can be increased when used in combination with Quinine.]
[C10AX12, lomitapide, The metabolism of Lomitapide can be increased when combined with Quinine.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Bedaquiline is combined with Quinine.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Bencyclane is combined with Quinine.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Quinine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Quinine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Quinine can be decreased when used in combination with Bendroflumethiazide.]
[L04AX06, pomalidomide, The serum concentration of Pomalidomide can be increased when it is combined with Quinine.]
[G03XC05, ospemifene, The metabolism of Quinine can be decreased when combined with Ospemifene.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Quinine is combined with Benperidol.]
[A10BK02, canagliflozin, Canagliflozin may increase the hypoglycemic activities of Quinine.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Gemifloxacin is combined with Quinine.]
[M04AB03, benzbromarone, The metabolism of Quinine can be decreased when combined with Benzbromarone.]
[A12CC09, magnesium orotate, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Magnesium orotate.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Quinine.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Quinine.]
[H03AA04, tiratricol, Tiratricol may decrease the hypoglycemic activities of Quinine.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Quinine is combined with Insulin detemir.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Quinine.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Pramlintide.]
[J02AX04, caspofungin, The excretion of Caspofungin can be decreased when combined with Quinine.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Quinine.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Quinine is combined with Naratriptan.]
[L04AA18, everolimus, The serum concentration of Everolimus can be increased when it is combined with Quinine.]
[A12CC05, magnesium aspartate, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Magnesium aspartate.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Quinine.]
[L01EC02, dabrafenib, The serum concentration of Quinine can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The metabolism of Quinine can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Quinine.]
[L01EB03, afatinib, The serum concentration of Afatinib can be increased when it is combined with Quinine.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Quinine.]
[J05AJ03, dolutegravir, The serum concentration of Dolutegravir can be increased when it is combined with Quinine.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Quinine.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Quinine.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Lixisenatide.]
[A05AA03, cholic acid, The excretion of Cholic Acid can be decreased when combined with Quinine.]
[C02KX04, macitentan, Quinine may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Quinine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Quinine.]
[G03AC08, etonogestrel, The therapeutic efficacy of Quinine can be decreased when used in combination with Etonogestrel.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Quinine is combined with Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Quinine can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The metabolism of Quinine can be decreased when combined with Simeprevir.]
[J05AP08, sofosbuvir, The serum concentration of Sofosbuvir can be increased when it is combined with Quinine.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Quinine is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Quinine.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Quinine.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Quinine is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Quinine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Quinine can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of hyperglycemia can be increased when Betamethasone is combined with Quinine.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Quinine.]
[B01AE03, argatroban, The therapeutic efficacy of Argatroban can be increased when used in combination with Quinine.]
[C02CC01, bethanidine, Quinine may increase the hypotensive activities of Bethanidine.]
[C10AB02, bezafibrate, The metabolism of Quinine can be decreased when combined with Bezafibrate.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Albiglutide.]
[L04AC11, siltuximab, The metabolism of Quinine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The serum concentration of Ceritinib can be increased when it is combined with Quinine.]
[B01AC26, vorapaxar, The therapeutic efficacy of Vorapaxar can be increased when used in combination with Quinine.]
[A03BA03, hyoscyamine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Quinine.]
[L01XH04, belinostat, The serum concentration of Belinostat can be increased when it is combined with Quinine.]
[L01EM01, idelalisib, The metabolism of Idelalisib can be increased when combined with Quinine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Quinine is combined with Alfaxalone.]
[A10BK03, empagliflozin, Empagliflozin may increase the hypoglycemic activities of Quinine.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Quinine.]
[S01EE02, unoprostone, Quinine may increase the hypotensive activities of Unoprostone.]
[D11AA01, glycopyrronium, Quinine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Quinine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Quinine.]
[J01XA05, oritavancin, The metabolism of Quinine can be decreased when combined with Oritavancin.]
[S01AA15, dihydrostreptomycin, The risk or severity of neuromuscular blockade can be increased when Quinine is combined with Dihydrostreptomycin.]
[N05AA04, acepromazine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Acepromazine.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Dulaglutide.]
[A06AH03, naloxegol, The serum concentration of Naloxegol can be increased when it is combined with Quinine.]
[N04AA02, biperiden, Quinine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Quinine.]
[L01EX09, nintedanib, The serum concentration of Nintedanib can be increased when it is combined with Quinine.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Quinine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Quinine.]
[L01XK01, olaparib, The metabolism of Olaparib can be increased when combined with Quinine.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be increased when used in combination with Quinine.]
[B01AF03, edoxaban, The serum concentration of Edoxaban can be increased when it is combined with Quinine.]
[N06AX11, mirtazapine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Quinine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The metabolism of Palbociclib can be increased when combined with Quinine.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Lenvatinib is combined with Quinine.]
[L01XH03, panobinostat, The metabolism of Quinine can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The serum concentration of Quinine can be increased when it is combined with Daclatasvir.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Quinine.]
[A03AA09, difemerine, Quinine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Quinine.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Quinine.]
[A07DA06, eluxadoline, The serum concentration of Eluxadoline can be increased when it is combined with Quinine.]
[B01AC25, cangrelor, The therapeutic efficacy of Cangrelor can be increased when used in combination with Quinine.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Quinine.]
[L01XJ02, sonidegib, The metabolism of Sonidegib can be increased when combined with Quinine.]
[A04AD14, rolapitant, The metabolism of Quinine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Quinine is combined with Flibanserin.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Quinine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Quinine is combined with Cariprazine.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Acarbose is combined with Quinine.]
[S01EC01, acetazolamide, The excretion of Quinine can be decreased when combined with Acetazolamide.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Quinine is combined with Insulin degludec.]
[N05AB07, acetophenazine, The risk or severity of QTc prolongation can be increased when Quinine is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Quinine can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Quinine.]
[J02AC05, isavuconazole, The serum concentration of Quinine can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Quinine can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Quinine.]
[L01EE02, cobimetinib, The serum concentration of Cobimetinib can be increased when it is combined with Quinine.]
[L01XG03, ixazomib, The metabolism of Ixazomib can be increased when combined with Quinine.]
[L01ED03, alectinib, The metabolism of Alectinib can be increased when combined with Quinine.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Quinine.]
[A10BB31, acetohexamide, The risk or severity of hypoglycemia can be increased when Quinine is combined with Acetohexamide.]
[G04CA01, alfuzosin, The metabolism of Alfuzosin can be decreased when combined with Quinine.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Quinine.]
[J05AP10, elbasvir, The serum concentration of Elbasvir can be increased when it is combined with Quinine.]
[J05AP11, grazoprevir, The serum concentration of Grazoprevir can be increased when it is combined with Quinine.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Quinine is combined with Aprobarbital.]
[N02BA02, aloxiprin, Aloxiprin may increase the hypoglycemic activities of Quinine.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Quinine is combined with Brivaracetam.]
[L01XX52, venetoclax, The serum concentration of Venetoclax can be increased when it is combined with Quinine.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Quinine is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of hypoglycemia can be increased when Quinine is combined with Bromocriptine.]
