[S02DA03, antipyrine, The risk or severity of nephrotoxicity can be increased when Antipyrine is combined with Neomycin.]
[M05BA06, ibandronic acid, The risk or severity of nephrotoxicity and hypocalcemia can be increased when Neomycin is combined with Ibandronate.]
[N05AE04, ziprasidone, Ziprasidone may increase the neurotoxic activities of Neomycin.]
[V03AC02, deferiprone, Deferiprone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N02BA01, aspirin, The risk or severity of nephrotoxicity can be increased when Acetylsalicylic acid is combined with Neomycin.]
[L01EJ01, ruxolitinib, Ruxolitinib may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[G04BD07, tolterodine, Tolterodine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01DH04, doripenem, Doripenem may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M03AC04, atracurium, The therapeutic efficacy of Atracurium can be increased when used in combination with Neomycin.]
[M01CB03, auranofin, Auranofin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B03XA04, peginesatide, Peginesatide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L01BC07, azacitidine, Azacitidine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L04AX01, azathioprine, Azathioprine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01CA09, azlocillin, The serum concentration of Neomycin can be decreased when it is combined with Azlocillin.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M03BX01, baclofen, Neomycin may decrease the excretion rate of Baclofen which could result in a higher serum level.]
[A08AA11, lorcaserin, Lorcaserin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[G04BD12, mirabegron, Mirabegron may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L02BB04, enzalutamide, Enzalutamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A02AA05, magnesium silicate, The risk or severity of neuromuscular blockade can be increased when Neomycin is combined with Magnesium silicate.]
[C01AA01, acetyldigitoxin, The risk or severity of adverse effects can be increased when Neomycin is combined with Acetyldigitoxin.]
[D02BA02, octinoxate, Octinoxate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N04BD02, rasagiline, Rasagiline may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V09IX04, fluorodeoxyglucose F18, Fludeoxyglucose (18F) may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01AA01, ethyl ether, Neomycin may increase the neurotoxic activities of Diethyl ether.]
[V08CA11, gadofosveset, Gadofosveset trisodium may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A16AX08, teduglutide, Teduglutide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BH04, alogliptin, Alogliptin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A16AX09, glycerol phenylbutyrate, Glycerol phenylbutyrate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L04AX06, pomalidomide, Pomalidomide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N02BA10, benorilate, The risk or severity of nephrotoxicity can be increased when Benorilate is combined with Neomycin.]
[N05AD07, benperidol, Neomycin may increase the neurotoxic activities of Benperidol.]
[A10BK02, canagliflozin, Canagliflozin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A12CC09, magnesium orotate, The risk or severity of neuromuscular blockade can be increased when Neomycin is combined with Magnesium orotate.]
[L03AA12, ancestim, Ancestim may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AH01, celecoxib, The risk or severity of nephrotoxicity can be increased when Celecoxib is combined with Neomycin.]
[A12CC05, magnesium aspartate, The risk or severity of neuromuscular blockade can be increased when Neomycin is combined with Magnesium aspartate.]
[N04AC01, benztropine, Benzatropine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[R02AX03, benzydamine, The risk or severity of nephrotoxicity can be increased when Benzydamine is combined with Neomycin.]
[L01EE01, trametinib, Trametinib may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Benzyl alcohol.]
[V09AX05, florbetapir F-18, Florbetapir (18F) may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06AX28, levomilnacipran, Levomilnacipran may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BJ03, lixisenatide, Lixisenatide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C02KX04, macitentan, Macitentan may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06AX26, vortioxetine, Vortioxetine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J05AP08, sofosbuvir, Sofosbuvir may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[C01CA27, droxidopa, Droxidopa may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05CH03, tasimelteon, Tasimelteon may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L04AA32, apremilast, Apremilast may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L02BG02, formestane, Formestane may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V03AB34, fomepizole, Fomepizole may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Neomycin is combined with Acenocoumarol.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01AA15, dihydrostreptomycin, The risk or severity of nephrotoxicity can be increased when Dihydrostreptomycin is combined with Neomycin.]
[N05AA04, acepromazine, Neomycin may increase the neurotoxic activities of Acepromazine.]
[V04CX03, methacholine, The therapeutic efficacy of Methacholine can be decreased when used in combination with Neomycin.]
[S03AA06, gentamicin, The risk or severity of nephrotoxicity can be increased when Gentamicin is combined with Neomycin.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Neomycin is combined with Dicoumarol.]
[B01AF03, edoxaban, Edoxaban may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N02BE01, acetaminophen, Acetaminophen may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Neomycin is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, The risk or severity of nephrotoxicity can be increased when Adefovir dipivoxil is combined with Neomycin.]
[N05AX16, brexpiprazole, Neomycin may increase the neurotoxic activities of Brexpiprazole.]
[N05AX15, cariprazine, Neomycin may increase the neurotoxic activities of Cariprazine.]
[A10BF01, acarbose, The metabolism of Acarbose can be decreased when combined with Neomycin.]
[M02AA25, aceclofenac, The risk or severity of nephrotoxicity can be increased when Aceclofenac is combined with Neomycin.]
[M01AB11, acemetacin, The risk or severity of nephrotoxicity can be increased when Acemetacin is combined with Neomycin.]
[N05AB07, acetophenazine, Neomycin may increase the neurotoxic activities of Acetophenazine.]
[V03AB37, idarucizumab, Idarucizumab may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J05AF13, tenofovir alafenamide, The risk or severity of nephrotoxicity can be increased when Tenofovir alafenamide is combined with Neomycin.]
[L01XG03, ixazomib, Ixazomib may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M04AB05, lesinurad, Lesinurad may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AE16, alminoprofen, The risk or severity of nephrotoxicity can be increased when Alminoprofen is combined with Neomycin.]
[N03AX23, brivaracetam, Brivaracetam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05BA08, bromazepam, Bromazepam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A02AD05, aluminum magnesium silicate, The risk or severity of neuromuscular blockade can be increased when Neomycin is combined with Magnesium Aluminum Silicate.]
[N06AA19, amineptin, Neomycin may increase the neurotoxic activities of Amineptine.]
[N05AX17, pimavanserin, Neomycin may increase the neurotoxic activities of Pimavanserin.]
[M02AA09, bufexamac, The risk or severity of nephrotoxicity can be increased when Bufexamac is combined with Neomycin.]
[C03CA02, bumetanide, The risk or severity of nephrotoxicity can be increased when Bumetanide is combined with Neomycin.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Bupivacaine.]
[N05BE01, buspirone, Buspirone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L01XX27, arsenic trioxide, Arsenic trioxide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01CE04, azidocillin, The serum concentration of Neomycin can be decreased when it is combined with Azidocillin.]
[J01CA06, bacampicillin, The serum concentration of Neomycin can be decreased when it is combined with Bacampicillin.]
[A07EC04, balsalazide, The risk or severity of nephrotoxicity can be increased when Balsalazide is combined with Neomycin.]
[A06AH05, naldemedine, Naldemedine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N07XX16, deutetrabenazine, Deutetrabenazine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Oxybuprocaine.]
[P01CA02, benznidazole, Benznidazole may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J05AF06, abacavir, Abacavir may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N07XX13, valbenazine, Valbenazine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N07AB02, bethanechol, The therapeutic efficacy of Bethanechol can be decreased when used in combination with Neomycin.]
[J01MA23, delafloxacin, Delafloxacin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01EB09, acetylcholine, The therapeutic efficacy of Acetylcholine can be decreased when used in combination with Neomycin.]
[L01BC06, capecitabine, Capecitabine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A02BX12, bismuth subnitrate, Neomycin may increase the neurotoxic activities of Bismuth subnitrate.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01DC10, cefprozil, The risk or severity of nephrotoxicity can be increased when Cefprozil is combined with Neomycin.]
[N05AD06, bromperidol, Neomycin may increase the neurotoxic activities of Bromperidol.]
[R03BA02, budesonide, Budesonide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AB07, bumadizone, The risk or severity of nephrotoxicity can be increased when Bumadizone is combined with Neomycin.]
[N06AA15, butriptyline, Neomycin may increase the neurotoxic activities of Butriptyline.]
[C01AA02, acetyldigoxins, The serum concentration of Acetyldigoxin can be decreased when it is combined with Neomycin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Capsaicin.]
[R06AX18, acrivastine, Acrivastine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01EB02, carbachol, The therapeutic efficacy of Carbamoylcholine can be decreased when used in combination with Neomycin.]
[L02BB05, apalutamide, Apalutamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N03AF01, carbamazepine, Neomycin may decrease the excretion rate of Carbamazepine which could result in a higher serum level.]
[J01CA03, carbenicillin, The serum concentration of Neomycin can be decreased when it is combined with Carbenicillin.]
[L04AA37, baricitinib, Baricitinib may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01DE01, cefepime, The risk or severity of nephrotoxicity can be increased when Cefepime is combined with Neomycin.]
[J01DD10, cefetamet, The risk or severity of nephrotoxicity can be increased when Cefetamet is combined with Neomycin.]
[J01DD09, cefodizime, The risk or severity of nephrotoxicity can be increased when Cefodizime is combined with Neomycin.]
[J01DC11, ceforanide, The risk or severity of nephrotoxicity can be increased when Ceforanide is combined with Neomycin.]
[J01DD13, cefpodoxime, The risk or severity of nephrotoxicity can be increased when Cefpodoxime is combined with Neomycin.]
[J01DD14, ceftibuten, The risk or severity of nephrotoxicity can be increased when Ceftibuten is combined with Neomycin.]
[J01GB14, plazomicin, The risk or severity of nephrotoxicity can be increased when Plazomicin is combined with Neomycin.]
[A16AX14, migalastat, Migalastat may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N03AX17, stiripentol, Stiripentol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Chloroprocaine.]
[D08AE05, chloroxylenol, Chloroxylenol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AC05, lornoxicam, The risk or severity of nephrotoxicity can be increased when Lornoxicam is combined with Neomycin.]
[N07XX15, inotersen, The risk or severity of nephrotoxicity can be increased when Inotersen is combined with Neomycin.]
[L01AD01, carmustine, Carmustine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A06AX05, prucalopride, Prucalopride may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[B01AC23, cilostazol, Cilostazol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N06BA14, solriamfetol, Solriamfetol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05BA09, clobazam, Clobazam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01AA11, clomocycline, The risk or severity of neuromuscular blockade can be increased when Clomocycline is combined with Neomycin.]
[J01DC04, cefaclor, The risk or severity of nephrotoxicity can be increased when Cefaclor is combined with Neomycin.]
[J01DB05, cefadroxil, The risk or severity of nephrotoxicity can be increased when Cefadroxil is combined with Neomycin.]
[J01DC03, cefamandole, The risk or severity of nephrotoxicity can be increased when Cefamandole is combined with Neomycin.]
[J01DB07, cefatrizine, The risk or severity of nephrotoxicity can be increased when Cefatrizine is combined with Neomycin.]
[J01DB04, cefazolin, The risk or severity of nephrotoxicity can be increased when Cefazolin is combined with Neomycin.]
[J01CF03, methicillin, The serum concentration of Neomycin can be decreased when it is combined with Meticillin.]
[J01DC09, cefmetazole, The risk or severity of nephrotoxicity can be increased when Cefmetazole is combined with Neomycin.]
[J01DC06, cefonicid, The risk or severity of nephrotoxicity can be increased when Cefonicid is combined with Neomycin.]
[J01DD12, cefoperazone, The risk or severity of nephrotoxicity can be increased when Cefoperazone is combined with Neomycin.]
[J01DD01, cefotaxime, The risk or severity of nephrotoxicity can be increased when Cefotaxime is combined with Neomycin.]
[J01DC05, cefotetan, The risk or severity of nephrotoxicity can be increased when Cefotetan is combined with Neomycin.]
[N05AA06, cyamemazine, Neomycin may increase the neurotoxic activities of Cyamemazine.]
[J01DC07, cefotiam, The risk or severity of nephrotoxicity can be increased when Cefotiam is combined with Neomycin.]
[J01DC01, cefoxitin, The risk or severity of nephrotoxicity can be increased when Cefoxitin is combined with Neomycin.]
[J01DD03, cefsulodin, The risk or severity of nephrotoxicity can be increased when Cefsulodin is combined with Neomycin.]
[J01DD02, ceftazidime, The risk or severity of nephrotoxicity can be increased when Ceftazidime is combined with Neomycin.]
[J01DD07, ceftizoxime, The risk or severity of nephrotoxicity can be increased when Ceftizoxime is combined with Neomycin.]
[J01DD04, ceftriaxone, The risk or severity of nephrotoxicity can be increased when Ceftriaxone is combined with Neomycin.]
[S01AA27, cefuroxime, The risk or severity of nephrotoxicity can be increased when Cefuroxime is combined with Neomycin.]
[M03BX08, cyclobenzaprine, Cyclobenzaprine may increase the neurotoxic activities of Neomycin.]
[N07XX11, pitolisant, Pitolisant may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01XX09, daptomycin, Daptomycin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01DB01, cephalexin, The risk or severity of nephrotoxicity can be increased when Cephalexin is combined with Neomycin.]
[J01DB02, cephaloridine, The risk or severity of nephrotoxicity can be increased when Cefaloridine is combined with Neomycin.]
[J01DB03, cephalothin, The risk or severity of nephrotoxicity can be increased when Cefalotin is combined with Neomycin.]
[J01DB08, cephapirin, The risk or severity of nephrotoxicity can be increased when Cefapirin is combined with Neomycin.]
[J01DB09, cephradine, The risk or severity of nephrotoxicity can be increased when Cefradine is combined with Neomycin.]
[A16AX16, givosiran, The risk or severity of nephrotoxicity can be increased when Givosiran is combined with Neomycin.]
[M09AX08, golodirsen, Golodirsen may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S01XA12, dexpanthenol, Dexpanthenol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L04AA53, teprotumumab, The risk or severity of ototoxicity can be increased when Teprotumumab is combined with Neomycin.]
[R02AA03, dichlorobenzyl alcohol, Dichlorobenzyl alcohol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[G03DB08, dienogest, Dienogest may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AH02, rofecoxib, The risk or severity of nephrotoxicity can be increased when Rofecoxib is combined with Neomycin.]
[C08CA16, clevidipine, Clevidipine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AC04, droxicam, The risk or severity of nephrotoxicity can be increased when Droxicam is combined with Neomycin.]
[V08CA05, mangafodipir, Mangafodipir may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M02AA27, dexketoprofen, The risk or severity of nephrotoxicity can be increased when Dexketoprofen is combined with Neomycin.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Dyclonine.]
[P01BA01, chloroquine, Chloroquine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AA01, chlorpromazine, Chlorpromazine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A10BB02, chlorpropamide, Chlorpropamide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AF03, chlorprothixene, Neomycin may increase the neurotoxic activities of Chlorprothixene.]
[M03BB03, chlorzoxazone, Chlorzoxazone may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N02BA07, ethenzamide, The risk or severity of nephrotoxicity can be increased when Ethenzamide is combined with Neomycin.]
[N02BA03, choline salicylate, Choline salicylate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AB08, etodolac, The risk or severity of nephrotoxicity can be increased when Etodolac is combined with Neomycin.]
[M02AA06, etofenamate, The risk or severity of nephrotoxicity can be increased when Etofenamate is combined with Neomycin.]
[M01AX25, chondroitin sulfates, Chondroitin sulfate may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L01FX21, naxitamab, Neomycin may increase the neurotoxic activities of Naxitamab.]
[M01AE05, fenbufen, The risk or severity of nephrotoxicity can be increased when Fenbufen is combined with Neomycin.]
[C01CA19, fenoldopam, Fenoldopam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01DD15, cefdinir, Cefdinir may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S02BA08, fluocinolone acetonide, Fluocinolone acetonide may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N02BG07, flupirtine, Flupirtine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V08CA04, gadoteridol, Gadoteridol may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[S03AA07, ciprofloxacin, Ciprofloxacin may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[L01XA01, cisplatin, The risk or severity of nephrotoxicity can be increased when Cisplatin is combined with Neomycin.]
[V09AB03, ioflupane I-123, Ioflupane I-123 may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V09AA01, technetium Tc 99m exametazime, Technetium Tc-99m exametazime may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[V09AX06, florbetaben f-18, Florbetaben (18F) may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[M01AG01, mefenamic acid, The risk or severity of nephrotoxicity can be increased when Mefenamic acid is combined with Neomycin.]
[J01FF01, clindamycin, The risk or severity of neuromuscular blockade can be increased when Neomycin is combined with Clindamycin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Levobupivacaine.]
[N06AA04, clomipramine, Clomipramine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N03AE01, clonazepam, Clonazepam may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J05AH02, oseltamivir, Oseltamivir may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[N05AH06, clothiapine, Neomycin may increase the neurotoxic activities of Clothiapine.]
[M02AA08, felbinac, The risk or severity of nephrotoxicity can be increased when Felbinac is combined with Neomycin.]
[J01CF02, cloxacillin, The serum concentration of Neomycin can be decreased when it is combined with Cloxacillin.]
[N05AH02, clozapine, Clozapine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01GB12, arbekacin, The risk or severity of nephrotoxicity can be increased when Arbekacin is combined with Neomycin.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Neomycin is combined with Cocaine.]
[M01AX13, proquazone, The risk or severity of nephrotoxicity can be increased when Proquazone is combined with Neomycin.]
[J01CA18, hetacillin, The serum concentration of Neomycin can be decreased when it is combined with Hetacillin.]
[M04AC01, colchicine, Colchicine may decrease the excretion rate of Neomycin which could result in a higher serum level.]
[J01XB01, colistin, The risk or severity of nephrotoxicity can be increased when Colistin is combined with Neomycin.]
