[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Gatifloxacin.]
[A10BB05, tolazamide, The therapeutic efficacy of Tolazamide can be increased when used in combination with Gatifloxacin.]
[V04CA01, tolbutamide, The therapeutic efficacy of Tolbutamide can be increased when used in combination with Gatifloxacin.]
[M02AA21, tolmetin, Tolmetin may increase the neuroexcitatory activities of Gatifloxacin.]
[N06AX05, trazodone, The risk or severity of QTc prolongation can be increased when Trazodone is combined with Gatifloxacin.]
[S01BA05, triamcinolone, The risk or severity of tendinopathy can be increased when Triamcinolone is combined with Gatifloxacin.]
[C03DB02, triamterene, The metabolism of Triamterene can be decreased when combined with Gatifloxacin.]
[N05AB06, trifluoperazine, The metabolism of Trifluoperazine can be decreased when combined with Gatifloxacin.]
[D07AC02, fluclorolone, The risk or severity of tendinopathy can be increased when Fluclorolone is combined with Gatifloxacin.]
[R03BA07, mometasone, The risk or severity of tendinopathy can be increased when Mometasone is combined with Gatifloxacin.]
[A03AA05, trimebutine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Trimebutine.]
[R06AD01, trimeprazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Alimemazine.]
[N03AC02, trimethadione, The risk or severity of QTc prolongation can be increased when Trimethadione is combined with Gatifloxacin.]
[N06AA06, trimipramine, The risk or severity of QTc prolongation can be increased when Trimipramine is combined with Gatifloxacin.]
[R06AX07, triprolidine, The risk or severity of QTc prolongation can be increased when Triprolidine is combined with Gatifloxacin.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Gatifloxacin.]
[L01EX04, vandetanib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Vandetanib.]
[A10BH05, linagliptin, The therapeutic efficacy of Linagliptin can be increased when used in combination with Gatifloxacin.]
[J05AG05, rilpivirine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ezogabine.]
[R03AC18, indacaterol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Indacaterol.]
[C08DA01, verapamil, The metabolism of Verapamil can be decreased when combined with Gatifloxacin.]
[B01AA03, warfarin, The therapeutic efficacy of Warfarin can be increased when used in combination with Gatifloxacin.]
[N05AF05, zuclopenthixol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Zuclopenthixol.]
[L01EC01, vemurafenib, The risk or severity of QTc prolongation can be increased when Vemurafenib is combined with Gatifloxacin.]
[L01ED01, crizotinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Crizotinib.]
[M05BA06, ibandronic acid, The risk or severity of QTc prolongation can be increased when Ibandronate is combined with Gatifloxacin.]
[J01MA13, trovafloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Trovafloxacin.]
[N05AE04, ziprasidone, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ziprasidone.]
[N02BA01, aspirin, Acetylsalicylic acid may increase the neuroexcitatory activities of Gatifloxacin.]
[G04BD07, tolterodine, The risk or severity of QTc prolongation can be increased when Tolterodine is combined with Gatifloxacin.]
[J02AC03, voriconazole, The risk or severity of QTc prolongation can be increased when Voriconazole is combined with Gatifloxacin.]
[S01FA01, atropine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Atropine.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Gatifloxacin.]
[H02AB11, prednylidene, The risk or severity of tendinopathy can be increased when Prednylidene is combined with Gatifloxacin.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Gatifloxacin.]
[J01CA09, azlocillin, The serum concentration of Gatifloxacin can be increased when it is combined with Azlocillin.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Gatifloxacin.]
[G04BD12, mirabegron, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Mirabegron.]
[A02AA05, magnesium silicate, Magnesium silicate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AA01, aldosterone, The risk or severity of tendinopathy can be increased when Aldosterone is combined with Gatifloxacin.]
[J05AE04, nelfinavir, The risk or severity of QTc prolongation can be increased when Nelfinavir is combined with Gatifloxacin.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Gatifloxacin.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Gatifloxacin.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Gatifloxacin.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Gatifloxacin.]
[H01CB05, pasireotide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Pasireotide.]
[J04AK05, bedaquiline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Bedaquiline.]
[C04AX11, bencyclane, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Bencyclane.]
[A10BH04, alogliptin, The therapeutic efficacy of Alogliptin can be increased when used in combination with Gatifloxacin.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Gatifloxacin.]
[N02BA10, benorilate, Benorilate may increase the neuroexcitatory activities of Gatifloxacin.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be increased when used in combination with Gatifloxacin.]
[J01MA15, gemifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Gemifloxacin.]
[A12CC09, magnesium orotate, Magnesium orotate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AE07, moxifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Moxifloxacin.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be increased when used in combination with Gatifloxacin.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Benzocaine.]
[A10BX05, pramlintide, The therapeutic efficacy of Pramlintide can be increased when used in combination with Gatifloxacin.]
[M01AH01, celecoxib, Celecoxib may increase the neuroexcitatory activities of Gatifloxacin.]
[A12CC05, magnesium aspartate, Magnesium aspartate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N04AC01, benztropine, The risk or severity of QTc prolongation can be increased when Benzatropine is combined with Gatifloxacin.]
[L01EC02, dabrafenib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Dabrafenib.]
[R02AX03, benzydamine, Benzydamine may increase the neuroexcitatory activities of Gatifloxacin.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Benzyl alcohol.]
[B03AB04, ferric hydroxide, Ferric hydroxide can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AX28, levomilnacipran, The risk or severity of hypoglycemia can be increased when Gatifloxacin is combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Bepridil.]
[A10BJ03, lixisenatide, The therapeutic efficacy of Lixisenatide can be increased when used in combination with Gatifloxacin.]
[V03AE05, sucroferric oxyhydroxide, Iron sucrose can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be increased when used in combination with Gatifloxacin.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Gatifloxacin.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Gatifloxacin.]
[S03BA03, betamethasone, The risk or severity of tendinopathy can be increased when Betamethasone is combined with Gatifloxacin.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Gatifloxacin.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Gatifloxacin.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Gatifloxacin.]
[B01AA07, acenocoumarol, The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Gatifloxacin.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Gatifloxacin.]
[J01MB04, pipemidic acid, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Pipemidic acid.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Olodaterol.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Eliglustat.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Gatifloxacin.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Gatifloxacin.]
[V03AE08, ferric citrate, Tetraferric tricitrate decahydrate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be increased when used in combination with Gatifloxacin.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Gatifloxacin.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Gatifloxacin.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Gatifloxacin.]
[C01EB17, ivabradine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ivabradine.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Gatifloxacin.]
[M02AA25, aceclofenac, Aceclofenac may increase the neuroexcitatory activities of Gatifloxacin.]
[M01AB11, acemetacin, Acemetacin may increase the neuroexcitatory activities of Gatifloxacin.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Gatifloxacin.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Gatifloxacin.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Gatifloxacin.]
[M01AE16, alminoprofen, Alminoprofen may increase the neuroexcitatory activities of Gatifloxacin.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Gatifloxacin.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be increased when used in combination with Gatifloxacin.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Gatifloxacin.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Bupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Bupranolol.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Buserelin.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Gatifloxacin.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Gatifloxacin.]
[J01CE04, azidocillin, The serum concentration of Gatifloxacin can be increased when it is combined with Azidocillin.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Gatifloxacin.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Azithromycin.]
[J01CA06, bacampicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Bacampicillin.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may increase the neuroexcitatory activities of Gatifloxacin.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Gatifloxacin.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Gatifloxacin.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Gatifloxacin.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Gatifloxacin.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Oxybuprocaine.]
[A12AA04, calcium carbonate, Calcium carbonate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[D11AX03, calcium gluconate, Calcium gluconate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12AA01, calcium phosphate, Calcium Phosphate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Delafloxacin.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Gatifloxacin.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Vorinostat.]
[J05AG03, efavirenz, The metabolism of Efavirenz can be decreased when combined with Gatifloxacin.]
[R03BA02, budesonide, The risk or severity of tendinopathy can be increased when Budesonide is combined with Gatifloxacin.]
[M01AB07, bumadizone, Bumadizone may increase the neuroexcitatory activities of Gatifloxacin.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Acetyldigoxin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Gatifloxacin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Gatifloxacin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Acrivastine.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Macimorelin.]
[A06AC08, calcium polycarbophil, Calcium polycarbophil can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01CA03, carbenicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Carbenicillin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Carbinoxamine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Gatifloxacin.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Gatifloxacin.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Celiprolol.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Stiripentol can be decreased when combined with Gatifloxacin.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Gatifloxacin.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Gatifloxacin.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Chloroprocaine.]
[M01AC05, lornoxicam, Lornoxicam may increase the neuroexcitatory activities of Gatifloxacin.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Gatifloxacin.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Inotersen.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Gatifloxacin.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Cibenzoline.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Gatifloxacin.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Gatifloxacin.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Clarithromycin.]
[H02AB14, cloprednol, The risk or severity of tendinopathy can be increased when Cloprednol is combined with Gatifloxacin.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Gatifloxacin is combined with Ubidecarenone.]
[V03AE07, calcium acetate, Calcium acetate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC06, magnesium lactate, Magnesium lactate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The risk or severity of tendinopathy can be increased when Cortivazol is combined with Gatifloxacin.]
[J01CF03, methicillin, The serum concentration of Gatifloxacin can be increased when it is combined with Meticillin.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Cicletanine.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Gatifloxacin.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Entrectinib.]
[N07XX11, pitolisant, Gatifloxacin may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Gatifloxacin.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Gatifloxacin.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Gatifloxacin.]
[H02AB13, deflazacort, The risk or severity of tendinopathy can be increased when Deflazacort is combined with Gatifloxacin.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Gatifloxacin.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Dexchlorpheniramine.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Gatifloxacin.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Gatifloxacin.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Gatifloxacin.]
[C01BD07, dronedarone, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Dronedarone.]
[V03AE03, lanthanum carbonate, Lanthanum carbonate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Chlorcyclizine.]
[D07XB03, fluprednidene, The risk or severity of tendinopathy can be increased when Fluprednidene is combined with Gatifloxacin.]
[M01AC04, droxicam, Droxicam may increase the neuroexcitatory activities of Gatifloxacin.]
[M02AA27, dexketoprofen, Dexketoprofen may increase the neuroexcitatory activities of Gatifloxacin.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Gatifloxacin is combined with Dyclonine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ebastine.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Fostemsavir.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Chloroquine.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be decreased when combined with Gatifloxacin.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Gatifloxacin.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Chlorprothixene.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Gatifloxacin.]
[N02BA07, ethenzamide, Ethenzamide may increase the neuroexcitatory activities of Gatifloxacin.]
[M01AB08, etodolac, Etodolac may increase the neuroexcitatory activities of Gatifloxacin.]
[M02AA06, etofenamate, Etofenamate may increase the neuroexcitatory activities of Gatifloxacin.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Berotralstat.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Relugolix.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Gatifloxacin.]
[M01AE05, fenbufen, Fenbufen may increase the neuroexcitatory activities of Gatifloxacin.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Gatifloxacin.]
[V08CA07, ferric ammonium citrate, Ferric ammonium citrate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB31, prussian blue insoluble, Prussian blue can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB02, iron sucrose, Iron sucrose can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA05, ferrous chloride, Ferrous chloride can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA02, ferrous fumarate, Ferrous fumarate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA03, ferrous gluconate, Ferrous gluconate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA06, ferrous succinate, Ferrous succinate can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA07, ferrous sulfate, Ferrous sulfate anhydrous can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Flumequine.]
[R03BA03, flunisolide, The risk or severity of tendinopathy can be increased when Flunisolide is combined with Gatifloxacin.]
[S02BA08, fluocinolone acetonide, The risk or severity of tendinopathy can be increased when Fluocinolone acetonide is combined with Gatifloxacin.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Gatifloxacin.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Gatifloxacin.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Gatifloxacin.]
[B03AB10, ferric maltol, Ferric maltol can cause a decrease in the absorption of Gatifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N07CA02, cinnarizine, The metabolism of Cinnarizine can be decreased when combined with Gatifloxacin.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Citalopram.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Gatifloxacin is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Gatifloxacin.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Gatifloxacin.]
