[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Repaglinide.]
[J05AP02, telaprevir, The metabolism of Repaglinide can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Repaglinide can be decreased when combined with Rilpivirine.]
[C08DA01, verapamil, The metabolism of Repaglinide can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Repaglinide can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, Vinblastine may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[L01CA02, vincristine, Vincristine may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[S01AA13, fusidic acid, Fusidic acid may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[C03BA10, xipamide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Xipamide.]
[J05AF01, zidovudine, The metabolism of Repaglinide can be decreased when combined with Zidovudine.]
[J05AE02, indinavir, The metabolism of Repaglinide can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The therapeutic efficacy of Repaglinide can be increased when used in combination with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Repaglinide can be decreased when combined with Crizotinib.]
[J01MA13, trovafloxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Trovafloxacin.]
[N05AE04, ziprasidone, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Ziprasidone.]
[G03AC10, drospirenone, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Drospirenone.]
[N02BA01, aspirin, The risk or severity of hypoglycemia can be increased when Acetylsalicylic acid is combined with Repaglinide.]
[C07AB03, atenolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Atenolol.]
[J02AC03, voriconazole, The metabolism of Repaglinide can be decreased when combined with Voriconazole.]
[S01FA01, atropine, Atropine may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[L01EK01, axitinib, The excretion of Repaglinide can be decreased when combined with Axitinib.]
[H02AB11, prednylidene, The risk or severity of hyperglycemia can be increased when Prednylidene is combined with Repaglinide.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Repaglinide.]
[M03BX01, baclofen, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Baclofen.]
[V03AX03, cobicistat, The metabolism of Repaglinide can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Repaglinide can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Repaglinide can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The metabolism of Repaglinide can be decreased when combined with Bosutinib.]
[L04AA31, teriflunomide, The serum concentration of Repaglinide can be increased when it is combined with Teriflunomide.]
[H02AA01, aldosterone, The risk or severity of hyperglycemia can be increased when Aldosterone is combined with Repaglinide.]
[J05AE04, nelfinavir, The metabolism of Repaglinide can be decreased when combined with Nelfinavir.]
[N04BD02, rasagiline, Rasagiline may increase the hypoglycemic activities of Repaglinide.]
[C08CA13, lercanidipine, The risk or severity of hypoglycemia can be increased when Lercanidipine is combined with Repaglinide.]
[L01EX07, cabozantinib, The metabolism of Repaglinide can be decreased when combined with Cabozantinib.]
[H01CB05, pasireotide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Pasireotide.]
[G04BE03, sildenafil, The excretion of Repaglinide can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Repaglinide.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Repaglinide.]
[C04AX11, bencyclane, The risk or severity of hypoglycemia can be increased when Bencyclane is combined with Repaglinide.]
[A10BH04, alogliptin, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Alogliptin.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Bendroflumethiazide.]
[A10BK02, canagliflozin, Canagliflozin may increase the hypoglycemic activities of Repaglinide.]
[J01MA15, gemifloxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Gemifloxacin.]
[M04AB03, benzbromarone, Repaglinide may decrease the excretion rate of Benzbromarone which could result in a higher serum level.]
[S01AE07, moxifloxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Repaglinide can be decreased when combined with Tegaserod.]
[H03AA04, tiratricol, Tiratricol may decrease the hypoglycemic activities of Repaglinide.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Insulin detemir.]
[A10BX05, pramlintide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Pramlintide.]
[J02AX04, caspofungin, The excretion of Repaglinide can be decreased when combined with Caspofungin.]
[M01AH01, celecoxib, Celecoxib may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[L04AA18, everolimus, The serum concentration of Repaglinide can be increased when it is combined with Everolimus.]
[L01EC02, dabrafenib, The serum concentration of Repaglinide can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The metabolism of Repaglinide can be decreased when combined with Trametinib.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Repaglinide.]
[N06AX28, levomilnacipran, The risk or severity of hypoglycemia can be increased when Levomilnacipran is combined with Repaglinide.]
[C08EA02, bepridil, The risk or severity of hypoglycemia can be increased when Bepridil is combined with Repaglinide.]
[C02KX05, riociguat, The metabolism of Riociguat can be decreased when combined with Repaglinide.]
[A10BJ03, lixisenatide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Lixisenatide.]
[A05AA03, cholic acid, Cholic Acid may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Repaglinide.]
[G03AC08, etonogestrel, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Etonogestrel.]
[J05AP05, simeprevir, Simeprevir may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the hypoglycemic activities of Repaglinide.]
[C07AB04, acebutolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Acebutolol.]
[A16AA07, metreleptin, The metabolism of Repaglinide can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Repaglinide can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of hyperglycemia can be increased when Betamethasone is combined with Repaglinide.]
[S01ED02, betaxolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Betaxolol.]
[C10AB02, bezafibrate, The metabolism of Repaglinide can be decreased when combined with Bezafibrate.]
[A10BJ04, albiglutide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Albiglutide.]
[L04AC11, siltuximab, The metabolism of Repaglinide can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Ceritinib.]
[L01EM01, idelalisib, The excretion of Repaglinide can be decreased when combined with Idelalisib.]
[A10BK03, empagliflozin, Empagliflozin may increase the hypoglycemic activities of Repaglinide.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Repaglinide.]
[A10BJ05, dulaglutide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Dulaglutide.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Repaglinide.]
[L04AC10, secukinumab, The metabolism of Repaglinide can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, Lenvatinib may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[J05AP07, daclatasvir, The excretion of Repaglinide can be decreased when combined with Daclatasvir.]
[J05AP06, asunaprevir, The excretion of Repaglinide can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The excretion of Repaglinide can be decreased when combined with Eluxadoline.]
[N05AX16, brexpiprazole, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Brexpiprazole.]
[A10BF01, acarbose, The risk or severity of hypoglycemia can be increased when Acarbose is combined with Repaglinide.]
[S01EC01, acetazolamide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Acetazolamide.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Insulin degludec.]
[A02BC03, lansoprazole, The metabolism of Repaglinide can be decreased when combined with Lansoprazole.]
[J02AC05, isavuconazole, The metabolism of Repaglinide can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, The metabolism of Selexipag can be decreased when combined with Repaglinide.]
[A10BB31, acetohexamide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Acetohexamide.]
[N02BA02, aloxiprin, Aloxiprin may increase the hypoglycemic activities of Repaglinide.]
[L01XX52, venetoclax, The metabolism of Repaglinide can be decreased when combined with Venetoclax.]
[N04BC01, bromocriptine, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Bromocriptine.]
[D07AC11, amcinonide, The risk or severity of hyperglycemia can be increased when Amcinonide is combined with Repaglinide.]
[N06AA19, amineptin, Amineptine may decrease the hypoglycemic activities of Repaglinide.]
[C08CA01, amlodipine, The risk or severity of hypoglycemia can be increased when Amlodipine is combined with Repaglinide.]
[C03CA02, bumetanide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Bumetanide.]
[C07AA19, bupranolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Repaglinide.]
[L02AE01, buserelin, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Buserelin.]
[L01XX27, arsenic trioxide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Arsenic trioxide.]
[J01MA09, sparfloxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Sparfloxacin.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Repaglinide.]
[L01EF02, ribociclib, The metabolism of Repaglinide can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may increase the hypoglycemic activities of Repaglinide.]
[N02BF02, pregabalin, The risk or severity of hypoglycemia can be increased when Pregabalin is combined with Repaglinide.]
[C09AA07, benazepril, The risk or severity of hypoglycemia can be increased when Benazepril is combined with Repaglinide.]
[A10BX06, benfluorex, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Benfluorex.]
[J01XX08, linezolid, Linezolid may increase the hypoglycemic activities of Repaglinide.]
[J05AE09, tipranavir, The metabolism of Repaglinide can be decreased when combined with Tipranavir.]
[L04AB02, infliximab, The metabolism of Repaglinide can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Repaglinide can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Repaglinide.]
[N04BD03, safinamide, Safinamide may increase the hypoglycemic activities of Repaglinide.]
[J01MA23, delafloxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Delafloxacin.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Repaglinide.]
[L01XH01, vorinostat, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Vorinostat.]
[C07AB07, bisoprolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Repaglinide can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Bopindolol.]
[V03AB23, acetylcysteine, The excretion of Repaglinide can be decreased when combined with Acetylcysteine.]
[R03BA02, budesonide, The risk or severity of hyperglycemia can be increased when Budesonide is combined with Repaglinide.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[N06AA15, butriptyline, Butriptyline may decrease the hypoglycemic activities of Repaglinide.]
[A10BJ06, semaglutide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Semaglutide.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Ertugliflozin.]
[L02BB05, apalutamide, The metabolism of Repaglinide can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Repaglinide can be increased when combined with Carbamazepine.]
[C07AG02, carvedilol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Repaglinide can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Repaglinide can be increased when combined with Avatrombopag.]
[C07AB08, celiprolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Repaglinide.]
[L01XX62, ivosidenib, The metabolism of Repaglinide can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Repaglinide can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The serum concentration of Repaglinide can be increased when it is combined with Tecovirimat.]
[A10BB06, carbutamide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Carbutamide.]
[L04AA39, emapalumab, The metabolism of Repaglinide can be increased when combined with Emapalumab.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Repaglinide.]
[C01BG07, cifenline, The risk or severity of hypoglycemia can be increased when Cibenzoline is combined with Repaglinide.]
[P02BX04, triclabendazole, The metabolism of Repaglinide can be decreased when combined with Triclabendazole.]
[J01FA09, clarithromycin, The serum concentration of Repaglinide can be increased when it is combined with Clarithromycin.]
[D07AB21, clocortolone, The risk or severity of hyperglycemia can be increased when Clocortolone is combined with Repaglinide.]
[H02AB14, cloprednol, The risk or severity of hyperglycemia can be increased when Cloprednol is combined with Repaglinide.]
[C01EB09, ubidecarenone, The risk or severity of hypoglycemia can be increased when Ubidecarenone is combined with Repaglinide.]
[C09CA06, candesartan, The metabolism of Repaglinide can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Repaglinide can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of hyperglycemia can be increased when Cortivazol is combined with Repaglinide.]
[L01EM03, alpelisib, The metabolism of Repaglinide can be decreased when combined with Alpelisib.]
[J01DC04, cefaclor, Cefaclor may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[L02BB06, darolutamide, The excretion of Repaglinide can be decreased when combined with Darolutamide.]
[L01EX15, pexidartinib, The excretion of Repaglinide can be decreased when combined with Pexidartinib.]
[L01EJ02, fedratinib, The excretion of Repaglinide can be decreased when combined with Fedratinib.]
[N07XX11, pitolisant, The serum concentration of Repaglinide can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Repaglinide.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Cyclothiazide.]
[A10AE03, insulin, regular, pork, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Insulin pork.]
[H02AB13, deflazacort, The risk or severity of hyperglycemia can be increased when Deflazacort is combined with Repaglinide.]
[G03AC09, desogestrel, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Desogestrel.]
[N03AX25, cenobamate, The serum concentration of Repaglinide can be decreased when it is combined with Cenobamate.]
[L04AA53, teprotumumab, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Teprotumumab.]
[C10AX15, bempedoic acid, The excretion of Repaglinide can be decreased when combined with Bempedoic acid.]
[S01AE06, gatifloxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Gatifloxacin.]
[J05AE05, amprenavir, The metabolism of Repaglinide can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Repaglinide.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Repaglinide.]
[G03DB08, dienogest, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Dienogest.]
[D07AC19, difluprednate, The risk or severity of hyperglycemia can be increased when Difluprednate is combined with Repaglinide.]
[M01AH02, rofecoxib, The metabolism of Repaglinide can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Repaglinide can be decreased when combined with Bexarotene.]
[C08CA16, clevidipine, The risk or severity of hypoglycemia can be increased when Clevidipine is combined with Repaglinide.]
[C01BD07, dronedarone, The metabolism of Repaglinide can be decreased when combined with Dronedarone.]
[J01FA13, dirithromycin, The serum concentration of Repaglinide can be increased when it is combined with Dirithromycin.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Repaglinide.]
[D07XB03, fluprednidene, The risk or severity of hyperglycemia can be increased when Fluprednidene is combined with Repaglinide.]
[L01EX22, selpercatinib, The serum concentration of Repaglinide can be increased when it is combined with Selpercatinib.]
[S01BA14, loteprednol, The risk or severity of hyperglycemia can be increased when Loteprednol is combined with Repaglinide.]
[C08CA17, levamlodipine, The risk or severity of hypoglycemia can be increased when Levamlodipine is combined with Repaglinide.]
[J05AX29, fostemsavir, The excretion of Repaglinide can be decreased when combined with Fostemsavir.]
[L01FX15, belantamab mafodotin, Repaglinide may decrease the excretion rate of Belantamab mafodotin which could result in a higher serum level.]
[L04AC19, satralizumab, The serum concentration of Repaglinide can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The metabolism of Repaglinide can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[C03AA04, chlorothiazide, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Chlorothiazide.]
[N05AA01, chlorpromazine, Chlorpromazine may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[A10BB02, chlorpropamide, The risk or severity of hypoglycemia can be increased when Chlorpropamide is combined with Repaglinide.]
[C03BA04, chlorthalidone, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Chlorthalidone.]
[V04CK02, cholecystokinin, The excretion of Repaglinide can be decreased when combined with Cholecystokinin.]
[N02BA03, choline salicylate, Choline salicylate may increase the hypoglycemic activities of Repaglinide.]
[N06BX18, vinpocetine, The risk or severity of hypoglycemia can be increased when Vinpocetine is combined with Repaglinide.]
[B06AC06, berotralstat, The metabolism of Repaglinide can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Repaglinide can be decreased when combined with Lonafarnib.]
[P03AX07, abametapir, The serum concentration of Repaglinide can be increased when it is combined with Abametapir.]
[J01MB07, flumequine, The therapeutic efficacy of Repaglinide can be increased when used in combination with Flumequine.]
[R03BA03, flunisolide, The risk or severity of hyperglycemia can be increased when Flunisolide is combined with Repaglinide.]
[S02BA08, fluocinolone acetonide, The risk or severity of hyperglycemia can be increased when Fluocinolone acetonide is combined with Repaglinide.]
[S01JA01, fluorescein, Fluorescein may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[A10AF01, insulin, regular, human, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Insulin human.]
[A02BA01, cimetidine, Cimetidine may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[N07CA02, cinnarizine, The risk or severity of hypoglycemia can be increased when Cinnarizine is combined with Repaglinide.]
[J01MB06, cinoxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Cinoxacin.]
[L01XX73, sotorasib, The serum concentration of Repaglinide can be decreased when it is combined with Sotorasib.]
[S03AA07, ciprofloxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of hypoglycemia can be increased when Citalopram is combined with Repaglinide.]
[H01AC07, somapacitan, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Somapacitan.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Repaglinide.]
[L04AA48, belumosudil, The excretion of Repaglinide can be decreased when combined with Belumosudil.]
[H01AC09, lonapegsomatropin, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Lonapegsomatropin.]
[A10BB12, glimepiride, The risk or severity of hypoglycemia can be increased when Glimepiride is combined with Repaglinide.]
[A10BB08, gliquidone, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Gliquidone.]
[J01FF01, clindamycin, The serum concentration of Repaglinide can be increased when it is combined with Clindamycin.]
[N06AX25, St. John's wort extract, The metabolism of Repaglinide can be increased when combined with St. John's Wort.]
[D07AD01, clobetasol, The risk or severity of hyperglycemia can be increased when Clobetasol is combined with Repaglinide.]
[B06AX04, mitapivat, The therapeutic efficacy of Repaglinide can be increased when used in combination with Mitapivat.]
[N06AA04, clomipramine, Clomipramine may decrease the hypoglycemic activities of Repaglinide.]
[C01EB24, mavacamten, The serum concentration of Repaglinide can be decreased when it is combined with Mavacamten.]
[A10BX16, tirzepatide, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Tirzepatide.]
[C03BA03, clopamide, The therapeutic efficacy of Repaglinide can be increased when used in combination with Clopamide.]
[A05BA08, glycyrrhizic acid, Repaglinide may decrease the excretion rate of Glycyrrhizic acid which could result in a higher serum level.]
[H01CC04, linzagolix, The serum concentration of Repaglinide can be increased when it is combined with Linzagolix.]
[N05AH02, clozapine, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Clozapine.]
[A10BX01, guar gum, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Guar gum.]
[A10BK06, sotagliflozin, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Sotagliflozin.]
[D07AC12, halometasone, The risk or severity of hyperglycemia can be increased when Halometasone is combined with Repaglinide.]
[H01AC08, somatrogon, The therapeutic efficacy of Repaglinide can be decreased when used in combination with Somatrogon.]
[L04AC21, bimekizumab, The metabolism of Repaglinide can be increased when combined with Bimekizumab.]
[L04AA13, leflunomide, The serum concentration of Repaglinide can be increased when it is combined with Leflunomide.]
[A10BX03, nateglinide, The risk or severity of hypoglycemia can be increased when Nateglinide is combined with Repaglinide.]
[H01AC03, mecasermin, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Mecasermin.]
[A10AE04, insulin glargine, The risk or severity of hypoglycemia can be increased when Repaglinide is combined with Insulin glargine.]
[J01FA15, telithromycin, The serum concentration of Repaglinide can be increased when it is combined with Telithromycin.]
[R03BA08, ciclesonide, The risk or severity of hyperglycemia can be increased when Ciclesonide is combined with Repaglinide.]
[H01AX01, pegvisomant, The risk or severity of hypoglycemia can be increased when Pegvisomant is combined with Repaglinide.]
[N02CC05, almotriptan, The metabolism of Almotriptan can be decreased when combined with Repaglinide.]
[J02AC02, itraconazole, The metabolism of Repaglinide can be decreased when combined with Itraconazole.]
[L01EA01, imatinib, Imatinib may decrease the excretion rate of Repaglinide which could result in a higher serum level.]
[J02AC04, posaconazole, The metabolism of Repaglinide can be decreased when combined with Posaconazole.]
[C08CA09, lacidipine, The risk or severity of hypoglycemia can be increased when Lacidipine is combined with Repaglinide.]
[S01BA03, cortisone, The risk or severity of hyperglycemia can be increased when Cortisone is combined with Repaglinide.]
[S01AE04, lomefloxacin, The therapeutic efficacy of Repaglinide can be increased when used in combination with Lomefloxacin.]
[R06AX13, loratadine, The metabolism of Repaglinide can be decreased when combined with Loratadine.]
[C08CA11, manidipine, The risk or severity of hypoglycemia can be increased when Manidipine is combined with Repaglinide.]
[S01BA08, medrysone, The risk or severity of hyperglycemia can be increased when Medrysone is combined with Repaglinide.]
[C07AA14, mepindolol, The therapeutic efficacy of Repaglinide can be increased when used in combination with Mepindolol.]
[H02AB15, meprednisone, The risk or severity of hyperglycemia can be increased when Meprednisone is combined with Repaglinide.]
[C04AX01, cyclandelate, The risk or severity of hypoglycemia can be increased when Cyclandelate is combined with Repaglinide.]
