[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Yohimbine is combined with Antipyrine.]
[N06AX09, viloxazine, The metabolism of Yohimbine can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Yohimbine can be decreased when combined with Vinblastine.]
[C04AX07, vincamine, Yohimbine may decrease the antihypertensive activities of Vincamine.]
[B01AA03, warfarin, The risk or severity of adverse effects can be increased when Yohimbine is combined with Warfarin.]
[N01AX15, xenon, The risk or severity of hypertension can be increased when Yohimbine is combined with Xenon.]
[C03BA10, xipamide, Yohimbine may decrease the antihypertensive activities of Xipamide.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Yohimbine is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Yohimbine can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Levetiracetam is combined with Yohimbine.]
[L01EC01, vemurafenib, The metabolism of Yohimbine can be decreased when combined with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Yohimbine can be decreased when combined with Crizotinib.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Yohimbine is combined with Ziprasidone.]
[N02BA01, aspirin, The risk or severity of hypertension can be increased when Acetylsalicylic acid is combined with Yohimbine.]
[G04BD07, tolterodine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Tolterodine.]
[C07AB03, atenolol, Yohimbine may decrease the antihypertensive activities of Atenolol.]
[J02AC03, voriconazole, The metabolism of Yohimbine can be decreased when combined with Voriconazole.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Yohimbine is combined with Atracurium.]
[S01FA01, atropine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Atropine.]
[G04BE10, avanafil, Yohimbine may increase the hypotensive activities of Avanafil.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Yohimbine.]
[A08AA11, lorcaserin, The metabolism of Yohimbine can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Yohimbine can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Yohimbine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Yohimbine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Yohimbine can be decreased when it is combined with Enzalutamide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Yohimbine is combined with Octopamine.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Yohimbine is combined with Barbital.]
[J05AE04, nelfinavir, The metabolism of Yohimbine can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Yohimbine.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Rasagiline is combined with Yohimbine.]
[C08CA13, lercanidipine, Yohimbine may decrease the antihypertensive activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Yohimbine is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Donepezil is combined with Yohimbine.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Yohimbine.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Yohimbine.]
[R06AC06, thonzylamine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Yohimbine can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Yohimbine is combined with Diethyl ether.]
[G04BE03, sildenafil, The metabolism of Yohimbine can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Yohimbine.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Yohimbine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Yohimbine can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Yohimbine may decrease the antihypertensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Yohimbine is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Yohimbine can be decreased when combined with Ospemifene.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Yohimbine is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Yohimbine is combined with Benperidol.]
[A06AX06, tegaserod, The metabolism of Yohimbine can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Benzocaine is combined with Yohimbine.]
[M01AH01, celecoxib, The metabolism of Yohimbine can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Yohimbine.]
[L04AA18, everolimus, The metabolism of Yohimbine can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Yohimbine can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Yohimbine is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Yohimbine is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Yohimbine is combined with Levomilnacipran.]
[C08EA02, bepridil, The metabolism of Yohimbine can be decreased when combined with Bepridil.]
[C02KX05, riociguat, Yohimbine may decrease the antihypertensive activities of Riociguat.]
[C02KX04, macitentan, Yohimbine may decrease the antihypertensive activities of Macitentan.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Yohimbine.]
[N06AX26, vortioxetine, The therapeutic efficacy of Vortioxetine can be increased when used in combination with Yohimbine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Yohimbine can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Vigabatrin is combined with Yohimbine.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Yohimbine.]
[C01CA27, droxidopa, Yohimbine may decrease the hypertensive activities of Droxidopa.]
[C07AB04, acebutolol, The metabolism of Yohimbine can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Yohimbine is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Yohimbine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Yohimbine can be increased when combined with Apremilast.]
[S01ED02, betaxolol, Yohimbine may decrease the antihypertensive activities of Betaxolol.]
[C02CC01, bethanidine, Yohimbine may decrease the antihypertensive activities of Bethanidine.]
[L04AC11, siltuximab, The metabolism of Yohimbine can be increased when combined with Siltuximab.]
[A03BA03, hyoscyamine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of adverse effects can be increased when Yohimbine is combined with Acenocoumarol.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Yohimbine is combined with Alfaxalone.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Yohimbine is combined with Olodaterol.]
[D11AA01, glycopyrronium, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Yohimbine can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Yohimbine can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Acepromazine.]
[N04AA02, biperiden, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Yohimbine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Yohimbine.]
[B01AA01, dicumarol, The risk or severity of adverse effects can be increased when Yohimbine is combined with Dicoumarol.]
[N06AX11, mirtazapine, Yohimbine may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Yohimbine can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Yohimbine can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Yohimbine can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[B01AA11, tioclomarol, The risk or severity of adverse effects can be increased when Yohimbine is combined with Tioclomarol.]
[J05AP06, asunaprevir, The metabolism of Yohimbine can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Yohimbine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Yohimbine is combined with Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Yohimbine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Yohimbine is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Cariprazine.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Yohimbine is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Yohimbine is combined with Acemetacin.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Yohimbine.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Acetophenazine is combined with Yohimbine.]
[A02BC03, lansoprazole, The metabolism of Yohimbine can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Yohimbine.]
[J02AC05, isavuconazole, The metabolism of Yohimbine can be decreased when combined with Isavuconazole.]
[B01AC27, selexipag, Yohimbine may decrease the antihypertensive activities of Selexipag.]
[G04CA01, alfuzosin, Yohimbine may increase the hypotensive activities of Alfuzosin.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Yohimbine.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Yohimbine is combined with Alminoprofen.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Yohimbine is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Yohimbine can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The therapeutic efficacy of Bromazepam can be increased when used in combination with Yohimbine.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Bromocriptine is combined with Yohimbine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Yohimbine.]
[N06AA19, amineptin, The serum concentration of Yohimbine can be increased when it is combined with Amineptine.]
[C08CA01, amlodipine, Yohimbine may decrease the antihypertensive activities of Amlodipine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Yohimbine is combined with Aniracetam.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Yohimbine.]
[C07AA19, bupranolol, Yohimbine may decrease the antihypertensive activities of Bupranolol.]
[N07BC01, buprenorphine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Yohimbine.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Yohimbine.]
[S01GX07, azelastine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Yohimbine can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Yohimbine can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Balsalazide is combined with Yohimbine.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Yohimbine is combined with Bambuterol.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Yohimbine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Yohimbine is combined with Beclamide.]
[C09AA07, benazepril, Yohimbine may decrease the antihypertensive activities of Benazepril.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxybuprocaine is combined with Yohimbine.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Yohimbine.]
[J05AE09, tipranavir, The metabolism of Yohimbine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Yohimbine.]
[L04AB02, infliximab, The metabolism of Yohimbine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Yohimbine can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Yohimbine is combined with Safinamide.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Yohimbine.]
[C07AB07, bisoprolol, Yohimbine may decrease the antihypertensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Bitolterol is combined with Yohimbine.]
[J05AG03, efavirenz, The metabolism of Yohimbine can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Yohimbine.]
[N04AA11, bornaprine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Bornaprine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Yohimbine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Yohimbine is combined with Brotizolam.]
[C04AX20, buflomedil, The risk or severity of hypertension can be increased when Yohimbine is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Yohimbine is combined with Bumadizone.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Yohimbine.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Yohimbine.]
[N06AA15, butriptyline, The therapeutic efficacy of Butriptyline can be increased when used in combination with Yohimbine.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Yohimbine is combined with Vinylbital.]
[C09AA01, captopril, Yohimbine may decrease the antihypertensive activities of Captopril.]
[L02BB05, apalutamide, The metabolism of Yohimbine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Yohimbine can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Yohimbine.]
[C07AG02, carvedilol, Yohimbine may decrease the antihypertensive activities of Carvedilol.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Yohimbine.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Yohimbine.]
[C07AB08, celiprolol, Yohimbine may decrease the antihypertensive activities of Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Yohimbine.]
[L01XX62, ivosidenib, The metabolism of Yohimbine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Yohimbine.]
[N03AX17, stiripentol, The metabolism of Yohimbine can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Yohimbine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Yohimbine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Yohimbine is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Chloroprocaine is combined with Yohimbine.]
[R06AA06, chlorphenoxamine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Yohimbine is combined with Lornoxicam.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Yohimbine.]
[R03BB08, revefenacin, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Yohimbine can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The therapeutic efficacy of Yohimbine can be decreased when used in combination with Gilteritinib.]
[C09AA08, cilazapril, Yohimbine may decrease the antihypertensive activities of Cilazapril.]
[B01AC23, cilostazol, The metabolism of Yohimbine can be decreased when combined with Cilostazol.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Yohimbine is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Yohimbine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Yohimbine.]
[L04AA42, siponimod, The risk or severity of hypertension can be increased when Yohimbine is combined with Siponimod.]
[J01FA09, clarithromycin, The metabolism of Yohimbine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Yohimbine.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Yohimbine is combined with Brexanolone.]
[N05BA09, clobazam, The therapeutic efficacy of Clobazam can be increased when used in combination with Yohimbine.]
[N05BA22, cloxazolam, The therapeutic efficacy of Cloxazolam can be increased when used in combination with Yohimbine.]
[C09CA06, candesartan, Yohimbine may decrease the antihypertensive activities of Candesartan.]
[L04AB01, etanercept, The metabolism of Yohimbine can be increased when combined with Etanercept.]
[N05AA06, cyamemazine, The therapeutic efficacy of Cyamemazine can be increased when used in combination with Yohimbine.]
[C03BX03, cicletanine, Yohimbine may decrease the antihypertensive activities of Cicletanine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Yohimbine.]
[L01EJ02, fedratinib, The metabolism of Yohimbine can be decreased when combined with Fedratinib.]
[N07XX11, pitolisant, The serum concentration of Yohimbine can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Yohimbine.]
[C03AA09, cyclothiazide, Yohimbine may decrease the antihypertensive activities of Cyclothiazide.]
[S01AA13, fusidic acid, The metabolism of Yohimbine can be decreased when combined with Fusidic acid.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Yohimbine.]
[N03AX25, cenobamate, The serum concentration of Yohimbine can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Yohimbine can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Yohimbine.]
[R06AB02, dexchlorpheniramine, The metabolism of Yohimbine can be decreased when combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Dezocine is combined with Yohimbine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Yohimbine is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Yohimbine is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Yohimbine can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Yohimbine can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Yohimbine can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Frovatriptan is combined with Yohimbine.]
[G04CB02, dutasteride, The risk or severity of hypertension can be increased when Dutasteride is combined with Yohimbine.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Yohimbine is combined with Dichloralphenazone.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Yohimbine is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Yohimbine is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Yohimbine.]
[M01AH02, rofecoxib, The risk or severity of hypertension can be increased when Rofecoxib is combined with Yohimbine.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Yohimbine.]
[C01BD07, dronedarone, The metabolism of Yohimbine can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Yohimbine is combined with Valpromide.]
[N05BA02, chlordiazepoxide, The therapeutic efficacy of Chlordiazepoxide can be increased when used in combination with Yohimbine.]
[C02AA06, methoserpidine, Yohimbine may decrease the antihypertensive activities of Methoserpidine.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Yohimbine.]
[A03AA08, dihexyverine, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Dihexyverine.]
[C01CA14, dopexamine, The therapeutic efficacy of Dopexamine can be decreased when used in combination with Yohimbine.]
[G04BD09, trospium, Yohimbine may increase the central nervous system depressant (CNS depressant) activities of Trospium.]
[M01AC04, droxicam, The risk or severity of hypertension can be increased when Yohimbine is combined with Droxicam.]
[L01EX22, selpercatinib, The risk or severity of hypertension can be increased when Yohimbine is combined with Selpercatinib.]
[M02AA27, dexketoprofen, The risk or severity of hypertension can be increased when Yohimbine is combined with Dexketoprofen.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Yohimbine is combined with Clomethiazole.]
[M03BB02, chlormezanone, The therapeutic efficacy of Chlormezanone can be increased when used in combination with Yohimbine.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Dyclonine is combined with Yohimbine.]
[C08CA17, levamlodipine, Yohimbine may decrease the antihypertensive activities of Levamlodipine.]
[P01BB01, proguanil, The metabolism of Yohimbine can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of adverse effects can be increased when Yohimbine is combined with Remimazolam.]
