[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Anastrozole.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Bupivacaine.]
[N07BC01, buprenorphine, The metabolism of Anastrozole can be decreased when combined with Buprenorphine.]
[L01AB01, busulfan, The risk or severity of cardiotoxicity can be increased when Busulfan is combined with Anastrozole.]
[L01XX27, arsenic trioxide, The risk or severity of cardiotoxicity can be increased when Arsenic trioxide is combined with Anastrozole.]
[S01GX07, azelastine, The metabolism of Anastrozole can be decreased when combined with Azelastine.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Oxybuprocaine.]
[L04AB02, infliximab, The metabolism of Anastrozole can be increased when combined with Infliximab.]
[L01ED04, brigatinib, The metabolism of Brigatinib can be decreased when combined with Anastrozole.]
[L01BC06, capecitabine, The risk or severity of cardiotoxicity can be increased when Capecitabine is combined with Anastrozole.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Anastrozole.]
[J05AG03, efavirenz, The metabolism of Anastrozole can be decreased when combined with Efavirenz.]
[J05AX18, letermovir, The metabolism of Anastrozole can be decreased when combined with Letermovir.]
[C01AA02, acetyldigoxins, Acetyldigoxin may decrease the cardiotoxic activities of Anastrozole.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Capsaicin.]
[L02BB05, apalutamide, The metabolism of Apalutamide can be decreased when combined with Anastrozole.]
[N03AX24, cannabidiol, The metabolism of Anastrozole can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Anastrozole can be increased when combined with Avatrombopag.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Anastrozole.]
[N03AX17, stiripentol, The metabolism of Anastrozole can be decreased when combined with Stiripentol.]
[J05AX24, tecovirimat, The metabolism of Anastrozole can be increased when combined with Tecovirimat.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Chloroprocaine.]
[L04AA39, emapalumab, The metabolism of Anastrozole can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of cardiotoxicity can be increased when Carmustine is combined with Anastrozole.]
[L01XJ03, glasdegib, The metabolism of Glasdegib can be decreased when combined with Anastrozole.]
[P02BX04, triclabendazole, The metabolism of Anastrozole can be decreased when combined with Triclabendazole.]
[C09CA06, candesartan, The metabolism of Anastrozole can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Anastrozole can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The metabolism of Anastrozole can be decreased when combined with Alpelisib.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Anastrozole.]
[L01FD01, trastuzumab, The risk or severity of cardiotoxicity can be increased when Trastuzumab is combined with Anastrozole.]
[N03AX25, cenobamate, The metabolism of Anastrozole can be increased when combined with Cenobamate.]
[L04AA38, ozanimod, The metabolism of Ozanimod can be decreased when combined with Anastrozole.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Anastrozole.]
[M01AH02, rofecoxib, The metabolism of Anastrozole can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The metabolism of Anastrozole can be decreased when combined with Bexarotene.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Anastrozole.]
[L01EX22, selpercatinib, The serum concentration of Anastrozole can be increased when it is combined with Selpercatinib.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Dyclonine.]
[P01BA01, chloroquine, The metabolism of Anastrozole can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Anastrozole can be decreased when combined with Pralsetinib.]
[G03CA06, chlorotrianisene, The therapeutic efficacy of Anastrozole can be decreased when used in combination with Chlorotrianisene.]
[L01BB05, fludarabine, The risk or severity of cardiotoxicity can be increased when Fludarabine is combined with Anastrozole.]
[S01LA08, bevacizumab, The risk or severity of cardiotoxicity can be increased when Bevacizumab is combined with Anastrozole.]
[A02BA01, cimetidine, The metabolism of Anastrozole can be decreased when combined with Cimetidine.]
[L01XA01, cisplatin, The risk or severity of cardiotoxicity can be increased when Cisplatin is combined with Anastrozole.]
[C03DA05, finerenone, The metabolism of Finerenone can be decreased when combined with Anastrozole.]
[B06AX04, mitapivat, The metabolism of Anastrozole can be increased when combined with Mitapivat.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Levobupivacaine.]
[H01CC04, linzagolix, The serum concentration of Anastrozole can be increased when it is combined with Linzagolix.]
[S02DA02, cocaine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Cocaine.]
[L04AC21, bimekizumab, The metabolism of Anastrozole can be increased when combined with Bimekizumab.]
[C01AA06, lanatoside C, Lanatoside C may decrease the cardiotoxic activities of Anastrozole.]
[N02CC05, almotriptan, The metabolism of Anastrozole can be decreased when combined with Almotriptan.]
[L01EA01, imatinib, The risk or severity of cardiotoxicity can be increased when Imatinib is combined with Anastrozole.]
[B03XA02, darbepoetin alfa, The risk or severity of Thrombosis can be increased when Darbepoetin alfa is combined with Anastrozole.]
[R06AX13, loratadine, The metabolism of Anastrozole can be decreased when combined with Loratadine.]
[L01AA01, cyclophosphamide, The risk or severity of cardiotoxicity can be increased when Cyclophosphamide is combined with Anastrozole.]
[J04BA02, dapsone, The metabolism of Anastrozole can be decreased when combined with Dapsone.]
[L01DB02, daunorubicin, The risk or severity of cardiotoxicity can be increased when Daunorubicin is combined with Anastrozole.]
[L02BB02, nilutamide, The metabolism of Anastrozole can be decreased when combined with Nilutamide.]
[C01AA07, deslanoside, Deslanoside may decrease the cardiotoxic activities of Anastrozole.]
[S03BA01, dexamethasone, The metabolism of Anastrozole can be increased when combined with Dexamethasone.]
[G04BD04, oxybutynin, The metabolism of Anastrozole can be decreased when combined with Oxybutynin.]
[L04AB04, adalimumab, The metabolism of Anastrozole can be increased when combined with Adalimumab.]
[N03AC01, paramethadione, The metabolism of Anastrozole can be decreased when combined with Paramethadione.]
[B01AC04, clopidogrel, The metabolism of Anastrozole can be decreased when combined with Clopidogrel.]
[R02AA19, phenol, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Phenol.]
[S02DA04, dibucaine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Cinchocaine.]
[S01BC03, diclofenac, The metabolism of Anastrozole can be decreased when combined with Diclofenac.]
[G03CC02, dienestrol, The therapeutic efficacy of Anastrozole can be decreased when used in combination with Dienestrol.]
[A10BG03, pioglitazone, The metabolism of Anastrozole can be decreased when combined with Pioglitazone.]
[L01EB02, erlotinib, The metabolism of Erlotinib can be decreased when combined with Anastrozole.]
[L02AA01, diethylstilbestrol, The therapeutic efficacy of Anastrozole can be decreased when used in combination with Diethylstilbestrol.]
[C01AA04, digitoxin, Digitoxin may decrease the cardiotoxic activities of Anastrozole.]
[C01AA05, digoxin, Digoxin may decrease the cardiotoxic activities of Anastrozole.]
[L02AA02, polyestradiol phosphate, The therapeutic efficacy of Anastrozole can be decreased when used in combination with Polyestradiol phosphate.]
[J05AE08, atazanavir, The metabolism of Anastrozole can be decreased when combined with Atazanavir.]
[B01AC21, treprostinil, The metabolism of Anastrozole can be decreased when combined with Treprostinil.]
[D04AB07, pramoxine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Pramocaine.]
[C08DB01, diltiazem, The metabolism of Anastrozole can be decreased when combined with Diltiazem.]
[G03CA09, promestriene, The therapeutic efficacy of Anastrozole can be decreased when used in combination with Promestriene.]
[S01HA04, proparacaine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Proparacaine.]
[R06AA02, diphenhydramine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Diphenhydramine.]
[A03FA02, cisapride, The metabolism of Anastrozole can be decreased when combined with Cisapride.]
[S02AA12, rifamycin SV, The metabolism of Anastrozole can be decreased when combined with Rifamycin.]
[J04AB05, rifapentine, The metabolism of Anastrozole can be increased when combined with Rifapentine.]
[N01BB09, ropivacaine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Ropivacaine.]
[L01XG01, bortezomib, The risk or severity of cardiotoxicity can be increased when Bortezomib is combined with Anastrozole.]
[S01BC05, ketorolac, The metabolism of Anastrozole can be decreased when combined with Ketorolac.]
[R03AC12, salmeterol, The metabolism of Anastrozole can be decreased when combined with Salmeterol.]
[A03FA03, domperidone, The metabolism of Anastrozole can be decreased when combined with Domperidone.]
[L01DB01, doxorubicin, The risk or severity of cardiotoxicity can be increased when Doxorubicin is combined with Anastrozole.]
[C10AA01, simvastatin, The metabolism of Anastrozole can be decreased when combined with Simvastatin.]
[D01BA02, terbinafine, The metabolism of Anastrozole can be decreased when combined with Terbinafine.]
[G03CX01, tibolone, The therapeutic efficacy of Anastrozole can be decreased when used in combination with Tibolone.]
[C03CA04, torsemide, The metabolism of Anastrozole can be decreased when combined with Torasemide.]
[L01CA04, vinorelbine, The risk or severity of cardiotoxicity can be increased when Vinorelbine is combined with Anastrozole.]
[L01DB03, epirubicin, The risk or severity of cardiotoxicity can be increased when Epirubicin is combined with Anastrozole.]
[N05CF01, zopiclone, The metabolism of Anastrozole can be decreased when combined with Zopiclone.]
[G03CA03, estradiol, The therapeutic efficacy of Anastrozole can be decreased when used in combination with Estradiol.]
[G03CC06, estriol, The therapeutic efficacy of Anastrozole can be decreased when used in combination with Estriol.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Anastrozole can be decreased when used in combination with Conjugated estrogens.]
[G03CC04, estrone, The therapeutic efficacy of Anastrozole can be decreased when used in combination with Estrone.]
[R03BA09, fluticasone furoate, The metabolism of Anastrozole can be decreased when combined with Fluticasone furoate.]
[R03BA05, fluticasone, The metabolism of Anastrozole can be decreased when combined with Fluticasone.]
[C10AA04, fluvastatin, The metabolism of Anastrozole can be decreased when combined with Fluvastatin.]
[L02AA03, ethinyl estradiol, The therapeutic efficacy of Anastrozole can be decreased when used in combination with Ethinylestradiol.]
[N01BX01, ethyl chloride, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Ethyl chloride.]
[M01AC06, meloxicam, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Meloxicam.]
[N01BB07, etidocaine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Etidocaine.]
[L01CB01, etoposide, The risk or severity of cardiotoxicity can be increased when Etoposide is combined with Anastrozole.]
[R06AX12, terfenadine, The metabolism of Anastrozole can be decreased when combined with Terfenadine.]
[C08CA02, felodipine, The metabolism of Anastrozole can be decreased when combined with Felodipine.]
[L04AA40, cladribine, The risk or severity of cardiotoxicity can be increased when Cladribine is combined with Anastrozole.]
[L01BC02, fluorouracil, The metabolism of Fluorouracil can be decreased when combined with Anastrozole.]
[L01BC03, tegafur, The metabolism of Tegafur can be decreased when combined with Anastrozole.]
[N05CF04, eszopiclone, The metabolism of Anastrozole can be decreased when combined with Eszopiclone.]
[C10AB04, gemfibrozil, The metabolism of Anastrozole can be decreased when combined with Gemfibrozil.]
[L01EH01, lapatinib, The metabolism of Lapatinib can be decreased when combined with Anastrozole.]
[L01EX02, sorafenib, The metabolism of Sorafenib can be decreased when combined with Anastrozole.]
[P01BX01, halofantrine, The metabolism of Halofantrine can be decreased when combined with Anastrozole.]
[C09CA01, losartan, The metabolism of Anastrozole can be decreased when combined with Losartan.]
[C08CA10, nilvadipine, The metabolism of Anastrozole can be decreased when combined with Nilvadipine.]
[S02BA01, hydrocortisone, The metabolism of Anastrozole can be increased when combined with Hydrocortisone.]
[P01BA02, hydroxychloroquine, The metabolism of Hydroxychloroquine can be decreased when combined with Anastrozole.]
[J04AB04, rifabutin, The metabolism of Anastrozole can be increased when combined with Rifabutin.]
[R02AX02, ibuprofen, The metabolism of Anastrozole can be decreased when combined with Ibuprofen.]
[L01DB06, idarubicin, The risk or severity of cardiotoxicity can be increased when Idarubicin is combined with Anastrozole.]
[L01AA06, ifosfamide, The risk or severity of cardiotoxicity can be increased when Ifosfamide is combined with Anastrozole.]
[L01CD03, paclitaxel poliglumex, The risk or severity of cardiotoxicity can be increased when Anastrozole is combined with Paclitaxel poliglumex.]
[L01CD01, paclitaxel, The metabolism of Paclitaxel can be decreased when combined with Anastrozole.]
[N01BB08, articaine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Articaine.]
[A10BH01, sitagliptin, The metabolism of Sitagliptin can be decreased when combined with Anastrozole.]
[C10AA06, cerivastatin, The metabolism of Anastrozole can be decreased when combined with Cerivastatin.]
[L04AC07, tocilizumab, The metabolism of Anastrozole can be increased when combined with Tocilizumab.]
[N01AX03, ketamine, The metabolism of Ketamine can be decreased when combined with Anastrozole.]
[J02AB02, ketoconazole, The metabolism of Anastrozole can be decreased when combined with Ketoconazole.]
[H02CA04, levoketoconazole, The metabolism of Anastrozole can be decreased when combined with Levoketoconazole.]
[M02AA10, ketoprofen, The metabolism of Anastrozole can be decreased when combined with Ketoprofen.]
[V03AC03, deferasirox, The metabolism of Anastrozole can be decreased when combined with Deferasirox.]
[L04AA24, abatacept, The metabolism of Anastrozole can be increased when combined with Abatacept.]
[L01DC03, mitomycin, The risk or severity of cardiotoxicity can be increased when Mitomycin is combined with Anastrozole.]
[S02DA01, lidocaine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Lidocaine.]
[A07DA03, loperamide, The metabolism of Anastrozole can be decreased when combined with Loperamide.]
[C10AA02, lovastatin, The metabolism of Anastrozole can be decreased when combined with Lovastatin.]
[L01AA05, mechlorethamine, The risk or severity of cardiotoxicity can be increased when Mechlorethamine is combined with Anastrozole.]
[C01AA08, medigoxin, Metildigoxin may decrease the cardiotoxic activities of Anastrozole.]
[N03AB04, mephenytoin, The metabolism of Anastrozole can be decreased when combined with Mephenytoin.]
[N01BB03, mepivacaine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Mepivacaine.]
[N07BC02, methadone, The serum concentration of Methadone can be increased when it is combined with Anastrozole.]
[L04AX03, methotrexate, The risk or severity of cardiotoxicity can be increased when Methotrexate is combined with Anastrozole.]
[V04CG05, methylene blue, The metabolism of Anastrozole can be decreased when combined with Methylene blue.]
[P01AB01, metronidazole, The metabolism of Anastrozole can be decreased when combined with Metronidazole.]
[S02AA13, miconazole, The metabolism of Anastrozole can be decreased when combined with Miconazole.]
[N02BB03, aminopyrine, The metabolism of Aminophenazone can be decreased when combined with Anastrozole.]
[G03XB01, mifepristone, The serum concentration of Anastrozole can be increased when it is combined with Mifepristone.]
[L01DB07, mitoxantrone, The risk or severity of cardiotoxicity can be increased when Mitoxantrone is combined with Anastrozole.]
[C01BD01, amiodarone, The metabolism of Amiodarone can be decreased when combined with Anastrozole.]
[N06AA09, amitriptyline, The metabolism of Anastrozole can be decreased when combined with Amitriptyline.]
[N02AA01, morphine, The metabolism of Anastrozole can be decreased when combined with Morphine.]
[L04AB05, certolizumab pegol, The metabolism of Anastrozole can be increased when combined with Certolizumab pegol.]
[B02BX05, eltrombopag, The metabolism of Anastrozole can be decreased when combined with Eltrombopag.]
[L01EX03, pazopanib, The metabolism of Pazopanib can be decreased when combined with Anastrozole.]
[P01BA06, amodiaquine, The metabolism of Anastrozole can be decreased when combined with Amodiaquine.]
[G03XC01, raloxifene, The metabolism of Anastrozole can be decreased when combined with Raloxifene.]
[N03AB05, fosphenytoin, The metabolism of Fosphenytoin can be decreased when combined with Anastrozole.]
[L04AC03, anakinra, The metabolism of Anastrozole can be increased when combined with Anakinra.]
[M02AA12, naproxen, The metabolism of Anastrozole can be decreased when combined with Naproxen.]
[A10BG01, troglitazone, The metabolism of Anastrozole can be decreased when combined with Troglitazone.]
[B03XA03, methoxy polyethylene glycol-epoetin beta, The risk or severity of Thrombosis can be increased when Methoxy polyethylene glycol-epoetin beta is combined with Anastrozole.]
[L01CD02, docetaxel, The risk or severity of cardiotoxicity can be increased when Anastrozole is combined with Docetaxel.]
[A10BX02, repaglinide, The metabolism of Anastrozole can be decreased when combined with Repaglinide.]
[L01XX01, amsacrine, The risk or severity of cardiotoxicity can be increased when Amsacrine is combined with Anastrozole.]
[C08CA04, nicardipine, The metabolism of Anastrozole can be decreased when combined with Nicardipine.]
[L04AC04, rilonacept, The metabolism of Anastrozole can be increased when combined with Rilonacept.]
[A02BC01, omeprazole, The metabolism of Anastrozole can be decreased when combined with Omeprazole.]
[C01AC01, ouabain, Ouabain may decrease the cardiotoxic activities of Anastrozole.]
[L01XX08, pentostatin, The risk or severity of cardiotoxicity can be increased when Pentostatin is combined with Anastrozole.]
[N03AA02, phenobarbital, The metabolism of Anastrozole can be increased when combined with Phenobarbital.]
[B01AA04, phenprocoumon, The metabolism of Phenprocoumon can be decreased when combined with Anastrozole.]
[N03AB02, phenytoin, The metabolism of Phenytoin can be decreased when combined with Anastrozole.]
[L04AB06, golimumab, The metabolism of Anastrozole can be increased when combined with Golimumab.]
[C10AA05, atorvastatin, The metabolism of Anastrozole can be decreased when combined with Atorvastatin.]
[J05AE01, saquinavir, The metabolism of Anastrozole can be decreased when combined with Saquinavir.]
[S01BC06, piroxicam, The metabolism of Anastrozole can be decreased when combined with Piroxicam.]
[C09CA04, irbesartan, The metabolism of Anastrozole can be decreased when combined with Irbesartan.]
[D05AX05, tazarotene, The metabolism of Anastrozole can be decreased when combined with Tazarotene.]
[A10BG02, rosiglitazone, The metabolism of Anastrozole can be decreased when combined with Rosiglitazone.]
[L04AC08, canakinumab, The metabolism of Anastrozole can be increased when combined with Canakinumab.]
[J05AE03, ritonavir, The metabolism of Anastrozole can be decreased when combined with Ritonavir.]
[C10AA08, pitavastatin, The metabolism of Pitavastatin can be decreased when combined with Anastrozole.]
[N01BB04, prilocaine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Prilocaine.]
[M04AB01, probenecid, The metabolism of Anastrozole can be increased when combined with Probenecid.]
[S01HA05, procaine, The risk or severity of methemoglobinemia can be increased when Anastrozole is combined with Procaine.]
[C10AB05, fenofibrate, The metabolism of Anastrozole can be decreased when combined with Fenofibrate.]
[N01AX10, propofol, The metabolism of Anastrozole can be decreased when combined with Propofol.]
[C01AB01, proscillaridin, Proscillaridin may decrease the cardiotoxic activities of Anastrozole.]
[R03DC03, montelukast, The metabolism of Anastrozole can be decreased when combined with Montelukast.]
[P01BD01, pyrimethamine, The metabolism of Anastrozole can be decreased when combined with Pyrimethamine.]
[C01BA01, quinidine, The metabolism of Anastrozole can be decreased when combined with Quinidine.]
[P01BC01, quinine, The metabolism of Anastrozole can be decreased when combined with Quinine.]
[J04AB02, rifampin, The metabolism of Anastrozole can be increased when combined with Rifampicin.]
[N05CA06, secobarbital, The metabolism of Anastrozole can be increased when combined with Secobarbital.]
[N04BD01, selegiline, The metabolism of Anastrozole can be decreased when combined with Selegiline.]
[L01CD04, cabazitaxel, The metabolism of Cabazitaxel can be decreased when combined with Anastrozole.]
[C03DA01, spironolactone, The metabolism of Anastrozole can be decreased when combined with Spironolactone.]
