[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Resveratrol.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Nelfinavir.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Bendamustine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Beclomethasone dipropionate may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Rasagiline can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Perampanel can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Zolmitriptan can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Capromab pendetide.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Niacinamide ascorbate can be decreased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Sildenafil.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Ponatinib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Apixaban.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Raxibacumab.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of angioedema can be increased when Conjugated estrogens is combined with Alogliptin.]
[G03CA57, estrogens, conjugated (USP), Naringenin may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Ferulic acid.]
[G03CA57, estrogens, conjugated (USP), Bendroflumethiazide may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Pomalidomide can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Tetradecyl hydrogen sulfate (ester) which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Ascorbic acid can be decreased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Edetic acid.]
[G03CA57, estrogens, conjugated (USP), The risk or severity of adverse effects can be increased when Conjugated estrogens is combined with Ospemifene.]
[G03CA57, estrogens, conjugated (USP), Benorilate may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Canagliflozin may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Canagliflozin may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Benserazide which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Tocopherylquinone.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Chromium nicotinate which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Gemifloxacin.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Benzbromarone.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Moxifloxacin.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Tegaserod.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Tiratricol can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Benzocaine can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Caspofungin can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Celecoxib may increase the thrombogenic activities of Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Everolimus.]
[G03CA57, estrogens, conjugated (USP), Benzatropine may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Calcium ascorbate can be decreased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Calcium ascorbate can be decreased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Vilanterol which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Conjugated estrogens can be decreased when it is combined with Dabrafenib.]
[G03CA57, estrogens, conjugated (USP), Benzydamine may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Benzyl alcohol can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Hygromycin B may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Indigotindisulfonic acid which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Oxalic Acid can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Afatinib may decrease the excretion rate of Conjugated estrogens which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Dalotuzumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Levomilnacipran which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Dolutegravir.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Evening primrose oil which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Cholic Acid can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Iobenguane sulfate I-123 which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Vortioxetine which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Etonogestrel which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Simeprevir.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), Dapagliflozin may increase the excretion rate of Conjugated estrogens which could result in a lower serum level and potentially a reduction in efficacy.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Tasimelteon can be decreased when combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Metreleptin.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Apremilast.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Formestane which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Betamethasone can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be decreased when combined with Betaxolol.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Argatroban.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Argatroban.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[G03CA57, estrogens, conjugated (USP), The excretion of Conjugated estrogens can be decreased when combined with Bezafibrate.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Conjugated estrogens can be increased when combined with Siltuximab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Ramucirumab.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Eftrenonacog alfa.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may decrease the anticoagulant activities of Vorapaxar.]
[G03CA57, estrogens, conjugated (USP), The serum concentration of Melengestrol can be increased when it is combined with Conjugated estrogens.]
[G03CA57, estrogens, conjugated (USP), Conjugated estrogens may increase the thrombogenic activities of Vedolizumab.]
[G03CA57, estrogens, conjugated (USP), The metabolism of Acenocoumarol can be decreased when combined with Conjugated estrogens.]
