[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Donepezil.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Donepezil.]
[N04BD02, rasagiline, The risk or severity of adverse effects can be increased when Donepezil is combined with Rasagiline.]
[C08CA13, lercanidipine, Lercanidipine may increase the bradycardic activities of Donepezil.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Donepezil is combined with Mosapride.]
[S01AA13, fusidic acid, The metabolism of Donepezil can be decreased when combined with Fusidic acid.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Donepezil.]
[L04AA29, tofacitinib, Donepezil may increase the bradycardic activities of Tofacitinib.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Donepezil.]
[R06AC06, thonzylamine, The therapeutic efficacy of Thonzylamine can be decreased when used in combination with Donepezil.]
[G04BD10, darifenacin, The therapeutic efficacy of Darifenacin can be decreased when used in combination with Donepezil.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Donepezil is combined with Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Donepezil.]
[H01CB05, pasireotide, Donepezil may increase the bradycardic activities of Pasireotide.]
[G04BE03, sildenafil, The metabolism of Donepezil can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Donepezil.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Donepezil.]
[C04AX11, bencyclane, Donepezil may increase the bradycardic activities of Bencyclane.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Donepezil.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Donepezil can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the bradycardic activities of Donepezil.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Donepezil is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Donepezil can be decreased when combined with Ospemifene.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Donepezil is combined with Benperidol.]
[M04AB03, benzbromarone, The metabolism of Donepezil can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Donepezil can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Donepezil is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Donepezil can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Donepezil is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Donepezil can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The therapeutic efficacy of Benzatropine can be decreased when used in combination with Donepezil.]
[L01EC02, dabrafenib, The serum concentration of Donepezil can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Donepezil is combined with Benzyl alcohol.]
[L01EB03, afatinib, Afatinib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Donepezil is combined with Levomilnacipran.]
[C08EA02, bepridil, The metabolism of Donepezil can be decreased when combined with Bepridil.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Donepezil.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Donepezil is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Donepezil is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Donepezil can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Donepezil is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Donepezil.]
[C07AB04, acebutolol, Donepezil may increase the bradycardic activities of Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Donepezil is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Donepezil can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Donepezil can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The therapeutic efficacy of Donepezil can be decreased when used in combination with Betamethasone.]
[S01ED02, betaxolol, Donepezil may increase the bradycardic activities of Betaxolol.]
[L04AC11, siltuximab, The metabolism of Donepezil can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, Donepezil may increase the bradycardic activities of Ceritinib.]
[A03BA03, hyoscyamine, The therapeutic efficacy of Hyoscyamine can be decreased when used in combination with Donepezil.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Donepezil.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Donepezil is combined with Alfaxalone.]
[N07XX08, tafamidis, The serum concentration of Donepezil can be increased when it is combined with Tafamidis.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Donepezil.]
[D11AA01, glycopyrronium, The therapeutic efficacy of Glycopyrronium can be decreased when used in combination with Donepezil.]
[N05CM19, suvorexant, Donepezil may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Donepezil can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Donepezil can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Donepezil is combined with Acepromazine.]
[V04CX03, methacholine, The risk or severity of adverse effects can be increased when Donepezil is combined with Methacholine.]
[A06AH03, naloxegol, The risk or severity of respiratory depression can be increased when Naloxegol is combined with Donepezil.]
[N04AA02, biperiden, The therapeutic efficacy of Biperiden can be decreased when used in combination with Donepezil.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Donepezil.]
[J05AP09, dasabuvir, Dasabuvir may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[B01AA01, dicumarol, The metabolism of Donepezil can be decreased when combined with Dicoumarol.]
[N06AX11, mirtazapine, Donepezil may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Donepezil can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, Palbociclib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[L01XH03, panobinostat, The metabolism of Donepezil can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, Daclatasvir may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N02BE01, acetaminophen, The metabolism of Donepezil can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, The therapeutic efficacy of Difemerine can be decreased when used in combination with Donepezil.]
[C01EB17, ivabradine, Donepezil may increase the bradycardic activities of Ivabradine.]
[J05AP06, asunaprevir, The metabolism of Donepezil can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of respiratory depression can be increased when Eluxadoline is combined with Donepezil.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Donepezil is combined with Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Donepezil can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Donepezil is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Donepezil is combined with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Acetazolamide is combined with Donepezil.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Donepezil is combined with Acetophenazine.]
[A02BC03, lansoprazole, Lansoprazole may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Donepezil.]
[J02AC05, isavuconazole, The metabolism of Donepezil can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, Osimertinib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[L01ED03, alectinib, Alectinib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[A10BB31, acetohexamide, The metabolism of Donepezil can be decreased when combined with Acetohexamide.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Donepezil.]
[J05AP10, elbasvir, Elbasvir may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[J05AP11, grazoprevir, Grazoprevir may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N05CA05, aprobarbital, The therapeutic efficacy of Aprobarbital can be decreased when used in combination with Donepezil.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Donepezil is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Donepezil can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Donepezil is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Donepezil is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Donepezil is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Donepezil.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Donepezil is combined with Amineptine.]
[C08CA01, amlodipine, Amlodipine may increase the bradycardic activities of Donepezil.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Donepezil is combined with Aniracetam.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Donepezil.]
[C07AA19, bupranolol, Donepezil may increase the bradycardic activities of Bupranolol.]
[N07BC01, buprenorphine, Donepezil may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Donepezil.]
[N06DA03, rivastigmine, Donepezil may increase the bradycardic activities of Rivastigmine.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Donepezil.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Butorphanol is combined with Donepezil.]
[S01GX07, azelastine, Donepezil may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Donepezil can be decreased when combined with Rucaparib.]
[L01EF02, ribociclib, The metabolism of Donepezil can be decreased when combined with Ribociclib.]
[R03CC12, bambuterol, Donepezil may increase the neuromuscular blocking activities of Bambuterol.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Donepezil.]
[N02BF02, pregabalin, The therapeutic efficacy of Donepezil can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Donepezil is combined with Beclamide.]
[N06BC01, caffeine, Caffeine may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[S01HA02, benoxinate, Donepezil may increase the neuromuscular blocking activities of Oxybuprocaine.]
[R05DB01, benzonatate, Donepezil may increase the neuromuscular blocking activities of Benzonatate.]
[J05AE09, tipranavir, The metabolism of Donepezil can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Donepezil.]
[L04AB02, infliximab, The metabolism of Donepezil can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Donepezil can be decreased when combined with Midostaurin.]
[L01ED04, brigatinib, Brigatinib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N04BD03, safinamide, The risk or severity of adverse effects can be increased when Donepezil is combined with Safinamide.]
[N07AB02, bethanechol, The risk or severity of adverse effects can be increased when Donepezil is combined with Bethanechol.]
[J01MA23, delafloxacin, The metabolism of Donepezil can be increased when combined with Delafloxacin.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Donepezil is combined with Acetylcholine.]
[L01BC06, capecitabine, The metabolism of Donepezil can be decreased when combined with Capecitabine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Donepezil.]
[L01EF03, abemaciclib, Abemaciclib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[C07AB07, bisoprolol, Donepezil may increase the bradycardic activities of Bisoprolol.]
[J05AG03, efavirenz, The metabolism of Donepezil can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, Donepezil may increase the bradycardic activities of Bopindolol.]
[N04AA11, bornaprine, The therapeutic efficacy of Bornaprine can be decreased when used in combination with Donepezil.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Donepezil is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Donepezil is combined with Brotizolam.]
[R03BA02, budesonide, The therapeutic efficacy of Donepezil can be decreased when used in combination with Budesonide.]
[N05CA03, butobarbital, The therapeutic efficacy of Butobarbital can be decreased when used in combination with Donepezil.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Donepezil is combined with Butriptyline.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Donepezil is combined with Vinylbital.]
[S01EB02, carbachol, The risk or severity of adverse effects can be increased when Donepezil is combined with Carbamoylcholine.]
[L02BB05, apalutamide, The metabolism of Donepezil can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Donepezil can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, The therapeutic efficacy of Camylofin can be decreased when used in combination with Donepezil.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Carbinoxamine is combined with Donepezil.]
[C07AG02, carvedilol, Donepezil may increase the bradycardic activities of Carvedilol.]
[B02BX09, fostamatinib, Fostamatinib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Donepezil.]
[B02BX08, avatrombopag, Avatrombopag may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Donepezil.]
[C07AB08, celiprolol, Donepezil may increase the bradycardic activities of Celiprolol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Donepezil.]
[L01XX62, ivosidenib, The metabolism of Donepezil can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Donepezil.]
[N03AX17, stiripentol, The metabolism of Donepezil can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Donepezil.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Donepezil.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Donepezil is combined with Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Donepezil.]
[N01BA04, chloroprocaine, Donepezil may increase the neuromuscular blocking activities of Chloroprocaine.]
[R06AA06, chlorphenoxamine, The therapeutic efficacy of Chlorphenoxamine can be decreased when used in combination with Donepezil.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Donepezil.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Donepezil.]
[R03BB08, revefenacin, The therapeutic efficacy of Revefenacin can be decreased when used in combination with Donepezil.]
[L04AA39, emapalumab, The metabolism of Donepezil can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, Gilteritinib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[L01XJ03, glasdegib, Glasdegib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N07XX05, amifampridine, The risk or severity of adverse effects can be increased when Donepezil is combined with Amifampridine.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Donepezil.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Donepezil is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Donepezil can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Donepezil is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Donepezil.]
[J01FA09, clarithromycin, The metabolism of Donepezil can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Donepezil is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Donepezil is combined with Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Donepezil.]
[N05BA09, clobazam, The metabolism of Donepezil can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The therapeutic efficacy of Donepezil can be decreased when used in combination with Cloprednol.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Donepezil is combined with Cloxazolam.]
[C09CA06, candesartan, The metabolism of Donepezil can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Donepezil can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The therapeutic efficacy of Donepezil can be decreased when used in combination with Cortivazol.]
[L01EM03, alpelisib, The serum concentration of Donepezil can be decreased when it is combined with Alpelisib.]
[L02BB06, darolutamide, The serum concentration of Donepezil can be increased when it is combined with Darolutamide.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Donepezil is combined with Cyamemazine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Donepezil.]
[L01EJ02, fedratinib, Fedratinib may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[N07XX11, pitolisant, The serum concentration of Donepezil can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, Istradefylline may decrease the excretion rate of Donepezil which could result in a higher serum level.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Donepezil is combined with Yohimbine.]
[H02AB13, deflazacort, The therapeutic efficacy of Donepezil can be decreased when used in combination with Deflazacort.]
[N02CC08, lasmiditan, The serum concentration of Donepezil can be increased when it is combined with Lasmiditan.]
[G03AC09, desogestrel, The metabolism of Donepezil can be decreased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Donepezil.]
[N03AX25, cenobamate, The serum concentration of Donepezil can be decreased when it is combined with Cenobamate.]
