[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Idarubicin.]
[N06AF04, tranylcypromine, The metabolism of Idarubicin can be decreased when combined with Tranylcypromine.]
[C01DX11, trapidil, The risk or severity of bleeding can be increased when Trapidil is combined with Idarubicin.]
[N06AX05, trazodone, The metabolism of Idarubicin can be decreased when combined with Trazodone.]
[L01XF01, tretinoin, The risk or severity of adverse effects can be increased when Tretinoin is combined with Idarubicin.]
[S01BA05, triamcinolone, The risk or severity of adverse effects can be increased when Triamcinolone is combined with Idarubicin.]
[C03AA06, trichlormethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Trichlormethiazide is combined with Idarubicin.]
[S01AD02, trifluridine, The risk or severity of adverse effects can be increased when Trifluridine is combined with Idarubicin.]
[D07AC02, fluclorolone, The risk or severity of adverse effects can be increased when Idarubicin is combined with Fluclorolone.]
[R03BA07, mometasone, The risk or severity of adverse effects can be increased when Mometasone is combined with Idarubicin.]
[N03AC02, trimethadione, The metabolism of Idarubicin can be decreased when combined with Trimethadione.]
[J01EA01, trimethoprim, The metabolism of Idarubicin can be decreased when combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Idarubicin.]
[R06AC04, tripelennamine, The metabolism of Idarubicin can be decreased when combined with Tripelennamine.]
[N06AX24, vilazodone, The metabolism of Idarubicin can be decreased when combined with Vilazodone.]
[R03DX07, roflumilast, Roflumilast may increase the immunosuppressive activities of Idarubicin.]
[L04AA26, belimumab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Belimumab.]
[L02BX03, abiraterone, The metabolism of Idarubicin can be decreased when combined with Abiraterone.]
[J05AG05, rilpivirine, The metabolism of Idarubicin can be decreased when combined with Rilpivirine.]
[B01AD04, urokinase, The risk or severity of bleeding can be increased when Urokinase is combined with Idarubicin.]
[L04AA28, belatacept, The risk or severity of adverse effects can be increased when Idarubicin is combined with Belatacept.]
[B01AF01, rivaroxaban, The risk or severity of bleeding can be increased when Rivaroxaban is combined with Idarubicin.]
[B01AC24, ticagrelor, The risk or severity of bleeding can be increased when Ticagrelor is combined with Idarubicin.]
[C08DA01, verapamil, The metabolism of Idarubicin can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Idarubicin can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The risk or severity of adverse effects can be increased when Vinblastine is combined with Idarubicin.]
[L01CA02, vincristine, The risk or severity of adverse effects can be increased when Vincristine is combined with Idarubicin.]
[L01CA03, vindesine, The risk or severity of adverse effects can be increased when Vindesine is combined with Idarubicin.]
[B03BA01, vitamin B12, The therapeutic efficacy of Cyanocobalamin can be decreased when used in combination with Idarubicin.]
[B01AA03, warfarin, The risk or severity of bleeding can be increased when Warfarin is combined with Idarubicin.]
[S01AA13, fusidic acid, The metabolism of Idarubicin can be decreased when combined with Fusidic acid.]
[J05AF01, zidovudine, The risk or severity of adverse effects can be increased when Zidovudine is combined with Idarubicin.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Idarubicin.]
[L01EC01, vemurafenib, The metabolism of Idarubicin can be decreased when combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Brentuximab vedotin.]
[B01AE01, desirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Idarubicin.]
[R03DC01, zafirlukast, The metabolism of Idarubicin can be decreased when combined with Zafirlukast.]
[L04AA34, alemtuzumab, The risk or severity of adverse effects can be increased when Alemtuzumab is combined with Idarubicin.]
[N02BA01, aspirin, The risk or severity of bleeding can be increased when Acetylsalicylic acid is combined with Idarubicin.]
[L01EJ01, ruxolitinib, The risk or severity of adverse effects can be increased when Idarubicin is combined with Ruxolitinib.]
[G04BD07, tolterodine, The metabolism of Idarubicin can be decreased when combined with Tolterodine.]
[C07AB03, atenolol, The metabolism of Idarubicin can be decreased when combined with Atenolol.]
[L03AB11, peginterferon alfa-2a, The risk or severity of adverse effects can be increased when Peginterferon alfa-2a is combined with Idarubicin.]
[L01FA01, rituximab, The risk or severity of adverse effects can be increased when Rituximab is combined with Idarubicin.]
[J02AC03, voriconazole, The metabolism of Idarubicin can be decreased when combined with Voriconazole.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Idarubicin.]
[H02AB11, prednylidene, The risk or severity of adverse effects can be increased when Idarubicin is combined with Prednylidene.]
[B03XA04, peginesatide, The risk or severity of Thrombosis can be increased when Peginesatide is combined with Idarubicin.]
[L01BC07, azacitidine, The risk or severity of adverse effects can be increased when Azacitidine is combined with Idarubicin.]
[L04AX01, azathioprine, The risk or severity of adverse effects can be increased when Azathioprine is combined with Idarubicin.]
[L01BC05, gemcitabine, The risk or severity of adverse effects can be increased when Gemcitabine is combined with Idarubicin.]
[G04BE10, avanafil, The metabolism of Avanafil can be decreased when combined with Idarubicin.]
[J07BK01, varicella-zoster virus vaccine live (Oka-Merck) strain, The risk or severity of infection can be increased when Varicella zoster vaccine (live/attenuated) is combined with Idarubicin.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of adverse effects can be increased when Gemtuzumab ozogamicin is combined with Idarubicin.]
[L01FD02, pertuzumab, The risk or severity of cardiotoxicity can be increased when Idarubicin is combined with Pertuzumab.]
[A08AA11, lorcaserin, The metabolism of Idarubicin can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Idarubicin can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The risk or severity of adverse effects can be increased when Idarubicin is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Idarubicin can be decreased when combined with Cobicistat.]
[L02BB04, enzalutamide, The serum concentration of Idarubicin can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The risk or severity of adverse effects can be increased when Idarubicin is combined with Bosutinib.]
[L04AA31, teriflunomide, The risk or severity of adverse effects can be increased when Idarubicin is combined with Teriflunomide.]
[B01AX01, defibrotide, The risk or severity of bleeding can be increased when Defibrotide is combined with Idarubicin.]
[L04AA22, abetimus, The risk or severity of adverse effects can be increased when Idarubicin is combined with Abetimus.]
[H02AA01, aldosterone, The risk or severity of adverse effects can be increased when Idarubicin is combined with Aldosterone.]
[L01EX05, regorafenib, The metabolism of Idarubicin can be decreased when combined with Regorafenib.]
[C01AA01, acetyldigitoxin, Acetyldigitoxin may decrease the cardiotoxic activities of Idarubicin.]
[L01AA09, bendamustine, The risk or severity of adverse effects can be increased when Idarubicin is combined with Bendamustine.]
[N06DA02, donepezil, The metabolism of Idarubicin can be decreased when combined with Donepezil.]
[L04AA29, tofacitinib, Idarubicin may increase the immunosuppressive activities of Tofacitinib.]
[G04BD10, darifenacin, The metabolism of Idarubicin can be decreased when combined with Darifenacin.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Idarubicin.]
[G04BE03, sildenafil, The metabolism of Idarubicin can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Idarubicin.]
[B01AF02, apixaban, The risk or severity of bleeding can be increased when Apixaban is combined with Idarubicin.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Idarubicin.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Idarubicin can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Bendroflumethiazide is combined with Idarubicin.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Idarubicin is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Idarubicin can be decreased when combined with Ospemifene.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Idarubicin is combined with Dimethyl fumarate.]
[M04AB03, benzbromarone, The metabolism of Idarubicin can be decreased when combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Idarubicin can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Idarubicin can be decreased when combined with Celecoxib.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Idarubicin is combined with Everolimus.]
[N04AC01, benztropine, The metabolism of Idarubicin can be decreased when combined with Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Idarubicin can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Idarubicin.]
[C08EA02, bepridil, The metabolism of Idarubicin can be decreased when combined with Bepridil.]
[L03AA14, lipegfilgrastim, Idarubicin may increase the myelosuppressive activities of Lipegfilgrastim.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Idarubicin is combined with Ibrutinib.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Idarubicin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Idarubicin.]
[C07AB04, acebutolol, The metabolism of Idarubicin can be decreased when combined with Acebutolol.]
[L04AA32, apremilast, The metabolism of Idarubicin can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Idarubicin.]
[S01ED02, betaxolol, The metabolism of Idarubicin can be decreased when combined with Betaxolol.]
[B01AE03, argatroban, The risk or severity of bleeding can be increased when Argatroban is combined with Idarubicin.]
[L04AC11, siltuximab, The metabolism of Idarubicin can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Idarubicin can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The risk or severity of bleeding can be increased when Vorapaxar is combined with Idarubicin.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Vedolizumab.]
[B01AA07, acenocoumarol, The risk or severity of bleeding can be increased when Acenocoumarol is combined with Idarubicin.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Idarubicin is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Idarubicin is combined with Idelalisib.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Idarubicin.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Idarubicin is combined with Peginterferon beta-1a.]
[A16AX10, eliglustat, The metabolism of Idarubicin can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Idarubicin can be decreased when combined with Oritavancin.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Idarubicin is combined with Decitabine.]
[N04AA02, biperiden, The metabolism of Idarubicin can be decreased when combined with Biperiden.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Idarubicin is combined with Pirfenidone.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Blinatumomab.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Idarubicin.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Idarubicin is combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding can be increased when Dicoumarol is combined with Idarubicin.]
[B01AF03, edoxaban, The risk or severity of bleeding can be increased when Edoxaban is combined with Idarubicin.]
[N06AX11, mirtazapine, The metabolism of Idarubicin can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Idarubicin can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Idarubicin is combined with Palbociclib.]
[L01XH03, panobinostat, The metabolism of Idarubicin can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Idarubicin can be decreased when combined with Acetaminophen.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Idarubicin.]
[B01AA11, tioclomarol, The risk or severity of bleeding can be increased when Tioclomarol is combined with Idarubicin.]
[J05AP06, asunaprevir, The metabolism of Idarubicin can be decreased when combined with Asunaprevir.]
[B01AC25, cangrelor, The risk or severity of bleeding can be increased when Cangrelor is combined with Idarubicin.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Idarubicin.]
[A04AD14, rolapitant, The metabolism of Idarubicin can be decreased when combined with Rolapitant.]
[A02BC03, lansoprazole, The metabolism of Idarubicin can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Idarubicin.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Mepolizumab.]
[J02AC05, isavuconazole, The metabolism of Idarubicin can be decreased when combined with Isavuconazole.]
[A10BB31, acetohexamide, The metabolism of Idarubicin can be decreased when combined with Acetohexamide.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Idarubicin.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Idarubicin.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Ixekizumab.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Bupivacaine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Idarubicin.]
[N07BC01, buprenorphine, The metabolism of Idarubicin can be decreased when combined with Buprenorphine.]
[N05BE01, buspirone, The metabolism of Idarubicin can be decreased when combined with Buspirone.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Busulfan is combined with Idarubicin.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Idarubicin.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Idarubicin.]
[S01GX07, azelastine, The metabolism of Idarubicin can be decreased when combined with Azelastine.]
[L01XK03, rucaparib, The metabolism of Idarubicin can be decreased when combined with Rucaparib.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Brodalumab.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Idarubicin.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Idarubicin.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Oxybuprocaine.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Idarubicin.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Idarubicin.]
[J05AE09, tipranavir, The metabolism of Idarubicin can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Idarubicin.]
[L04AB02, infliximab, The metabolism of Idarubicin can be increased when combined with Infliximab.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Sarilumab.]
[J01MA23, delafloxacin, The metabolism of Idarubicin can be increased when combined with Delafloxacin.]
[B01AF04, betrixaban, The risk or severity of bleeding can be increased when Betrixaban is combined with Idarubicin.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Idarubicin.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Idarubicin.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Idarubicin is combined with Vorinostat.]
[J05AG03, efavirenz, The metabolism of Idarubicin can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Idarubicin.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Idarubicin.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Idarubicin.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Idarubicin.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Idarubicin is combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding can be increased when Buflomedil is combined with Idarubicin.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Idarubicin.]
[C01AA02, acetyldigoxins, Acetyldigoxin may decrease the cardiotoxic activities of Idarubicin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Capsaicin.]
[L02BB05, apalutamide, The metabolism of Idarubicin can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Idarubicin.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Idarubicin.]
[C07AG02, carvedilol, The metabolism of Idarubicin can be decreased when combined with Carvedilol.]
[N03AX24, cannabidiol, The metabolism of Idarubicin can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The metabolism of Idarubicin can be increased when combined with Avatrombopag.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Idarubicin is combined with Baricitinib.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Idarubicin.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Idarubicin.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Idarubicin.]
[L01XX62, ivosidenib, The metabolism of Idarubicin can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Idarubicin.]
[N03AX17, stiripentol, The metabolism of Idarubicin can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Idarubicin.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Idarubicin.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Chloroprocaine.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Idarubicin.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Idarubicin.]
[L04AA39, emapalumab, The metabolism of Idarubicin can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Idarubicin.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Ravulizumab.]
[B01AX07, caplacizumab, The risk or severity of bleeding can be increased when Caplacizumab is combined with Idarubicin.]
[B01AC23, cilostazol, The risk or severity of bleeding can be increased when Cilostazol is combined with Idarubicin.]
[P02BX04, triclabendazole, The metabolism of Idarubicin can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Idarubicin.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Idarubicin is combined with Siponimod.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Idarubicin.]
[N05BA09, clobazam, The metabolism of Idarubicin can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Idarubicin is combined with Cloprednol.]
[C09CA06, candesartan, The metabolism of Idarubicin can be decreased when combined with Candesartan.]
[L04AB01, etanercept, The metabolism of Idarubicin can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Idarubicin is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Risankizumab.]
[L01EM03, alpelisib, The serum concentration of Idarubicin can be decreased when it is combined with Alpelisib.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Idarubicin is combined with Upadacitinib.]
[L01EJ02, fedratinib, The metabolism of Idarubicin can be decreased when combined with Fedratinib.]
[N07XX11, pitolisant, The metabolism of Idarubicin can be decreased when combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Idarubicin.]
[C03AA09, cyclothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Cyclothiazide is combined with Idarubicin.]
[G04BE04, yohimbine, The metabolism of Yohimbine can be decreased when combined with Idarubicin.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Idarubicin is combined with Deflazacort.]
[L01FD01, trastuzumab, The risk or severity of cardiotoxicity can be increased when Trastuzumab is combined with Idarubicin.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Idarubicin is combined with Trastuzumab emtansine.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Idarubicin is combined with Diroximel fumarate.]
[G03AC09, desogestrel, The metabolism of Idarubicin can be decreased when combined with Desogestrel.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Idarubicin.]
[A16AX16, givosiran, The serum concentration of Idarubicin can be increased when it is combined with Givosiran.]
[R06AB02, dexchlorpheniramine, The metabolism of Idarubicin can be decreased when combined with Dexchlorpheniramine.]
[L01EX18, avapritinib, The metabolism of Idarubicin can be decreased when combined with Avapritinib.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Idarubicin is combined with Teprotumumab.]
[M01AX21, diacetylrhein, The metabolism of Idarubicin can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Idarubicin can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Idarubicin can be decreased when combined with Amprenavir.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Idarubicin is combined with Ozanimod.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Idarubicin.]
[N02AA08, dihydrocodeine, The metabolism of Dihydrocodeine can be decreased when combined with Idarubicin.]
[N02CC06, eletriptan, The metabolism of Idarubicin can be decreased when combined with Eletriptan.]
[M01AH02, rofecoxib, The metabolism of Idarubicin can be decreased when combined with Rofecoxib.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Idarubicin.]
[C08CA16, clevidipine, The metabolism of Idarubicin can be decreased when combined with Clevidipine.]
[C01BD07, dronedarone, The metabolism of Idarubicin can be decreased when combined with Dronedarone.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Idarubicin.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Idarubicin.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Idarubicin is combined with Fluprednidene.]
[G04BD09, trospium, The metabolism of Idarubicin can be decreased when combined with Trospium.]
[B01AE02, lepirudin, The risk or severity of bleeding can be increased when Lepirudin is combined with Idarubicin.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Idarubicin is combined with Inebilizumab.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Idarubicin is combined with Dyclonine.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Stepronin.]
[P01BB01, proguanil, The metabolism of Idarubicin can be decreased when combined with Proguanil.]
[L04AC19, satralizumab, The serum concentration of Idarubicin can be decreased when it is combined with Satralizumab.]
[N02AX07, oliceridine, The metabolism of Oliceridine can be decreased when combined with Idarubicin.]
[P01BA01, chloroquine, The metabolism of Idarubicin can be decreased when combined with Chloroquine.]
[L01EX23, pralsetinib, The metabolism of Idarubicin can be decreased when combined with Pralsetinib.]
[C03AA04, chlorothiazide, The risk or severity of neutropenia and thrombocytopenia can be increased when Chlorothiazide is combined with Idarubicin.]
[R06AB04, chlorpheniramine, The metabolism of Idarubicin can be decreased when combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The metabolism of Idarubicin can be decreased when combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The metabolism of Idarubicin can be decreased when combined with Chlorpropamide.]
[M03BB03, chlorzoxazone, The metabolism of Idarubicin can be decreased when combined with Chlorzoxazone.]
[A11CC05, cholecalciferol, The metabolism of Idarubicin can be decreased when combined with Cholecalciferol.]
[M01AB08, etodolac, The metabolism of Idarubicin can be decreased when combined with Etodolac.]
[B06AC06, berotralstat, The metabolism of Idarubicin can be decreased when combined with Berotralstat.]
[A16AX20, lonafarnib, The metabolism of Lonafarnib can be decreased when combined with Idarubicin.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Idarubicin.]
[L01FD06, margetuximab, The risk or severity of cardiotoxicity can be increased when Margetuximab is combined with Idarubicin.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Idarubicin is combined with Voclosporin.]
[L01EX21, tepotinib, The metabolism of Idarubicin can be decreased when combined with Tepotinib.]
[N03AX10, felbamate, The metabolism of Idarubicin can be decreased when combined with Felbamate.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Idarubicin.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Idarubicin.]
