[S02DA03, antipyrine, The serum concentration of Antipyrine can be decreased when it is combined with Leflunomide.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Leflunomide.]
[C10AC04, colesevelam, Colesevelam may increase the excretion rate of Leflunomide which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Everolimus is combined with Leflunomide.]
[L01EC02, dabrafenib, The serum concentration of Leflunomide can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The serum concentration of Benzyl alcohol can be decreased when it is combined with Leflunomide.]
[L01EB03, afatinib, Afatinib may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Ibrutinib is combined with Leflunomide.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Leflunomide.]
[J05AP05, simeprevir, The metabolism of Leflunomide can be decreased when combined with Simeprevir.]
[A10BK01, dapagliflozin, The serum concentration of Dapagliflozin can be decreased when it is combined with Leflunomide.]
[N05CH03, tasimelteon, The serum concentration of Tasimelteon can be decreased when it is combined with Leflunomide.]
[L04AA32, apremilast, The risk or severity of adverse effects can be increased when Apremilast is combined with Leflunomide.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Leflunomide.]
[S01ED02, betaxolol, The serum concentration of Betaxolol can be decreased when it is combined with Leflunomide.]
[C10AB02, bezafibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leflunomide is combined with Bezafibrate.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Siltuximab is combined with Leflunomide.]
[L01ED02, ceritinib, The metabolism of Leflunomide can be decreased when combined with Ceritinib.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Vedolizumab is combined with Leflunomide.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be decreased when it is combined with Leflunomide.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Belinostat is combined with Leflunomide.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Idelalisib is combined with Leflunomide.]
[N07XX08, tafamidis, The serum concentration of Leflunomide can be increased when it is combined with Tafamidis.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Leflunomide.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Peginterferon beta-1a is combined with Leflunomide.]
[J01XA05, oritavancin, The metabolism of Leflunomide can be decreased when combined with Oritavancin.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Decitabine is combined with Leflunomide.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Pirfenidone is combined with Leflunomide.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Blinatumomab is combined with Leflunomide.]
[J05AP09, dasabuvir, Dasabuvir may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Olaparib is combined with Leflunomide.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Leflunomide.]
[N06AX11, mirtazapine, The serum concentration of Mirtazapine can be decreased when it is combined with Leflunomide.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Secukinumab is combined with Leflunomide.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Palbociclib is combined with Leflunomide.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Panobinostat is combined with Leflunomide.]
[J05AP07, daclatasvir, Daclatasvir may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[N02BE01, acetaminophen, The serum concentration of Acetaminophen can be decreased when it is combined with Leflunomide.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Leflunomide.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Leflunomide.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Leflunomide.]
[A04AD14, rolapitant, Rolapitant may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[C10AD06, acipimox, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leflunomide is combined with Acipimox.]
[A02BC03, lansoprazole, Lansoprazole may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Trabectedin is combined with Leflunomide.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Mepolizumab is combined with Leflunomide.]
[J02AC05, isavuconazole, Isavuconazole may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L01EB04, osimertinib, The serum concentration of Leflunomide can be decreased when it is combined with Osimertinib.]
[L01ED03, alectinib, Alectinib may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Leflunomide.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Leflunomide.]
[J05AP10, elbasvir, Elbasvir may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[J05AP11, grazoprevir, Grazoprevir may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[N03AX23, brivaracetam, The metabolism of Brivaracetam can be decreased when combined with Leflunomide.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Ixekizumab is combined with Leflunomide.]
[L01XX52, venetoclax, Venetoclax may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[N05BA08, bromazepam, The serum concentration of Bromazepam can be decreased when it is combined with Leflunomide.]
[A05AA04, obeticholic acid, The metabolism of Leflunomide can be decreased when combined with Obeticholic acid.]
[C03CA02, bumetanide, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Bumetanide is combined with Leflunomide.]
[N01BB01, bupivacaine, The serum concentration of Levobupivacaine can be decreased when it is combined with Leflunomide.]
[N07BC01, buprenorphine, Buprenorphine may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Busulfan is combined with Leflunomide.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Arsenic trioxide is combined with Leflunomide.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Leflunomide.]
[M02AA03, clofezone, Rabeprazole may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[S01GX07, azelastine, The serum concentration of Azelastine can be decreased when it is combined with Leflunomide.]
[L01XK03, rucaparib, The serum concentration of Rucaparib can be decreased when it is combined with Leflunomide.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Brodalumab is combined with Leflunomide.]
[R03DA08, bamifylline, The serum concentration of Bamifylline can be decreased when it is combined with Leflunomide.]
[L04AA36, ocrelizumab, The risk or severity of adverse effects can be increased when Ocrelizumab is combined with Leflunomide.]
[N06BC01, caffeine, The serum concentration of Caffeine can be decreased when it is combined with Leflunomide.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Leflunomide.]
[J01XX08, linezolid, The risk or severity of adverse effects can be increased when Linezolid is combined with Leflunomide.]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Leflunomide.]
[L01ED04, brigatinib, Brigatinib may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[N04BD03, safinamide, Safinamide may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Leflunomide.]
[J01MA23, delafloxacin, The metabolism of Leflunomide can be increased when combined with Delafloxacin.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Guselkumab is combined with Leflunomide.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Capecitabine is combined with Leflunomide.]
[L01XX59, enasidenib, The serum concentration of Enasidenib can be decreased when it is combined with Leflunomide.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Vorinostat is combined with Leflunomide.]
[L01EF03, abemaciclib, Abemaciclib may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[J05AG03, efavirenz, The serum concentration of Efavirenz can be decreased when it is combined with Leflunomide.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Leflunomide.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Leflunomide.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Budesonide is combined with Leflunomide.]
[J05AX18, letermovir, Letermovir may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[N01BX04, capsaicin, The serum concentration of Capsaicin can be decreased when it is combined with Leflunomide.]
[C09AA01, captopril, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leflunomide is combined with Captopril.]
[L02BB05, apalutamide, Apalutamide may increase the excretion rate of Leflunomide which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Leflunomide.]
[H03BB01, carbimazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Carbimazole is combined with Leflunomide.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Leflunomide.]
[C07AG02, carvedilol, The serum concentration of Carvedilol can be decreased when it is combined with Leflunomide.]
[B02BX09, fostamatinib, Fostamatinib may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[N03AX24, cannabidiol, Cannabidiol may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[B02BX08, avatrombopag, Avatrombopag may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L04AA37, baricitinib, The risk or severity of adverse effects can be increased when Baricitinib is combined with Leflunomide.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be decreased when it is combined with Leflunomide.]
[L01XX62, ivosidenib, The metabolism of Leflunomide can be increased when combined with Ivosidenib.]
[N03AX17, stiripentol, The excretion of Leflunomide can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Leflunomide.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Leflunomide.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Leflunomide.]
[R03DA02, oxtriphylline, The serum concentration of Oxtriphylline can be decreased when it is combined with Leflunomide.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Emapalumab is combined with Leflunomide.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Leflunomide.]
[L01EX13, gilteritinib, Gilteritinib may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L01XJ03, glasdegib, Glasdegib may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Ravulizumab is combined with Leflunomide.]
[B01AC23, cilostazol, The serum concentration of Cilostazol can be decreased when it is combined with Leflunomide.]
[C10AB08, ciprofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leflunomide is combined with Ciprofibrate.]
[P02BX04, triclabendazole, The serum concentration of Triclabendazole can be decreased when it is combined with Leflunomide.]
[N06AX27, esketamine, The metabolism of Esketamine can be decreased when combined with Leflunomide.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Siponimod is combined with Leflunomide.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Leflunomide.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Cloprednol is combined with Leflunomide.]
[C01EB09, ubidecarenone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leflunomide is combined with Ubidecarenone.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Leflunomide.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Leflunomide.]
[V03AE02, sevelamer, Sevelamer may increase the excretion rate of Leflunomide which could result in a lower serum level and potentially a reduction in efficacy.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Cortivazol is combined with Leflunomide.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Risankizumab is combined with Leflunomide.]
[L01EM03, alpelisib, The serum concentration of Leflunomide can be decreased when it is combined with Alpelisib.]
[L02BB06, darolutamide, The serum concentration of Leflunomide can be increased when it is combined with Darolutamide.]
[M03BX08, cyclobenzaprine, The serum concentration of Cyclobenzaprine can be decreased when it is combined with Leflunomide.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Upadacitinib is combined with Leflunomide.]
[L01EJ02, fedratinib, Fedratinib may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[N07XX11, pitolisant, The metabolism of Leflunomide can be increased when combined with Pitolisant.]
[N04CX01, istradefylline, The serum concentration of Istradefylline can be decreased when it is combined with Leflunomide.]
[A10AE03, insulin, regular, pork, The metabolism of Leflunomide can be increased when combined with Insulin pork.]
[J01XX09, daptomycin, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Daptomycin is combined with Leflunomide.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Deflazacort is combined with Leflunomide.]
[L01FD01, trastuzumab, The risk or severity of adverse effects can be increased when Trastuzumab is combined with Leflunomide.]
[L01FD03, ado-trastuzumab emtansine, The risk or severity of adverse effects can be increased when Trastuzumab emtansine is combined with Leflunomide.]
[N02CC08, lasmiditan, The serum concentration of Leflunomide can be increased when it is combined with Lasmiditan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Diroximel fumarate is combined with Leflunomide.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Leflunomide.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Leflunomide.]
[A16AX16, givosiran, The serum concentration of Leflunomide can be increased when it is combined with Givosiran.]
[L01EX18, avapritinib, The metabolism of Avapritinib can be decreased when combined with Leflunomide.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Teprotumumab is combined with Leflunomide.]
[M01AX21, diacetylrhein, The metabolism of Leflunomide can be decreased when combined with Diacerein.]
[S01AE06, gatifloxacin, The metabolism of Leflunomide can be decreased when combined with Gatifloxacin.]
[H02CA02, osilodrostat, The metabolism of Leflunomide can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Amprenavir can be decreased when combined with Leflunomide.]
[N02CC07, frovatriptan, The serum concentration of Frovatriptan can be decreased when it is combined with Leflunomide.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Ozanimod is combined with Leflunomide.]
[L01EE04, selumetinib, The serum concentration of Selumetinib can be decreased when it is combined with Leflunomide.]
[N02CC06, eletriptan, The metabolism of Eletriptan can be decreased when combined with Leflunomide.]
[M01AH02, rofecoxib, The serum concentration of Rofecoxib can be decreased when it is combined with Leflunomide.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Leflunomide.]
[C08CA16, clevidipine, The metabolism of Leflunomide can be decreased when combined with Clevidipine.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Leflunomide.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Leflunomide.]
[L01EX17, capmatinib, The serum concentration of Leflunomide can be increased when it is combined with Capmatinib.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Fluprednidene is combined with Leflunomide.]
[L01EX19, ripretinib, Ripretinib may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Leflunomide is combined with Inebilizumab.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Stepronin is combined with Leflunomide.]
[J05AX29, fostemsavir, Fostemsavir may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[P01BB01, proguanil, The metabolism of Proguanil can be decreased when combined with Leflunomide.]
[L04AC19, satralizumab, The serum concentration of Leflunomide can be decreased when it is combined with Satralizumab.]
[P01BA01, chloroquine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Chloroquine is combined with Leflunomide.]
[L01EX23, pralsetinib, Pralsetinib may decrease the excretion rate of Leflunomide which could result in a higher serum level.]
[N05AA01, chlorpromazine, The serum concentration of Chlorpromazine can be decreased when it is combined with Leflunomide.]
[A10BB02, chlorpropamide, The metabolism of Chlorpropamide can be decreased when combined with Leflunomide.]
[M03BB03, chlorzoxazone, The serum concentration of Chlorzoxazone can be decreased when it is combined with Leflunomide.]
[C10AC01, cholestyramine resin, Cholestyramine may increase the excretion rate of Leflunomide which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AB08, etodolac, The metabolism of Etodolac can be decreased when combined with Leflunomide.]
[C10AB09, etofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Leflunomide is combined with Etofibrate.]
[A16AX20, lonafarnib, The serum concentration of Lonafarnib can be increased when it is combined with Leflunomide.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Leflunomide.]
