[S02DA03, antipyrine, The risk or severity of hypertension can be increased when Linezolid is combined with Antipyrine.]
[N03AX22, perampanel, The therapeutic efficacy of Perampanel can be decreased when used in combination with Linezolid.]
[L04AA29, tofacitinib, Linezolid may increase the immunosuppressive activities of Tofacitinib.]
[N02CC03, zolmitriptan, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Zolmitriptan.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Diethyl ether is combined with Linezolid.]
[L01EA05, ponatinib, The risk or severity of adverse effects can be increased when Linezolid is combined with Ponatinib.]
[B01AF02, apixaban, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Apixaban.]
[A10BH04, alogliptin, Linezolid may increase the hypoglycemic activities of Alogliptin.]
[C03AA01, bendroflumethiazide, Linezolid may increase the hypotensive activities of Bendroflumethiazide.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Linezolid is combined with Pomalidomide.]
[N02BA10, benorilate, The risk or severity of hypertension can be increased when Linezolid is combined with Benorilate.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Linezolid is combined with Benperidol.]
[A10BK02, canagliflozin, Linezolid may increase the orthostatic hypotensive activities of Canagliflozin.]
[L04AX07, dimethyl fumarate, The risk or severity of adverse effects can be increased when Linezolid is combined with Dimethyl fumarate.]
[A06AX06, tegaserod, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Tegaserod.]
[A10AE05, insulin detemir, The risk or severity of hypoglycemia can be increased when Linezolid is combined with Insulin detemir.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Benzocaine.]
[A10BX05, pramlintide, Linezolid may increase the hypoglycemic activities of Pramlintide.]
[M01AH01, celecoxib, The risk or severity of hypertension can be increased when Celecoxib is combined with Linezolid.]
[N02CC02, naratriptan, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Naratriptan.]
[L04AA18, everolimus, The risk or severity of adverse effects can be increased when Linezolid is combined with Everolimus.]
[R02AX03, benzydamine, The risk or severity of hypertension can be increased when Linezolid is combined with Benzydamine.]
[P03AX06, benzyl alcohol, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Levomilnacipran.]
[C08EA02, bepridil, Linezolid may increase the hypotensive activities of Bepridil.]
[C02KX05, riociguat, Linezolid may increase the hypotensive activities of Riociguat.]
[L03AA14, lipegfilgrastim, Linezolid may increase the myelosuppressive activities of Lipegfilgrastim.]
[A10BJ03, lixisenatide, Linezolid may increase the hypoglycemic activities of Lixisenatide.]
[A05AA03, cholic acid, The excretion of Cholic Acid can be decreased when combined with Linezolid.]
[C02KX04, macitentan, Linezolid may increase the hypotensive activities of Macitentan.]
[L01EL01, ibrutinib, The risk or severity of adverse effects can be increased when Linezolid is combined with Ibrutinib.]
[N06AX26, vortioxetine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The therapeutic efficacy of Eslicarbazepine can be decreased when used in combination with Linezolid.]
[S01EA03, apraclonidine, Linezolid may increase the alpha-adrenergic activities of Apraclonidine.]
[N03AG04, vigabatrin, The therapeutic efficacy of Vigabatrin can be decreased when used in combination with Linezolid.]
[A10BK01, dapagliflozin, Linezolid may increase the orthostatic hypotensive activities of Dapagliflozin.]
[C01CA27, droxidopa, Linezolid may increase the hypertensive activities of Droxidopa.]
[C07AB04, acebutolol, The risk or severity of hypertension can be increased when Linezolid is combined with Acebutolol.]
[L04AA32, apremilast, The risk or severity of adverse effects can be increased when Linezolid is combined with Apremilast.]
[N07CA01, betahistine, The metabolism of Betahistine can be decreased when combined with Linezolid.]
[S03BA03, betamethasone, The risk or severity of adverse effects can be increased when Betamethasone is combined with Linezolid.]
[S01ED02, betaxolol, Linezolid may increase the hypotensive activities of Betaxolol.]
[B01AE03, argatroban, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Argatroban.]
[C02CC01, bethanidine, Linezolid may increase the hypotensive activities of Bethanidine.]
[C10AB02, bezafibrate, Linezolid may increase the hepatotoxic activities of Bezafibrate.]
[A10BJ04, albiglutide, Linezolid may increase the hypoglycemic activities of Albiglutide.]
[L04AC11, siltuximab, The risk or severity of adverse effects can be increased when Linezolid is combined with Siltuximab.]
[B01AC26, vorapaxar, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Vorapaxar.]
[L04AA33, vedolizumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Vedolizumab.]
[A03BA03, hyoscyamine, Linezolid may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Acenocoumarol.]
[L01XH04, belinostat, The risk or severity of adverse effects can be increased when Linezolid is combined with Belinostat.]
[L01EM01, idelalisib, The risk or severity of adverse effects can be increased when Linezolid is combined with Idelalisib.]
[A10BK03, empagliflozin, Linezolid may increase the orthostatic hypotensive activities of Empagliflozin.]
[R03AC19, olodaterol, The risk or severity of hypertension can be increased when Linezolid is combined with Olodaterol.]
[L03AB13, peginterferon beta-1a, The risk or severity of adverse effects can be increased when Linezolid is combined with Peginterferon beta-1a.]
[N05AA04, acepromazine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Acepromazine.]
[A10BJ05, dulaglutide, Linezolid may increase the hypoglycemic activities of Dulaglutide.]
[L01BC08, decitabine, The risk or severity of adverse effects can be increased when Linezolid is combined with Decitabine.]
[L04AX05, pirfenidone, The risk or severity of adverse effects can be increased when Linezolid is combined with Pirfenidone.]
[L01FX07, blinatumomab, The risk or severity of adverse effects can be increased when Linezolid is combined with Blinatumomab.]
[L01XK01, olaparib, The risk or severity of adverse effects can be increased when Linezolid is combined with Olaparib.]
[B01AA01, dicumarol, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Dicoumarol.]
[B01AF03, edoxaban, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Edoxaban.]
[N06AX11, mirtazapine, Linezolid may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of adverse effects can be increased when Linezolid is combined with Palbociclib.]
[L01XH03, panobinostat, The risk or severity of adverse effects can be increased when Linezolid is combined with Panobinostat.]
[L01DC01, bleomycin, The risk or severity of adverse effects can be increased when Bleomycin is combined with Linezolid.]
[B01AA11, tioclomarol, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Tioclomarol.]
[J05AF08, adefovir dipivoxil, The excretion of Adefovir dipivoxil can be decreased when combined with Linezolid.]
[A07DA06, eluxadoline, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Eluxadoline.]
[B01AC25, cangrelor, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Cangrelor.]
[N05AX16, brexpiprazole, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Brexpiprazole.]
[G02CX02, flibanserin, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Cariprazine.]
[A10BF01, acarbose, Linezolid may increase the hypoglycemic activities of Acarbose.]
[M02AA25, aceclofenac, The risk or severity of hypertension can be increased when Linezolid is combined with Aceclofenac.]
[M01AB11, acemetacin, The risk or severity of hypertension can be increased when Linezolid is combined with Acemetacin.]
[S01EC01, acetazolamide, The therapeutic efficacy of Acetazolamide can be decreased when used in combination with Linezolid.]
[A10AE06, insulin degludec, The risk or severity of hypoglycemia can be increased when Linezolid is combined with Insulin degludec.]
[N05AB07, acetophenazine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Acetophenazine.]
[L01CX01, trabectedin, The risk or severity of adverse effects can be increased when Linezolid is combined with Trabectedin.]
[R03DX09, mepolizumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Mepolizumab.]
[J05AF13, tenofovir alafenamide, The excretion of Tenofovir alafenamide can be decreased when combined with Linezolid.]
[B01AC27, selexipag, Linezolid may increase the hypotensive activities of Selexipag.]
[A10BB31, acetohexamide, Linezolid may increase the hypoglycemic activities of Acetohexamide.]
[M01AE16, alminoprofen, The risk or severity of hypertension can be increased when Linezolid is combined with Alminoprofen.]
[N03AX23, brivaracetam, The therapeutic efficacy of Brivaracetam can be decreased when used in combination with Linezolid.]
[L04AC13, ixekizumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Ixekizumab.]
[N04BC01, bromocriptine, Linezolid may increase the hypertensive activities of Bromocriptine.]
[N06AA19, amineptin, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Amineptine.]
[C08CA01, amlodipine, Linezolid may increase the hypotensive activities of Amlodipine.]
[C03CA02, bumetanide, The excretion of Bumetanide can be decreased when combined with Linezolid.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Bupivacaine.]
[C07AA19, bupranolol, Linezolid may increase the hypotensive activities of Bupranolol.]
[N07BC01, buprenorphine, The risk or severity of serotonin syndrome and opioid toxicity can be increased when Buprenorphine is combined with Linezolid.]
[N05BE01, buspirone, The risk or severity of hypertension can be increased when Linezolid is combined with Buspirone.]
[L01AB01, busulfan, The risk or severity of adverse effects can be increased when Linezolid is combined with Busulfan.]
[L01XX27, arsenic trioxide, The risk or severity of adverse effects can be increased when Linezolid is combined with Arsenic trioxide.]
[N02AF01, butorphanol, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Butorphanol.]
[L04AC12, brodalumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Brodalumab.]
[A07EC04, balsalazide, The risk or severity of hypertension can be increased when Linezolid is combined with Balsalazide.]
[R03CC12, bambuterol, The risk or severity of hypertension can be increased when Linezolid is combined with Bambuterol.]
[L04AA36, ocrelizumab, Ocrelizumab may increase the immunosuppressive activities of Linezolid.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Linezolid is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Pregabalin can be decreased when used in combination with Linezolid.]
[N03AX30, beclamide, The therapeutic efficacy of Beclamide can be decreased when used in combination with Linezolid.]
[C09AA07, benazepril, Linezolid may increase the hypotensive activities of Benazepril.]
[A10BX06, benfluorex, Linezolid may increase the hypoglycemic activities of Benfluorex.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Oxybuprocaine.]
[L04AC01, daclizumab, The risk or severity of adverse effects can be increased when Daclizumab is combined with Linezolid.]
[L04AA03, lymphocyte immune globulin, anti-thymocyte globulin, equine, The risk or severity of adverse effects can be increased when Linezolid is combined with Antilymphocyte immunoglobulin (horse).]
[L04AB02, infliximab, The risk or severity of adverse effects can be increased when Infliximab is combined with Linezolid.]
[N04BD03, safinamide, The risk or severity of serotonin syndrome can be increased when Safinamide is combined with Linezolid.]
[L04AC14, sarilumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Sarilumab.]
[B01AF04, betrixaban, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Betrixaban.]
[L04AC16, guselkumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Guselkumab.]
[L01BC06, capecitabine, The risk or severity of adverse effects can be increased when Linezolid is combined with Capecitabine.]
[L01XH01, vorinostat, The risk or severity of adverse effects can be increased when Linezolid is combined with Vorinostat.]
[C07AB07, bisoprolol, Linezolid may increase the hypotensive activities of Bisoprolol.]
[R03AC17, bitolterol, The risk or severity of hypertension can be increased when Linezolid is combined with Bitolterol.]
[L04AC02, basiliximab, The risk or severity of adverse effects can be increased when Basiliximab is combined with Linezolid.]
[L01BA03, raltitrexed, The risk or severity of adverse effects can be increased when Raltitrexed is combined with Linezolid.]
[V03AF08, palifermin, The therapeutic efficacy of Palifermin can be decreased when used in combination with Linezolid.]
[C01DX19, nesiritide, Linezolid may increase the orthostatic hypotensive activities of Nesiritide.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Linezolid is combined with Bromperidol.]
[R03BA02, budesonide, The risk or severity of adverse effects can be increased when Linezolid is combined with Budesonide.]
[C04AX20, buflomedil, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Buflomedil.]
[M01AB07, bumadizone, The risk or severity of hypertension can be increased when Linezolid is combined with Bumadizone.]
[N06AA15, butriptyline, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Butriptyline.]
[A10BJ06, semaglutide, Linezolid may increase the hypoglycemic activities of Semaglutide.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Capsaicin.]
[A10BK04, ertugliflozin, Linezolid may increase the hypoglycemic activities of Ertugliflozin.]
[C09AA01, captopril, The excretion of Captopril can be decreased when combined with Linezolid.]
[N03AF01, carbamazepine, The risk or severity of adverse effects can be increased when Carbamazepine is combined with Linezolid.]
[L03AB06, interferon alfa-n1, The risk or severity of adverse effects can be increased when Interferon alfa-n1 is combined with Linezolid.]
[C07AG02, carvedilol, Linezolid may increase the hypotensive activities of Carvedilol.]
[N03AX24, cannabidiol, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Cannabidiol.]
[L04AA37, baricitinib, The serum concentration of Baricitinib can be increased when it is combined with Linezolid.]
[J01DD14, ceftibuten, The excretion of Ceftibuten can be decreased when combined with Linezolid.]
[C07AB08, celiprolol, The risk or severity of hypertension can be increased when Linezolid is combined with Celiprolol.]
[N03AX17, stiripentol, The therapeutic efficacy of Stiripentol can be decreased when used in combination with Linezolid.]
[J01AA13, eravacycline, The metabolism of Eravacycline can be decreased when combined with Linezolid.]
[A10BB06, carbutamide, Linezolid may increase the hypoglycemic activities of Carbutamide.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Linezolid is combined with Chloroprocaine.]
[M01AC05, lornoxicam, The risk or severity of hypertension can be increased when Linezolid is combined with Lornoxicam.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Linezolid.]
[N07XX05, amifampridine, The risk or severity of seizure can be increased when Linezolid is combined with Amifampridine.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Ravulizumab.]
[C09AA08, cilazapril, Linezolid may increase the hypotensive activities of Cilazapril.]
[B01AX07, caplacizumab, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Caplacizumab.]
[B01AC23, cilostazol, The risk or severity of bleeding and hemorrhage can be increased when Linezolid is combined with Cilostazol.]
[A03FA08, cinitapride, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Cinitapride.]
[N06AX27, esketamine, The risk or severity of hypertension can be increased when Esketamine is combined with Linezolid.]
[L04AA42, siponimod, The risk or severity of adverse effects can be increased when Linezolid is combined with Siponimod.]
[N06BA14, solriamfetol, The risk or severity of hypertension can be increased when Solriamfetol is combined with Linezolid.]
[N06AX29, brexanolone, The therapeutic efficacy of Brexanolone can be decreased when used in combination with Linezolid.]
[N05BA09, clobazam, The therapeutic efficacy of Clobazam can be decreased when used in combination with Linezolid.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Linezolid is combined with Cloprednol.]
[C09CA06, candesartan, Linezolid may increase the hypotensive activities of Candesartan.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Linezolid.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Linezolid is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Linezolid is combined with Risankizumab.]
[J01DC04, cefaclor, The excretion of Cefaclor can be decreased when combined with Linezolid.]
[J01DB04, cefazolin, The excretion of Cefazolin can be decreased when combined with Linezolid.]
[N05AA06, cyamemazine, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Cyamemazine.]
[J01DC07, cefotiam, The excretion of Cefotiam can be decreased when combined with Linezolid.]
[C03BX03, cicletanine, Linezolid may increase the hypotensive activities of Cicletanine.]
[J01DD07, ceftizoxime, The excretion of Ceftizoxime can be decreased when combined with Linezolid.]
[M03BX08, cyclobenzaprine, Cyclobenzaprine may increase the serotonergic activities of Linezolid.]
