[S02DA03, antipyrine, The risk or severity of hyperkalemia can be increased when Antipyrine is combined with Tolvaptan.]
[S01ED01, timolol, Tolvaptan may increase the excretion rate of Timolol which could result in a lower serum level and potentially a reduction in efficacy.]
[P01AB02, tinidazole, Tolvaptan may increase the excretion rate of Tinidazole which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AA12, tobramycin, Tolvaptan may increase the excretion rate of Tobramycin which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BB05, tolazamide, Tolvaptan may increase the excretion rate of Tolazamide which could result in a lower serum level and potentially a reduction in efficacy.]
[V04CA01, tolbutamide, Tolvaptan may increase the excretion rate of Tolbutamide which could result in a lower serum level and potentially a reduction in efficacy.]
[M02AA21, tolmetin, The risk or severity of hyperkalemia can be increased when Tolmetin is combined with Tolvaptan.]
[N02AX02, tramadol, Tolvaptan may increase the excretion rate of Tramadol which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX05, trazodone, The serum concentration of Tolvaptan can be decreased when it is combined with Trazodone.]
[S01BA05, triamcinolone, The metabolism of Tolvaptan can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, The risk or severity of hyperkalemia can be increased when Triamterene is combined with Tolvaptan.]
[N05CD05, triazolam, Tolvaptan may increase the excretion rate of Triazolam which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Tolvaptan may increase the excretion rate of Triethylenetetramine which could result in a lower serum level and potentially a reduction in efficacy.]
[S01AD02, trifluridine, Tolvaptan may increase the excretion rate of Trifluridine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA07, mometasone, The metabolism of Tolvaptan can be increased when combined with Mometasone.]
[A03AA05, trimebutine, Tolvaptan may increase the excretion rate of Trimebutine which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AC02, trimethadione, The risk or severity of hyperkalemia can be increased when Trimethadione is combined with Tolvaptan.]
[J01EA01, trimethoprim, Tolvaptan may increase the excretion rate of Trimethoprim which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AA06, trimipramine, The serum concentration of Trimipramine can be increased when it is combined with Tolvaptan.]
[J01FA08, troleandomycin, The metabolism of Tolvaptan can be decreased when combined with Troleandomycin.]
[C09CA09, azilsartan medoxomil, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Azilsartan medoxomil.]
[R03DX07, roflumilast, The metabolism of Tolvaptan can be decreased when combined with Roflumilast.]
[L01FX04, ipilimumab, Tolvaptan may increase the excretion rate of Ipilimumab which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EX04, vandetanib, The serum concentration of Tolvaptan can be increased when it is combined with Vandetanib.]
[R02AA14, oxyquinoline, Tolvaptan may increase the excretion rate of Oxyquinoline which could result in a lower serum level and potentially a reduction in efficacy.]
[A10BH05, linagliptin, The serum concentration of Tolvaptan can be increased when it is combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Tolvaptan can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Tolvaptan can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Tolvaptan can be decreased when combined with Rilpivirine.]
[S01AA28, vancomycin, Tolvaptan may increase the excretion rate of Vancomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AX21, ezogabine, Tolvaptan may increase the excretion rate of Ezogabine which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AF01, rivaroxaban, Tolvaptan may increase the excretion rate of Rivaroxaban which could result in a lower serum level and potentially a reduction in efficacy.]
[R03AC18, indacaterol, The serum concentration of Tolvaptan can be increased when it is combined with Indacaterol.]
[B01AC24, ticagrelor, The serum concentration of Tolvaptan can be increased when it is combined with Ticagrelor.]
[C08DA01, verapamil, The serum concentration of Tolvaptan can be increased when it is combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Tolvaptan can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Tolvaptan can be increased when combined with Vinblastine.]
[L01CA02, vincristine, The serum concentration of Tolvaptan can be increased when it is combined with Vincristine.]
[B03BA01, vitamin B12, Tolvaptan may increase the excretion rate of Cyanocobalamin which could result in a lower serum level and potentially a reduction in efficacy.]
[A11HA03, vitamin E, The metabolism of Tolvaptan can be increased when combined with Vitamin E.]
[B01AA03, warfarin, The metabolism of Tolvaptan can be increased when combined with Warfarin.]
[N05AF05, zuclopenthixol, The metabolism of Tolvaptan can be decreased when combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Tolvaptan can be decreased when combined with Indinavir.]
[L01EC01, vemurafenib, The serum concentration of Tolvaptan can be increased when it is combined with Vemurafenib.]
[L01FX05, brentuximab vedotin, The metabolism of Tolvaptan can be decreased when combined with Brentuximab vedotin.]
[M05BA05, tiludronic acid, Tolvaptan may increase the excretion rate of Tiludronic acid which could result in a lower serum level and potentially a reduction in efficacy.]
[B06AC02, icatibant, Tolvaptan may increase the excretion rate of Icatibant which could result in a lower serum level and potentially a reduction in efficacy.]
[L01ED01, crizotinib, The metabolism of Tolvaptan can be decreased when combined with Crizotinib.]
[R03DC01, zafirlukast, The metabolism of Tolvaptan can be decreased when combined with Zafirlukast.]
[A02BC04, rabeprazole, Tolvaptan may increase the excretion rate of Rabeprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N05AE04, ziprasidone, The metabolism of Tolvaptan can be decreased when combined with Ziprasidone.]
[G03AC10, drospirenone, The metabolism of Tolvaptan can be decreased when combined with Drospirenone.]
[V03AC02, deferiprone, Tolvaptan may increase the excretion rate of Deferiprone which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA01, aspirin, Acetylsalicylic acid may decrease the excretion rate of Tolvaptan which could result in a higher serum level.]
[L01EJ01, ruxolitinib, Tolvaptan may increase the excretion rate of Ruxolitinib which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD07, tolterodine, Tolvaptan may increase the excretion rate of Tolterodine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DH04, doripenem, Tolvaptan may increase the excretion rate of Doripenem which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB03, atenolol, The risk or severity of hyperkalemia can be increased when Atenolol is combined with Tolvaptan.]
[J02AC03, voriconazole, The serum concentration of Tolvaptan can be increased when it is combined with Voriconazole.]
[M01CB03, auranofin, Tolvaptan may increase the excretion rate of Auranofin which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EK01, axitinib, The serum concentration of Axitinib can be increased when it is combined with Tolvaptan.]
[R07AX02, ivacaftor, The serum concentration of Tolvaptan can be increased when it is combined with Ivacaftor.]
[H02AB11, prednylidene, The metabolism of Tolvaptan can be increased when combined with Prednylidene.]
[B03XA04, peginesatide, Tolvaptan may increase the excretion rate of Peginesatide which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC07, azacitidine, Tolvaptan may increase the excretion rate of Azacitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX01, azathioprine, Tolvaptan may increase the excretion rate of Azathioprine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01BC05, gemcitabine, Tolvaptan may increase the excretion rate of Gemcitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01DF01, aztreonam, Tolvaptan may increase the excretion rate of Aztreonam which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Tolvaptan.]
[M03BX01, baclofen, Tolvaptan may increase the excretion rate of Baclofen which could result in a lower serum level and potentially a reduction in efficacy.]
[A08AA11, lorcaserin, Tolvaptan may increase the excretion rate of Lorcaserin which could result in a lower serum level and potentially a reduction in efficacy.]
[G04BD12, mirabegron, The serum concentration of Tolvaptan can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The serum concentration of Tolvaptan can be increased when it is combined with Carfilzomib.]
[V03AX03, cobicistat, The metabolism of Tolvaptan can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Tolvaptan can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Tolvaptan can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Linaclotide.]
[L01EA04, bosutinib, The metabolism of Tolvaptan can be decreased when combined with Bosutinib.]
[L01EX05, regorafenib, The serum concentration of Tolvaptan can be increased when it is combined with Regorafenib.]
[N05CA04, barbital, The metabolism of Tolvaptan can be increased when combined with Barbital.]
[D02BA02, octinoxate, Tolvaptan may increase the excretion rate of Octinoxate which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE04, nelfinavir, The metabolism of Tolvaptan can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The serum concentration of Bendamustine can be increased when it is combined with Tolvaptan.]
[N04BD02, rasagiline, Tolvaptan may increase the excretion rate of Rasagiline which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA13, lercanidipine, The risk or severity of hyperkalemia can be increased when Lercanidipine is combined with Tolvaptan.]
[N03AX22, perampanel, The metabolism of Tolvaptan can be increased when combined with Perampanel.]
[V09IX04, fluorodeoxyglucose F18, Tolvaptan may increase the excretion rate of Fludeoxyglucose (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[H01CB05, pasireotide, The metabolism of Tolvaptan can be decreased when combined with Pasireotide.]
[G04BE03, sildenafil, The serum concentration of Tolvaptan can be increased when it is combined with Sildenafil.]
[V08CA11, gadofosveset, Tolvaptan may increase the excretion rate of Gadofosveset trisodium which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EA05, ponatinib, The serum concentration of Tolvaptan can be increased when it is combined with Ponatinib.]
[B01AF02, apixaban, The serum concentration of Tolvaptan can be increased when it is combined with Apixaban.]
[A16AX08, teduglutide, Tolvaptan may increase the excretion rate of Teduglutide which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AX12, lomitapide, The serum concentration of Tolvaptan can be increased when it is combined with Lomitapide.]
[C04AX11, bencyclane, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Bencyclane.]
[A10BH04, alogliptin, Tolvaptan may increase the excretion rate of Alogliptin which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Tolvaptan can be increased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, Tolvaptan may increase the excretion rate of Pomalidomide which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BA10, benorilate, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Benorilate.]
[A10BK02, canagliflozin, The serum concentration of Tolvaptan can be increased when it is combined with Canagliflozin.]
[A06AX06, tegaserod, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Tegaserod.]
[A10AE05, insulin detemir, The therapeutic efficacy of Insulin detemir can be decreased when used in combination with Tolvaptan.]
[L03AA12, ancestim, Tolvaptan may increase the excretion rate of Ancestim which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AH01, celecoxib, The risk or severity of hyperkalemia can be increased when Celecoxib is combined with Tolvaptan.]
[L04AA18, everolimus, The serum concentration of Tolvaptan can be increased when it is combined with Everolimus.]
[N04AC01, benztropine, Tolvaptan may increase the excretion rate of Benzatropine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EC02, dabrafenib, The serum concentration of Tolvaptan can be decreased when it is combined with Dabrafenib.]
[R02AX03, benzydamine, Tolvaptan may increase the excretion rate of Benzydamine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EE01, trametinib, Tolvaptan may increase the excretion rate of Trametinib which could result in a lower serum level and potentially a reduction in efficacy.]
[V09AX05, florbetapir F-18, Tolvaptan may increase the excretion rate of Florbetapir (18F) which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EB03, afatinib, The serum concentration of Tolvaptan can be increased when it is combined with Afatinib.]
[N06AX28, levomilnacipran, Tolvaptan may increase the excretion rate of Levomilnacipran which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AJ03, dolutegravir, The serum concentration of Tolvaptan can be increased when it is combined with Dolutegravir.]
[C08EA02, bepridil, The risk or severity of hyperkalemia can be increased when Bepridil is combined with Tolvaptan.]
[C02KX05, riociguat, The serum concentration of Tolvaptan can be increased when it is combined with Riociguat.]
[A10BJ03, lixisenatide, Tolvaptan may increase the excretion rate of Lixisenatide which could result in a lower serum level and potentially a reduction in efficacy.]
[C02KX04, macitentan, Tolvaptan may increase the excretion rate of Macitentan which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX26, vortioxetine, Tolvaptan may increase the excretion rate of Vortioxetine which could result in a lower serum level and potentially a reduction in efficacy.]
[G03AC08, etonogestrel, Tolvaptan may increase the excretion rate of Etonogestrel which could result in a lower serum level and potentially a reduction in efficacy.]
[N03AF04, eslicarbazepine, The metabolism of Tolvaptan can be increased when combined with Eslicarbazepine.]
[J05AP05, simeprevir, The serum concentration of Tolvaptan can be increased when it is combined with Simeprevir.]
[J05AP08, sofosbuvir, Tolvaptan may increase the excretion rate of Sofosbuvir which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Tolvaptan may increase the excretion rate of Droxidopa which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB04, acebutolol, The risk or severity of hyperkalemia can be increased when Acebutolol is combined with Tolvaptan.]
[N05CH03, tasimelteon, The metabolism of Tolvaptan can be decreased when combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Tolvaptan can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Tolvaptan can be increased when combined with Apremilast.]
[L02BG02, formestane, The metabolism of Tolvaptan can be increased when combined with Formestane.]
[S03BA03, betamethasone, The metabolism of Tolvaptan can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The risk or severity of hyperkalemia can be increased when Betaxolol is combined with Tolvaptan.]
[V03AB34, fomepizole, Tolvaptan may increase the excretion rate of Fomepizole which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AC11, siltuximab, The metabolism of Tolvaptan can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The metabolism of Tolvaptan can be decreased when combined with Ceritinib.]
[B01AC26, vorapaxar, The serum concentration of Tolvaptan can be increased when it is combined with Vorapaxar.]
[L01XH04, belinostat, The serum concentration of Tolvaptan can be increased when it is combined with Belinostat.]
[L01EM01, idelalisib, The metabolism of Tolvaptan can be decreased when combined with Idelalisib.]
[A10BK03, empagliflozin, Empagliflozin may increase the diuretic activities of Tolvaptan.]
[V08AA01, diatrizoic acid, Tolvaptan may increase the excretion rate of Diatrizoate which could result in a lower serum level and potentially a reduction in efficacy.]
[V08AA04, iothalamic acid, Tolvaptan may increase the excretion rate of Diatrizoate which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CM19, suvorexant, The serum concentration of Tolvaptan can be increased when it is combined with Suvorexant.]
[A16AX10, eliglustat, The serum concentration of Tolvaptan can be increased when it is combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Tolvaptan can be increased when combined with Oritavancin.]
[A06AB04, phenolphthalein, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Phenolphthalein.]
[A06AH03, naloxegol, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Naloxegol.]
[L01EX09, nintedanib, The metabolism of Tolvaptan can be decreased when combined with Nintedanib.]
[A06AG02, bisacodyl, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Bisacodyl.]
[J05AP09, dasabuvir, The serum concentration of Tolvaptan can be increased when it is combined with Dasabuvir.]
[L01XK01, olaparib, The metabolism of Tolvaptan can be decreased when combined with Olaparib.]
[B01AF03, edoxaban, Tolvaptan may increase the excretion rate of Edoxaban which could result in a lower serum level and potentially a reduction in efficacy.]
[N06AX11, mirtazapine, The metabolism of Tolvaptan can be decreased when combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Tolvaptan can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The serum concentration of Tolvaptan can be increased when it is combined with Palbociclib.]
[L01EX08, lenvatinib, The serum concentration of Tolvaptan can be increased when it is combined with Lenvatinib.]
[L01XH03, panobinostat, The serum concentration of Panobinostat can be increased when it is combined with Tolvaptan.]
[J05AP07, daclatasvir, The serum concentration of Tolvaptan can be increased when it is combined with Daclatasvir.]
[N02BE01, acetaminophen, The metabolism of Tolvaptan can be increased when combined with Acetaminophen.]
[L01DC01, bleomycin, Tolvaptan may increase the excretion rate of Bleomycin which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AP06, asunaprevir, The serum concentration of Tolvaptan can be increased when it is combined with Asunaprevir.]
[A07DA06, eluxadoline, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Eluxadoline.]
[A04AD14, rolapitant, The serum concentration of Tolvaptan can be increased when it is combined with Rolapitant.]
[G02CX02, flibanserin, The serum concentration of Tolvaptan can be increased when it is combined with Flibanserin.]
[A06AD03, magnesium peroxide, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Magnesium peroxide.]
[M02AA25, aceclofenac, Tolvaptan may increase the excretion rate of Aceclofenac which could result in a lower serum level and potentially a reduction in efficacy.]
[M01AB11, acemetacin, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Acemetacin.]
[S01EC01, acetazolamide, The metabolism of Tolvaptan can be decreased when combined with Acetazolamide.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Tolvaptan.]
[V03AB37, idarucizumab, Tolvaptan may increase the excretion rate of Idarucizumab which could result in a lower serum level and potentially a reduction in efficacy.]
[J02AC05, isavuconazole, The serum concentration of Tolvaptan can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The metabolism of Tolvaptan can be decreased when combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The metabolism of Tolvaptan can be decreased when combined with Tenofovir alafenamide.]
[L01EE02, cobimetinib, The metabolism of Tolvaptan can be decreased when combined with Cobimetinib.]
[L01XG03, ixazomib, Tolvaptan may increase the excretion rate of Ixazomib which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AC27, selexipag, The serum concentration of Tolvaptan can be increased when it is combined with Selexipag.]
[M04AB05, lesinurad, The metabolism of Tolvaptan can be increased when combined with Lesinurad.]
[J05AP10, elbasvir, The serum concentration of Tolvaptan can be increased when it is combined with Elbasvir.]
[J05AP11, grazoprevir, The serum concentration of Tolvaptan can be increased when it is combined with Grazoprevir.]
[N05CA05, aprobarbital, The metabolism of Tolvaptan can be increased when combined with Aprobarbital.]
[M01AE16, alminoprofen, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Alminoprofen.]
[N03AX23, brivaracetam, Tolvaptan may increase the excretion rate of Brivaracetam which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX52, venetoclax, The serum concentration of Tolvaptan can be increased when it is combined with Venetoclax.]
[N05BA08, bromazepam, Tolvaptan may increase the excretion rate of Bromazepam which could result in a lower serum level and potentially a reduction in efficacy.]
[A02AD05, aluminum magnesium silicate, Tolvaptan may increase the excretion rate of Almasilate which could result in a lower serum level and potentially a reduction in efficacy.]
[C08CA01, amlodipine, The risk or severity of hyperkalemia can be increased when Amlodipine is combined with Tolvaptan.]
[N05AX17, pimavanserin, The metabolism of Tolvaptan can be decreased when combined with Pimavanserin.]
[C03CA02, bumetanide, Tolvaptan may increase the excretion rate of Bumetanide which could result in a lower serum level and potentially a reduction in efficacy.]
[N01BB01, bupivacaine, Tolvaptan may increase the excretion rate of Levobupivacaine which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AA19, bupranolol, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Bupranolol.]
[N07BC01, buprenorphine, The metabolism of Tolvaptan can be decreased when combined with Buprenorphine.]
[N05BE01, buspirone, Tolvaptan may increase the excretion rate of Buspirone which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX27, arsenic trioxide, The serum concentration of Tolvaptan can be increased when it is combined with Arsenic trioxide.]
[M02AA03, clofezone, Tolvaptan may increase the excretion rate of Rabeprazole which could result in a lower serum level and potentially a reduction in efficacy.]
[N02AF01, butorphanol, The therapeutic efficacy of Tolvaptan can be decreased when used in combination with Butorphanol.]
[L01XK03, rucaparib, The metabolism of Tolvaptan can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The metabolism of Tolvaptan can be decreased when combined with Azithromycin.]
[A06AX07, plecanatide, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Plecanatide.]
[L01EF02, ribociclib, The metabolism of Tolvaptan can be decreased when combined with Ribociclib.]
[A07EC04, balsalazide, The risk or severity of hyperkalemia can be increased when Balsalazide is combined with Tolvaptan.]
[A06AH05, naldemedine, Tolvaptan may increase the excretion rate of Naldemedine which could result in a lower serum level and potentially a reduction in efficacy.]
[N07XX16, deutetrabenazine, Tolvaptan may increase the excretion rate of Deutetrabenazine which could result in a lower serum level and potentially a reduction in efficacy.]
[N02BF02, pregabalin, Tolvaptan may increase the excretion rate of Pregabalin which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA07, benazepril, Tolvaptan may increase the hyperkalemic activities of Benazepril.]
[D05AX03, calcitriol, The metabolism of Tolvaptan can be increased when combined with Calcitriol.]
[P01CA02, benznidazole, Tolvaptan may increase the excretion rate of Benznidazole which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AF06, abacavir, Tolvaptan may increase the excretion rate of Abacavir which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AE09, tipranavir, The metabolism of Tolvaptan can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, Tolvaptan may increase the excretion rate of Valbenazine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AB02, infliximab, The metabolism of Tolvaptan can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Tolvaptan can be decreased when combined with Midostaurin.]
[L04AC14, sarilumab, The metabolism of Tolvaptan can be increased when combined with Sarilumab.]
[J01MA23, delafloxacin, Tolvaptan may increase the excretion rate of Delafloxacin which could result in a lower serum level and potentially a reduction in efficacy.]
[B01AF04, betrixaban, The serum concentration of Tolvaptan can be increased when it is combined with Betrixaban.]
[D01AC10, bifonazole, The metabolism of Tolvaptan can be decreased when combined with Bifonazole.]
[L01BC06, capecitabine, Tolvaptan may increase the excretion rate of Capecitabine which could result in a lower serum level and potentially a reduction in efficacy.]
[L01XX59, enasidenib, The serum concentration of Tolvaptan can be increased when it is combined with Enasidenib.]
[L01EH02, neratinib, The serum concentration of Tolvaptan can be increased when it is combined with Neratinib.]
[L01FB01, inotuzumab ozogamicin, The serum concentration of Tolvaptan can be increased when it is combined with Inotuzumab ozogamicin.]
[L01EM02, copanlisib, The serum concentration of Copanlisib can be increased when it is combined with Tolvaptan.]
[L01EF03, abemaciclib, The serum concentration of Abemaciclib can be increased when it is combined with Tolvaptan.]
[C07AB07, bisoprolol, Tolvaptan may increase the excretion rate of Bisoprolol which could result in a lower serum level and potentially a reduction in efficacy.]
[J05AG03, efavirenz, The metabolism of Tolvaptan can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Bopindolol.]
[C03DA03, canrenone, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Canrenone.]
[R03BA02, budesonide, The metabolism of Tolvaptan can be increased when combined with Budesonide.]
[M01AB07, bumadizone, The risk or severity of hyperkalemia can be increased when Tolvaptan is combined with Bumadizone.]
[L01EL02, acalabrutinib, The metabolism of Tolvaptan can be decreased when combined with Acalabrutinib.]
[J05AX18, letermovir, The metabolism of Tolvaptan can be decreased when combined with Letermovir.]
[C01AA02, acetyldigoxins, The serum concentration of Acetyldigoxin can be increased when it is combined with Tolvaptan.]
[N01BX04, capsaicin, The metabolism of Tolvaptan can be decreased when combined with Capsaicin.]
[A10BK04, ertugliflozin, The serum concentration of Tolvaptan can be increased when it is combined with Ertugliflozin.]
[R06AX18, acrivastine, Tolvaptan may increase the excretion rate of Acrivastine which could result in a lower serum level and potentially a reduction in efficacy.]
[C09AA01, captopril, Tolvaptan may increase the hyperkalemic activities of Captopril.]
[L02BB05, apalutamide, The serum concentration of Tolvaptan can be decreased when it is combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Tolvaptan can be increased when combined with Carbamazepine.]
[A06AC08, calcium polycarbophil, The risk or severity of adverse effects can be increased when Tolvaptan is combined with Calcium polycarbophil.]
[C07AG02, carvedilol, The serum concentration of Tolvaptan can be increased when it is combined with Carvedilol.]
[B02BX09, fostamatinib, The metabolism of Tolvaptan can be decreased when combined with Fostamatinib.]
[N03AX24, cannabidiol, The metabolism of Tolvaptan can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The serum concentration of Tolvaptan can be increased when it is combined with Avatrombopag.]
[L04AA37, baricitinib, Tolvaptan may increase the excretion rate of Baricitinib which could result in a lower serum level and potentially a reduction in efficacy.]
[L01EE03, binimetinib, The serum concentration of Binimetinib can be increased when it is combined with Tolvaptan.]
[J01DD14, ceftibuten, Tolvaptan may increase the excretion rate of Ceftibuten which could result in a lower serum level and potentially a reduction in efficacy.]
[J01GB14, plazomicin, Tolvaptan may increase the excretion rate of Plazomicin which could result in a lower serum level and potentially a reduction in efficacy.]
[C07AB08, celiprolol, The risk or severity of hyperkalemia can be increased when Celiprolol is combined with Tolvaptan.]
