[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Lidocaine.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Lidocaine is combined with Atracurium.]
[S01FA01, atropine, Lidocaine may increase the arrhythmogenic activities of Atropine.]
[L01XJ01, vismodegib, The risk or severity of methemoglobinemia can be increased when Vismodegib is combined with Lidocaine.]
[L01EK01, axitinib, The risk or severity of methemoglobinemia can be increased when Axitinib is combined with Lidocaine.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Lidocaine.]
[H02AB11, prednylidene, The metabolism of Lidocaine can be increased when combined with Prednylidene.]
[L01BC07, azacitidine, The risk or severity of methemoglobinemia can be increased when Azacitidine is combined with Lidocaine.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Lidocaine.]
[L01BC05, gemcitabine, The risk or severity of methemoglobinemia can be increased when Gemcitabine is combined with Lidocaine.]
[J01CA09, azlocillin, The risk or severity of methemoglobinemia can be increased when Azlocillin is combined with Lidocaine.]
[J01DF01, aztreonam, The risk or severity of methemoglobinemia can be increased when Aztreonam is combined with Lidocaine.]
[R02AB04, bacitracin, The risk or severity of methemoglobinemia can be increased when Bacitracin is combined with Lidocaine.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Lidocaine.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Lidocaine.]
[L01FX02, gemtuzumab ozogamicin, The risk or severity of methemoglobinemia can be increased when Gemtuzumab ozogamicin is combined with Lidocaine.]
[L01FD02, pertuzumab, The risk or severity of methemoglobinemia can be increased when Pertuzumab is combined with Lidocaine.]
[A08AA11, lorcaserin, The metabolism of Lidocaine can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Lidocaine can be increased when it is combined with Mirabegron.]
[L01XG02, carfilzomib, The risk or severity of methemoglobinemia can be increased when Carfilzomib is combined with Lidocaine.]
[V03AX03, cobicistat, The metabolism of Lidocaine can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Lidocaine can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Lidocaine can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The risk or severity of methemoglobinemia can be increased when Bosutinib is combined with Lidocaine.]
[L04AA31, teriflunomide, The serum concentration of Lidocaine can be decreased when it is combined with Teriflunomide.]
[C01CA18, octopamine, The risk or severity of hypertension can be increased when Octopamine is combined with Lidocaine.]
[L01EX05, regorafenib, The risk or severity of methemoglobinemia can be increased when Regorafenib is combined with Lidocaine.]
[L01XL02, talimogene laherparepvec, The risk or severity of methemoglobinemia can be increased when Talimogene laherparepvec is combined with Lidocaine.]
[N05CA04, barbital, The risk or severity of methemoglobinemia can be increased when Barbital is combined with Lidocaine.]
[C01AA01, acetyldigitoxin, Lidocaine may increase the arrhythmogenic activities of Acetyldigitoxin.]
[J05AE04, nelfinavir, The metabolism of Lidocaine can be decreased when combined with Nelfinavir.]
[L01AA09, bendamustine, The risk or severity of methemoglobinemia can be increased when Bendamustine is combined with Lidocaine.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Lidocaine.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Lidocaine.]
[C08CA13, lercanidipine, Lidocaine may increase the arrhythmogenic activities of Lercanidipine.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Lidocaine is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Lidocaine is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Lidocaine.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Lidocaine.]
[R06AC06, thonzylamine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Thonzylamine.]
[G04BD10, darifenacin, The metabolism of Lidocaine can be decreased when combined with Darifenacin.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Lidocaine is combined with Diethyl ether.]
[L01EX07, cabozantinib, The risk or severity of methemoglobinemia can be increased when Cabozantinib is combined with Lidocaine.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Lidocaine.]
[L01EA05, ponatinib, The risk or severity of methemoglobinemia can be increased when Ponatinib is combined with Lidocaine.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Lidocaine.]
[J04AK05, bedaquiline, The risk or severity of methemoglobinemia can be increased when Bedaquiline is combined with Lidocaine.]
[C04AX11, bencyclane, Lidocaine may increase the arrhythmogenic activities of Bencyclane.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Lidocaine.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Lidocaine can be decreased when combined with Glycerol phenylbutyrate.]
[L04AX06, pomalidomide, The risk or severity of methemoglobinemia can be increased when Pomalidomide is combined with Lidocaine.]
[G03XC05, ospemifene, The metabolism of Lidocaine can be decreased when combined with Ospemifene.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Lidocaine is combined with Benperidol.]
[J01MA15, gemifloxacin, The risk or severity of methemoglobinemia can be increased when Gemifloxacin is combined with Lidocaine.]
[S01AE07, moxifloxacin, The risk or severity of methemoglobinemia can be increased when Moxifloxacin is combined with Lidocaine.]
[A06AX06, tegaserod, The metabolism of Lidocaine can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Lidocaine can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of hypertension can be increased when Naratriptan is combined with Lidocaine.]
[L04AA18, everolimus, The risk or severity of methemoglobinemia can be increased when Everolimus is combined with Lidocaine.]
[N04AC01, benztropine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Lidocaine can be decreased when it is combined with Dabrafenib.]
[L01EE01, trametinib, The risk or severity of methemoglobinemia can be increased when Trametinib is combined with Lidocaine.]
[L01EB03, afatinib, The risk or severity of methemoglobinemia can be increased when Afatinib is combined with Lidocaine.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Lidocaine is combined with Levomilnacipran.]
[C08EA02, bepridil, Lidocaine may increase the arrhythmogenic activities of Bepridil.]
[L01EL01, ibrutinib, The risk or severity of methemoglobinemia can be increased when Ibrutinib is combined with Lidocaine.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of methemoglobinemia can be increased when Eslicarbazepine is combined with Lidocaine.]
[J05AP05, simeprevir, The metabolism of Lidocaine can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of methemoglobinemia can be increased when Vigabatrin is combined with Lidocaine.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Lidocaine.]
[C07AB04, acebutolol, The serum concentration of Lidocaine can be increased when it is combined with Acebutolol.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Lidocaine.]
[A16AA07, metreleptin, The metabolism of Lidocaine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Lidocaine can be increased when combined with Apremilast.]
[P01CX04, miltefosine, The risk or severity of methemoglobinemia can be increased when Miltefosine is combined with Lidocaine.]
[L02BG02, formestane, The risk or severity of methemoglobinemia can be increased when Formestane is combined with Lidocaine.]
[S03BA03, betamethasone, The metabolism of Lidocaine can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The serum concentration of Lidocaine can be increased when it is combined with Betaxolol.]
[L04AC11, siltuximab, The metabolism of Lidocaine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of methemoglobinemia can be increased when Ceritinib is combined with Lidocaine.]
[L01FG02, ramucirumab, The risk or severity of methemoglobinemia can be increased when Ramucirumab is combined with Lidocaine.]
[J01XA04, dalbavancin, The risk or severity of methemoglobinemia can be increased when Dalbavancin is combined with Lidocaine.]
[A03BA03, hyoscyamine, Lidocaine may increase the arrhythmogenic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Lidocaine.]
[J01XX11, tedizolid, The risk or severity of methemoglobinemia can be increased when Tedizolid is combined with Lidocaine.]
[L01XH04, belinostat, The risk or severity of methemoglobinemia can be increased when Belinostat is combined with Lidocaine.]
[L01EM01, idelalisib, The risk or severity of methemoglobinemia can be increased when Idelalisib is combined with Lidocaine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Alfaxalone.]
[D11AA01, glycopyrronium, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Lidocaine can be decreased when combined with Eliglustat.]
[L01FF02, pembrolizumab, The risk or severity of methemoglobinemia can be increased when Pembrolizumab is combined with Lidocaine.]
[J01XA05, oritavancin, The risk or severity of methemoglobinemia can be increased when Oritavancin is combined with Lidocaine.]
[S01AA15, dihydrostreptomycin, The risk or severity of methemoglobinemia can be increased when Dihydrostreptomycin is combined with Lidocaine.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Acepromazine.]
[L01BC08, decitabine, The risk or severity of methemoglobinemia can be increased when Decitabine is combined with Lidocaine.]
[N04AA02, biperiden, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Biperiden.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Lidocaine.]
[L01EX09, nintedanib, The risk or severity of methemoglobinemia can be increased when Nintedanib is combined with Lidocaine.]
[S03AA06, gentamicin, The risk or severity of methemoglobinemia can be increased when Gentamicin is combined with Lidocaine.]
[L01FX07, blinatumomab, The risk or severity of methemoglobinemia can be increased when Blinatumomab is combined with Lidocaine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Lidocaine.]
[L01XK01, olaparib, The risk or severity of methemoglobinemia can be increased when Olaparib is combined with Lidocaine.]
[L01FF01, nivolumab, The risk or severity of methemoglobinemia can be increased when Nivolumab is combined with Lidocaine.]
[N06AX11, mirtazapine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Lidocaine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The risk or severity of methemoglobinemia can be increased when Palbociclib is combined with Lidocaine.]
[L01EX08, lenvatinib, The risk or severity of methemoglobinemia can be increased when Lenvatinib is combined with Lidocaine.]
[L01XH03, panobinostat, The metabolism of Lidocaine can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Lidocaine.]
[N02BE01, acetaminophen, The risk or severity of methemoglobinemia can be increased when Acetaminophen is combined with Lidocaine.]
[L01DC01, bleomycin, The risk or severity of methemoglobinemia can be increased when Bleomycin is combined with Lidocaine.]
[A03AA09, difemerine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[J05AP06, asunaprevir, The metabolism of Lidocaine can be decreased when combined with Asunaprevir.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Lidocaine is combined with Brexpiprazole.]
[L01XJ02, sonidegib, The risk or severity of methemoglobinemia can be increased when Sonidegib is combined with Lidocaine.]
[A04AD14, rolapitant, The metabolism of Lidocaine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Lidocaine is combined with Flibanserin.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of methemoglobinemia can be increased when Acetazolamide is combined with Lidocaine.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Acetophenazine.]
[S02AA10, acetic acid, The risk or severity of methemoglobinemia can be increased when Acetic acid is combined with Lidocaine.]
[B02BC05, adrenalone, The risk or severity of hypertension can be increased when Adrenalone is combined with Lidocaine.]
[A02BC03, lansoprazole, The metabolism of Lidocaine can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The risk or severity of methemoglobinemia can be increased when Trabectedin is combined with Lidocaine.]
[J02AC05, isavuconazole, The metabolism of Lidocaine can be decreased when combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Lidocaine can be decreased when it is combined with Osimertinib.]
[L01FC01, daratumumab, The risk or severity of methemoglobinemia can be increased when Daratumumab is combined with Lidocaine.]
[L01EE02, cobimetinib, The risk or severity of methemoglobinemia can be increased when Cobimetinib is combined with Lidocaine.]
[L01XG03, ixazomib, The risk or severity of methemoglobinemia can be increased when Ixazomib is combined with Lidocaine.]
[L01FE03, necitumumab, The risk or severity of methemoglobinemia can be increased when Necitumumab is combined with Lidocaine.]
[L01FX08, elotuzumab, The risk or severity of methemoglobinemia can be increased when Elotuzumab is combined with Lidocaine.]
[L01ED03, alectinib, The risk or severity of methemoglobinemia can be increased when Alectinib is combined with Lidocaine.]
[L01XA04, satraplatin, The risk or severity of methemoglobinemia can be increased when Satraplatin is combined with Lidocaine.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Lidocaine.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Lidocaine is combined with Aprobarbital.]
[N03AX23, brivaracetam, The risk or severity of methemoglobinemia can be increased when Brivaracetam is combined with Lidocaine.]
[L01XX52, venetoclax, The risk or severity of methemoglobinemia can be increased when Venetoclax is combined with Lidocaine.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Lidocaine.]
[N04BC01, bromocriptine, The risk or severity of hypertension can be increased when Bromocriptine is combined with Lidocaine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Lidocaine is combined with Alverine.]
[R06AB01, brompheniramine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Brompheniramine.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Lidocaine is combined with Amineptine.]
[C08CA01, amlodipine, Lidocaine may increase the arrhythmogenic activities of Amlodipine.]
[L01FF05, atezolizumab, The risk or severity of methemoglobinemia can be increased when Atezolizumab is combined with Lidocaine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Lidocaine is combined with Aniracetam.]
[A05AA04, obeticholic acid, The metabolism of Lidocaine can be decreased when combined with Obeticholic acid.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Lidocaine is combined with Levobupivacaine.]
[C07AA19, bupranolol, The serum concentration of Lidocaine can be increased when it is combined with Bupranolol.]
[N07BC01, buprenorphine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of methemoglobinemia can be increased when Buserelin is combined with Lidocaine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Lidocaine is combined with Buspirone.]
[L01AB01, busulfan, The risk or severity of methemoglobinemia can be increased when Busulfan is combined with Lidocaine.]
[L01XX27, arsenic trioxide, The risk or severity of methemoglobinemia can be increased when Arsenic trioxide is combined with Lidocaine.]
[P01BE02, artemether, The risk or severity of methemoglobinemia can be increased when Artemether is combined with Lidocaine.]
[P01BE03, artesunate, The risk or severity of methemoglobinemia can be increased when Artesunate is combined with Lidocaine.]
[N02AF01, butorphanol, The risk or severity of adverse effects can be increased when Lidocaine is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of methemoglobinemia can be increased when Sparfloxacin is combined with Lidocaine.]
[L01FX10, olaratumab, The risk or severity of methemoglobinemia can be increased when Olaratumab is combined with Lidocaine.]
[S01GX07, azelastine, Lidocaine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[J01CE04, azidocillin, The risk or severity of methemoglobinemia can be increased when Azidocillin is combined with Lidocaine.]
[L01XK03, rucaparib, The metabolism of Lidocaine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of methemoglobinemia can be increased when Azithromycin is combined with Lidocaine.]
[J01CA06, bacampicillin, The risk or severity of methemoglobinemia can be increased when Bacampicillin is combined with Lidocaine.]
[L01EF02, ribociclib, The metabolism of Lidocaine can be decreased when combined with Ribociclib.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Lidocaine.]
