[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Prochlorperazine.]
[M01AH01, celecoxib, The metabolism of Prochlorperazine can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Naratriptan is combined with Prochlorperazine.]
[L04AA18, everolimus, The metabolism of Prochlorperazine can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Benzatropine.]
[L01EC02, dabrafenib, The serum concentration of Prochlorperazine can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Levomilnacipran.]
[C08EA02, bepridil, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Bepridil.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Prochlorperazine.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Vortioxetine is combined with Prochlorperazine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Prochlorperazine can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Prochlorperazine.]
[C07AB04, acebutolol, The serum concentration of Acebutolol can be increased when it is combined with Prochlorperazine.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Prochlorperazine can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Prochlorperazine can be increased when combined with Apremilast.]
[S01ED02, betaxolol, The serum concentration of Betaxolol can be increased when it is combined with Prochlorperazine.]
[L04AC11, siltuximab, The metabolism of Prochlorperazine can be increased when combined with Siltuximab.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Ceritinib.]
[A03BA03, hyoscyamine, Prochlorperazine may increase the anticholinergic activities of Hyoscyamine.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Alfaxalone.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Prochlorperazine.]
[D11AA01, glycopyrronium, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Glycopyrronium.]
[N05CM19, suvorexant, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Prochlorperazine can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Prochlorperazine can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Acepromazine.]
[A06AH03, naloxegol, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Naloxegol.]
[N04AA02, biperiden, The therapeutic efficacy of Biperiden can be decreased when used in combination with Prochlorperazine.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Prochlorperazine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Prochlorperazine.]
[N06AX11, mirtazapine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Prochlorperazine can be increased when combined with Secukinumab.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Lenvatinib.]
[L01XH03, panobinostat, The metabolism of Prochlorperazine can be decreased when combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Prochlorperazine can be decreased when combined with Acetaminophen.]
[A03AA09, difemerine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Difemerine.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Prochlorperazine.]
[J05AP06, asunaprevir, The metabolism of Prochlorperazine can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Prochlorperazine can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Flibanserin.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Prochlorperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Acetazolamide.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be decreased when used in combination with Prochlorperazine.]
[N05AB07, acetophenazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Acetophenazine.]
[A02BC03, lansoprazole, The metabolism of Prochlorperazine can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Prochlorperazine.]
[J02AC05, isavuconazole, The metabolism of Prochlorperazine can be decreased when combined with Isavuconazole.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be decreased when used in combination with Prochlorperazine.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Prochlorperazine.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Aprobarbital.]
[A02AB06, aloglutamol, Aloglutamol can cause a decrease in the absorption of Prochlorperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Prochlorperazine can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Bromazepam.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be decreased when used in combination with Prochlorperazine.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Prochlorperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Prochlorperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Prochlorperazine.]
[N06AA19, amineptin, The serum concentration of Amineptine can be increased when it is combined with Prochlorperazine.]
[N05AX17, pimavanserin, Prochlorperazine may increase the neurotoxic activities of Pimavanserin.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Aniracetam.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Prochlorperazine.]
[C07AA19, bupranolol, The serum concentration of Bupranolol can be increased when it is combined with Prochlorperazine.]
[N07BC01, buprenorphine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Prochlorperazine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Buspirone.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Artemether is combined with Prochlorperazine.]
[P01BE03, artesunate, The risk or severity of QTc prolongation can be increased when Artesunate is combined with Prochlorperazine.]
[N02AF01, butorphanol, The risk or severity of hypotension and CNS depression can be increased when Prochlorperazine is combined with Butorphanol.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Prochlorperazine.]
[S01GX07, azelastine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Prochlorperazine can be decreased when combined with Rucaparib.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Prochlorperazine.]
[L01EF02, ribociclib, The metabolism of Prochlorperazine can be decreased when combined with Ribociclib.]
[N07XX16, deutetrabenazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The therapeutic efficacy of Prochlorperazine can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Beclamide.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Oxybuprocaine.]
[A12AA04, calcium carbonate, Calcium carbonate can cause a decrease in the absorption of Prochlorperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01XX08, linezolid, The risk or severity of extrapyramidal symptoms can be increased when Linezolid is combined with Prochlorperazine.]
[J05AE09, tipranavir, The metabolism of Prochlorperazine can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Prochlorperazine.]
[L04AB02, infliximab, The metabolism of Prochlorperazine can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Prochlorperazine can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, The therapeutic efficacy of Safinamide can be decreased when used in combination with Prochlorperazine.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Prochlorperazine.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Prochlorperazine.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Prochlorperazine.]
[A02BX12, bismuth subnitrate, Bismuth subnitrate can cause a decrease in the absorption of Prochlorperazine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C07AB07, bisoprolol, The serum concentration of Bisoprolol can be increased when it is combined with Prochlorperazine.]
[J05AG03, efavirenz, The metabolism of Prochlorperazine can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The serum concentration of Bopindolol can be increased when it is combined with Prochlorperazine.]
[N04AA11, bornaprine, The therapeutic efficacy of Bornaprine can be decreased when used in combination with Prochlorperazine.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Brotizolam.]
[N04BX03, budipine, The therapeutic efficacy of Budipine can be decreased when used in combination with Prochlorperazine.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Butobarbital.]
[J05AX18, letermovir, The metabolism of Letermovir can be decreased when combined with Prochlorperazine.]
[N06AA15, butriptyline, The serum concentration of Butriptyline can be increased when it is combined with Prochlorperazine.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Prochlorperazine.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Vinylbital.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Prochlorperazine.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Macimorelin.]
[L02BB05, apalutamide, The metabolism of Prochlorperazine can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Prochlorperazine can be increased when combined with Carbamazepine.]
[A03AA03, camylofine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Camylofin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Carbinoxamine.]
[C07AG02, carvedilol, The serum concentration of Carvedilol can be increased when it is combined with Prochlorperazine.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Prochlorperazine.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Encorafenib.]
[C07AB08, celiprolol, The serum concentration of Celiprolol can be increased when it is combined with Prochlorperazine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Prochlorperazine.]
[L01XX62, ivosidenib, The metabolism of Prochlorperazine can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The risk or severity of QTc prolongation can be increased when Tafenoquine is combined with Prochlorperazine.]
[N03AX17, stiripentol, The metabolism of Prochlorperazine can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Prochlorperazine.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Prochlorperazine.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Carbromal.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be decreased when used in combination with Prochlorperazine.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Chlorphenoxamine.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Prochlorperazine.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Prochlorperazine.]
[R03BB08, revefenacin, Prochlorperazine may increase the central nervous system depressant (CNS depressant) activities of Revefenacin.]
[L04AA39, emapalumab, The metabolism of Prochlorperazine can be increased when combined with Emapalumab.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Prochlorperazine.]
[B01AC23, cilostazol, The risk or severity of QTc prolongation can be increased when Cilostazol is combined with Prochlorperazine.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Prochlorperazine can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Esketamine.]
[J01FA09, clarithromycin, The metabolism of Prochlorperazine can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Brexanolone.]
[N05BA09, clobazam, The metabolism of Prochlorperazine can be decreased when combined with Clobazam.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Cloxazolam.]
[L04AB01, etanercept, The metabolism of Prochlorperazine can be increased when combined with Etanercept.]
[N05AA06, cyamemazine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Cyamemazine.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Prochlorperazine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Prochlorperazine.]
[L01EJ02, fedratinib, The metabolism of Prochlorperazine can be decreased when combined with Fedratinib.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Prochlorperazine is combined with Entrectinib.]
[N07XX11, pitolisant, The serum concentration of Prochlorperazine can be decreased when it is combined with Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Prochlorperazine.]
[N04CX01, istradefylline, The therapeutic efficacy of Istradefylline can be decreased when used in combination with Prochlorperazine.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Prochlorperazine is combined with Yohimbine.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be decreased when used in combination with Prochlorperazine.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Prochlorperazine.]
