[S02DA03, antipyrine, The metabolism of Antipyrine can be increased when combined with Phenylephrine.]
[C03AA04, chlorothiazide, Phenylephrine may decrease the antihypertensive activities of Chlorothiazide.]
[N05AA01, chlorpromazine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Chlorpromazine.]
[N05AF03, chlorprothixene, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Chlorprothixene.]
[C03BA04, chlorthalidone, Phenylephrine may decrease the antihypertensive activities of Chlorthalidone.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be increased when combined with Phenylephrine.]
[N02BA07, ethenzamide, The risk or severity of hypertension can be increased when Phenylephrine is combined with Ethenzamide.]
[N06BX18, vinpocetine, The risk or severity of hypertension can be decreased when Vinpocetine is combined with Phenylephrine.]
[N05BA18, ethyl loflazepate, The risk or severity of hypertension can be decreased when Ethyl loflazepate is combined with Phenylephrine.]
[M01AB08, etodolac, The risk or severity of hypertension can be increased when Phenylephrine is combined with Etodolac.]
[M02AA06, etofenamate, The risk or severity of hypertension can be increased when Phenylephrine is combined with Etofenamate.]
[L01FX21, naxitamab, The risk or severity of hypertension can be increased when Phenylephrine is combined with Naxitamab.]
[M01AE05, fenbufen, The risk or severity of hypertension can be increased when Phenylephrine is combined with Fenbufen.]
[N06BA10, fenethylline, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Fenethylline.]
[C01CA19, fenoldopam, Phenylephrine may decrease the antihypertensive activities of Fenoldopam.]
[N06BA08, fenozolone, The risk or severity of hypertension can be increased when Phenylephrine is combined with Fenozolone.]
[G04CB01, finasteride, The risk or severity of hypertension can be increased when Phenylephrine is combined with Finasteride.]
[R03BA03, flunisolide, The risk or severity of hypertension can be increased when Flunisolide is combined with Phenylephrine.]
[S02BA08, fluocinolone acetonide, The risk or severity of hypertension can be increased when Fluocinolone acetonide is combined with Phenylephrine.]
[R03CC15, formoterol, Phenylephrine may increase the sympathomimetic activities of Formoterol.]
[N01AB05, trichloroethylene, The risk or severity of hypertension can be increased when Phenylephrine is combined with Trichloroethylene.]
[H04AA02, dasiglucagon, Phenylephrine may decrease the antihypertensive activities of Dasiglucagon.]
[G03GA06, follitropin beta, The risk or severity of adverse effects can be increased when Phenylephrine is combined with Follitropin.]
[N07CA02, cinnarizine, The risk or severity of hypertension can be decreased when Cinnarizine is combined with Phenylephrine.]
[P01CA03, fexinidazole, The metabolism of Fexinidazole can be increased when combined with Phenylephrine.]
[V09AB03, ioflupane I-123, Phenylephrine may decrease effectiveness of Ioflupane I-123 as a diagnostic agent.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be increased when combined with Phenylephrine.]
[R03CC13, clenbuterol, The risk or severity of hypertension can be increased when Phenylephrine is combined with Clenbuterol.]
[D07AD01, clobetasol, The risk or severity of hypertension can be increased when Clobetasol is combined with Phenylephrine.]
[N01BB10, levobupivacaine, The metabolism of Levobupivacaine can be increased when combined with Phenylephrine.]
[N06AA04, clomipramine, Clomipramine may increase the vasopressor activities of Phenylephrine.]
[N03AE01, clonazepam, The risk or severity of hypertension can be decreased when Clonazepam is combined with Phenylephrine.]
[S01EA04, clonidine, The metabolism of Clonidine can be increased when combined with Phenylephrine.]
[N05BA21, clotiazepam, The risk or severity of hypertension can be decreased when Clotiazepam is combined with Phenylephrine.]
[A04AA01, ondansetron, The metabolism of Ondansetron can be increased when combined with Phenylephrine.]
[N05AH02, clozapine, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Clozapine.]
[N05BA13, halazepam, The risk or severity of hypertension can be decreased when Halazepam is combined with Phenylephrine.]
[D07AC12, halometasone, The risk or severity of hypertension can be increased when Halometasone is combined with Phenylephrine.]
[S02DA02, cocaine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Cocaine.]
[C02KB01, metyrosine, Phenylephrine may decrease the antihypertensive activities of Metyrosine.]
[M01AX13, proquazone, The risk or severity of hypertension can be increased when Phenylephrine is combined with Proquazone.]
[A03AB10, hexocyclium, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Hexocyclium.]
[A03BB06, homatropine methylbromide, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Homatropine methylbromide.]
[L04AA13, leflunomide, The metabolism of Leflunomide can be increased when combined with Phenylephrine.]
[N01AB07, desflurane, The risk or severity of hypertension can be increased when Phenylephrine is combined with Desflurane.]
[C04AX28, ifenprodil, The risk or severity of hypertension can be increased when Phenylephrine is combined with Ifenprodil.]
[N02BA16, imidazole-2-hydroxybenzoate, The risk or severity of hypertension can be increased when Phenylephrine is combined with Imidazole salicylate.]
[R03BA08, ciclesonide, The risk or severity of hypertension can be increased when Ciclesonide is combined with Phenylephrine.]
[B01AC10, indobufen, The risk or severity of hypertension can be increased when Phenylephrine is combined with Indobufen.]
[M01AH03, valdecoxib, The risk or severity of hypertension can be increased when Phenylephrine is combined with Valdecoxib.]
[A03AX10, isometheptene, The risk or severity of hypertension can be increased when Phenylephrine is combined with Isometheptene.]
[N02CC05, almotriptan, The risk or severity of hypertension can be increased when Phenylephrine is combined with Almotriptan.]
[M01AH04, parecoxib, The risk or severity of hypertension can be increased when Phenylephrine is combined with Parecoxib.]
[S01AD03, acyclovir, The metabolism of Acyclovir can be increased when combined with Phenylephrine.]
[N05BA10, ketazolam, The risk or severity of hypertension can be decreased when Ketazolam is combined with Phenylephrine.]
[M01AA06, kebuzone, The risk or severity of hypertension can be increased when Phenylephrine is combined with Kebuzone.]
[L01EA01, imatinib, The metabolism of Imatinib can be increased when combined with Phenylephrine.]
[C08CA09, lacidipine, The risk or severity of hypertension can be decreased when Lacidipine is combined with Phenylephrine.]
[N03AX09, lamotrigine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Lamotrigine.]
[S01BA03, cortisone, The risk or severity of hypertension can be increased when Cortisone is combined with Phenylephrine.]
[N07BC04, lofexidine, The metabolism of Lofexidine can be increased when combined with Phenylephrine.]
[S01AE04, lomefloxacin, The metabolism of Lomefloxacin can be increased when combined with Phenylephrine.]
[M01AB09, lonazolac, The risk or severity of hypertension can be increased when Phenylephrine is combined with Lonazolac.]
[N05CD06, lormetazepam, The risk or severity of hypertension can be decreased when Lormetazepam is combined with Phenylephrine.]
[M02AA31, loxoprofen, The risk or severity of hypertension can be increased when Phenylephrine is combined with Loxoprofen.]
[C09AA03, lisinopril, Phenylephrine may decrease the antihypertensive activities of Lisinopril.]
[C08CA11, manidipine, The risk or severity of hypertension can be decreased when Manidipine is combined with Phenylephrine.]
[A03AA04, mebeverine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Mebeverine.]
[S01BA08, medrysone, The risk or severity of hypertension can be increased when Medrysone is combined with Phenylephrine.]
[A08AA09, mefenorex, The risk or severity of hypertension can be increased when Phenylephrine is combined with Mefenorex.]
[C07AA14, mepindolol, The therapeutic efficacy of Phenylephrine can be decreased when used in combination with Mepindolol.]
[H02AB15, meprednisone, The risk or severity of hypertension can be increased when Meprednisone is combined with Phenylephrine.]
[C01EB10, adenosine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Adenosine.]
[N04AA03, methixene, The risk or severity of Tachycardia can be increased when Metixene is combined with Phenylephrine.]
[C04AX01, cyclandelate, The risk or severity of hypertension can be decreased when Cyclandelate is combined with Phenylephrine.]
[R03CB02, methoxyphenamine, The risk or severity of hypertension can be increased when Phenylephrine is combined with Methoxyphenamine.]
[C03DA04, eplerenone, Phenylephrine may decrease the antihypertensive activities of Eplerenone.]
[C03AA07, cyclopenthiazide, Phenylephrine may decrease the antihypertensive activities of Cyclopenthiazide.]
[N06AX07, minaprine, Minaprine may increase the hypertensive activities of Phenylephrine.]
[S01XA18, cyclosporine, The risk or severity of hypertension can be increased when Cyclosporine is combined with Phenylephrine.]
[N06AG02, moclobemide, Moclobemide may increase the hypertensive activities of Phenylephrine.]
[R06AX02, cyproheptadine, The risk or severity of Tachycardia can be increased when Phenylephrine is combined with Cyproheptadine.]
[C09AA13, moexipril, Phenylephrine may decrease the antihypertensive activities of Moexipril.]
[M02AA02, mofebutazone, The risk or severity of hypertension can be increased when Phenylephrine is combined with Mofebutazone.]
[M01AX22, morniflumate, The risk or severity of hypertension can be increased when Phenylephrine is combined with Morniflumate.]
[C02AC05, moxonidine, Phenylephrine may decrease the antihypertensive activities of Moxonidine.]
[J05AF10, entecavir, The metabolism of Entecavir can be increased when combined with Phenylephrine.]
[G04BE09, vardenafil, The risk or severity of hypertension can be decreased when Vardenafil is combined with Phenylephrine.]
[M01AH05, etoricoxib, The metabolism of Etoricoxib can be increased when combined with Phenylephrine.]
[L01AX04, dacarbazine, The metabolism of Dacarbazine can be increased when combined with Phenylephrine.]
[C02CC04, debrisoquin, Phenylephrine may decrease the antihypertensive activities of Debrisoquine.]
[A04AD11, nabilone, The risk or severity of Tachycardia can be increased when Nabilone is combined with Phenylephrine.]
[M01AX01, nabumetone, The metabolism of Nabumetone can be increased when combined with Phenylephrine.]
