[G03XB02, ulipristal, The metabolism of Ulipristal can be increased when combined with Sarilumab.]
[N02CD02, galcanezumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Galcanezumab.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be increased when combined with Sarilumab.]
[L04AA39, emapalumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Emapalumab.]
[L01AD01, carmustine, The risk or severity of adverse effects can be increased when Carmustine is combined with Sarilumab.]
[L01EX13, gilteritinib, The metabolism of Gilteritinib can be increased when combined with Sarilumab.]
[L04AA43, ravulizumab, The risk or severity of adverse effects can be increased when Ravulizumab is combined with Sarilumab.]
[A06AX05, prucalopride, The metabolism of Prucalopride can be decreased when combined with Sarilumab.]
[B01AX07, caplacizumab, The risk or severity of adverse effects can be increased when Caplacizumab is combined with Sarilumab.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Sarilumab.]
[L04AA42, siponimod, The metabolism of Siponimod can be increased when combined with Sarilumab.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be increased when combined with Sarilumab.]
[M05BX06, romosozumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Romosozumab.]
[H02AB14, cloprednol, The risk or severity of adverse effects can be increased when Sarilumab is combined with Cloprednol.]
[L04AB01, etanercept, The risk or severity of adverse effects can be increased when Etanercept is combined with Sarilumab.]
[H02AB17, cortivazol, The risk or severity of adverse effects can be increased when Sarilumab is combined with Cortivazol.]
[L04AC18, risankizumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Risankizumab.]
[L01EM03, alpelisib, The metabolism of Alpelisib can be increased when combined with Sarilumab.]
[L01FX14, polatuzumab vedotin, The risk or severity of adverse effects can be increased when Sarilumab is combined with Polatuzumab vedotin.]
[L01EX15, pexidartinib, The metabolism of Pexidartinib can be increased when combined with Sarilumab.]
[L04AA44, upadacitinib, The risk or severity of adverse effects can be increased when Sarilumab is combined with Upadacitinib.]
[L01EX14, entrectinib, The metabolism of Entrectinib can be increased when combined with Sarilumab.]
[J04AK08, pretomanid, The metabolism of Pretomanid can be increased when combined with Sarilumab.]
[J01XX12, lefamulin, The metabolism of Lefamulin can be increased when combined with Sarilumab.]
[S01LA06, brolucizumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Brolucizumab.]
[J01DB01, cephalexin, The metabolism of Cephalexin can be increased when combined with Sarilumab.]
[H02AB13, deflazacort, The risk or severity of adverse effects can be increased when Sarilumab is combined with Deflazacort.]
[G03DB05, demegestone, The metabolism of Demegestone can be increased when combined with Sarilumab.]
[L01FD01, trastuzumab, Trastuzumab may increase the neutropenic activities of Sarilumab.]
[L01FD04, trastuzumab deruxtecan, The risk or severity of adverse effects can be increased when Sarilumab is combined with Trastuzumab deruxtecan.]
[L04AX09, diroximel fumarate, The risk or severity of adverse effects can be increased when Sarilumab is combined with Diroximel fumarate.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be increased when combined with Sarilumab.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be increased when combined with Sarilumab.]
[B06AX03, voxelotor, The serum concentration of Voxelotor can be increased when it is combined with Sarilumab.]
[N02CD04, ubrogepant, The serum concentration of Ubrogepant can be increased when it is combined with Sarilumab.]
[N05CM21, lemborexant, The serum concentration of Lemborexant can be decreased when it is combined with Sarilumab.]
[L01XX72, tazemetostat, The metabolism of Tazemetostat can be increased when combined with Sarilumab.]
[L04AA53, teprotumumab, The risk or severity of adverse effects can be increased when Teprotumumab is combined with Sarilumab.]
[N05AD10, lumateperone, The serum concentration of Lumateperone can be decreased when it is combined with Sarilumab.]
[L01FC02, isatuximab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Isatuximab.]
[N02CD06, rimegepant, The metabolism of Rimegepant can be increased when combined with Sarilumab.]
[N02CD05, eptinezumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Eptinezumab.]
[L04AA38, ozanimod, The risk or severity of adverse effects can be increased when Sarilumab is combined with Ozanimod.]
[G03DB08, dienogest, The metabolism of Dienogest can be increased when combined with Sarilumab.]
[L01XF03, bexarotene, The risk or severity of adverse effects can be increased when Bexarotene is combined with Sarilumab.]
[C01BD07, dronedarone, The metabolism of Dronedarone can be increased when combined with Sarilumab.]
[L01AA02, chlorambucil, The risk or severity of adverse effects can be increased when Chlorambucil is combined with Sarilumab.]
[S03AA08, chloramphenicol, The risk or severity of adverse effects can be increased when Chloramphenicol is combined with Sarilumab.]
[L01FX17, sacituzumab govitecan, The risk or severity of adverse effects can be increased when Sarilumab is combined with Sacituzumab govitecan.]
[L01EX17, capmatinib, The serum concentration of Capmatinib can be decreased when it is combined with Sarilumab.]
[D07XB03, fluprednidene, The risk or severity of adverse effects can be increased when Fluprednidene is combined with Sarilumab.]
[L01EX22, selpercatinib, The serum concentration of Selpercatinib can be decreased when it is combined with Sarilumab.]
[L04AA47, inebilizumab, The risk or severity of infection can be increased when Sarilumab is combined with Inebilizumab.]
[R05CB11, stepronin, The risk or severity of adverse effects can be increased when Stepronin is combined with Sarilumab.]
[C08CA17, levamlodipine, The serum concentration of Levamlodipine can be increased when it is combined with Sarilumab.]
[R06AX22, ebastine, The metabolism of Ebastine can be increased when combined with Sarilumab.]
[L01FX12, tafasitamab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Tafasitamab.]
[L01FX15, belantamab mafodotin, The risk or severity of adverse effects can be increased when Sarilumab is combined with Belantamab mafodotin.]
[L04AC19, satralizumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Satralizumab.]
[N02AX07, oliceridine, The serum concentration of Oliceridine can be decreased when it is combined with Sarilumab.]
[G03CA06, chlorotrianisene, Chlorotrianisene may increase the thrombogenic activities of Sarilumab.]
[N05AA01, chlorpromazine, The metabolism of Chlorpromazine can be increased when combined with Sarilumab.]
[G03DC06, ethynodiol, The metabolism of Etynodiol can be increased when combined with Sarilumab.]
[L01BB05, fludarabine, The risk or severity of adverse effects can be increased when Fludarabine is combined with Sarilumab.]
[J06BD04, ansuvimab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Ansuvimab.]
[L01FD06, margetuximab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Margetuximab.]
[L04AD03, voclosporin, The risk or severity of adverse effects can be increased when Voclosporin is combined with Sarilumab.]
[R03BA03, flunisolide, The risk or severity of adverse effects can be increased when Flunisolide is combined with Sarilumab.]
[S02BA08, fluocinolone acetonide, The risk or severity of adverse effects can be increased when Fluocinolone acetonide is combined with Sarilumab.]
[L04AA50, ponesimod, The risk or severity of adverse effects can be increased when Sarilumab is combined with Ponesimod.]
[S01LA08, bevacizumab, The risk or severity of adverse effects can be increased when Bevacizumab is combined with Sarilumab.]
[L01EK03, tivozanib, The metabolism of Tivozanib can be increased when combined with Sarilumab.]
[L03AB10, peginterferon alfa-2b, The risk or severity of adverse effects can be increased when Peginterferon alfa-2b is combined with Sarilumab.]
[L01FF07, dostarlimab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Dostarlimab.]
[L01FX22, loncastuximab tesirine, The risk or severity of adverse effects can be increased when Sarilumab is combined with Loncastuximab tesirine.]
[L01FX18, amivantamab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Amivantamab.]
[L01EN03, infigratinib, The metabolism of Infigratinib can be increased when combined with Sarilumab.]
[J06BD05, sotrovimab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Sotrovimab.]
[L01XA01, cisplatin, The risk or severity of adverse effects can be increased when Cisplatin is combined with Sarilumab.]
[N06DX03, aducanumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Aducanumab.]
[L04AA54, pegcetacoplan, The risk or severity of adverse effects can be increased when Sarilumab is combined with Pegcetacoplan.]
[C03DA05, finerenone, The serum concentration of Finerenone can be increased when it is combined with Sarilumab.]
[L04AA48, belumosudil, The risk or severity of adverse effects can be increased when Sarilumab is combined with Belumosudil.]
[L04AA51, anifrolumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Anifrolumab.]
[L01FX23, tisotumab vedotin, The risk or severity of adverse effects can be increased when Sarilumab is combined with Tisotumab vedotin.]
[J01FF01, clindamycin, The metabolism of Clindamycin can be increased when combined with Sarilumab.]
[L03AB15, ropeginterferon alfa-2b, The risk or severity of adverse effects can be increased when Sarilumab is combined with Ropeginterferon alfa-2b.]
[R03DX11, tezepelumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Tezepelumab.]
[D11AH07, tralokinumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Tralokinumab.]
[L04AA55, sutimlimab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Sutimlimab.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be increased when combined with Sarilumab.]
[N03AE01, clonazepam, The metabolism of Clonazepam can be increased when combined with Sarilumab.]
[S01EA04, clonidine, The metabolism of Clonidine can be increased when combined with Sarilumab.]
[L04AC22, spesolimab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Spesolimab.]
[L04AA56, deucravacitinib, The risk or severity of adverse effects can be increased when Sarilumab is combined with Deucravacitinib.]
[L01FX20, tremelimumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Tremelimumab.]
[L04AA57, ublituximab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Ublituximab.]
[L01FE02, panitumumab, The risk or severity of adverse effects can be increased when Panitumumab is combined with Sarilumab.]
[L04AC21, bimekizumab, The risk or severity of adverse effects can be increased when Sarilumab is combined with Bimekizumab.]
[J06BB04, hepatitis B immune globulin, The risk or severity of adverse effects can be increased when Hepatitis B immune globulin is combined with Sarilumab.]
[M04AC01, colchicine, The metabolism of Colchicine can be decreased when combined with Sarilumab.]
[L04AA13, leflunomide, The risk or severity of adverse effects can be increased when Sarilumab is combined with Leflunomide.]
[L01BB07, nelarabine, The risk or severity of adverse effects can be increased when Nelarabine is combined with Sarilumab.]
[R03BA08, ciclesonide, The risk or severity of adverse effects can be increased when Ciclesonide is combined with Sarilumab.]
[L01EA01, imatinib, The risk or severity of adverse effects can be increased when Imatinib is combined with Sarilumab.]
[H02AB15, meprednisone, The risk or severity of adverse effects can be increased when Meprednisone is combined with Sarilumab.]
[L04AA15, alefacept, The risk or severity of adverse effects can be increased when Alefacept is combined with Sarilumab.]
[L01AA01, cyclophosphamide, The metabolism of Cyclophosphamide can be increased when combined with Sarilumab.]
[S01XA18, cyclosporine, Sarilumab may increase the immunosuppressive activities of Cyclosporine.]
[C10AA07, rosuvastatin, The metabolism of Rosuvastatin can be increased when combined with Sarilumab.]
[C03XA02, conivaptan, The metabolism of Conivaptan can be increased when combined with Sarilumab.]
[R03DX05, omalizumab, The risk or severity of adverse effects can be increased when Omalizumab is combined with Sarilumab.]
[L01BC01, cytarabine, The risk or severity of adverse effects can be increased when Cytarabine is combined with Sarilumab.]
[G04BE09, vardenafil, The metabolism of Vardenafil can be decreased when combined with Sarilumab.]
[L01AX04, dacarbazine, The risk or severity of adverse effects can be increased when Dacarbazine is combined with Sarilumab.]
[L01DA01, dactinomycin, The risk or severity of adverse effects can be increased when Dactinomycin is combined with Sarilumab.]
[L01DB02, daunorubicin, The risk or severity of adverse effects can be increased when Daunorubicin is combined with Sarilumab.]
[L01FE01, cetuximab, The risk or severity of adverse effects can be increased when Cetuximab is combined with Sarilumab.]
[G03DB04, nomegestrol, The metabolism of Nomegestrol can be increased when combined with Sarilumab.]
[D11AH02, pimecrolimus, The risk or severity of adverse effects can be increased when Pimecrolimus is combined with Sarilumab.]
[D07XC02, desoximetasone, The risk or severity of adverse effects can be increased when Desoximetasone is combined with Sarilumab.]
[L01XA03, oxaliplatin, The risk or severity of adverse effects can be increased when Oxaliplatin is combined with Sarilumab.]
[S03BA01, dexamethasone, The risk or severity of adverse effects can be increased when Dexamethasone is combined with Sarilumab.]
[L04AB04, adalimumab, The risk or severity of infection can be increased when Adalimumab is combined with Sarilumab.]
[G03CC02, dienestrol, Dienestrol may increase the thrombogenic activities of Sarilumab.]
[L01DC04, ixabepilone, The metabolism of Ixabepilone can be increased when combined with Sarilumab.]
