[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Oxycodone.]
[C01BB04, aprindine, The metabolism of Aprindine can be decreased when combined with Oxycodone.]
[N05AL03, tiapride, The risk or severity of adverse effects can be increased when Oxycodone is combined with Tiapride.]
[B01AC05, ticlopidine, The metabolism of Oxycodone can be decreased when combined with Ticlopidine.]
[N02AX01, tilidine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Tilidine.]
[S01ED01, timolol, The metabolism of Oxycodone can be decreased when combined with Timolol.]
[M03BX04, tolperisone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Tolperisone.]
[N02AX02, tramadol, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Tramadol.]
[N06AF04, tranylcypromine, Tranylcypromine may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[N06AX05, trazodone, The risk or severity of serotonin syndrome can be increased when Trazodone is combined with Oxycodone.]
[L01XF01, tretinoin, The metabolism of Tretinoin can be decreased when combined with Oxycodone.]
[S01BA05, triamcinolone, The metabolism of Oxycodone can be increased when combined with Triamcinolone.]
[C03DB02, triamterene, The therapeutic efficacy of Triamterene can be decreased when used in combination with Oxycodone.]
[N05CD05, triazolam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Triazolam.]
[C03AA06, trichlormethiazide, The therapeutic efficacy of Trichlormethiazide can be decreased when used in combination with Oxycodone.]
[A03AB12, mepenzolate, The risk or severity of adverse effects can be increased when Mepenzolate is combined with Oxycodone.]
[N05AB06, trifluoperazine, The risk or severity of hypotension and CNS depression can be increased when Trifluoperazine is combined with Oxycodone.]
[N05AD02, trifluperidol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Trifluperidol.]
[N05AA05, triflupromazine, The risk or severity of adverse effects can be increased when Triflupromazine is combined with Oxycodone.]
[N04AA01, trihexyphenidyl, The risk or severity of adverse effects can be increased when Trihexyphenidyl is combined with Oxycodone.]
[R03BA07, mometasone, The metabolism of Oxycodone can be increased when combined with Mometasone.]
[A03AA05, trimebutine, The risk or severity of adverse effects can be increased when Trimebutine is combined with Oxycodone.]
[R06AD01, trimeprazine, The risk or severity of hypotension and CNS depression can be increased when Alimemazine is combined with Oxycodone.]
[N03AC02, trimethadione, The risk or severity of adverse effects can be increased when Trimethadione is combined with Oxycodone.]
[C02BA01, trimethaphan, The risk or severity of adverse effects can be increased when Trimethaphan is combined with Oxycodone.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Oxycodone.]
[R06AC04, tripelennamine, The metabolism of Oxycodone can be decreased when combined with Tripelennamine.]
[R06AX07, triprolidine, The risk or severity of adverse effects can be increased when Triprolidine is combined with Oxycodone.]
[A03BB01, butylscopolamine, The risk or severity of adverse effects can be increased when Butylscopolamine is combined with Oxycodone.]
[J01FA08, troleandomycin, The metabolism of Oxycodone can be decreased when combined with Troleandomycin.]
[N06AX24, vilazodone, The metabolism of Oxycodone can be decreased when combined with Vilazodone.]
[N06AX02, tryptophan, The risk or severity of adverse effects can be increased when Tryptophan is combined with Oxycodone.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Tubocurarine is combined with Oxycodone.]
[L02BX03, abiraterone, The metabolism of Oxycodone can be decreased when combined with Abiraterone.]
[A10BH05, linagliptin, The metabolism of Oxycodone can be decreased when combined with Linagliptin.]
[J05AP03, boceprevir, The metabolism of Oxycodone can be decreased when combined with Boceprevir.]
[J05AP02, telaprevir, The metabolism of Oxycodone can be decreased when combined with Telaprevir.]
[J05AG05, rilpivirine, The metabolism of Oxycodone can be decreased when combined with Rilpivirine.]
[N03AX21, ezogabine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ezogabine.]
[B01AF01, rivaroxaban, The metabolism of Rivaroxaban can be decreased when combined with Oxycodone.]
[B01AC24, ticagrelor, Oxycodone can cause a decrease in the absorption of Ticagrelor resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[C08DA01, verapamil, The metabolism of Oxycodone can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Oxycodone can be decreased when combined with Viloxazine.]
[L01CA01, vinblastine, The metabolism of Oxycodone can be decreased when combined with Vinblastine.]
[L01CA02, vincristine, The metabolism of Vincristine can be decreased when combined with Oxycodone.]
[S01AA13, fusidic acid, The metabolism of Oxycodone can be decreased when combined with Fusidic acid.]
[C03BA10, xipamide, The therapeutic efficacy of Xipamide can be decreased when used in combination with Oxycodone.]
[N05AF05, zuclopenthixol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Zuclopenthixol.]
[J05AE02, indinavir, The metabolism of Oxycodone can be decreased when combined with Indinavir.]
[N03AX14, levetiracetam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Levetiracetam.]
[L01EC01, vemurafenib, The metabolism of Oxycodone can be decreased when combined with Vemurafenib.]
[L01ED01, crizotinib, The metabolism of Crizotinib can be decreased when combined with Oxycodone.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Ziprasidone.]
[G03AC10, drospirenone, The therapeutic efficacy of Drospirenone can be decreased when used in combination with Oxycodone.]
[G04BD07, tolterodine, The risk or severity of adverse effects can be increased when Tolterodine is combined with Oxycodone.]
[C07AB03, atenolol, The metabolism of Oxycodone can be decreased when combined with Atenolol.]
[J02AC03, voriconazole, The risk or severity of adverse effects can be increased when Voriconazole is combined with Oxycodone.]
[M03AC04, atracurium, The risk or severity of adverse effects can be increased when Atracurium is combined with Oxycodone.]
[S01FA01, atropine, The risk or severity of adverse effects can be increased when Atropine is combined with Oxycodone.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Oxycodone.]
[R07AX02, ivacaftor, The metabolism of Ivacaftor can be decreased when combined with Oxycodone.]
[H02AB11, prednylidene, The metabolism of Oxycodone can be increased when combined with Prednylidene.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Oxycodone.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Oxycodone.]
[A08AA11, lorcaserin, The metabolism of Oxycodone can be decreased when combined with Lorcaserin.]
[G04BD12, mirabegron, The serum concentration of Oxycodone can be increased when it is combined with Mirabegron.]
[V03AX03, cobicistat, The metabolism of Oxycodone can be decreased when combined with Cobicistat.]
[J05AJ02, elvitegravir, The metabolism of Oxycodone can be decreased when combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Oxycodone can be decreased when it is combined with Enzalutamide.]
[A06AX04, linaclotide, The therapeutic efficacy of Linaclotide can be decreased when used in combination with Oxycodone.]
[N05CA04, barbital, The risk or severity of adverse effects can be increased when Barbital is combined with Oxycodone.]
[J05AE04, nelfinavir, The metabolism of Oxycodone can be decreased when combined with Nelfinavir.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Oxycodone.]
[N04BD02, rasagiline, Rasagiline may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[C08CA13, lercanidipine, The metabolism of Lercanidipine can be decreased when combined with Oxycodone.]
[A03FA09, mosapride, The risk or severity of adverse effects can be increased when Oxycodone is combined with Mosapride.]
[N06DA02, donepezil, The risk or severity of adverse effects can be increased when Oxycodone is combined with Donepezil.]
[N03AX22, perampanel, Perampanel may increase the central nervous system depressant (CNS depressant) activities of Oxycodone.]
[N02CC03, zolmitriptan, The risk or severity of adverse effects can be increased when Zolmitriptan is combined with Oxycodone.]
[R06AC06, thonzylamine, The risk or severity of adverse effects can be increased when Thonzylamine is combined with Oxycodone.]
[G04BD10, darifenacin, The risk or severity of adverse effects can be increased when Darifenacin is combined with Oxycodone.]
[N01AA01, ethyl ether, The risk or severity of adverse effects can be increased when Oxycodone is combined with Diethyl ether.]
[G04BE03, sildenafil, The metabolism of Oxycodone can be decreased when combined with Sildenafil.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Oxycodone.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Oxycodone.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Oxycodone.]
[A16AX09, glycerol phenylbutyrate, The metabolism of Oxycodone can be decreased when combined with Glycerol phenylbutyrate.]
[C03AA01, bendroflumethiazide, The therapeutic efficacy of Bendroflumethiazide can be decreased when used in combination with Oxycodone.]
[L04AX06, pomalidomide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Oxycodone can be decreased when combined with Ospemifene.]
[N05AD07, benperidol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Benperidol.]
[A10BK02, canagliflozin, The therapeutic efficacy of Canagliflozin can be decreased when used in combination with Oxycodone.]
[A06AX06, tegaserod, The metabolism of Oxycodone can be decreased when combined with Tegaserod.]
[R02AD01, benzocaine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Benzocaine.]
[M01AH01, celecoxib, The metabolism of Oxycodone can be decreased when combined with Celecoxib.]
[N02CC02, naratriptan, The risk or severity of adverse effects can be increased when Oxycodone is combined with Naratriptan.]
[L04AA18, everolimus, The metabolism of Oxycodone can be decreased when combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of adverse effects can be increased when Benzatropine is combined with Oxycodone.]
[L01EC02, dabrafenib, The serum concentration of Oxycodone can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Benzyl alcohol.]
[N06AX28, levomilnacipran, The risk or severity of serotonin syndrome can be increased when Oxycodone is combined with Levomilnacipran.]
[C08EA02, bepridil, The metabolism of Oxycodone can be decreased when combined with Bepridil.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Oxycodone.]
[N06AX26, vortioxetine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Vortioxetine.]
[N03AF04, eslicarbazepine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Eslicarbazepine.]
[J05AP05, simeprevir, The metabolism of Oxycodone can be decreased when combined with Simeprevir.]
[N03AG04, vigabatrin, The risk or severity of adverse effects can be increased when Oxycodone is combined with Vigabatrin.]
[A10BK01, dapagliflozin, The therapeutic efficacy of Dapagliflozin can be decreased when used in combination with Oxycodone.]
[C07AB04, acebutolol, The metabolism of Oxycodone can be decreased when combined with Acebutolol.]
[N05CH03, tasimelteon, The risk or severity of adverse effects can be increased when Oxycodone is combined with Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Oxycodone can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Oxycodone can be increased when combined with Apremilast.]
[S03BA03, betamethasone, The metabolism of Oxycodone can be increased when combined with Betamethasone.]
[S01ED02, betaxolol, The metabolism of Oxycodone can be decreased when combined with Betaxolol.]
[L04AC11, siltuximab, The metabolism of Oxycodone can be increased when combined with Siltuximab.]
[A03BA03, hyoscyamine, The risk or severity of adverse effects can be increased when Hyoscyamine is combined with Oxycodone.]
[N01AX05, alfaxalone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Alfaxalone.]
[D11AA01, glycopyrronium, The risk or severity of adverse effects can be increased when Glycopyrronium is combined with Oxycodone.]
[N05CM19, suvorexant, Oxycodone may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Oxycodone can be decreased when combined with Eliglustat.]
[J01XA05, oritavancin, The metabolism of Oxycodone can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, The risk or severity of hypotension and CNS depression can be increased when Acepromazine is combined with Oxycodone.]
[A06AB04, phenolphthalein, The therapeutic efficacy of Phenolphthalein can be decreased when used in combination with Oxycodone.]
[A06AH03, naloxegol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Naloxegol.]
[N04AA02, biperiden, The risk or severity of adverse effects can be increased when Biperiden is combined with Oxycodone.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Oxycodone.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Oxycodone.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Oxycodone.]
[L01XK01, olaparib, The metabolism of Olaparib can be decreased when combined with Oxycodone.]
[N06AX11, mirtazapine, Oxycodone may increase the serotonergic activities of Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Oxycodone can be increased when combined with Secukinumab.]
[L01XH03, panobinostat, The metabolism of Oxycodone can be decreased when combined with Panobinostat.]
[J05AP07, daclatasvir, The metabolism of Daclatasvir can be decreased when combined with Oxycodone.]
[A03AA09, difemerine, The risk or severity of adverse effects can be increased when Difemerine is combined with Oxycodone.]
[J05AP06, asunaprevir, The metabolism of Oxycodone can be decreased when combined with Asunaprevir.]
[A07DA06, eluxadoline, The risk or severity of constipation can be increased when Oxycodone is combined with Eluxadoline.]
[N05AX16, brexpiprazole, The risk or severity of adverse effects can be increased when Oxycodone is combined with Brexpiprazole.]
[A04AD14, rolapitant, The metabolism of Oxycodone can be decreased when combined with Rolapitant.]
[G02CX02, flibanserin, The risk or severity of adverse effects can be increased when Oxycodone is combined with Flibanserin.]
[A06AD03, magnesium peroxide, The therapeutic efficacy of Magnesium peroxide can be decreased when used in combination with Oxycodone.]
[N05AX15, cariprazine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Cariprazine.]
[S01EC01, acetazolamide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Acetazolamide.]
[N05AB07, acetophenazine, The risk or severity of hypotension and CNS depression can be increased when Acetophenazine is combined with Oxycodone.]
[A02BC03, lansoprazole, The metabolism of Oxycodone can be decreased when combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Oxycodone.]
[J02AC05, isavuconazole, The metabolism of Oxycodone can be decreased when combined with Isavuconazole.]
[J05AP10, elbasvir, The metabolism of Elbasvir can be decreased when combined with Oxycodone.]
[N05CA05, aprobarbital, The risk or severity of adverse effects can be increased when Aprobarbital is combined with Oxycodone.]
[N03AX23, brivaracetam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Brivaracetam.]
[L01XX52, venetoclax, The metabolism of Oxycodone can be decreased when combined with Venetoclax.]
[N05BA08, bromazepam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Bromazepam.]
[N04BC01, bromocriptine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Bromocriptine.]
[A03AX08, alverine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Alverine.]
[R06AB01, brompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Oxycodone.]
[N06AA19, amineptin, The risk or severity of adverse effects can be increased when Oxycodone is combined with Amineptine.]
[N06BX11, aniracetam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Aniracetam.]
[C03CA02, bumetanide, The therapeutic efficacy of Bumetanide can be decreased when used in combination with Oxycodone.]
[N01BB01, bupivacaine, The risk or severity of adverse effects can be increased when Bupivacaine is combined with Oxycodone.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Oxycodone.]
[N07BC01, buprenorphine, Oxycodone may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, The risk or severity of adverse effects can be increased when Buspirone is combined with Oxycodone.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Oxycodone.]
[N02AF01, butorphanol, The therapeutic efficacy of Oxycodone can be decreased when used in combination with Butorphanol.]
[S01GX07, azelastine, Oxycodone may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The metabolism of Oxycodone can be decreased when combined with Rucaparib.]
[A06AX07, plecanatide, The therapeutic efficacy of Plecanatide can be decreased when used in combination with Oxycodone.]
[L01EF02, ribociclib, The metabolism of Oxycodone can be decreased when combined with Ribociclib.]
[A06AH05, naldemedine, The therapeutic efficacy of Oxycodone can be decreased when used in combination with Naldemedine.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Oxycodone.]
[N02BF02, pregabalin, The risk or severity of adverse effects can be increased when Pregabalin is combined with Oxycodone.]
[N03AX30, beclamide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Beclamide.]
[S01HA02, benoxinate, The risk or severity of adverse effects can be increased when Oxycodone is combined with Oxybuprocaine.]
[J01XX08, linezolid, The risk or severity of serotonin syndrome can be increased when Linezolid is combined with Oxycodone.]
[J05AE09, tipranavir, The metabolism of Oxycodone can be decreased when combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Oxycodone.]
[L04AB02, infliximab, The metabolism of Oxycodone can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The metabolism of Oxycodone can be decreased when combined with Midostaurin.]
[N04BD03, safinamide, Safinamide may increase the serotonergic and central nervous system depressant (CNS depressant) activities of Oxycodone.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Oxycodone.]
[L01EM02, copanlisib, The metabolism of Copanlisib can be decreased when combined with Oxycodone.]
[J05AG03, efavirenz, The metabolism of Oxycodone can be decreased when combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Oxycodone.]
[N04AA11, bornaprine, The risk or severity of adverse effects can be increased when Bornaprine is combined with Oxycodone.]
[N05AD06, bromperidol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Bromperidol.]
[N05CD09, brotizolam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Brotizolam.]
[C03DA03, canrenone, The therapeutic efficacy of Canrenone can be decreased when used in combination with Oxycodone.]
[R03BA02, budesonide, The metabolism of Oxycodone can be increased when combined with Budesonide.]
[L01EL02, acalabrutinib, The metabolism of Oxycodone can be decreased when combined with Acalabrutinib.]
[N05CA03, butobarbital, The risk or severity of adverse effects can be increased when Butobarbital is combined with Oxycodone.]
[J05AX18, letermovir, The metabolism of Oxycodone can be decreased when combined with Letermovir.]
[N06AA15, butriptyline, The risk or severity of adverse effects can be increased when Oxycodone is combined with Butriptyline.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be decreased when used in combination with Oxycodone.]
[N05CA08, butylvinal, The risk or severity of adverse effects can be increased when Oxycodone is combined with Vinylbital.]
[L02BB05, apalutamide, The metabolism of Oxycodone can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Carbamazepine can be decreased when combined with Oxycodone.]
[A06AC08, calcium polycarbophil, The therapeutic efficacy of Calcium polycarbophil can be decreased when used in combination with Oxycodone.]
[A03AA03, camylofine, The risk or severity of adverse effects can be increased when Camylofin is combined with Oxycodone.]
[R06AA08, carbinoxamine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Carbinoxamine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Oxycodone.]
[N03AX24, cannabidiol, The risk or severity of adverse effects can be increased when Cannabidiol is combined with Oxycodone.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Oxycodone.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Oxycodone.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Oxycodone.]
[L01XX62, ivosidenib, The metabolism of Oxycodone can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Oxycodone.]
[N03AX17, stiripentol, The metabolism of Oxycodone can be decreased when combined with Stiripentol.]
[J05AG06, doravirine, The metabolism of Doravirine can be decreased when combined with Oxycodone.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Oxycodone.]
[S01GX12, cetirizine, The risk or severity of adverse effects can be increased when Cetirizine is combined with Oxycodone.]
[N05CM04, carbromal, The risk or severity of adverse effects can be increased when Oxycodone is combined with Carbromal.]
[N01BA04, chloroprocaine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Chloroprocaine.]
[R06AA06, chlorphenoxamine, The risk or severity of adverse effects can be increased when Chlorphenoxamine is combined with Oxycodone.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Oxycodone.]
[R03BB08, revefenacin, The risk or severity of adverse effects can be increased when Revefenacin is combined with Oxycodone.]
[L01ED05, lorlatinib, The metabolism of Lorlatinib can be decreased when combined with Oxycodone.]
[L04AA39, emapalumab, The metabolism of Oxycodone can be increased when combined with Emapalumab.]
[A06AX05, prucalopride, The therapeutic efficacy of Prucalopride can be decreased when used in combination with Oxycodone.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Oxycodone.]
[A03FA08, cinitapride, The risk or severity of adverse effects can be increased when Oxycodone is combined with Cinitapride.]
[P02BX04, triclabendazole, The metabolism of Oxycodone can be decreased when combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Esketamine.]
[J01FA09, clarithromycin, The metabolism of Oxycodone can be decreased when combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of adverse effects can be increased when Oxycodone is combined with Solriamfetol.]
[N06AX29, brexanolone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Brexanolone.]
[N05BA09, clobazam, The metabolism of Oxycodone can be decreased when combined with Clobazam.]
[H02AB14, cloprednol, The metabolism of Oxycodone can be increased when combined with Cloprednol.]
[A06AB05, castor oil, The therapeutic efficacy of Castor oil can be decreased when used in combination with Oxycodone.]
[N05BA22, cloxazolam, The risk or severity of adverse effects can be increased when Oxycodone is combined with Cloxazolam.]
[L04AB01, etanercept, The metabolism of Oxycodone can be increased when combined with Etanercept.]
[H02AB17, cortivazol, The metabolism of Oxycodone can be increased when combined with Cortivazol.]
[N05AA06, cyamemazine, The risk or severity of hypotension and CNS depression can be increased when Cyamemazine is combined with Oxycodone.]
[C03BX03, cicletanine, The therapeutic efficacy of Cicletanine can be decreased when used in combination with Oxycodone.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Oxycodone.]
[L01EJ02, fedratinib, The metabolism of Oxycodone can be decreased when combined with Fedratinib.]
[N07XX11, pitolisant, The serum concentration of Oxycodone can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Oxycodone.]
[C03AA09, cyclothiazide, The therapeutic efficacy of Cyclothiazide can be decreased when used in combination with Oxycodone.]
[G04BE04, yohimbine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Yohimbine.]
[A06AB03, danthron, The therapeutic efficacy of Dantron can be decreased when used in combination with Oxycodone.]
[L01FD03, ado-trastuzumab emtansine, The metabolism of Trastuzumab emtansine can be decreased when combined with Oxycodone.]
[N02CC08, lasmiditan, The risk or severity of serotonin syndrome can be increased when Lasmiditan is combined with Oxycodone.]
[N03AX25, cenobamate, The serum concentration of Oxycodone can be decreased when it is combined with Cenobamate.]
[A16AX16, givosiran, The serum concentration of Oxycodone can be increased when it is combined with Givosiran.]
[R06AB06, dexbrompheniramine, The risk or severity of adverse effects can be increased when Dexbrompheniramine is combined with Oxycodone.]
[R06AB02, dexchlorpheniramine, The metabolism of Oxycodone can be decreased when combined with Dexchlorpheniramine.]
[N02AX03, dezocine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Dezocine.]
[N05CM21, lemborexant, The risk or severity of adverse effects can be increased when Oxycodone is combined with Lemborexant.]
[N05AD10, lumateperone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Lumateperone.]
[M01AX21, diacetylrhein, The metabolism of Oxycodone can be decreased when combined with Diacerein.]
[H02CA02, osilodrostat, The metabolism of Oxycodone can be decreased when combined with Osilodrostat.]
[J05AE05, amprenavir, The metabolism of Oxycodone can be decreased when combined with Amprenavir.]
[N02CC07, frovatriptan, The risk or severity of adverse effects can be increased when Oxycodone is combined with Frovatriptan.]
[G04CB02, dutasteride, The metabolism of Dutasteride can be decreased when combined with Oxycodone.]
[N05CC04, dichloralphenazone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Dichloralphenazone.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Oxycodone.]
[A07DA04, difenoxin, The risk or severity of adverse effects can be increased when Oxycodone is combined with Difenoxin.]
[N02AA08, dihydrocodeine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Dihydrocodeine.]
[N02CC06, eletriptan, The risk or severity of adverse effects can be increased when Eletriptan is combined with Oxycodone.]
[C08CA16, clevidipine, The metabolism of Clevidipine can be decreased when combined with Oxycodone.]
[C01BD07, dronedarone, The metabolism of Oxycodone can be decreased when combined with Dronedarone.]
[N03AG02, dipropylacetamide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Valpromide.]
[S03AA08, chloramphenicol, The metabolism of Oxycodone can be decreased when combined with Chloramphenicol.]
[N05BA02, chlordiazepoxide, The risk or severity of adverse effects can be increased when Oxycodone is combined with Chlordiazepoxide.]
[L01EH03, tucatinib, The metabolism of Tucatinib can be decreased when combined with Oxycodone.]
[A03AA08, dihexyverine, The risk or severity of adverse effects can be increased when Dihexyverine is combined with Oxycodone.]
[D07XB03, fluprednidene, The metabolism of Oxycodone can be increased when combined with Fluprednidene.]
[G04BD09, trospium, The risk or severity of adverse effects can be increased when Trospium is combined with Oxycodone.]
[N05CM02, chlormethiazole, The risk or severity of adverse effects can be increased when Oxycodone is combined with Clomethiazole.]
[M03BB02, chlormezanone, The risk or severity of adverse effects can be increased when Oxycodone is combined with Chlormezanone.]
[R02AD04, dyclonine, The risk or severity of adverse effects can be increased when Oxycodone is combined with Dyclonine.]
[C08CA17, levamlodipine, The metabolism of Levamlodipine can be decreased when combined with Oxycodone.]
[P01BB01, proguanil, The metabolism of Oxycodone can be decreased when combined with Proguanil.]
[N05CD14, remimazolam, The risk or severity of sedation can be increased when Oxycodone is combined with Remimazolam.]
