[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Dronabinol.]
[L01ED01, crizotinib, The serum concentration of Dronabinol can be increased when it is combined with Crizotinib.]
[R03DC01, zafirlukast, The serum concentration of Dronabinol can be increased when it is combined with Zafirlukast.]
[A02BC04, rabeprazole, The serum concentration of Dronabinol can be increased when it is combined with Rabeprazole.]
[N05AE04, ziprasidone, The risk or severity of adverse effects can be increased when Dronabinol is combined with Ziprasidone.]
[N02BA01, aspirin, The metabolism of Acetylsalicylic acid can be decreased when combined with Dronabinol.]
[L01EJ01, ruxolitinib, The metabolism of Ruxolitinib can be decreased when combined with Dronabinol.]
[G04BD07, tolterodine, The risk or severity of Tachycardia and drowsiness can be increased when Tolterodine is combined with Dronabinol.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Dronabinol.]
[J02AC03, voriconazole, The serum concentration of Dronabinol can be increased when it is combined with Voriconazole.]
[M03AC04, atracurium, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Atracurium.]
[S01FA01, atropine, The risk or severity of Tachycardia and drowsiness can be increased when Atropine is combined with Dronabinol.]
[L01XJ01, vismodegib, The metabolism of Vismodegib can be decreased when combined with Dronabinol.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Dronabinol.]
[R07AX02, ivacaftor, The serum concentration of Dronabinol can be increased when it is combined with Ivacaftor.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Dronabinol.]
[G04BE10, avanafil, The serum concentration of Avanafil can be increased when it is combined with Dronabinol.]
[M03BX01, baclofen, Baclofen may increase the central nervous system depressant (CNS depressant) activities of Dronabinol.]
[A08AA11, lorcaserin, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Lorcaserin.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Dronabinol.]
[V03AX03, cobicistat, The serum concentration of Dronabinol can be increased when it is combined with Cobicistat.]
[J05AJ02, elvitegravir, The serum concentration of Dronabinol can be increased when it is combined with Elvitegravir.]
[L02BB04, enzalutamide, The serum concentration of Dronabinol can be decreased when it is combined with Enzalutamide.]
[L01EA04, bosutinib, The serum concentration of Dronabinol can be increased when it is combined with Bosutinib.]
[C01CA18, octopamine, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Octopamine.]
[L01EX05, regorafenib, The serum concentration of Dronabinol can be increased when it is combined with Regorafenib.]
[N05CA04, barbital, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Barbital.]
[J05AE04, nelfinavir, The serum concentration of Dronabinol can be increased when it is combined with Nelfinavir.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Dronabinol.]
[S01GA07, brimonidine, Brimonidine may increase the central nervous system depressant (CNS depressant) activities of Dronabinol.]
[N04BD02, rasagiline, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Rasagiline.]
[A03FA09, mosapride, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Mosapride.]
[N06DA02, donepezil, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Donepezil.]
[N03AX22, perampanel, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Perampanel.]
[N02CC03, zolmitriptan, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Zolmitriptan.]
[R06AC06, thonzylamine, The risk or severity of Tachycardia and drowsiness can be increased when Thonzylamine is combined with Dronabinol.]
[G04BD10, darifenacin, The risk or severity of Tachycardia and drowsiness can be increased when Darifenacin is combined with Dronabinol.]
[N01AA01, ethyl ether, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Diethyl ether.]
[L01EX07, cabozantinib, The metabolism of Cabozantinib can be decreased when combined with Dronabinol.]
[H01CB05, pasireotide, The serum concentration of Dronabinol can be increased when it is combined with Pasireotide.]
[G04BE03, sildenafil, The metabolism of Sildenafil can be decreased when combined with Dronabinol.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Dronabinol.]
[B01AF02, apixaban, The metabolism of Apixaban can be decreased when combined with Dronabinol.]
[C10AX12, lomitapide, The serum concentration of Dronabinol can be increased when it is combined with Lomitapide.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Dronabinol.]
[L04AX06, pomalidomide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Pomalidomide.]
[G03XC05, ospemifene, The metabolism of Ospemifene can be decreased when combined with Dronabinol.]
[N05AD07, benperidol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Benperidol.]
[M04AB03, benzbromarone, The serum concentration of Dronabinol can be increased when it is combined with Benzbromarone.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Dronabinol.]
[R02AD01, benzocaine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Benzocaine.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Dronabinol.]
[N02CC02, naratriptan, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Naratriptan.]
[L04AA18, everolimus, The serum concentration of Dronabinol can be increased when it is combined with Everolimus.]
[N04AC01, benztropine, The risk or severity of Tachycardia and drowsiness can be increased when Benzatropine is combined with Dronabinol.]
[L01EC02, dabrafenib, The serum concentration of Dronabinol can be decreased when it is combined with Dabrafenib.]
[P03AX06, benzyl alcohol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Benzyl alcohol.]
[N06AX28, levomilnacipran, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Levomilnacipran.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Dronabinol.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Dronabinol.]
[N06AX26, vortioxetine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Vortioxetine.]
[N03AF04, eslicarbazepine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Eslicarbazepine.]
[D01AC18, luliconazole, The serum concentration of Dronabinol can be increased when it is combined with Luliconazole.]
[J05AP05, simeprevir, The serum concentration of Dronabinol can be increased when it is combined with Simeprevir.]
[N03AG04, vigabatrin, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Vigabatrin.]
[A10BK01, dapagliflozin, The metabolism of Dapagliflozin can be decreased when combined with Dronabinol.]
[C01CA27, droxidopa, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Droxidopa.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Dronabinol.]
[N05CH03, tasimelteon, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Tasimelteon.]
[A16AA07, metreleptin, The metabolism of Dronabinol can be increased when combined with Metreleptin.]
[L04AA32, apremilast, The metabolism of Dronabinol can be increased when combined with Apremilast.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Dronabinol.]
[C02CC01, bethanidine, The risk or severity of Tachycardia can be increased when Bethanidine is combined with Dronabinol.]
[L04AC11, siltuximab, The serum concentration of Dronabinol can be increased when it is combined with Siltuximab.]
[L01ED02, ceritinib, The serum concentration of Dronabinol can be increased when it is combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of Tachycardia and drowsiness can be increased when Hyoscyamine is combined with Dronabinol.]
[B01AA07, acenocoumarol, The metabolism of Acenocoumarol can be decreased when combined with Dronabinol.]
[L01EM01, idelalisib, The serum concentration of Dronabinol can be increased when it is combined with Idelalisib.]
[N01AX05, alfaxalone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Alfaxalone.]
[R03AC19, olodaterol, The metabolism of Olodaterol can be decreased when combined with Dronabinol.]
[D11AA01, glycopyrronium, The risk or severity of Tachycardia and drowsiness can be increased when Glycopyrronium is combined with Dronabinol.]
[N05CM19, suvorexant, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Suvorexant.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Dronabinol.]
[J01XA05, oritavancin, The metabolism of Dronabinol can be decreased when combined with Oritavancin.]
[N05AA04, acepromazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Acepromazine.]
[N04AA02, biperiden, The risk or severity of Tachycardia and drowsiness can be increased when Biperiden is combined with Dronabinol.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Dronabinol.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Dronabinol.]
[L01XK01, olaparib, The serum concentration of Dronabinol can be increased when it is combined with Olaparib.]
[B01AA01, dicumarol, The metabolism of Dicoumarol can be decreased when combined with Dronabinol.]
[N06AX11, mirtazapine, The serum concentration of Dronabinol can be increased when it is combined with Mirtazapine.]
[L04AC10, secukinumab, The metabolism of Dronabinol can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The serum concentration of Dronabinol can be increased when it is combined with Palbociclib.]
[N02BE01, acetaminophen, The serum concentration of Dronabinol can be increased when it is combined with Acetaminophen.]
[A03AA09, difemerine, The risk or severity of Tachycardia and drowsiness can be increased when Difemerine is combined with Dronabinol.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Dronabinol.]
[N05AX16, brexpiprazole, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Brexpiprazole.]
[G02CX02, flibanserin, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Flibanserin.]
[N05AX15, cariprazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Cariprazine.]
[S01EC01, acetazolamide, The serum concentration of Dronabinol can be increased when it is combined with Acetazolamide.]
[N05AB07, acetophenazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Acetophenazine.]
[A02BC03, lansoprazole, The serum concentration of Dronabinol can be increased when it is combined with Lansoprazole.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Dronabinol.]
[J02AC05, isavuconazole, The serum concentration of Dronabinol can be increased when it is combined with Isavuconazole.]
[A10BB31, acetohexamide, The metabolism of Acetohexamide can be decreased when combined with Dronabinol.]
[M04AB05, lesinurad, The metabolism of Lesinurad can be decreased when combined with Dronabinol.]
[J05AP10, elbasvir, The serum concentration of Dronabinol can be increased when it is combined with Elbasvir.]
[N05CA05, aprobarbital, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Aprobarbital.]
[N03AX23, brivaracetam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Brivaracetam.]
[L01XX52, venetoclax, The serum concentration of Dronabinol can be increased when it is combined with Venetoclax.]
[N05BA08, bromazepam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Bromazepam.]
[N04BC01, bromocriptine, The serum concentration of Dronabinol can be increased when it is combined with Bromocriptine.]
[A03AX08, alverine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Alverine.]
[R06AB01, brompheniramine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dexbrompheniramine.]
[N06AA19, amineptin, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Amineptine.]
[N06BX11, aniracetam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Aniracetam.]
[N01BB01, bupivacaine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Bupivacaine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Dronabinol.]
[N07BC01, buprenorphine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Buprenorphine.]
[N05BE01, buspirone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Buspirone.]
[P01BE02, artemether, The metabolism of Artemether can be decreased when combined with Dronabinol.]
[M02AA03, clofezone, The serum concentration of Dronabinol can be increased when it is combined with Rabeprazole.]
[N02AF01, butorphanol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Butorphanol.]
[S01GX07, azelastine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Azelastine.]
[L01XK03, rucaparib, The serum concentration of Dronabinol can be increased when it is combined with Rucaparib.]
[L01EF02, ribociclib, The serum concentration of Dronabinol can be increased when it is combined with Ribociclib.]
[R03CC12, bambuterol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Bambuterol.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Dronabinol.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Dronabinol.]
[N02BF02, pregabalin, The therapeutic efficacy of Dronabinol can be increased when used in combination with Pregabalin.]
[N03AX30, beclamide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Beclamide.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Dronabinol.]
[S01HA02, benoxinate, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Oxybuprocaine.]
[J05AE09, tipranavir, The serum concentration of Dronabinol can be increased when it is combined with Tipranavir.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Dronabinol.]
[L04AB02, infliximab, The metabolism of Dronabinol can be increased when combined with Infliximab.]
[L01EX10, midostaurin, The serum concentration of Dronabinol can be increased when it is combined with Midostaurin.]
[N04BD03, safinamide, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Safinamide.]
[L04AC14, sarilumab, The serum concentration of Dronabinol can be increased when it is combined with Sarilumab.]
[J01MA23, delafloxacin, The metabolism of Dronabinol can be increased when combined with Delafloxacin.]
[D01AC10, bifonazole, The serum concentration of Dronabinol can be increased when it is combined with Bifonazole.]
[L01BC06, capecitabine, The metabolism of Capecitabine can be decreased when combined with Dronabinol.]
[L01XX59, enasidenib, The serum concentration of Dronabinol can be increased when it is combined with Enasidenib.]
[R03AC17, bitolterol, The risk or severity of Tachycardia can be increased when Dronabinol is combined with Bitolterol.]
[J05AG03, efavirenz, The serum concentration of Dronabinol can be increased when it is combined with Efavirenz.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Dronabinol.]
[N04AA11, bornaprine, The risk or severity of Tachycardia and drowsiness can be increased when Bornaprine is combined with Dronabinol.]
[N05AD06, bromperidol, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Bromperidol.]
[N05CD09, brotizolam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Brotizolam.]
[L01EL02, acalabrutinib, The serum concentration of Dronabinol can be increased when it is combined with Acalabrutinib.]
[N05CA03, butobarbital, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Butobarbital.]
[J05AX18, letermovir, The serum concentration of Dronabinol can be increased when it is combined with Letermovir.]
[N06AA15, butriptyline, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Butriptyline.]
[N01BX04, capsaicin, The serum concentration of Dronabinol can be increased when it is combined with Capsaicin.]
[N05CA08, butylvinal, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Vinylbital.]
[L02BB05, apalutamide, The metabolism of Dronabinol can be increased when combined with Apalutamide.]
[N03AF01, carbamazepine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Carbamazepine.]
[A03AA03, camylofine, The risk or severity of Tachycardia and drowsiness can be increased when Camylofin is combined with Dronabinol.]
[R06AA08, carbinoxamine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Carbinoxamine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Dronabinol.]
[B02BX09, fostamatinib, The serum concentration of Dronabinol can be increased when it is combined with Fostamatinib.]
[B02BX08, avatrombopag, The metabolism of Dronabinol can be increased when combined with Avatrombopag.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Dronabinol.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Dronabinol.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Dronabinol.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Dronabinol.]
[L01XX62, ivosidenib, The metabolism of Dronabinol can be increased when combined with Ivosidenib.]
[P01BA07, tafenoquine, The metabolism of Tafenoquine can be decreased when combined with Dronabinol.]
[N03AX17, stiripentol, The metabolism of Dronabinol can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Dronabinol.]
[S01GX12, cetirizine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Cetirizine.]
[N05CM04, carbromal, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Carbromal.]
[A10BB06, carbutamide, The metabolism of Carbutamide can be decreased when combined with Dronabinol.]
[N01BA04, chloroprocaine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Chloroprocaine.]
[R06AA06, chlorphenoxamine, The risk or severity of Tachycardia and drowsiness can be increased when Chlorphenoxamine is combined with Dronabinol.]
[M01AC05, lornoxicam, The metabolism of Lornoxicam can be decreased when combined with Dronabinol.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Dronabinol.]
[M03BA02, carisoprodol, The risk or severity of adverse effects can be increased when Carisoprodol is combined with Dronabinol.]
[R03BB08, revefenacin, The risk or severity of Tachycardia and drowsiness can be increased when Revefenacin is combined with Dronabinol.]
[L04AA39, emapalumab, The metabolism of Dronabinol can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Dronabinol.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Dronabinol.]
[A03FA08, cinitapride, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Cinitapride.]
[P02BX04, triclabendazole, The serum concentration of Dronabinol can be increased when it is combined with Triclabendazole.]
[N06AX27, esketamine, The risk or severity of adverse effects can be increased when Dronabinol is combined with Esketamine.]
[L04AA42, siponimod, The metabolism of Siponimod can be decreased when combined with Dronabinol.]
[J01FA09, clarithromycin, The serum concentration of Dronabinol can be increased when it is combined with Clarithromycin.]
[N06BA14, solriamfetol, The risk or severity of Tachycardia can be increased when Solriamfetol is combined with Dronabinol.]
[N06AX29, brexanolone, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Brexanolone.]
[L01EN01, erdafitinib, The metabolism of Erdafitinib can be decreased when combined with Dronabinol.]
[N05BA09, clobazam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Clobazam.]
[N05BA22, cloxazolam, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Cloxazolam.]
[C09CA06, candesartan, The metabolism of Candesartan can be decreased when combined with Dronabinol.]
[L04AB01, etanercept, The metabolism of Dronabinol can be increased when combined with Etanercept.]
[L01EM03, alpelisib, The serum concentration of Dronabinol can be increased when it is combined with Alpelisib.]
[N05AA06, cyamemazine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Cyamemazine.]
[M03BX08, cyclobenzaprine, The risk or severity of CNS depression can be increased when Cyclobenzaprine is combined with Dronabinol.]
[L01EJ02, fedratinib, The metabolism of Fedratinib can be decreased when combined with Dronabinol.]
[N07XX11, pitolisant, The serum concentration of Dronabinol can be decreased when it is combined with Pitolisant.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Dronabinol.]
[G04BE04, yohimbine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Yohimbine.]
[N02CC08, lasmiditan, The risk or severity of adverse effects can be increased when Lasmiditan is combined with Dronabinol.]
[L01EL03, zanubrutinib, The metabolism of Zanubrutinib can be decreased when combined with Dronabinol.]
[G03AC09, desogestrel, The metabolism of Desogestrel can be decreased when combined with Dronabinol.]
[B06AX03, voxelotor, The metabolism of Voxelotor can be decreased when combined with Dronabinol.]
[N03AX25, cenobamate, The serum concentration of Dronabinol can be decreased when it is combined with Cenobamate.]
[R06AB06, dexbrompheniramine, Dronabinol may increase the central nervous system depressant (CNS depressant) activities of Dexbrompheniramine.]
[R06AB02, dexchlorpheniramine, The metabolism of Dexchlorpheniramine can be decreased when combined with Dronabinol.]
