[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Ranitidine.]
[S01AA12, tobramycin, Ranitidine may decrease the excretion rate of Tobramycin which could result in a higher serum level.]
[A10BB05, tolazamide, The serum concentration of Tolazamide can be increased when it is combined with Ranitidine.]
[V04CA01, tolbutamide, The serum concentration of Tolbutamide can be increased when it is combined with Ranitidine.]
[M02AA21, tolmetin, Tolmetin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N02AX02, tramadol, The metabolism of Tramadol can be decreased when combined with Ranitidine.]
[N06AX05, trazodone, The metabolism of Trazodone can be decreased when combined with Ranitidine.]
[S01BA05, triamcinolone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Triamcinolone is combined with Ranitidine.]
[C03DB02, triamterene, Triamterene may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[N05CD05, triazolam, The serum concentration of Triazolam can be increased when it is combined with Ranitidine.]
[C03AA06, trichlormethiazide, Trichlormethiazide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[A16AX12, trientine, Ranitidine may decrease the excretion rate of Triethylenetetramine which could result in a higher serum level.]
[N05AB06, trifluoperazine, The metabolism of Ranitidine can be decreased when combined with Trifluoperazine.]
[S01AD02, trifluridine, Trifluridine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[A03AA05, trimebutine, Ranitidine may decrease the excretion rate of Trimebutine which could result in a higher serum level.]
[J01EA01, trimethoprim, The serum concentration of Ranitidine can be increased when it is combined with Trimethoprim.]
[N06AA06, trimipramine, The metabolism of Trimipramine can be decreased when combined with Ranitidine.]
[N06AX24, vilazodone, The metabolism of Vilazodone can be decreased when combined with Ranitidine.]
[M03AA02, tubocurarine, The risk or severity of adverse effects can be increased when Ranitidine is combined with Tubocurarine.]
[R03DX07, roflumilast, The serum concentration of Roflumilast can be increased when it is combined with Ranitidine.]
[L01FX04, ipilimumab, Ranitidine may decrease the excretion rate of Ipilimumab which could result in a higher serum level.]
[L01EX04, vandetanib, The serum concentration of Ranitidine can be increased when it is combined with Vandetanib.]
[R02AA14, oxyquinoline, Ranitidine may decrease the excretion rate of Oxyquinoline which could result in a higher serum level.]
[L02BX03, abiraterone, The serum concentration of Ranitidine can be increased when it is combined with Abiraterone.]
[A10BH05, linagliptin, The serum concentration of Linagliptin can be increased when it is combined with Ranitidine.]
[J05AG05, rilpivirine, Ranitidine can cause a decrease in the absorption of Rilpivirine resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01AA28, vancomycin, Ranitidine may decrease the excretion rate of Vancomycin which could result in a higher serum level.]
[N03AX21, ezogabine, Ranitidine may decrease the excretion rate of Ezogabine which could result in a higher serum level.]
[B01AF01, rivaroxaban, Ranitidine may decrease the excretion rate of Rivaroxaban which could result in a higher serum level.]
[C08DA01, verapamil, The metabolism of Ranitidine can be decreased when combined with Verapamil.]
[N06AX09, viloxazine, The metabolism of Ranitidine can be decreased when combined with Viloxazine.]
[L01CA02, vincristine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Vincristine is combined with Ranitidine.]
[B03BA01, vitamin B12, Cyanocobalamin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[B01AA03, warfarin, The serum concentration of Warfarin can be increased when it is combined with Ranitidine.]
[S01AA13, fusidic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Fusidic acid.]
[C03BA10, xipamide, Xipamide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MB04, pipemidic acid, The metabolism of Ranitidine can be decreased when combined with Pipemidic acid.]
[J05AF01, zidovudine, The excretion of Ranitidine can be decreased when combined with Zidovudine.]
[N05AF05, zuclopenthixol, The metabolism of Zuclopenthixol can be decreased when combined with Ranitidine.]
[J05AE02, indinavir, Ranitidine can cause a decrease in the absorption of Indinavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EC01, vemurafenib, The serum concentration of Ranitidine can be increased when it is combined with Vemurafenib.]
[M05BA03, pamidronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Pamidronic acid is combined with Ranitidine.]
[M05BA05, tiludronic acid, Ranitidine may decrease the excretion rate of Tiludronic acid which could result in a higher serum level.]
[B06AC02, icatibant, Ranitidine may decrease the excretion rate of Icatibant which could result in a higher serum level.]
[L01ED01, crizotinib, The serum concentration of Ranitidine can be increased when it is combined with Crizotinib.]
[A02BC04, rabeprazole, Ranitidine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[M05BA06, ibandronic acid, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ibandronate is combined with Ranitidine.]
[J01MA13, trovafloxacin, The metabolism of Ranitidine can be decreased when combined with Trovafloxacin.]
[G03AC10, drospirenone, Drospirenone may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[V03AC02, deferiprone, Ranitidine may decrease the excretion rate of Deferiprone which could result in a higher serum level.]
[N02BA01, aspirin, The excretion of Ranitidine can be decreased when combined with Acetylsalicylic acid.]
[L01EJ01, ruxolitinib, Ranitidine may decrease the excretion rate of Ruxolitinib which could result in a higher serum level.]
[G04BD07, tolterodine, The metabolism of Tolterodine can be decreased when combined with Ranitidine.]
[J01DH04, doripenem, Ranitidine may decrease the excretion rate of Doripenem which could result in a higher serum level.]
[C07AB03, atenolol, The metabolism of Atenolol can be decreased when combined with Ranitidine.]
[L03AB11, peginterferon alfa-2a, The metabolism of Ranitidine can be decreased when combined with Peginterferon alfa-2a.]
[J02AC03, voriconazole, Ranitidine can cause a decrease in the absorption of Voriconazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M01CB03, auranofin, Ranitidine may decrease the excretion rate of Auranofin which could result in a higher serum level.]
[L01EK01, axitinib, The metabolism of Axitinib can be decreased when combined with Ranitidine.]
[B03XA04, peginesatide, Ranitidine may decrease the excretion rate of Peginesatide which could result in a higher serum level.]
[L01BC07, azacitidine, Ranitidine may decrease the excretion rate of Azacitidine which could result in a higher serum level.]
[L04AX01, azathioprine, The metabolism of Azathioprine can be decreased when combined with Ranitidine.]
[L01BC05, gemcitabine, Gemcitabine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01DF01, aztreonam, Aztreonam may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[R02AB04, bacitracin, Bacitracin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[M03BX01, baclofen, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Baclofen is combined with Ranitidine.]
[A08AA11, lorcaserin, The metabolism of Lorcaserin can be decreased when combined with Ranitidine.]
[G04BD12, mirabegron, The metabolism of Mirabegron can be decreased when combined with Ranitidine.]
[L02BB04, enzalutamide, Ranitidine may decrease the excretion rate of Enzalutamide which could result in a higher serum level.]
[L01EA04, bosutinib, Ranitidine can cause a decrease in the absorption of Bosutinib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L04AA31, teriflunomide, The serum concentration of Ranitidine can be decreased when it is combined with Teriflunomide.]
[D02BA02, octinoxate, Ranitidine may decrease the excretion rate of Octinoxate which could result in a higher serum level.]
[J05AE04, nelfinavir, Ranitidine can cause a decrease in the absorption of Nelfinavir resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01AA09, bendamustine, The metabolism of Bendamustine can be decreased when combined with Ranitidine.]
[N04BD02, rasagiline, The metabolism of Rasagiline can be decreased when combined with Ranitidine.]
[C08CA13, lercanidipine, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Lercanidipine is combined with Ranitidine.]
[N06DA02, donepezil, The metabolism of Donepezil can be decreased when combined with Ranitidine.]
[N03AX22, perampanel, The metabolism of Perampanel can be decreased when combined with Ranitidine.]
[N02CC03, zolmitriptan, The metabolism of Zolmitriptan can be decreased when combined with Ranitidine.]
[G04BD10, darifenacin, The metabolism of Darifenacin can be decreased when combined with Ranitidine.]
[V09IX04, fluorodeoxyglucose F18, Ranitidine may decrease the excretion rate of Fludeoxyglucose (18F) which could result in a higher serum level.]
[G04BE03, sildenafil, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Sildenafil is combined with Ranitidine.]
[V08CA11, gadofosveset, Ranitidine may decrease the excretion rate of Gadofosveset trisodium which could result in a higher serum level.]
[L01EA05, ponatinib, The metabolism of Ponatinib can be decreased when combined with Ranitidine.]
[A16AX08, teduglutide, Ranitidine may decrease the excretion rate of Teduglutide which could result in a higher serum level.]
[A10BH04, alogliptin, The metabolism of Alogliptin can be decreased when combined with Ranitidine.]
[A16AX09, glycerol phenylbutyrate, Ranitidine may decrease the excretion rate of Glycerol phenylbutyrate which could result in a higher serum level.]
[C03AA01, bendroflumethiazide, Bendroflumethiazide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[L04AX06, pomalidomide, The metabolism of Pomalidomide can be decreased when combined with Ranitidine.]
[N02BA10, benorilate, Benorilate may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[A10BK02, canagliflozin, Canagliflozin may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[J01MA15, gemifloxacin, The metabolism of Ranitidine can be decreased when combined with Gemifloxacin.]
[S01AE07, moxifloxacin, The metabolism of Ranitidine can be decreased when combined with Moxifloxacin.]
[A06AX06, tegaserod, The metabolism of Tegaserod can be decreased when combined with Ranitidine.]
[R02AD01, benzocaine, The metabolism of Benzocaine can be decreased when combined with Ranitidine.]
[J02AX04, caspofungin, The excretion of Ranitidine can be decreased when combined with Caspofungin.]
[L03AA12, ancestim, Ranitidine may decrease the excretion rate of Ancestim which could result in a higher serum level.]
[M01AH01, celecoxib, The metabolism of Celecoxib can be decreased when combined with Ranitidine.]
[N04AC01, benztropine, The metabolism of Benzatropine can be decreased when combined with Ranitidine.]
[L01EC02, dabrafenib, Ranitidine can cause a decrease in the absorption of Dabrafenib resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R02AX03, benzydamine, Benzydamine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L01EE01, trametinib, Ranitidine may decrease the excretion rate of Trametinib which could result in a higher serum level.]
[P03AX06, benzyl alcohol, The metabolism of Benzyl alcohol can be decreased when combined with Ranitidine.]
[V09AX05, florbetapir F-18, Ranitidine may decrease the excretion rate of Florbetapir (18F) which could result in a higher serum level.]
[B03AB04, ferric hydroxide, Ranitidine can cause a decrease in the absorption of Ferric hydroxide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N06AX28, levomilnacipran, The metabolism of Levomilnacipran can be decreased when combined with Ranitidine.]
[J05AJ03, dolutegravir, The excretion of Ranitidine can be decreased when combined with Dolutegravir.]
[C08EA02, bepridil, The metabolism of Bepridil can be decreased when combined with Ranitidine.]
[C02KX05, riociguat, Ranitidine can cause a decrease in the absorption of Riociguat resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BJ03, lixisenatide, Ranitidine may decrease the excretion rate of Lixisenatide which could result in a higher serum level.]
[A05AA03, cholic acid, The excretion of Ranitidine can be decreased when combined with Cholic Acid.]
[C02KX04, macitentan, Ranitidine may decrease the excretion rate of Macitentan which could result in a higher serum level.]
[L01EL01, ibrutinib, The metabolism of Ibrutinib can be decreased when combined with Ranitidine.]
[N06AX26, vortioxetine, The metabolism of Vortioxetine can be decreased when combined with Ranitidine.]
[G03AC08, etonogestrel, Etonogestrel may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J05AP05, simeprevir, The metabolism of Ranitidine can be decreased when combined with Simeprevir.]
[V03AE05, sucroferric oxyhydroxide, Ranitidine can cause a decrease in the absorption of Iron sucrose resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J05AP08, sofosbuvir, Ranitidine may decrease the excretion rate of Sofosbuvir which could result in a higher serum level.]
[A10BK01, dapagliflozin, Dapagliflozin may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C01CA27, droxidopa, Ranitidine may decrease the excretion rate of Droxidopa which could result in a higher serum level.]
[C07AB04, acebutolol, The metabolism of Acebutolol can be decreased when combined with Ranitidine.]
[N05CH03, tasimelteon, The metabolism of Tasimelteon can be decreased when combined with Ranitidine.]
[L04AA32, apremilast, The metabolism of Ranitidine can be increased when combined with Apremilast.]
[L02BG02, formestane, Ranitidine may decrease the excretion rate of Formestane which could result in a higher serum level.]
[N07CA01, betahistine, The therapeutic efficacy of Betahistine can be decreased when used in combination with Ranitidine.]
[S03BA03, betamethasone, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Betamethasone is combined with Ranitidine.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Ranitidine.]
[V03AB34, fomepizole, Ranitidine may decrease the excretion rate of Fomepizole which could result in a higher serum level.]
[C10AB02, bezafibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Bezafibrate.]
[L04AC11, siltuximab, The metabolism of Ranitidine can be increased when combined with Siltuximab.]
[A03BA03, hyoscyamine, Ranitidine may increase the anticholinergic activities of Hyoscyamine.]
[B01AA07, acenocoumarol, The serum concentration of Acenocoumarol can be increased when it is combined with Ranitidine.]
[L01XH04, belinostat, The metabolism of Ranitidine can be increased when combined with Belinostat.]
[N07XX08, tafamidis, The excretion of Ranitidine can be decreased when combined with Tafamidis.]
[V08AA01, diatrizoic acid, Diatrizoate may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[V03AE01, polystyrene sulfonate, The therapeutic efficacy of Tolevamer can be decreased when used in combination with Ranitidine.]
[V08AA04, iothalamic acid, Diatrizoate may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[A16AX10, eliglustat, The metabolism of Eliglustat can be decreased when combined with Ranitidine.]
[S01AA15, dihydrostreptomycin, Dihydrostreptomycin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Ranitidine.]
[V03AE08, ferric citrate, Ranitidine can cause a decrease in the absorption of Tetraferric tricitrate decahydrate resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A06AG02, bisacodyl, The therapeutic efficacy of Bisacodyl can be decreased when used in combination with Ranitidine.]
[S03AA06, gentamicin, The serum concentration of Gentamicin can be increased when it is combined with Ranitidine.]
[J05AP09, dasabuvir, The metabolism of Dasabuvir can be decreased when combined with Ranitidine.]
[B01AF03, edoxaban, Ranitidine may decrease the excretion rate of Edoxaban which could result in a higher serum level.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Ranitidine.]
[L04AC10, secukinumab, The metabolism of Ranitidine can be increased when combined with Secukinumab.]
[L01EF01, palbociclib, The absorption of Palbociclib can be decreased when combined with Ranitidine.]
[L01EX08, lenvatinib, The excretion of Ranitidine can be decreased when combined with Lenvatinib.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Ranitidine.]
[L01DC01, bleomycin, Bleomycin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J05AF08, adefovir dipivoxil, Adefovir dipivoxil may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J05AP06, asunaprevir, The metabolism of Asunaprevir can be decreased when combined with Ranitidine.]
[N05AX16, brexpiprazole, The metabolism of Brexpiprazole can be decreased when combined with Ranitidine.]
[M02AA25, aceclofenac, Aceclofenac may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[M01AB11, acemetacin, Acemetacin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[S01EC01, acetazolamide, Acetazolamide may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[C10AD06, acipimox, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Acipimox.]
[A02BC03, lansoprazole, The excretion of Ranitidine can be decreased when combined with Lansoprazole.]
[V03AB37, idarucizumab, Ranitidine may decrease the excretion rate of Idarucizumab which could result in a higher serum level.]
[L01CX01, trabectedin, The metabolism of Trabectedin can be decreased when combined with Ranitidine.]
[J02AC05, isavuconazole, The serum concentration of Ranitidine can be increased when it is combined with Isavuconazole.]
[L01EB04, osimertinib, The serum concentration of Ranitidine can be decreased when it is combined with Osimertinib.]
[J05AF13, tenofovir alafenamide, The serum concentration of Tenofovir alafenamide can be increased when it is combined with Ranitidine.]
[L01XG03, ixazomib, Ranitidine may decrease the excretion rate of Ixazomib which could result in a higher serum level.]
[A10BB31, acetohexamide, The serum concentration of Acetohexamide can be increased when it is combined with Ranitidine.]
[M04AB05, lesinurad, Ranitidine may decrease the excretion rate of Lesinurad which could result in a higher serum level.]
[M01AE16, alminoprofen, Alminoprofen may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N03AX23, brivaracetam, Ranitidine may decrease the excretion rate of Brivaracetam which could result in a higher serum level.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Ranitidine.]
[A02AD05, aluminum magnesium silicate, Ranitidine may decrease the excretion rate of Almasilate which could result in a higher serum level.]
[A05AA04, obeticholic acid, The metabolism of Ranitidine can be decreased when combined with Obeticholic acid.]
[C03CA02, bumetanide, The excretion of Ranitidine can be decreased when combined with Bumetanide.]
[N01BB01, bupivacaine, The metabolism of Bupivacaine can be decreased when combined with Ranitidine.]
[C07AA19, bupranolol, The metabolism of Bupranolol can be decreased when combined with Ranitidine.]
[N07BC01, buprenorphine, The metabolism of Buprenorphine can be decreased when combined with Ranitidine.]
[N05BE01, buspirone, The metabolism of Buspirone can be decreased when combined with Ranitidine.]
[L01XX27, arsenic trioxide, Ranitidine may decrease the excretion rate of Arsenic trioxide which could result in a higher serum level.]
[M02AA03, clofezone, Ranitidine may decrease the excretion rate of Rabeprazole which could result in a higher serum level.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Ranitidine.]
[A07EC04, balsalazide, Balsalazide may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Ranitidine.]
[A06AH05, naldemedine, Ranitidine may decrease the excretion rate of Naldemedine which could result in a higher serum level.]
[N07XX16, deutetrabenazine, The metabolism of Deutetrabenazine can be decreased when combined with Ranitidine.]
[N02BF02, pregabalin, Pregabalin may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[N06BC01, caffeine, The metabolism of Ranitidine can be decreased when combined with Caffeine.]
[P01CA02, benznidazole, Ranitidine may decrease the excretion rate of Benznidazole which could result in a higher serum level.]
[J01XX08, linezolid, The excretion of Ranitidine can be decreased when combined with Linezolid.]
[J05AF06, abacavir, Ranitidine may decrease the excretion rate of Abacavir which could result in a higher serum level.]
[J05AE09, tipranavir, The metabolism of Tipranavir can be decreased when combined with Ranitidine.]
[N07XX13, valbenazine, The metabolism of Valbenazine can be decreased when combined with Ranitidine.]
[L04AB02, infliximab, The metabolism of Ranitidine can be increased when combined with Infliximab.]
[J01MA23, delafloxacin, Ranitidine may decrease the excretion rate of Delafloxacin which could result in a higher serum level.]
[D01AC10, bifonazole, Ranitidine can cause a decrease in the absorption of Bifonazole resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[S01EB09, acetylcholine, The risk or severity of adverse effects can be increased when Ranitidine is combined with Acetylcholine.]
[L01BC06, capecitabine, Ranitidine may decrease the excretion rate of Capecitabine which could result in a higher serum level.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Ranitidine.]
[C07AB07, bisoprolol, Bisoprolol may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J05AG03, efavirenz, The metabolism of Ranitidine can be decreased when combined with Efavirenz.]
[J01DC10, cefprozil, Cefprozil may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[C07AA17, bopindolol, The metabolism of Bopindolol can be decreased when combined with Ranitidine.]
[C03DA03, canrenone, Canrenone may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R03BA02, budesonide, Ranitidine can cause a decrease in the absorption of Budesonide resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[M01AB07, bumadizone, Bumadizone may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J05AX18, letermovir, The excretion of Ranitidine can be decreased when combined with Letermovir.]
[N01BX04, capsaicin, The metabolism of Ranitidine can be increased when combined with Capsaicin.]
[A10BK04, ertugliflozin, Ertugliflozin may increase the excretion rate of Ranitidine which could result in a lower serum level and potentially a reduction in efficacy.]
[R06AX18, acrivastine, Ranitidine may decrease the excretion rate of Acrivastine which could result in a higher serum level.]
[C09AA01, captopril, Ranitidine can cause a decrease in the absorption of Captopril resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L02BB05, apalutamide, The excretion of Ranitidine can be decreased when combined with Apalutamide.]
[N03AF01, carbamazepine, The metabolism of Ranitidine can be increased when combined with Carbamazepine.]
[J01CA03, carbenicillin, The excretion of Ranitidine can be decreased when combined with Carbenicillin.]
[H03BB01, carbimazole, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Carbimazole is combined with Ranitidine.]
[L03AB06, interferon alfa-n1, The metabolism of Ranitidine can be decreased when combined with Interferon alfa-n1.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Ranitidine.]
[N03AX24, cannabidiol, The metabolism of Ranitidine can be decreased when combined with Cannabidiol.]
[B02BX08, avatrombopag, The excretion of Ranitidine can be decreased when combined with Avatrombopag.]
[L04AA37, baricitinib, Ranitidine may decrease the excretion rate of Baricitinib which could result in a higher serum level.]
[J01DE01, cefepime, Cefepime may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01DD10, cefetamet, Cefetamet may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01DD09, cefodizime, Cefodizime may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01DC11, ceforanide, Ceforanide may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[J01DD13, cefpodoxime, Ranitidine can cause a decrease in the absorption of Cefpodoxime resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[L01EC03, encorafenib, The metabolism of Encorafenib can be decreased when combined with Ranitidine.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Ranitidine.]
[J01DD14, ceftibuten, The excretion of Ranitidine can be decreased when combined with Ceftibuten.]
[J01GB14, plazomicin, Ranitidine may decrease the excretion rate of Plazomicin which could result in a higher serum level.]
[C07AB08, celiprolol, The metabolism of Celiprolol can be decreased when combined with Ranitidine.]
[H01CC03, elagolix, The metabolism of Elagolix can be decreased when combined with Ranitidine.]
[P01BA07, tafenoquine, The serum concentration of Ranitidine can be increased when it is combined with Tafenoquine.]
[A16AX14, migalastat, Ranitidine may decrease the excretion rate of Migalastat which could result in a higher serum level.]
[N03AX17, stiripentol, The metabolism of Ranitidine can be decreased when combined with Stiripentol.]
[L01EB07, dacomitinib, The metabolism of Dacomitinib can be decreased when combined with Ranitidine.]
[S01GX12, cetirizine, Cetirizine may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[A10BB06, carbutamide, The serum concentration of Carbutamide can be increased when it is combined with Ranitidine.]
[D08AE05, chloroxylenol, Ranitidine may decrease the excretion rate of Chloroxylenol which could result in a higher serum level.]
[M01AC05, lornoxicam, Lornoxicam may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Ranitidine.]
[N07XX15, inotersen, Inotersen may decrease the excretion rate of Ranitidine which could result in a higher serum level.]
[R03BB08, revefenacin, The metabolism of Revefenacin can be decreased when combined with Ranitidine.]
[L04AA39, emapalumab, The metabolism of Ranitidine can be increased when combined with Emapalumab.]
[L01AD01, carmustine, The metabolism of Ranitidine can be decreased when combined with Carmustine.]
[L01EX13, gilteritinib, The risk or severity of adverse effects can be increased when Gilteritinib is combined with Ranitidine.]
[A06AX05, prucalopride, Ranitidine may decrease the excretion rate of Prucalopride which could result in a higher serum level.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Ranitidine.]
[C10AB08, ciprofibrate, The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when Ranitidine is combined with Ciprofibrate.]
