[S02DA03, antipyrine, The metabolism of Antipyrine can be decreased when combined with Moxifloxacin.]
[L04AA32, apremilast, The metabolism of Apremilast can be decreased when combined with Moxifloxacin.]
[S03BA03, betamethasone, The risk or severity of tendinopathy can be increased when Betamethasone is combined with Moxifloxacin.]
[S01ED02, betaxolol, The metabolism of Betaxolol can be decreased when combined with Moxifloxacin.]
[A10BJ04, albiglutide, The therapeutic efficacy of Albiglutide can be increased when used in combination with Moxifloxacin.]
[L01ED02, ceritinib, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Ceritinib.]
[A03BA03, hyoscyamine, The risk or severity of QTc prolongation can be increased when Hyoscyamine is combined with Moxifloxacin.]
[B01AA07, acenocoumarol, The therapeutic efficacy of Acenocoumarol can be increased when used in combination with Moxifloxacin.]
[A10BK03, empagliflozin, The therapeutic efficacy of Empagliflozin can be increased when used in combination with Moxifloxacin.]
[R03AC19, olodaterol, The risk or severity of QTc prolongation can be increased when Olodaterol is combined with Moxifloxacin.]
[A16AX10, eliglustat, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Eliglustat.]
[A10BJ05, dulaglutide, The therapeutic efficacy of Dulaglutide can be increased when used in combination with Moxifloxacin.]
[L04AX05, pirfenidone, The metabolism of Pirfenidone can be decreased when combined with Moxifloxacin.]
[V03AE08, ferric citrate, Tetraferric tricitrate decahydrate can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B01AA01, dicumarol, The therapeutic efficacy of Dicoumarol can be increased when used in combination with Moxifloxacin.]
[N06AX11, mirtazapine, The metabolism of Mirtazapine can be decreased when combined with Moxifloxacin.]
[L01EX08, lenvatinib, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Lenvatinib.]
[L01XH03, panobinostat, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Panobinostat.]
[N02BE01, acetaminophen, The metabolism of Acetaminophen can be decreased when combined with Moxifloxacin.]
[B01AA11, tioclomarol, The therapeutic efficacy of Tioclomarol can be increased when used in combination with Moxifloxacin.]
[C01EB17, ivabradine, Ivabradine may increase the QTc-prolonging activities of Moxifloxacin.]
[A06AD03, magnesium peroxide, Magnesium peroxide can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A10BF01, acarbose, The therapeutic efficacy of Acarbose can be increased when used in combination with Moxifloxacin.]
[M02AA25, aceclofenac, Aceclofenac may increase the neuroexcitatory activities of Moxifloxacin.]
[M01AB11, acemetacin, Acemetacin may increase the neuroexcitatory activities of Moxifloxacin.]
[A10AE06, insulin degludec, The therapeutic efficacy of Insulin degludec can be increased when used in combination with Moxifloxacin.]
[A10BB31, acetohexamide, The therapeutic efficacy of Acetohexamide can be increased when used in combination with Moxifloxacin.]
[G04CA01, alfuzosin, The risk or severity of QTc prolongation can be increased when Alfuzosin is combined with Moxifloxacin.]
[M01AE16, alminoprofen, Alminoprofen may increase the neuroexcitatory activities of Moxifloxacin.]
[N05BA08, bromazepam, The metabolism of Bromazepam can be decreased when combined with Moxifloxacin.]
[N04BC01, bromocriptine, The therapeutic efficacy of Bromocriptine can be increased when used in combination with Moxifloxacin.]
[A02AD05, aluminum magnesium silicate, Almasilate can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A02AB03, aluminum phosphate, Aluminium phosphate can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AB01, brompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Moxifloxacin.]
[N01BB01, bupivacaine, The risk or severity of methemoglobinemia can be increased when Moxifloxacin is combined with Levobupivacaine.]
[C07AA19, bupranolol, The risk or severity of QTc prolongation can be increased when Bupranolol is combined with Moxifloxacin.]
[L02AE01, buserelin, The risk or severity of QTc prolongation can be increased when Buserelin is combined with Moxifloxacin.]
[L01XX27, arsenic trioxide, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Arsenic trioxide.]
[P01BE02, artemether, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Artemether.]
[J01MA09, sparfloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Sparfloxacin.]
[R06AX09, azatadine, The risk or severity of QTc prolongation can be increased when Azatadine is combined with Moxifloxacin.]
[S01GX07, azelastine, The metabolism of Azelastine can be decreased when combined with Moxifloxacin.]
[J01CE04, azidocillin, The serum concentration of Moxifloxacin can be increased when it is combined with Azidocillin.]
[L01XK03, rucaparib, The metabolism of Rucaparib can be decreased when combined with Moxifloxacin.]
[S01AA26, azithromycin, The risk or severity of QTc prolongation can be increased when Azithromycin is combined with Moxifloxacin.]
[J01CA06, bacampicillin, The serum concentration of Moxifloxacin can be increased when it is combined with Bacampicillin.]
[L01EF02, ribociclib, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Ribociclib.]
[A07EC04, balsalazide, Balsalazide may increase the neuroexcitatory activities of Moxifloxacin.]
[R03DA08, bamifylline, The metabolism of Bamifylline can be decreased when combined with Moxifloxacin.]
[N07XX16, deutetrabenazine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Deutetrabenazine.]
[N02BF02, pregabalin, The risk or severity of QTc prolongation can be increased when Pregabalin is combined with Moxifloxacin.]
[N06BC01, caffeine, The metabolism of Caffeine can be decreased when combined with Moxifloxacin.]
[A10BX06, benfluorex, The therapeutic efficacy of Benfluorex can be increased when used in combination with Moxifloxacin.]
[S01HA02, benoxinate, The risk or severity of methemoglobinemia can be increased when Moxifloxacin is combined with Oxybuprocaine.]
[J01MA23, delafloxacin, The risk or severity of QTc prolongation can be increased when Delafloxacin is combined with Moxifloxacin.]
[L01XX59, enasidenib, The metabolism of Enasidenib can be decreased when combined with Moxifloxacin.]
[L01XH01, vorinostat, The risk or severity of QTc prolongation can be increased when Vorinostat is combined with Moxifloxacin.]
[J05AG03, efavirenz, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Efavirenz.]
[R03BA02, budesonide, The risk or severity of tendinopathy can be increased when Budesonide is combined with Moxifloxacin.]
[M01AB07, bumadizone, Bumadizone may increase the neuroexcitatory activities of Moxifloxacin.]
[N06AA15, butriptyline, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Butriptyline.]
[C01AA02, acetyldigoxins, The risk or severity of QTc prolongation can be increased when Acetyldigoxin is combined with Moxifloxacin.]
[A10BJ06, semaglutide, The therapeutic efficacy of Semaglutide can be increased when used in combination with Moxifloxacin.]
[N01BX04, capsaicin, The risk or severity of methemoglobinemia can be increased when Moxifloxacin is combined with Capsaicin.]
[A10BK04, ertugliflozin, The therapeutic efficacy of Ertugliflozin can be increased when used in combination with Moxifloxacin.]
[R06AX18, acrivastine, The risk or severity of QTc prolongation can be increased when Acrivastine is combined with Moxifloxacin.]
[V04CD06, macimorelin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Macimorelin.]
[J01CA03, carbenicillin, The serum concentration of Moxifloxacin can be increased when it is combined with Carbenicillin.]
[R06AA08, carbinoxamine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Carbinoxamine.]
[C07AG02, carvedilol, The metabolism of Carvedilol can be decreased when combined with Moxifloxacin.]
[L01EC03, encorafenib, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Encorafenib.]
[L01EE03, binimetinib, The metabolism of Binimetinib can be decreased when combined with Moxifloxacin.]
[C07AB08, celiprolol, The risk or severity of QTc prolongation can be increased when Celiprolol is combined with Moxifloxacin.]
[L01XX62, ivosidenib, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Ivosidenib.]
[N03AX17, stiripentol, The metabolism of Stiripentol can be decreased when combined with Moxifloxacin.]
[S01GX12, cetirizine, The risk or severity of QTc prolongation can be increased when Cetirizine is combined with Moxifloxacin.]
[A10BB06, carbutamide, The therapeutic efficacy of Carbutamide can be increased when used in combination with Moxifloxacin.]
[N01BA04, chloroprocaine, The risk or severity of methemoglobinemia can be increased when Moxifloxacin is combined with Chloroprocaine.]
[M01AC05, lornoxicam, Lornoxicam may increase the neuroexcitatory activities of Moxifloxacin.]
[R03DA02, oxtriphylline, The metabolism of Oxtriphylline can be decreased when combined with Moxifloxacin.]
[N07XX15, inotersen, The risk or severity of QTc prolongation can be increased when Inotersen is combined with Moxifloxacin.]
[L01AD01, carmustine, The metabolism of Carmustine can be decreased when combined with Moxifloxacin.]
[L01EX13, gilteritinib, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Gilteritinib.]
[L01XJ03, glasdegib, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Glasdegib.]
[N07XX05, amifampridine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Amifampridine.]
[C01BG07, cifenline, The risk or severity of QTc prolongation can be increased when Cibenzoline is combined with Moxifloxacin.]
[B01AC23, cilostazol, The metabolism of Cilostazol can be decreased when combined with Moxifloxacin.]
[P02BX04, triclabendazole, The metabolism of Triclabendazole can be decreased when combined with Moxifloxacin.]
[J01FA09, clarithromycin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Clarithromycin.]
[H02AB14, cloprednol, The risk or severity of tendinopathy can be increased when Cloprednol is combined with Moxifloxacin.]
[V03AE07, calcium acetate, Calcium acetate can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[A12CC06, magnesium lactate, Magnesium lactate can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AE02, sevelamer, Sevelamer can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[H02AB17, cortivazol, The risk or severity of tendinopathy can be increased when Cortivazol is combined with Moxifloxacin.]
[J01CF03, methicillin, The serum concentration of Moxifloxacin can be increased when it is combined with Meticillin.]
[C03BX03, cicletanine, The risk or severity of QTc prolongation can be increased when Cicletanine is combined with Moxifloxacin.]
[M03BX08, cyclobenzaprine, The metabolism of Cyclobenzaprine can be decreased when combined with Moxifloxacin.]
[L01EX14, entrectinib, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Entrectinib.]
[N07XX11, pitolisant, Moxifloxacin may increase the QTc-prolonging activities of Pitolisant.]
[J01XX12, lefamulin, Lefamulin may increase the QTc-prolonging activities of Moxifloxacin.]
[N04CX01, istradefylline, The metabolism of Istradefylline can be decreased when combined with Moxifloxacin.]
[A10AE03, insulin, regular, pork, The therapeutic efficacy of Insulin pork can be increased when used in combination with Moxifloxacin.]
[H02AB13, deflazacort, The risk or severity of tendinopathy can be increased when Deflazacort is combined with Moxifloxacin.]
[R06AB06, dexbrompheniramine, The risk or severity of QTc prolongation can be increased when Dexbrompheniramine is combined with Moxifloxacin.]
[R06AB02, dexchlorpheniramine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Dexchlorpheniramine.]
[S01AE06, gatifloxacin, The risk or severity of QTc prolongation can be increased when Gatifloxacin is combined with Moxifloxacin.]
[N02CC07, frovatriptan, The metabolism of Frovatriptan can be decreased when combined with Moxifloxacin.]
[L01EE04, selumetinib, The metabolism of Selumetinib can be decreased when combined with Moxifloxacin.]
[M01AH02, rofecoxib, The metabolism of Rofecoxib can be decreased when combined with Moxifloxacin.]
[C01BD07, dronedarone, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Dronedarone.]
[V03AE03, lanthanum carbonate, Lanthanum carbonate can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[R06AE04, chlorcyclizine, The risk or severity of QTc prolongation can be increased when Chlorcyclizine is combined with Moxifloxacin.]
[D07XB03, fluprednidene, The risk or severity of tendinopathy can be increased when Fluprednidene is combined with Moxifloxacin.]
[M01AC04, droxicam, Droxicam may increase the neuroexcitatory activities of Moxifloxacin.]
[M02AA27, dexketoprofen, Dexketoprofen may increase the neuroexcitatory activities of Moxifloxacin.]
[R02AD04, dyclonine, The risk or severity of methemoglobinemia can be increased when Moxifloxacin is combined with Dyclonine.]
[R06AX22, ebastine, The risk or severity of QTc prolongation can be increased when Ebastine is combined with Moxifloxacin.]
[J05AX29, fostemsavir, The risk or severity of QTc prolongation can be increased when Fostemsavir is combined with Moxifloxacin.]
[P01BA01, chloroquine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Chloroquine.]
[R06AB04, chlorpheniramine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Chlorpheniramine.]
[N05AA01, chlorpromazine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Chlorpromazine.]
[A10BB02, chlorpropamide, The therapeutic efficacy of Chlorpropamide can be increased when used in combination with Moxifloxacin.]
[N05AF03, chlorprothixene, The risk or severity of QTc prolongation can be increased when Chlorprothixene is combined with Moxifloxacin.]
[M03BB03, chlorzoxazone, The metabolism of Chlorzoxazone can be decreased when combined with Moxifloxacin.]
[N02BA07, ethenzamide, Ethenzamide may increase the neuroexcitatory activities of Moxifloxacin.]
[M01AB08, etodolac, Etodolac may increase the neuroexcitatory activities of Moxifloxacin.]
[M02AA06, etofenamate, Etofenamate may increase the neuroexcitatory activities of Moxifloxacin.]
[B06AC06, berotralstat, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Berotralstat.]
[L02BX04, relugolix, The risk or severity of QTc prolongation can be increased when Relugolix is combined with Moxifloxacin.]
[N03AX10, felbamate, The risk or severity of QTc prolongation can be increased when Felbamate is combined with Moxifloxacin.]
[M01AE05, fenbufen, Fenbufen may increase the neuroexcitatory activities of Moxifloxacin.]
[N06BA10, fenethylline, The metabolism of Fenethylline can be decreased when combined with Moxifloxacin.]
[V08CA07, ferric ammonium citrate, Ferric ammonium citrate can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[V03AB31, prussian blue insoluble, Prussian blue can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AB02, iron sucrose, Iron sucrose can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA05, ferrous chloride, Ferrous chloride can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA02, ferrous fumarate, Ferrous fumarate can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA03, ferrous gluconate, Ferrous gluconate can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA06, ferrous succinate, Ferrous succinate can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[B03AA07, ferrous sulfate, Ferrous sulfate anhydrous can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[J01MB07, flumequine, The risk or severity of QTc prolongation can be increased when Flumequine is combined with Moxifloxacin.]
[R03BA03, flunisolide, The risk or severity of tendinopathy can be increased when Flunisolide is combined with Moxifloxacin.]
[S02BA08, fluocinolone acetonide, The risk or severity of tendinopathy can be increased when Fluocinolone acetonide is combined with Moxifloxacin.]
[R03CC15, formoterol, The risk or severity of QTc prolongation can be increased when Formoterol is combined with Moxifloxacin.]
[A10AF01, insulin, regular, human, The therapeutic efficacy of Insulin human can be increased when used in combination with Moxifloxacin.]
[L04AA50, ponesimod, The risk or severity of bradycardia can be increased when Ponesimod is combined with Moxifloxacin.]
[B03AB10, ferric maltol, Ferric maltol can cause a decrease in the absorption of Moxifloxacin resulting in a reduced serum concentration and potentially a decrease in efficacy.]
[N07CA02, cinnarizine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Cinnarizine.]
[J01MB06, cinoxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Cinoxacin.]
[S03AA07, ciprofloxacin, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Ciprofloxacin.]
[N06AB04, citalopram, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Citalopram.]
[P01CA03, fexinidazole, The risk or severity of adverse effects can be increased when Moxifloxacin is combined with Fexinidazole.]
[L01EB10, mobocertinib, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Mobocertinib.]
[R06AA04, clemastine, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Clemastine.]
[M01AG01, mefenamic acid, The metabolism of Mefenamic acid can be decreased when combined with Moxifloxacin.]
[A10BB12, glimepiride, The therapeutic efficacy of Glimepiride can be increased when used in combination with Moxifloxacin.]
[A10BB08, gliquidone, The therapeutic efficacy of Gliquidone can be increased when used in combination with Moxifloxacin.]
[J04BA01, clofazimine, The risk or severity of QTc prolongation can be increased when Clofazimine is combined with Moxifloxacin.]
[N01BB10, levobupivacaine, The risk or severity of methemoglobinemia can be increased when Moxifloxacin is combined with Levobupivacaine.]
[L01EJ03, pacritinib, The risk or severity of QTc prolongation can be increased when Pacritinib is combined with Moxifloxacin.]
[N06AA04, clomipramine, The metabolism of Clomipramine can be decreased when combined with Moxifloxacin.]
[S01EA04, clonidine, The metabolism of Clonidine can be decreased when combined with Moxifloxacin.]
[A10BX16, tirzepatide, The therapeutic efficacy of Tirzepatide can be increased when used in combination with Moxifloxacin.]
[A04AA01, ondansetron, The risk or severity of QTc prolongation can be increased when Moxifloxacin is combined with Ondansetron.]
